"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"DWAYNEBOWE","WR","Dwayne Bowe","KC",32,99,124.4,NA,NA,NA,NA,NA,0,0,0,69,884,6,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",33,100,124.2,NA,NA,NA,NA,NA,178,767,3,26,235,1,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",34,101,122.7,NA,NA,NA,NA,NA,168,740,5,28,187,0,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",35,102,122,NA,NA,NA,NA,NA,155,635,5,35,225,1,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",4,103,121.7,NA,NA,NA,NA,NA,NA,NA,NA,52,737,8,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",33,104,120.5,NA,NA,NA,NA,NA,0,0,0,62,845,6,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",5,104,120.5,NA,NA,NA,NA,NA,NA,NA,NA,75,845,6,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",5,104,120.5,NA,NA,NA,NA,NA,NA,NA,NA,68,785,7,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",36,107,120.2,NA,NA,NA,NA,NA,158,647,4,33,255,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",34,108,119.7,NA,NA,NA,NA,NA,0,0,0,64,837,6,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",35,109,118.1,NA,NA,NA,NA,NA,12,139,1,58,682,5,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAC",36,110,118,NA,NA,NA,NA,NA,0,0,0,64,880,5,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",37,111,117.8,NA,NA,NA,NA,NA,0,0,0,74,878,5,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",7,112,117.4,NA,NA,NA,NA,NA,NA,NA,NA,71,814,6,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",37,113,115.1,NA,NA,NA,NA,NA,81,322,1,71,589,3,NA,NA,NA
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",33,114,114.9,199,122,1355,9,5,21,111,0,NA,NA,NA,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",38,115,114,NA,NA,NA,NA,NA,150,629,5,32,211,0,NA,NA,NA
"KHIRYROBINSON","RB","Khiry Robinson","NO",39,116,112.9,NA,NA,NA,NA,NA,166,745,5,12,84,0,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",38,117,112.2,NA,NA,NA,NA,NA,0,0,0,62,822,5,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",39,118,111.4,NA,NA,NA,NA,NA,0,0,0,63,814,5,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",8,119,110.5,NA,NA,NA,NA,NA,NA,NA,NA,70,745,6,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",9,120,110.4,NA,NA,NA,NA,NA,NA,NA,NA,68,744,6,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",40,121,109.5,NA,NA,NA,NA,NA,0,0,0,53,795,5,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",41,122,108.7,NA,NA,NA,NA,NA,0,0,0,56,787,5,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",42,123,108.4,NA,NA,NA,NA,NA,0,0,0,55,724,6,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",43,124,107.6,NA,NA,NA,NA,NA,0,0,0,57,776,5,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",44,125,105.7,NA,NA,NA,NA,NA,0,0,0,54,757,5,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",44,125,105.7,NA,NA,NA,NA,NA,0,0,0,48,697,6,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",10,127,104.5,NA,NA,NA,NA,NA,NA,NA,NA,63,685,6,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",40,128,104.2,NA,NA,NA,NA,NA,150,613,6,11,69,0,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",46,129,103.7,NA,NA,NA,NA,NA,0,0,0,48,677,6,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",46,129,103.7,NA,NA,NA,NA,NA,0,0,0,54,737,5,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",48,131,102.5,NA,NA,NA,NA,NA,0,0,0,58,785,4,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",49,132,101.5,NA,NA,NA,NA,NA,0,0,0,61,775,4,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",11,133,101.2,NA,NA,NA,NA,NA,NA,NA,NA,68,712,5,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",12,134,100.7,NA,NA,NA,NA,NA,NA,NA,NA,62,707,5,NA,NA,NA
"TERRANCEWEST","RB","Terrance West","CLE",41,135,100.2,NA,NA,NA,NA,NA,139,596,4,27,166,0,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",13,135,100.2,NA,NA,NA,NA,NA,NA,NA,NA,62,702,5,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",50,137,98.7,NA,NA,NA,NA,NA,0,0,0,61,747,4,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",42,138,98.4,NA,NA,NA,NA,NA,103,445,3,36,299,1,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",14,139,98.2,NA,NA,NA,NA,NA,NA,NA,NA,64,682,5,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",34,140,97.7,188,111,1295,6,7,33,89,0,NA,NA,NA,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",15,141,97.1,NA,NA,NA,NA,NA,NA,NA,NA,48,611,6,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",51,142,96.7,NA,NA,NA,NA,NA,0,0,0,54,727,4,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",43,143,95.6,NA,NA,NA,NA,NA,53,231,1,63,545,2,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",52,144,95.5,NA,NA,NA,NA,NA,0,0,0,48,655,5,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",53,145,94.6,NA,NA,NA,NA,NA,2,21,0,49,685,4,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","PIT",54,146,94.5,NA,NA,NA,NA,NA,0,0,0,47,645,5,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",44,147,94.1,NA,NA,NA,NA,NA,139,585,3,23,176,0,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",16,148,93.6,NA,NA,NA,NA,NA,NA,NA,NA,61,636,5,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",45,149,92.3,NA,NA,NA,NA,NA,132,526,4,25,157,0,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",46,150,91.8,NA,NA,NA,NA,NA,142,641,4,6,37,0,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",17,151,91.3,NA,NA,NA,NA,NA,NA,NA,NA,55,613,5,NA,NA,NA
"LADARIUSGREEN","TE","Ladarius Green","SD",18,152,88.4,NA,NA,NA,NA,NA,NA,NA,NA,49,584,5,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",18,152,88.4,NA,NA,NA,NA,NA,NA,NA,NA,53,644,4,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",35,154,88,164,97,1129,6,6,24,75,0,NA,NA,NA,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",47,155,87.7,NA,NA,NA,NA,NA,122,488,5,13,89,0,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",55,155,87.7,NA,NA,NA,NA,NA,0,0,0,40,577,5,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",56,157,86.6,NA,NA,NA,NA,NA,0,0,0,39,566,5,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",48,158,86.1,NA,NA,NA,NA,NA,109,445,3,26,176,1,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",57,159,86,NA,NA,NA,NA,NA,0,0,0,39,620,4,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",58,160,85.3,NA,NA,NA,NA,NA,0,0,0,44,613,4,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",59,161,84.6,NA,NA,NA,NA,NA,3,21,0,47,645,3,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","CLE",60,162,82.5,NA,NA,NA,NA,NA,0,0,0,48,645,3,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",49,163,81.4,NA,NA,NA,NA,NA,80,321,4,26,193,1,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",61,164,81.3,NA,NA,NA,NA,NA,5,45,0,51,588,3,NA,NA,NA
"GARRETTGRAHAM","TE","Garrett Graham","HOU",20,165,79.5,NA,NA,NA,NA,NA,NA,NA,NA,56,555,4,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",62,166,79,NA,NA,NA,NA,NA,0,0,0,38,550,4,NA,NA,NA
"CASEKEENUM","QB","Case Keenum","HOU",36,167,77.8,153,88,1022,5,5,15,67,0,NA,NA,NA,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",21,168,77.1,NA,NA,NA,NA,NA,NA,NA,NA,51,531,4,NA,NA,NA
"SCOTTCHANDLER","TE","Scott Chandler","BUF",22,169,76.2,NA,NA,NA,NA,NA,NA,NA,NA,47,522,4,NA,NA,NA
"NATEBURLESON","WR","Nate Burleson","CLE",63,170,75.5,NA,NA,NA,NA,NA,0,0,0,44,575,3,NA,NA,NA
"RODSTREATER","WR","Rod Streater","OAK",63,170,75.5,NA,NA,NA,NA,NA,0,0,0,39,515,4,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",37,172,74.5,128,75,844,7,6,22,43,0,NA,NA,NA,NA,NA,NA
"MARVINJONES","WR","Marvin Jones","CIN",65,173,74,NA,NA,NA,NA,NA,5,44,0,38,516,3,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",66,174,73.6,NA,NA,NA,NA,NA,0,0,0,39,496,4,NA,NA,NA
"AARONDOBSON","WR","Aaron Dobson","NE",67,175,72.5,NA,NA,NA,NA,NA,0,0,0,39,545,3,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAC",50,176,72,NA,NA,NA,NA,NA,75,345,2,25,195,1,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",68,177,70.9,NA,NA,NA,NA,NA,0,0,0,36,529,3,NA,NA,NA
"CHRISGIVENS","WR","Chris Givens","STL",69,178,69.5,NA,NA,NA,NA,NA,0,0,0,33,515,3,NA,NA,NA
"ANDREHOLMES","WR","Andre Holmes","OAK",70,179,69.1,NA,NA,NA,NA,NA,0,0,0,33,511,3,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",70,179,69.1,NA,NA,NA,NA,NA,0,0,0,33,511,3,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",51,181,69,NA,NA,NA,NA,NA,90,379,3,20,131,0,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",23,181,69,NA,NA,NA,NA,NA,NA,NA,NA,48,510,3,NA,NA,NA
"KNILEDAVIS","RB","Knile Davis","KC",52,183,67.6,NA,NA,NA,NA,NA,94,395,3,13,101,0,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",53,184,67.3,NA,NA,NA,NA,NA,70,287,1,40,266,1,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",72,185,66.9,NA,NA,NA,NA,NA,0,0,0,38,489,3,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",54,186,66.8,NA,NA,NA,NA,NA,87,367,3,20,121,0,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",73,187,66.5,NA,NA,NA,NA,NA,0,0,0,31,425,4,NA,NA,NA
"ERICEBRON","TE","Eric Ebron","DET",24,187,66.5,NA,NA,NA,NA,NA,NA,NA,NA,46,485,3,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",55,189,65.4,NA,NA,NA,NA,NA,95,397,3,9,77,0,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",56,190,65.3,NA,NA,NA,NA,NA,94,396,4,3,17,0,NA,NA,NA
