"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_eds","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"MARQISELEE","Marqise Lee","WR","JAC",148,106.908477197544,NA,107,110.5,108.125,103.45,NA,103.55,119.55,91.625,80.875,126.25,93.8,98.5,113.5,117.75,72.245,NA,115.875,0.015,0,0.015,0,0,0,2.6738732425369,15.6018588985459,0,48.0000179820631,674.788027397155,3.99996464717426,0,0,1,104.733308379121,106.908477197544
"HEATHMILLER","Heath Miller","TE","PIT",149,106.814868548967,77.535,121.625,119.125,131.125087949219,88.0000879492188,NA,112.275,110.25,112.250087949219,101.250087949219,110.125087949219,96.6250879492188,89.7500879492188,104.75,111.5,102.298737949219,NA,111.85,0.03,0,0,0,0,0,0,0,0,61.4999661900656,657.000030084695,4.61496280652688,0,0,0.99997068359375,106.84760745098,106.814868548967
"MALCOMFLOYD","Malcom Floyd","WR","SD",150,106.428043738652,107.495,98.75,99.75,109.074769955316,100.699769955316,NA,95.5,118.625,100.324769955316,124.449769955316,101.574769955316,86.0747699553157,107.824769955316,155,126.5,104.193419955316,NA,107.525,0.1,0,0.08,0,0,0,0,0,0,44.7500584781786,673,4.01721229722266,0,0,0.600076681561447,111.020754509804,106.428043738652
"HARRYDOUGLAS","Harry Douglas","WR","ATL",151,106.275162556405,79.09,112.25,135.25,111.375020026303,91.1250200263029,NA,116.65,104.875,105.375020026303,91.3750200263029,100.875020026303,100.000020026303,111.875020026303,114.75,121.75,61.1704700263029,NA,113.3,0.035,0,0.02,0,0,0,0,0,0,58.9999559383283,723,3.15002375501698,0,0,0.999993324565693,106.412197843137,106.275162556405
"LADARIUSGREEN","Ladarius Green","TE","SD",152,105.969084303067,NA,112.375,129.375,116.375,97,NA,112.525,126.375,103,101.875,97.75,101.875,87.125,81.25,121,89.35375,NA,101.65,0,0,0,0,0,0,0,0,0,42.5000652033505,607.753471831028,4.99998338736468,0,0,0,99.2209803921569,105.969084303067
"ANTONIOGATES","Antonio Gates","TE","SD",153,105.182886146657,92.105,114.125,126,99.2784504392936,97.0284504392936,NA,112.3875,104.375,102.778450439294,95.9034504392936,115.028450439294,96.6534504392936,108.153450439294,90,113.25,121.160950439294,NA,98.525,0,0,0,0,0,0,0,0,0,58.3500299558764,645,4.50490595122716,0,0,0.823849853568793,106.279656862745,105.182886146657
"MILESAUSTIN","Miles Austin","WR","CLE",154,104.225377565434,55.945,88.125,103,91.2501879815261,77.7501879815261,NA,82.8375,172.275,114.625187981526,116.125187981526,92.0001879815261,104.375187981526,121.500187981526,114.875,126.625,114.212637981526,NA,107.6,0.01,0,0,0,0,0,0,0,0,49.500088088874,661,3.97503159731798,0,0,0.749937339491306,105.395629140271,104.225377565434
"DELANIEWALKER","Delanie Walker","TE","TEN",155,103.091259714009,64.85,100.375,111,108.750236471577,101.750236471577,NA,105.0625,114.125,106.500236471577,95.1252364715771,91.3752364715771,95.5002364715771,102.000236471577,90,117.75,112.556486471577,NA,112.575,0,0,0,0,0,0,0,0,0,57.9999817323912,605.05,5.07662887373869,0,0,0.999921176140982,102.940980392157,103.091259714009
"ANDREWILLIAMS","Andre Williams","RB","NYG",156,102.859918108685,NA,151.775,124.275,112.149804094591,61.3748040945911,NA,105.795,110.125,69.5748040945911,98.4998040945911,95.6248040945911,72.1498040945911,96.7498040945911,133.975,128,69.8746040945911,NA,76.95,0.04,0,0,0,0,0,137.000025865626,573.360073754066,5.99996298191814,8.99990488191572,67.7946299774244,0.8,0,0,1.25006530180295,98.8639945238095,102.859918108685
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",157,102.812929150616,90.04,99.75,95.375,96.6249893414991,102.374989341499,NA,96.8875,113.25,82.9999893414991,94.0249893414991,94.7499893414991,96.8249893414991,108.249989341499,131.5,125.625,111.010989341499,NA,106,0.085,0,0.055,0,0,0,1.01675149402983,3.75523879935138,0,46.500078843883,627.5,4.49998598819703,0,0,1.00000355283363,104.014894645551,102.812929150616
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",158,101.135638494601,NA,121.5,125.125,117.561848939274,79.9368489392737,NA,107.1375,102.35,90.4368489392737,124.936848939274,103.686848939274,105.436848939274,96.8118489392737,43.125,126.375,69.9918489392737,NA,86.15,0.02,0,0.02,0,0,0,0,0,0,44.9999529424425,628,4.13729825922122,0,0,0.729383686908771,100.963220581502,101.135638494601
"TERRANCEWEST","Terrance West","RB","CLE",159,101.121008700186,NA,159.1,116.55,125.475,91.7,NA,124.515,92,77.35,69.5,71.125,118.8,51,73.475,135.875,86.64705,NA,73.65,0.02,0,0,0,0,0,127.100003068291,524.75,3.88415461338882,20.999931299906,154.731658093281,0.999937293032227,0,0,0,97.0053488392857,101.121008700186
"DWAYNEALLEN","Dwayne Allen","TE","IND",160,100.187210869724,123.485,100.625,113.25,93.75,76.75,NA,99.3625,114.525,106.625,99,110,87.125,102.5,61.75,116.25,93.13,NA,80.8,0,0,0,0,0,0,0,0,0,47.9999888980288,561.5,4.99995181162059,0,0,0,98.865318627451,100.187210869724
"CARLOSHYDE","Carlos Hyde","RB","SF",161,100.095236792485,NA,139.8,108.45,116.175,78,NA,102.45,88.125,70.875,79.875,109.5,76.875,107,115.05,127,46.093,NA,86.9375,0.06,0,0,0,0,0,123.925,575.675833476006,4.99996282167935,13.0000399786337,93.0209215718828,0.650043553053807,0,0,1,95.6396842261905,100.095236792485
"SHONNGREENE","Shonn Greene","RB","TEN",162,99.2083811976403,136.46,119.7,92.775,77.7,82.45,NA,96.1325,76.625,85.35,87.175,112.175,71,110.925,151.9,111.475,97.85725,NA,106.7875,0.03,0,0.03,0,0,0,141.799993624226,593.655,5.50003874177423,9.99994947944941,67.4499569186999,0.497734022026243,0,0,1.525,100.080990196078,99.2083811976403
