"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"AARONRODGERS","AaronRodgers","QB","GB",22.984321949271,6.9750131042499,1,2.9652,23
"DREWBREES","DrewBrees","QB","NO",23.4709406830437,6.00905674644532,1,2.9652,23
"JORDYNELSON","JordyNelson","WR","GB",23.4727381665668,4.90869451947217,1,2.9652,25
"ANTONIOBROWN","AntonioBrown","WR","PIT",25.0389454763331,7.91137878235606,1,5.9304,25
"ALSHONJEFFERY","AlshonJeffery","WR","CHI",26.9374875174755,6.84420854232627,1,4.4478,27
"REGGIEBUSH","ReggieBush","RB","DET",28.348412222888,6.46011501164504,1,5.9304,28
"RANDALLCOBB","RandallCobb","WR","GB",30.5354503694827,4.75315907942063,1,5.9304,30
"JULIUSTHOMAS","JuliusThomas","TE","DEN",31.3951467944877,5.69171556733924,1,7.413,30
"VINCENTJACKSON","VincentJackson","WR","TB",33.6451967245856,5.6461664376965,1,5.9304,35
"CJSPILLER","C.J.Spiller","RB","BUF",34.2465548232475,4.97407898147105,1,5.9304,35
"ANDREELLINGTON","AndreEllington","RB","ARI",34.5753944477731,7.1592476172301,1,10.3782,36
"KEENANALLEN","KeenanAllen","WR","SD",35.1412023167565,3.62545815883878,1,2.9652,36
"WESWELKER","WesWelker","WR","DEN",35.1444977032155,3.90598993825223,1,2.9652,34
"PIERREGARCON","PierreGarcon","WR","WAS",37.4406830437388,5.20240732912893,1,5.9304,37
"BENTATE","BenTate","RB","CLE",38.8902536448971,6.51751620273287,1,8.8956,38
"ROBGRONKOWSKI","RobGronkowski","TE","NE",38.8978430197723,6.67626430605568,1,5.9304,37
"BISHOPSANKEY","BishopSankey","RB","TEN",39.5367485520272,8.24040788035643,1,7.413,40
"LARRYFITZGERALD","LarryFitzgerald","WR","ARI",42.3544038346315,7.4456600023341,1,5.9304,43
"VICTORCRUZ","VictorCruz","WR","NYG",42.6147393648892,8.8615507244139,1,7.413,42
"PERCYHARVIN","PercyHarvin","WR","SEA",44.2788096664669,7.9731119816574,1,4.4478,44
"RAYRICE","RayRice","RB","BAL",44.5132814060316,9.36593489193577,1,16.3086,44
"MICHAELCRABTREE","MichaelCrabtree","WR","SF",46.2665268623927,10.2102028024315,1,10.3782,46
"ANDREJOHNSON","AndreJohnson","WR","HOU",46.4300978629918,7.64246866692217,1,2.9652,46
"FRANKGORE","FrankGore","RB","SF",46.886658677851,9.65632527190609,1,5.9304,47
"RYANMATHEWS","RyanMathews","RB","SD",47.6728579988017,7.84026260067006,1,8.8956,49
"MATTHEWSTAFFORD","MatthewStafford","QB","DET",48.1479928100659,9.54055232600594,1,5.9304,45
"CHRISJOHNSON","ChrisJohnson","RB","NYJ",48.6893349310965,7.11971590978441,1,10.3782,49
"VERNONDAVIS","VernonDavis","TE","SF",48.842919912123,9.01806343920497,1,5.9304,46
"CORDARRELLEPATTERSON","CordarrellePatterson","WR","MIN",51.1240263630917,7.32157829735573,1,7.413,51
"DESEANJACKSON","DeSeanJackson","WR","WAS",51.8011783503096,9.0621606158802,1,5.9304,55
"JORDANCAMERON","JordanCameron","TE","CLE",52.2038146594767,7.2082283056312,1,4.4478,52
"ANDREWLUCK","AndrewLuck","QB","IND",52.2869982025165,7.40131767742919,1,5.9304,53
"SHANEVEREEN","ShaneVereen","RB","NE",52.4182144997004,8.65969770222629,1,7.413,54
"RODDYWHITE","RoddyWhite","WR","ATL",54.4947074096265,6.23437200820046,1,4.4478,55
"RASHADJENNINGS","RashadJennings","RB","NYG",56.9205112842021,10.7333920678114,1,10.3782,53
"NICKFOLES","NickFoles","QB","PHI",58.7966846415019,6.83073556508679,1,7.413,58
"TOBYGERHART","TobyGerhart","RB","JAC",61.6630716996205,7.43094447395111,1,10.3782,61
"JOIQUEBELL","JoiqueBell","RB","DET",62.2909926103455,10.5789185260597,1,13.3434,61
"TYHILTON","T.Y.Hilton","WR","IND",62.9239065308568,7.93413926912849,1,8.8956,64
"JULIANEDELMAN","JulianEdelman","WR","NE",62.991611743559,9.14834027405764,1,10.3782,61
"JEREMYMACLIN","JeremyMaclin","WR","PHI",63.3377271819453,8.20106979957197,1,7.413,62
"TRENTRICHARDSON","TrentRichardson","RB","IND",64.1334132214899,6.90430342367085,1,5.9304,64
"KNOWSHONMORENO","KnowshonMoreno","RB","MIA",64.7436588775714,8.93821224319142,1,7.413,68
"JASONWITTEN","JasonWitten","TE","DAL",68.3711803475135,6.36440687632992,1,5.9304,66
"TORREYSMITH","TorreySmith","WR","BAL",69.8437187936888,8.54602229958031,1,8.8956,68
"EMMANUELSANDERS","EmmanuelSanders","WR","DEN",69.9228080687038,8.64676451432412,1,10.3782,69
"TOMBRADY","TomBrady","QB","NE",70.1379069302976,9.44528864207622,1,7.413,70
"ROBERTGRIFFINIII","RobertGriffinIII","QB","WAS",71.7071100459357,10.3154768960917,1,11.8608,73
"SAMMYWATKINS","SammyWatkins","WR","BUF",72.2420611144398,9.20081913696988,1,8.8956,72
"STEVENJACKSON","StevenJackson","RB","ATL",72.8381266227282,10.1162058805513,1,11.8608,70
"STEVANRIDLEY","StevanRidley","RB","NE",74.6347114040343,12.7628139994304,1,7.413,75
"JORDANREED","JordanReed","TE","WAS",78.3375274615538,13.4260931676688,1,8.8956,77
