"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"ANTONIOBROWN","Antonio Brown","WR","PIT",33,23.7,8,216.267549207878,198.48,223.875,205.375,226.075120980345,221.375,221.35,216.55,221.650120980345,209.350120980345,213.250120980345,203.850120980345,221.375120980345,201.875,225.525,230.988070980345,NA,205.83,216.601519864253,216.267549207878,73.4863801960412,4.4,10.0478543692882,2.75890515232927,37.2,36,36.6,37.2,25.8,25.9,29.7,31,25,22,3.2,36.6,46
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",34,23.7,9,215.342006843965,217.97,215.525,200.4,219.364765050668,218.025,216.0625,213.175,201.689765050668,206.089765050668,210.989765050668,199.289765050668,210.614765050668,166.375,217.75,203.904965050668,NA,203.385,210.54560214178,215.342006843965,72.5608378321281,5.2,12.9941009502666,3.1267924567893,38.5,36,37.25,38.5,22.5,27.7,27.9,30,26,24.6,3.6,37.25,42
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",35,12.6,6,214.800801561174,302.38,249.925,197.225,200.275210536899,217.3,215.735,219.85,207.375210536899,188.475210536899,204.750210536899,201.775210536899,205.875210536899,231.2,219.925,239.202460536899,NA,211.725,218.259921568627,214.800801561174,94.2902793031894,4.8,27.1934242143967,4.37575910687283,43.8,45,44.4,45,15.9,38.9,16.9,40,13,14.4,3.1,44.4,50
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",36,11.9,7,213.882843723643,258.505,204.825,186.9,234.775141283545,206.65,205.8225,228.5,205.550141283545,203.025141283545,211.900141283545,205.000141283545,213.525141283545,189.175,237.75,254.760291283545,NA,209.775,214.95449372549,213.882843723643,93.3723214656586,3.9,21.0290983424421,3.70133272233121,56.3,50,53.15,56.3,10.1,52.1,6.9,49,9,9.8,2.6,53.15,60
"MONTEEBALL","Montee Ball","RB","DEN",37,11.1,8,213.413298349632,157.425,241.1,199.75,188.425,216.1,213.335,231.375,216.975,218.675,230,202.025,205.125,217.25,217,240.2291,NA,204.8,212.411368039216,213.413298349632,92.9027760916471,3.4,20.5958313490609,3.60014720341193,52,44,48,52,13.3,30.1,25.9,37,16,12.3,3.1,48,54
"CARSONPALMER","Carson Palmer","QB","ARI",38,133,20,207.500843474772,181.3,234.84,238.68,199.990116070747,NA,221.784,201.62,197.750116070747,186.610116070747,196.450116070747,199.590116070747,193.550116070747,227.54,244.3,191.279166070747,NA,191.93,208.018445833333,207.500843474772,-38.1920669003143,18.6,20.4788138435659,5.46125280907446,1,1,1,1,136.8,2.1,131.4,3,157,130,12.8,1,2
"JOEFLACCO","Joe Flacco","QB","BAL",39,157,21,205.049413196307,170.07,224.42,204.36,192.999821437456,1.2,207.566,201.3,201.659821437456,202.199821437456,210.699821437456,198.059821437456,208.299821437456,222.16,222.3,170.574221437456,NA,206.62,203.553316666667,205.049413196307,-40.6434971787793,14.2,52.7395104268759,7.86896596682863,1.3,1,1.15,1.3,124.4,2.6,126.6,3,150,NA,NA,1.15,2
"LEVEONBELL","Le'Veon Bell","RB","PIT",40,24.1,9,204.724466123536,214.885,208.475,190.375,201.949953633763,0.4,203.125,193.825,212.399953633763,184.399953633763,190.899953633763,198.849953633763,187.649953633763,219.475,211.15,252.817903633763,NA,193.3,203.869361875,204.724466123536,84.213943865551,8.3,53.599442849764,7.22103277123423,39,38,38.5,39,21.3,34.7,23,40,21,27.3,4.2,38.5,44
"ARIANFOSTER","Arian Foster","RB","HOU",41,22.1,10,203.296608937059,194.19,208.6,184.325,191.774806825617,2,196.7375,187.25,202.524806825617,213.574806825617,204.999806825617,200.649806825617,193.499806825617,215.85,218.225,254.459056825617,NA,201.65,203.089026041667,203.296608937059,82.7860866790748,11.7,53.2649210581409,7.60914098201843,42.3,36,39.15,42.3,20.6,43,13.5,43,17,21.1,4.5,39.15,45
"RANDALLCOBB","Randall Cobb","WR","GB",42,29,10,203.27272429091,267.755,200.2,185.325,212.624717482435,206.075,203.0375,193.225,195.924717482435,203.574717482435,186.324717482435,197.224717482435,197.199717482435,167.7,206.5,216.156717482435,NA,188.11,204.287553921569,203.27272429091,60.491555279073,4,21.184944066667,3.72789598558061,33,33,33,33,32.3,23.5,33,27,28,28.2,3.6,33,38
