"name","pos","name_fbg3","team_fbg3","positionRank_fbg3","overallRank_fbg3","pts_fbg3","passAtt_fbg3","passComp_fbg3","passYds_fbg3","passTds_fbg3","passInt_fbg3","rushAtt_fbg3","rushYds_fbg3","rushTds_fbg3","rec_fbg3","recYds_fbg3","recTds_fbg3","returnTds_fbg3","twoPts_fbg3","fumbles_fbg3"
"PEYTONHILLIS","RB","Peyton Hillis","NYG",92,315,21.2,NA,NA,NA,NA,NA,24,95,1,8,57,0,NA,NA,NA
"MARCUSLATTIMORE","RB","Marcus Lattimore","SF",92,315,21.2,NA,NA,NA,NA,NA,28,125,1,3,27,0,NA,NA,NA
"SANTANAMOSS","WR","Santana Moss","WAS",128,317,21.1,NA,NA,NA,NA,NA,0,0,0,13,151,1,NA,NA,NA
"KYLEORTON","QB","Kyle Orton","BUF",43,318,20.9,37,23,262,2,1,5,8,0,NA,NA,NA,NA,NA,NA
"RONNIEBROWN","RB","Ronnie Brown","HOU",94,318,20.9,NA,NA,NA,NA,NA,27,116,1,5,33,0,NA,NA,NA
"SANTONIOHOLMES","WR","Santonio Holmes","CHI",129,320,20,NA,NA,NA,NA,NA,0,0,0,10,140,1,NA,NA,NA
"DWAYNEHARRIS","WR","Dwayne Harris","DAL",130,321,19.8,NA,NA,NA,NA,NA,1,6,0,10,132,1,NA,NA,NA
"JACOBTAMME","TE","Jacob Tamme","DEN",55,321,19.8,NA,NA,NA,NA,NA,NA,NA,NA,14,138,1,NA,NA,NA
"SEYIAJIROTUTU","WR","Seyi Ajirotutu","SD",131,323,19.6,NA,NA,NA,NA,NA,0,0,0,10,136,1,NA,NA,NA
"JOSEPHRANDLE","RB","Joseph Randle","DAL",95,324,19.4,NA,NA,NA,NA,NA,24,104,1,4,30,0,NA,NA,NA
"DAMIENWILLIAMS","RB","Damien Williams","MIA",95,324,19.4,NA,NA,NA,NA,NA,26,109,1,3,25,0,NA,NA,NA
"TOMMYBOHANON","RB","Tommy Bohanon","NYJ",97,326,19.2,NA,NA,NA,NA,NA,19,79,1,7,53,0,NA,NA,NA
"LOUISMURPHY","WR","Louis Murphy","TB",132,326,19.2,NA,NA,NA,NA,NA,0,0,0,10,132,1,NA,NA,NA
"TAYLORTHOMPSON","TE","Taylor Thompson","TEN",56,326,19.2,NA,NA,NA,NA,NA,NA,NA,NA,14,132,1,NA,NA,NA
"ALBERTWILSON","WR","Albert Wilson","KC",133,329,19.1,NA,NA,NA,NA,NA,0,0,0,10,131,1,NA,NA,NA
"JEFFJANIS","WR","Jeff Janis","GB",134,330,19,NA,NA,NA,NA,NA,0,0,0,9,130,1,NA,NA,NA
"KEVINOGLETREE","WR","Kevin Ogletree","DET",135,331,18.8,NA,NA,NA,NA,NA,0,0,0,9,128,1,NA,NA,NA
"MIKETHOMAS","WR","Mike Thomas","HOU",136,332,18.6,NA,NA,NA,NA,NA,0,0,0,10,126,1,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAX",98,333,18.5,NA,NA,NA,NA,NA,33,111,1,2,14,0,NA,NA,NA
"CLAYHARBOR","TE","Clay Harbor","JAX",57,333,18.5,NA,NA,NA,NA,NA,NA,NA,NA,12,125,1,NA,NA,NA
"ANTHONYMCCOY","TE","Anthony McCoy","SEA",57,333,18.5,NA,NA,NA,NA,NA,NA,NA,NA,11,125,1,NA,NA,NA
"DEVINSTREET","WR","Devin Street","DAL",137,336,18,NA,NA,NA,NA,NA,0,0,0,9,120,1,NA,NA,NA
"ZACHSUDFELD","TE","Zach Sudfeld","NYJ",59,337,17.9,NA,NA,NA,NA,NA,NA,NA,NA,12,119,1,NA,NA,NA
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",138,338,17.8,NA,NA,NA,NA,NA,0,2,0,10,116,1,NA,NA,NA
"ALDRICKROBINSON","WR","Aldrick Robinson","WAS",139,339,17.7,NA,NA,NA,NA,NA,0,0,0,8,117,1,NA,NA,NA
"LANCEKENDRICKS","TE","Lance Kendricks","STL",60,340,17.5,NA,NA,NA,NA,NA,NA,NA,NA,13,115,1,NA,NA,NA
"JOSHHUFF","WR","Josh Huff","PHI",140,341,17.3,NA,NA,NA,NA,NA,1,4,0,8,109,1,NA,NA,NA
"DEVIERPOSEY","WR","DeVier Posey","HOU",141,342,17.2,NA,NA,NA,NA,NA,0,0,0,10,112,1,NA,NA,NA
"JACKIEBATTLE","RB","Jackie Battle","TEN",99,343,17,NA,NA,NA,NA,NA,22,87,1,3,23,0,NA,NA,NA
"WESTONDRESSLER","WR","Weston Dressler","KC",142,343,17,NA,NA,NA,NA,NA,0,0,0,8,110,1,NA,NA,NA
"BRICEBUTLER","WR","Brice Butler","OAK",143,345,16.9,NA,NA,NA,NA,NA,0,0,0,9,109,1,NA,NA,NA
"CJFIEDOROWICZ","TE","C.J. Fiedorowicz","HOU",61,346,16.8,NA,NA,NA,NA,NA,NA,NA,NA,11,108,1,NA,NA,NA
"CHRISHOGAN","WR","Chris Hogan","BUF",144,347,16.5,NA,NA,NA,NA,NA,0,0,0,8,105,1,NA,NA,NA
"KEVINNORWOOD","WR","Kevin Norwood","SEA",145,348,16.3,NA,NA,NA,NA,NA,0,0,0,7,103,1,NA,NA,NA
"DANIELFELLS","TE","Daniel Fells","NYG",62,349,16.2,NA,NA,NA,NA,NA,NA,NA,NA,8,102,1,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",100,350,16.1,NA,NA,NA,NA,NA,18,84,1,2,17,0,NA,NA,NA
"DIONSIMS","TE","Dion Sims","MIA",63,351,15.9,NA,NA,NA,NA,NA,NA,NA,NA,11,99,1,NA,NA,NA
"CHRISGRAGG","TE","Chris Gragg","BUF",64,352,15.8,NA,NA,NA,NA,NA,NA,NA,NA,10,98,1,NA,NA,NA
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",146,353,15.6,NA,NA,NA,NA,NA,0,0,0,8,96,1,NA,NA,NA
"BRANDONLLOYD","WR","Brandon Lloyd","SF",147,354,15.5,NA,NA,NA,NA,NA,0,0,0,7,95,1,NA,NA,NA
"MARQUESSWILSON","WR","Marquess Wilson","CHI",147,354,15.5,NA,NA,NA,NA,NA,0,0,0,7,95,1,NA,NA,NA
"QUINTONPATTON","WR","Quinton Patton","SF",147,354,15.5,NA,NA,NA,NA,NA,1,4,0,7,91,1,NA,NA,NA
"TONYMOEAKI","TE","Tony Moeaki","BUF",65,354,15.5,NA,NA,NA,NA,NA,NA,NA,NA,8,95,1,NA,NA,NA
"LOGANPAULSEN","TE","Logan Paulsen","WAS",66,358,15.2,NA,NA,NA,NA,NA,NA,NA,NA,10,92,1,NA,NA,NA
"VANCEMCDONALD","TE","Vance McDonald","SF",67,359,15.1,NA,NA,NA,NA,NA,NA,NA,NA,8,91,1,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",44,360,15,32,19,222,1,1,2,9,0,NA,NA,NA,NA,NA,NA
"COREYWASHINGTON","WR","Corey Washington","NYG",150,360,15,NA,NA,NA,NA,NA,0,0,0,7,90,1,NA,NA,NA
"CEDRICPEERMAN","RB","Cedric Peerman","CIN",101,362,14.7,NA,NA,NA,NA,NA,17,76,1,2,11,0,NA,NA,NA
"DOMENIKHIXON","WR","Domenik Hixon","",151,363,14.5,NA,NA,NA,NA,NA,0,0,0,7,85,1,NA,NA,NA
"DANESANZENBACHER","WR","Dane Sanzenbacher","CIN",152,364,14.4,NA,NA,NA,NA,NA,0,0,0,7,84,1,NA,NA,NA
"DANIELHERRON","RB","Daniel Herron","IND",102,365,14.2,NA,NA,NA,NA,NA,18,74,1,1,8,0,NA,NA,NA
"JOEMORGAN","WR","Joe Morgan","NO",153,366,14,NA,NA,NA,NA,NA,0,0,0,6,80,1,NA,NA,NA
