"name","pos","name_fbg2","team_fbg2","positionRank_fbg2","overallRank_fbg2","pts_fbg2","passAtt_fbg2","passComp_fbg2","passYds_fbg2","passTds_fbg2","passInt_fbg2","rushAtt_fbg2","rushYds_fbg2","rushTds_fbg2","rec_fbg2","recYds_fbg2","recTds_fbg2","returnTds_fbg2","twoPts_fbg2","fumbles_fbg2"
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",20,81,141,NA,NA,NA,NA,NA,2,10,0,81,920,8,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",27,82,140.5,NA,NA,NA,NA,NA,200,885,8,5,40,0,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",28,83,140,NA,NA,NA,NA,NA,200,620,7,40,300,1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",21,83,140,NA,NA,NA,NA,NA,0,0,0,70,920,8,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",22,85,139,NA,NA,NA,NA,NA,2,20,0,72,950,7,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","SEA",22,85,139,NA,NA,NA,NA,NA,10,70,1,72,900,6,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",4,87,138,NA,NA,NA,NA,NA,NA,NA,NA,82,960,7,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",24,88,136.5,NA,NA,NA,NA,NA,0,0,0,75,1005,6,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",29,89,136,NA,NA,NA,NA,NA,80,360,3,70,640,3,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",29,89,136,NA,NA,NA,NA,NA,185,795,8,11,85,0,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",31,91,133.5,NA,NA,NA,NA,NA,180,700,4,50,335,1,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",32,92,132,NA,NA,NA,NA,NA,160,680,6,28,220,1,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",25,93,131.5,NA,NA,NA,NA,NA,0,0,0,62,895,7,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",26,94,129.5,NA,NA,NA,NA,NA,0,0,0,73,935,6,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",26,94,129.5,NA,NA,NA,NA,NA,0,0,0,59,935,6,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",28,96,129,NA,NA,NA,NA,NA,1,10,0,56,980,5,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",33,97,128.5,NA,NA,NA,NA,NA,170,720,6,18,145,1,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",29,97,128.5,NA,NA,NA,NA,NA,1,5,0,59,920,6,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",5,99,126,NA,NA,NA,NA,NA,NA,NA,NA,75,840,7,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",34,100,125,NA,NA,NA,NA,NA,160,600,6,35,230,1,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",30,100,125,NA,NA,NA,NA,NA,2,10,0,62,880,6,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",35,102,124,NA,NA,NA,NA,NA,175,760,4,24,180,1,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",6,103,123.5,NA,NA,NA,NA,NA,NA,NA,NA,72,815,7,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",31,104,123,NA,NA,NA,NA,NA,9,75,0,70,855,5,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",32,105,122,NA,NA,NA,NA,NA,3,20,0,60,840,6,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",33,106,121.5,NA,NA,NA,NA,NA,0,0,0,83,975,4,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",34,107,120,NA,NA,NA,NA,NA,0,0,0,62,900,5,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",35,108,119,NA,NA,NA,NA,NA,1,5,0,65,885,5,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",7,108,119,NA,NA,NA,NA,NA,NA,NA,NA,50,710,8,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",36,110,118,NA,NA,NA,NA,NA,0,0,0,53,760,7,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",37,111,117.5,NA,NA,NA,NA,NA,1,5,0,60,810,6,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",8,111,117.5,NA,NA,NA,NA,NA,NA,NA,NA,70,755,7,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",38,113,116.5,NA,NA,NA,NA,NA,3,15,0,80,850,5,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",39,114,116,NA,NA,NA,NA,NA,0,0,0,67,860,5,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",40,115,115.5,NA,NA,NA,NA,NA,0,0,0,75,915,4,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",36,116,115,NA,NA,NA,NA,NA,175,660,7,10,70,0,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAX",41,117,114,NA,NA,NA,NA,NA,0,0,0,67,840,5,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",41,117,114,NA,NA,NA,NA,NA,0,0,0,74,900,4,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",37,119,113,NA,NA,NA,NA,NA,68,285,3,56,485,3,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",37,119,113,NA,NA,NA,NA,NA,160,725,6,6,45,0,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",37,119,113,NA,NA,NA,NA,NA,155,665,4,20,165,1,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",40,122,112.5,NA,NA,NA,NA,NA,165,670,5,22,155,0,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",43,123,112,NA,NA,NA,NA,NA,0,0,0,68,940,3,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",43,123,112,NA,NA,NA,NA,NA,3,20,0,58,800,5,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",41,125,110.5,NA,NA,NA,NA,NA,76,340,2,50,465,3,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",45,125,110.5,NA,NA,NA,NA,NA,1,5,0,58,800,5,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",42,127,110,NA,NA,NA,NA,NA,145,640,6,12,100,0,NA,NA,NA
"MARQISELEE","WR","Marqise Lee","JAX",46,127,110,NA,NA,NA,NA,NA,5,30,0,60,770,5,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",9,129,108.5,NA,NA,NA,NA,NA,NA,NA,NA,51,665,7,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",47,130,108,NA,NA,NA,NA,NA,1,5,0,52,775,5,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",48,131,107.5,NA,NA,NA,NA,NA,0,0,0,62,775,5,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",43,132,107,NA,NA,NA,NA,NA,75,320,2,65,510,2,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",49,132,107,NA,NA,NA,NA,NA,0,0,0,56,770,5,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",50,134,104,NA,NA,NA,NA,NA,0,0,0,46,740,5,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",44,135,102,NA,NA,NA,NA,NA,160,710,2,16,130,1,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",51,135,102,NA,NA,NA,NA,NA,0,0,0,54,780,4,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",10,135,102,NA,NA,NA,NA,NA,NA,NA,NA,70,720,5,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",10,135,102,NA,NA,NA,NA,NA,NA,NA,NA,64,720,5,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",52,139,101.5,NA,NA,NA,NA,NA,1,5,0,49,710,5,NA,NA,NA
"RODSTREATER","WR","Rod Streater","OAK",52,139,101.5,NA,NA,NA,NA,NA,1,5,0,55,770,4,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",52,139,101.5,NA,NA,NA,NA,NA,0,0,0,42,715,5,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",55,142,101,NA,NA,NA,NA,NA,2,10,0,68,820,3,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",55,142,101,NA,NA,NA,NA,NA,0,0,0,53,710,5,NA,NA,NA
"MIKEWILLIAMS","WR","Mike Williams","BUF",57,144,100,NA,NA,NA,NA,NA,0,0,0,48,640,6,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",12,144,100,NA,NA,NA,NA,NA,NA,NA,NA,62,700,5,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",12,144,100,NA,NA,NA,NA,NA,NA,NA,NA,58,630,6,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",45,147,99,NA,NA,NA,NA,NA,135,555,7,3,15,0,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",46,148,98,NA,NA,NA,NA,NA,150,650,3,18,150,0,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",47,149,96.5,NA,NA,NA,NA,NA,110,475,4,25,190,1,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",14,149,96.5,NA,NA,NA,NA,NA,NA,NA,NA,66,665,5,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",15,151,94.5,NA,NA,NA,NA,NA,NA,NA,NA,58,645,5,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",16,152,94,NA,NA,NA,NA,NA,NA,NA,NA,56,640,5,NA,NA,NA
"KNILEDAVIS","RB","Knile Davis","KC",48,153,93,NA,NA,NA,NA,NA,120,515,5,15,115,0,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAX",33,154,92.5,200,119,1350,7,6,10,30,0,NA,NA,NA,NA,NA,NA
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",58,155,92,NA,NA,NA,NA,NA,0,0,0,38,560,6,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham Jr","NYG",59,156,91.5,NA,NA,NA,NA,NA,2,15,0,50,660,4,NA,NA,NA
"JAMESWHITE","RB","James White","NE",49,157,90,NA,NA,NA,NA,NA,100,410,5,16,130,1,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",60,157,90,NA,NA,NA,NA,NA,0,0,0,44,600,5,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",61,159,89.5,NA,NA,NA,NA,NA,0,0,0,48,655,4,NA,NA,NA
"JOHNBROWN","WR","John Brown","ARI",62,160,88,NA,NA,NA,NA,NA,1,10,0,40,630,4,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",63,161,87.5,NA,NA,NA,NA,NA,0,0,0,38,635,4,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",17,162,86,NA,NA,NA,NA,NA,NA,NA,NA,50,560,5,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",64,163,85.5,NA,NA,NA,NA,NA,0,0,0,60,735,2,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",18,164,85,NA,NA,NA,NA,NA,NA,NA,NA,50,610,4,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",50,165,84.5,NA,NA,NA,NA,NA,90,345,4,26,200,1,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",65,166,84,NA,NA,NA,NA,NA,0,0,0,58,600,4,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",66,167,83.5,NA,NA,NA,NA,NA,1,5,0,53,650,3,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",67,168,83,NA,NA,NA,NA,NA,0,0,0,48,590,4,NA,NA,NA
"LADARIUSGREEN","TE","Ladarius Green","SD",19,168,83,NA,NA,NA,NA,NA,NA,NA,NA,38,590,4,NA,NA,NA
"KHIRYROBINSON","RB","Khiry Robinson","NO",51,170,82,NA,NA,NA,NA,NA,122,540,3,14,100,0,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",68,170,82,NA,NA,NA,NA,NA,12,120,1,46,460,3,NA,NA,NA
"JACEAMARO","TE","Jace Amaro","NYJ",20,170,82,NA,NA,NA,NA,NA,NA,NA,NA,46,520,5,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",20,170,82,NA,NA,NA,NA,NA,NA,NA,NA,47,580,4,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",22,174,81.5,NA,NA,NA,NA,NA,NA,NA,NA,48,515,5,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",34,175,81,150,87,1020,7,5,15,70,0,NA,NA,NA,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",69,175,81,NA,NA,NA,NA,NA,2,10,0,52,680,2,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","CLE",70,177,79,NA,NA,NA,NA,NA,0,0,0,45,610,3,NA,NA,NA
"MARLONBROWN","WR","Marlon Brown","BAL",70,177,79,NA,NA,NA,NA,NA,0,0,0,40,490,5,NA,NA,NA
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",52,179,78,NA,NA,NA,NA,NA,105,470,3,15,130,0,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",72,179,78,NA,NA,NA,NA,NA,0,0,0,45,600,3,NA,NA,NA
"ANDREROBERTS","WR","Andre Roberts","WAS",72,179,78,NA,NA,NA,NA,NA,1,5,0,43,535,4,NA,NA,NA
"GARRETTGRAHAM","TE","Garrett Graham","HOU",23,179,78,NA,NA,NA,NA,NA,NA,NA,NA,48,540,4,NA,NA,NA
"ERICEBRON","TE","Eric Ebron","DET",23,179,78,NA,NA,NA,NA,NA,NA,NA,NA,44,540,4,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",53,184,77.5,NA,NA,NA,NA,NA,95,440,5,4,35,0,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",74,185,76,NA,NA,NA,NA,NA,1,5,0,41,515,4,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",74,185,76,NA,NA,NA,NA,NA,0,0,0,40,520,4,NA,NA,NA
"STEDMANBAILEY","WR","Stedman Bailey","STL",76,187,75.5,NA,NA,NA,NA,NA,3,15,0,44,560,3,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",54,188,75,NA,NA,NA,NA,NA,70,310,2,30,260,1,NA,NA,NA
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",25,188,75,NA,NA,NA,NA,NA,NA,NA,NA,43,450,5,NA,NA,NA
"MIKEGLENNON","QB","Mike Glennon","TB",35,190,74.75,130,76,955,7,3,8,20,0,NA,NA,NA,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",55,191,74.5,NA,NA,NA,NA,NA,50,175,5,25,210,1,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",77,192,74,NA,NA,NA,NA,NA,5,20,0,44,470,4,NA,NA,NA
"LEVINETOILOLO","TE","Levine Toilolo","ATL",26,192,74,NA,NA,NA,NA,NA,NA,NA,NA,42,440,5,NA,NA,NA
"COBYFLEENER","TE","Coby Fleener","IND",26,192,74,NA,NA,NA,NA,NA,NA,NA,NA,44,500,4,NA,NA,NA
"AARONDOBSON","WR","Aaron Dobson","NE",78,195,73.5,NA,NA,NA,NA,NA,0,0,0,38,555,3,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",79,196,72,NA,NA,NA,NA,NA,0,0,0,40,600,2,NA,NA,NA
