"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_nfl","projectedPts_yahoo","passYdsMedian","passTdsMedian","passIntMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian","weeklyVariability"
"MARKINGRAM","Mark Ingram","RB","NO",195,73.7400686267882,80.1,37.875,80.725,NA,61.5925,106.9,56.275,71.75,91.625,76.725,56.375,118.75,108.8,0,0,0,463.9,3.00001143779804,11.0000161161247,98,0,0.05,1,78.0160416666667,73.7400686267882,3.17650726266941
"SCOTTCHANDLER","Scott Chandler","TE","BUF",196,73.696590955551,85.5,82.375,66.875,NA,82.8875,98.625,101.75,60,48.25,65,36.375,76.125,82.45,0,0,0,0,0,40,469.575,2.9999526592585,0,1,72.4760416666667,73.696590955551,3.08475880183194
"LEVINETOILOLO","Levine Toilolo","TE","ATL",197,72.681091280108,75.375,78.25,NA,NA,57.6625,72.125,57.875,69.5,85,67.625,45.75,84.125,78.15,0,0,0,0,0,35.5,390.25,3.94997354668467,0.1,0,70.2261363636364,72.681091280108,3.0069216353914
"BLAKEBORTLES","Blake Bortles","QB","JAC",198,72.5247289321983,189.04,84.44,47.26,NA,100.828,42.5,58.66,38.74,110,99.64,90.5,49.96,51.95,1388.6,7.99996783449368,8.06370906367696,72.47816597619,1.04998174330378,0,0,0,0.55,1.82524075739575,79.3348333333333,72.5247289321983,5.46044525960835
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",199,72.3567968962146,119.575,82.05,64.475,NA,84.7275,107.25,65.725,58.6,64,64.975,64,109.2,50.7125,0,0,0,463.6,4.00001512930201,8,51.975,0,0,1.50005629319916,75.6158333333333,72.3567968962146,3.27590818420082
"TRAVISKELCE","Travis Kelce","TE","KC",200,72.0429090196375,85.25,39.375,57.625,NA,62.3125,69.875,70,76.5,110,73.75,78,NA,90.425,0,0,0,0,0,38.5,442.75,3.00008815290213,0.2,0.567123299258417,73.6938636363636,72.0429090196375,3.2862158233053
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",201,71.5847348141741,103.3,61.325,37.925,NA,69.2475,98.925,58.375,72.725,91,59.6,105.875,66.025,45.45,0,0,0,385,2.99995351682658,17.9999598102229,125.478393489258,0.650029696337417,0,1.49998788365573,70.7310416666667,71.5847348141741,3.28132943548882
"TEDGINN","Ted Ginn","WR","ARI",202,71.3500170691606,76.125,97,77.3,NA,80.6125,95.725,58.725,64.6,42.375,59.95,37,77.7,81.175,0,0,0,21.4403288120964,0,29.00004714613,431.25,2.54995569799183,0,0,70.898125,71.3500170691606,2.88667915623156
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",203,71.2787506142443,135.625,90.2,41.85,NA,87.3675,98.475,59.25,68.475,77.625,64.05,69.125,63.35,86.875,0,0,0,409.559028036039,3.50004379705174,12.9999495326394,99.75,0,0.05,1.08205499055668,77.455625,71.2787506142443,3.04882395259125
"DONALDBROWN","Donald Brown","RB","SD",204,71.0870943122394,85.5,51.125,76.625,NA,68.7375,64.875,62.125,66.9,59.125,72.775,70.625,56.875,71.9,0,0,0,388.875,2.49999629324404,12.999997034829,99.2,0.7999360921292,0,0,67.115625,71.0870943122394,3.15898646513334
"DAVIDWILSON","David Wilson","RB","NYG",205,70.1377986463418,97.875,67.875,81.925,NA,77.49,47.125,62.9,45.375,85,62.1,22.875,106.6,66.375,0,0,0,405.75,2.49998963966909,13.9999705216466,112.9,0.650029696337417,0,1.14993912323242,66.80125,70.1377986463418,2.91603399869843
"ANDREBROWN","Andre Brown","RB","HOU",206,70.1179752771781,91.95,66,70.6,NA,73.36,61,65.275,71.875,78,72.325,81.75,96.55,64.775,0,0,0,425,3.49999125822757,14.4999609676844,96.75,0,0,1.82524075739575,72.68,70.1179752771781,3.08635610087949
"BRANDONLAFELL","Brandon LaFell","WR","NE",207,70.0872097137482,90.5,106.75,101.325,NA,84.425,76,26.125,54.75,56.375,54.65,49.875,84.3,46.225,0,0,0,6.00007247041718,0,31,426.299939696397,2.99995166744282,0,0.6,68.9166666666667,70.0872097137482,3.00075249915258
"ZACHMILLER","Zach Miller","TE","SEA",208,69.9819326690946,82.75,58.125,54.75,NA,67.8875,76,73.375,71,78.75,67.125,74,53.375,61.6,0,0,0,0,0,33.0000024983604,367.85712351623,3.99996537159429,0,0,67.928125,69.9819326690946,3.34494711205558
"CJANDERSON","C.J. Anderson","RB","DEN",209,69.3610085503754,72.825,64.575,77.475,NA,70.84,83.825,82.625,68.6,91.5,68.425,2.625,72.65,98.975,0,0,0,424.85,2.60000195656669,14.4999753590087,113.407660978668,0,0.05,0.999986937119418,70.3783333333333,69.3610085503754,3.04486744131472
