"name","pos","name_fp","team_fp","positionRank_fp","overallRank_fp","pts_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","returnTds_fp","twoPts_fp","fumbles_fp"
"STEVENJACKSON","RB","Steven Jackson","ATL",33,106,130.3,NA,NA,NA,NA,NA,181.6,735.6,5.5,29.5,196.9,1,NA,NA,1
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",32,107,129.8,NA,NA,NA,NA,NA,2,9.5,0,60.4,914,6.4,NA,NA,0.5
"NICKNOVAK","K","Nick Novak","SD",9,108,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTBRYANT","K","Matt Bryant","ATL",10,109,128.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",34,110,127.6,NA,NA,NA,NA,NA,162.7,676.4,4.5,34.4,271.8,1.3,NA,NA,1
"ERICDECKER","WR","Eric Decker","NYJ",33,111,125.9,NA,NA,NA,NA,NA,0,0,0,65.5,918.7,6,NA,NA,1
"CHADHENNE","QB","Chad Henne","JAC",31,112,125.4,368.7,213.5,2439.5,12,10.6,19.1,50.5,0,NA,NA,NA,NA,NA,2
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",32,113,124.6,257.6,157.9,1933.9,10.7,7.8,33.1,128.8,1.7,NA,NA,NA,NA,NA,1.5
"JASONWITTEN","TE","Jason Witten","DAL",5,114,124.1,NA,NA,NA,NA,NA,NA,NA,NA,76.7,850.9,6.5,NA,NA,0
"REGGIEWAYNE","WR","Reggie Wayne","IND",34,115,124,NA,NA,NA,NA,NA,0,0,0,74.1,939.7,5,NA,NA,0
"ROBBIEGOULD","K","Robbie Gould","CHI",11,116,123.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",6,117,122.4,NA,NA,NA,NA,NA,NA,NA,NA,74.5,880,5.9,NA,NA,0.5
"DANNYWOODHEAD","RB","Danny Woodhead","SD",35,118,122.3,NA,NA,NA,NA,NA,84.3,349.6,1.5,65.1,563.6,4,NA,NA,1
"SAMMYWATKINS","WR","Sammy Watkins","BUF",35,119,121.5,NA,NA,NA,NA,NA,3.5,21,0,58.4,847.6,6.1,NA,NA,1
"DENNISPITTA","TE","Dennis Pitta","BAL",7,120,121.4,NA,NA,NA,NA,NA,NA,NA,NA,66.5,793.8,7,NA,NA,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",36,121,121,NA,NA,NA,NA,NA,179.7,753,3.6,24.8,211.1,1,NA,NA,1.5
"ALEXHENERY","K","Alex Henery","PHI",12,122,120.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TERRANCEWEST","RB","Terrance West","CLE",37,122,120.3,NA,NA,NA,NA,NA,164.2,710.4,5.1,21.2,168.6,0.3,NA,NA,0
"LAMARMILLER","RB","Lamar Miller","MIA",38,124,120.1,NA,NA,NA,NA,NA,161,720.8,4.6,26.3,206.1,0.3,NA,NA,1
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",36,125,118.4,NA,NA,NA,NA,NA,0,0,0,57,831.7,6.2,NA,NA,1
"BLAIRWALSH","K","Blair Walsh","MIN",13,126,118.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAUNSUISHAM","K","Shaun Suisham","PIT",13,126,118.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAYFEELY","K","Jay Feely","ARI",15,128,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",37,129,116.4,NA,NA,NA,NA,NA,0,0,0,65.8,807.9,6.1,NA,NA,0.5
"DANCARPENTER","K","Dan Carpenter","BUF",16,130,115.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATEFREESE","K","Nate Freese","DET",17,131,115.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",38,131,115.5,NA,NA,NA,NA,NA,0,0,0,57,803,6.2,NA,NA,1
"JORDANREED","TE","Jordan Reed","WAS",8,133,115.3,NA,NA,NA,NA,NA,NA,NA,NA,64.5,762.8,6.5,NA,NA,0
"RYANSUCCOP","K","Ryan Succop","KC",18,134,114.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",9,135,112.8,NA,NA,NA,NA,NA,NA,NA,NA,70.5,807.6,5.5,NA,NA,0.5
"CALEBSTURGIS","K","Caleb Sturgis","MIA",19,136,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGZUERLEIN","K","Greg Zuerlein","STL",19,136,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",10,138,112.1,NA,NA,NA,NA,NA,NA,NA,NA,63.3,700.7,7,NA,NA,0
"SEBASTIANJANIKOWSKI","K","Sebastian Janikowski","OAK",21,139,111.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAHAMGANO","K","Graham Gano","CAR",22,140,111.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKFOLK","K","Nick Folk","NYJ",23,141,111.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",39,142,111,NA,NA,NA,NA,NA,4.5,26,0,53.7,768,5.6,NA,NA,1
"BERNARDPIERCE","RB","Bernard Pierce","BAL",39,143,110.8,NA,NA,NA,NA,NA,161.7,671.2,4.7,20.2,136.5,0.3,NA,NA,0
"DWAYNEBOWE","WR","Dwayne Bowe","KC",40,144,110.5,NA,NA,NA,NA,NA,0,0,0,63.3,791.1,5.4,NA,NA,0.5
"MIKENUGENT","K","Mike Nugent","CIN",24,145,109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHBROWN","K","Josh Brown","NYG",25,146,109.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",41,147,109,NA,NA,NA,NA,NA,0,0,0,47.9,777.8,5.2,NA,NA,0
"MIKEEVANS","WR","Mike Evans","TB",42,148,108.2,NA,NA,NA,NA,NA,0,0,0,50.9,754.1,5.8,NA,NA,1
"JEREMYHILL","RB","Jeremy Hill","CIN",40,149,107.8,NA,NA,NA,NA,NA,146.9,648.3,5.9,9.9,68.1,0.3,NA,NA,0.5
"RILEYCOOPER","WR","Riley Cooper","PHI",43,149,107.8,NA,NA,NA,NA,NA,0,0,0,51.6,779.5,5.3,NA,NA,1
"ANQUANBOLDIN","WR","Anquan Boldin","SF",44,151,107.7,NA,NA,NA,NA,NA,1,7,0,60.9,791.7,4.8,NA,NA,0.5
"CHANDLERCATANZARO","K","Chandler Catanzaro","ARI",26,152,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",11,153,105.7,NA,NA,NA,NA,NA,NA,NA,NA,57.4,712.8,5.9,NA,NA,0.5
"CONNORBARTH","K","Connor Barth","TB",27,154,105.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",45,155,105.4,NA,NA,NA,NA,NA,0,0,0,59,793.6,4.5,NA,NA,0.5
"ANDREWILLIAMS","RB","Andre Williams","NYG",41,156,104.7,NA,NA,NA,NA,NA,143,633.7,6,8,63.4,0,NA,NA,0.5
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",46,157,104.5,NA,NA,NA,NA,NA,0,0,0,54.1,737.3,5.3,NA,NA,0.5
"MATTCASSEL","QB","Matt Cassel","MIN",33,158,104.3,249,149.8,1775.6,11.2,8.6,18.1,64.8,0.2,NA,NA,NA,NA,NA,1
"RANDYBULLOCK","K","Randy Bullock","HOU",28,159,104.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAC",47,160,103.6,NA,NA,NA,NA,NA,0,0,0,57.9,789.6,4.1,NA,NA,0
"DARRENSPROLES","RB","Darren Sproles","PHI",42,161,103.2,NA,NA,NA,NA,NA,58.8,253.9,1.3,65.9,541.8,2.8,NA,NA,0.5
"BRIANHARTLINE","WR","Brian Hartline","MIA",48,162,102.5,NA,NA,NA,NA,NA,0,0,0,67.6,906.8,2.3,NA,NA,1
"JOSHSCOBEE","K","Josh Scobee","JAC",29,163,101.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",43,164,101.8,NA,NA,NA,NA,NA,105.2,508.4,3.1,34.3,277.5,1.1,NA,NA,1
"MATTPRATER","K","Matt Prater","DEN",30,165,101.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",12,166,101.3,NA,NA,NA,NA,NA,NA,NA,NA,62.5,722.9,5,NA,NA,0.5
"CARLOSHYDE","RB","Carlos Hyde","SF",44,167,101.1,NA,NA,NA,NA,NA,142.7,630.5,4.8,13.1,94.4,0.3,NA,NA,1
"HAKEEMNICKS","WR","Hakeem Nicks","IND",49,168,100.4,NA,NA,NA,NA,NA,0,0,0,46.7,720,4.9,NA,NA,0.5
"BILLYCUNDIFF","K","Billy Cundiff","CLE",31,169,100.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",50,170,99.8,NA,NA,NA,NA,NA,1,7,0,54.5,742.9,4.3,NA,NA,0.5
"KAIFORBATH","K","Kai Forbath","WAS",32,171,99.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",51,172,98.3,NA,NA,NA,NA,NA,1.5,12,0,40.7,663,5.3,NA,NA,0.5
