"name","pos","name_wf","team_wf","positionRank_wf","overallRank_wf","pts_wf","passAtt_wf","passComp_wf","passYds_wf","passTds_wf","passInt_wf","rushAtt_wf","rushYds_wf","rushTds_wf","rec_wf","recYds_wf","recTds_wf","returnTds_wf","twoPts_wf","fumbles_wf"
"RODDYWHITE","WR","Roddy White","ATL",15,60,162,NA,NA,NA,NA,NA,NA,NA,NA,87,1200,NA,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",15,60,162,NA,NA,NA,NA,NA,NA,NA,NA,81,1140,NA,NA,NA,NA
"STEPHENGOSTKOWSKI","K","Stephen Gostkowski","NE",1,60,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",16,63,161,NA,NA,NA,NA,NA,NA,1020,NA,10,70,NA,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",17,64,160,NA,NA,NA,NA,NA,NA,1050,NA,28,210,NA,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",17,64,160,NA,NA,NA,NA,NA,NA,NA,NA,82,1120,NA,NA,NA,NA
"PHILDAWSON","K","Phil Dawson","SF",2,64,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTPRATER","K","Matt Prater","DEN",2,64,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,68,159,NA,NA,NA,NA,NA,NA,NA,NA,77,930,NA,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",18,69,158,NA,NA,NA,NA,NA,NA,960,NA,36,300,NA,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",18,69,158,NA,NA,NA,NA,NA,NA,970,NA,43,350,NA,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",18,71,157,NA,NA,NA,NA,NA,NA,NA,NA,81,1090,NA,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",19,72,156,NA,NA,NA,NA,NA,NA,NA,NA,92,1260,NA,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",20,73,155,NA,NA,NA,NA,NA,NA,1010,NA,18,130,NA,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",20,73,155,NA,NA,NA,NA,NA,NA,880,NA,46,370,NA,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",20,73,155,NA,NA,NA,NA,NA,NA,950,NA,28,200,NA,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARZ",20,73,155,NA,NA,NA,NA,NA,NA,NA,NA,75,1130,NA,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",20,73,155,NA,NA,NA,NA,NA,NA,NA,NA,81,1130,NA,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",23,78,154,NA,NA,NA,NA,NA,NA,800,NA,30,160,NA,NA,NA,NA
"JUSTINTUCKER","K","Justin Tucker","BAL",4,78,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",22,80,153,NA,NA,NA,NA,NA,NA,NA,NA,82,1170,NA,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",24,81,152,NA,NA,NA,NA,NA,NA,840,NA,38,320,NA,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",3,81,152,NA,NA,NA,NA,NA,NA,NA,NA,73,930,NA,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",25,83,151,NA,NA,NA,NA,NA,NA,830,NA,49,380,NA,NA,NA,NA
"BENTATE","RB","Ben Tate","CLE",26,84,150,NA,NA,NA,NA,NA,NA,960,NA,25,150,NA,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrence Williams","DAL",23,84,150,NA,NA,NA,NA,NA,NA,NA,NA,72,1080,NA,NA,NA,NA
"DANBAILEY","K","Dan Bailey","DAL",5,84,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVENHAUSCHKA","K","Steven Hauschka","SEA",5,84,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",24,88,149,NA,NA,NA,NA,NA,NA,NA,NA,62,1070,NA,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","SEA",24,88,149,NA,NA,NA,NA,NA,NA,NA,NA,65,980,NA,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",4,88,149,NA,NA,NA,NA,NA,NA,NA,NA,56,830,NA,NA,NA,NA
"BLAIRWALSH","K","Blair Walsh","MIN",7,88,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",27,92,148,NA,NA,NA,NA,NA,NA,820,NA,46,400,NA,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",28,93,147,NA,NA,NA,NA,NA,NA,850,NA,36,290,NA,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",26,93,147,NA,NA,NA,NA,NA,NA,NA,NA,88,1170,NA,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",29,95,146,NA,NA,NA,NA,NA,NA,830,NA,44,350,NA,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","PHI",27,96,145,NA,NA,NA,NA,NA,NA,NA,NA,69,1090,NA,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",27,96,145,NA,NA,NA,NA,NA,NA,NA,NA,79,1090,NA,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","OAK",30,98,144,NA,NA,2700,15,13,NA,20,NA,NA,NA,NA,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",29,98,144,NA,NA,NA,NA,NA,NA,NA,NA,78,1080,NA,NA,NA,NA
"SEBASTIANJANIKOWSKI","K","Sebastian Janikowski","OAK",8,98,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MASONCROSBY","K","Mason Crosby","GB",9,101,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHAELVICK","QB","QB Jets No. 8","NYJ",31,102,142,NA,NA,2200,10,14,NA,300,NA,NA,NA,NA,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",30,102,142,NA,NA,NA,NA,NA,NA,610,NA,52,450,NA,NA,NA,NA
"NICKNOVAK","K","Nick Novak","SD",10,104,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTBRYANT","K","Matt Bryant","ATL",10,104,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",31,106,137,NA,NA,NA,NA,NA,NA,710,NA,22,150,NA,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",31,106,137,NA,NA,NA,NA,NA,NA,440,NA,70,630,NA,NA,NA,NA
"ROBBIEGOULD","K","Robbie Gould","CHI",12,106,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",30,109,135,NA,NA,NA,NA,NA,NA,NA,NA,98,990,NA,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",33,110,134,NA,NA,NA,NA,NA,NA,800,NA,33,240,NA,NA,NA,NA
"GRAHAMGANO","K","Graham Gano","CAR",13,110,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",31,112,133,NA,NA,NA,NA,NA,NA,NA,NA,71,970,NA,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",31,112,133,NA,NA,NA,NA,NA,NA,NA,NA,65,910,NA,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",31,112,133,NA,NA,NA,NA,NA,NA,NA,NA,67,910,NA,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",31,112,133,NA,NA,NA,NA,NA,NA,NA,NA,72,970,NA,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",5,112,133,NA,NA,NA,NA,NA,NA,NA,NA,77,850,NA,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",34,117,132,NA,NA,NA,NA,NA,NA,450,NA,60,510,NA,NA,NA,NA
