"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo"
"BRENTCELEK","Brent Celek","TE",62.69232098853,5.19882066526349,1,"PHI",223,NA,32,61.99,86.25,68.875,56.375,NA,71.4125,79.875,71,50.5,69.25,39.125,42.625,41.875,85,NA,54.7,63.2386904761905,62.69232098853,-55.6626032879004,NA,15.7344340193083,1.1,0,0.55,1.1,123,0,170,1,NA,NA,NA,0.55,1
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE",62.5468801539199,7.97700610199959,1,"TB",224,201.5,33,NA,87.125,43.375,73.125,NA,59.4,90.075,28.125,63.5,83.75,58.5,NA,42.125,80.125,NA,29.675,63.2542857142857,62.5468801539199,-55.8080441225105,39.4,21.9467019680117,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"TIMWRIGHT","Timothy Wright","TE",61.6997917550027,6.92190044826753,1,"TB",225,194.5,34,NA,65.75,93.125,NA,NA,53.5125,38.7,29.25,69.25,57.625,64.25,74,61.875,77,NA,50.2,61.0633241758242,61.6997917550027,-56.6551325214278,33.8,17.1831787611901,1,0,0.5,1,139.1,1,NA,1,NA,NA,NA,0.5,1
"CODYLATIMER","Cody Latimer","WR",60.6010445144993,7.83943762286435,1,"DEN",226,178.2,93,NA,66.125,50.5,NA,NA,35.7125,39.125,3.625,60.875,63.375,97.625,58.625,NA,74.375,NA,70.025,53.4682692307692,60.6010445144993,-82.7981771751112,35.9,24.3368810912574,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"AUSTINPETTIS","Austin Pettis","WR",60.4676676122021,8.77510058487795,1,"STL",227,NA,94,106.49,65.25,74.125,NA,NA,43.7875,61.75,9.875,10.625,NA,25.25,21,93.375,84,NA,NA,48.0570741758242,60.4676676122021,-82.9315540774083,NA,34.1251859219044,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JOSHGORDON","Josh Gordon","WR",59.744818522414,6.05782574365244,4,"CLE",228,123.6,95,NA,NA,NA,66.975,NA,61.3625,NA,55.75,NA,NA,22.825,NA,NA,79.3,NA,NA,34.7701388888889,59.744818522414,-83.6544031671965,22,21.1247551760961,1.8,5,3.4,5,123.4,2.8,137.6,0,135,96.7,11.9,3.4,1
"JERMICHAELFINLEY","Jermichael Finley","TE",59.2686663806016,6.06059269192209,1,"GB",229,NA,35,NA,68.75,NA,51.125,NA,53.175,NA,57.25,NA,13.75,NA,NA,NA,68.125,NA,NA,48.7325892857143,59.2686663806016,-59.0862578958288,NA,20.1660321869888,1.2,0,0.6,1.2,120.4,0,170,1,NA,NA,NA,0.6,1
"DAVANTEADAMS","Davante Adams","WR",59.1247829768432,5.62447142119758,1,"GB",230,176.3,96,NA,100.5,75.625,53.75,NA,67.0875,52.925,23.5,62.125,51.75,64.625,35.125,73.375,90.625,NA,31.825,59.3916958041958,59.1247829768432,-84.2744387127672,16.8,22.3209884736834,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"TEDGINN","Ted Ginn","WR",59.1020204542576,5.84710477429946,1,"ARI",231,NA,97,55.74,76.125,52.5,77.3,NA,61.0375,64.05,27.6,38.875,41.75,43.075,37,90.625,77.7,NA,39.725,60.4434956709957,59.1020204542576,-84.2972012353529,NA,19.0681865441838,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"PAULRICHARDSON","Paul Richardson","WR",58.7813224954061,8.40358364159407,1,"SEA",232,223,98,NA,79,61.375,NA,NA,70.1875,13.125,NA,65.875,63.875,44.125,79.875,NA,40.5,NA,36.225,57.0620454545455,58.7813224954061,-84.6178991942044,44,21.3330648176461,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ANDREBROWN","Andre Brown","RB",58.681632627227,6.10731543106403,1,"HOU",233,165,66,62.57,NA,NA,35.675,NA,56.5675,NA,NA,NA,NA,NA,NA,117.575,50.125,NA,NA,38.1609166666667,58.681632627227,-59.2461815738435,13.1,31.3094486537211,1,1,1,1,NA,1.1,170,0,NA,NA,NA,1,1
"JONATHANGRIMES","Jonathan Grimes","RB",58.5393358458673,8.11006255603802,1,"HOU",234,171.8,67,38.705,108.425,76.375,42.975,NA,45.315,66.75,59.025,38.8,35.125,43.55,67.25,NA,100.5,NA,52.35,58.592032967033,58.5393358458673,-59.3884783552031,39.1,23.641314859145,1,1,1,1,NA,0,170,2,241,NA,NA,1,1
