"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo"
"ANDREWHAWKINS","Andrew Hawkins","WR",105.475090299816,5.06394039874354,1,"CLE",149,153,61,NA,102.625,107.125,101.125,NA,104.45,96.2,96,103.175,120.25,102.375,86.75,108,123.5,NA,104.965,98.5709632034632,105.475090299816,-37.9241313897945,23.2,9.59820444279246,1,1,1,1,NA,1.2,152.1,1,242,NA,NA,1,1
"HEATHMILLER","Heath Miller","TE",105.062299798189,5.0551902461633,2,"PIT",150,143.4,15,77.535,121.625,119.125,91,NA,112.275,110.125,115.25,93.625,113.125,97.25,92.75,104.375,111.875,NA,109.5,104.350892857143,105.062299798189,-13.2926244782412,20.3,12.6609664329578,1,1,1,1,134,2,134.8,3,156,128.8,16,1,1
"JEREMYHILL","Jeremy Hill","RB",104.61210515936,5.49143098706562,5,"CIN",151,105.9,43,NA,138.35,88.625,98.525,NA,109.77,115.5,105.925,88.05,138.125,85.025,99.125,110.475,85.125,NA,107.1375,103.469858058608,104.61210515936,-13.3157090417103,19.7,17.7999315172624,2.3,7,4.65,7,123.4,1.2,134.1,5,137,118,12.7,4.65,1
"KENNYBRITT","Kenny Britt","WR",104.005002767667,6.52115285887259,1,"STL",152,136.5,62,78.155,110.25,112.875,89.625,NA,98.0875,107.1,100.625,103.125,118.75,92.875,115.625,62.75,137,NA,133.925,107.064891774892,104.005002767667,-39.3942189219437,27.4,20.0193561185786,1,1,1,1,NA,0,170,2,186,128.9,12.9,1,1
"DELANIEWALKER","Delanie Walker","TE",103.924723121087,4.72462760586608,2,"TEN",153,151.9,16,64.85,109.375,111,104.75,NA,108.3625,114.125,109.5,98.125,94.375,98.5,105,80.75,117.75,NA,108.625,101.99130952381,103.924723121087,-14.4302011553435,15.8,14.1533867304237,1,1,1,1,134.2,1,143.9,4,195,NA,NA,1,1
"ANTONIOGATES","Antonio Gates","TE",103.807910087354,4.30481371362268,2,"SD",154,154.9,17,92.105,108.125,126,99.5,NA,110.5875,104.125,105.25,97,117.5,99.25,110.625,88.625,113.25,NA,98.525,104.956011904762,103.807910087354,-14.5470141890765,15.5,10.1618108436564,1.1,1,1.05,1.1,125.4,1.7,124.1,3,141,122,23.1,1.05,1
"JORDANMATTHEWS","Jordan Matthews","WR",103.561848939274,5.33652721058105,1,"PHI",155,136.9,63,NA,NA,125.125,82.125,NA,105.8625,102.35,86.625,126.125,105.875,106.375,99,94.125,127.125,NA,102.45,104.881847319347,103.561848939274,-39.8373727503368,21.1,14.6847492185513,1,1,1,1,NA,0,170,2,177,129.7,14.7,1,1
"JERRICHOCOTCHERY","Jerricho Cotchery","WR",102.282034954687,4.99007274930909,1,"CAR",156,165.4,64,90.04,99.75,104.125,105.375,NA,97.6375,113.25,86,95.4,97.75,88.575,118.125,102,125.625,NA,105.75,102.110275974026,102.282034954687,-41.1171867349238,21,11.2302326532636,1,1,1,1,NA,0,170,1,219,NA,NA,1,1
"ROBERTWOODS","Robert Woods","WR",101.644736035804,5.82382237800036,1,"BUF",157,161,65,71.34,93.375,119.375,87.225,NA,103.975,93.5,111.725,105.5,101,96.85,99.25,113.625,137.825,NA,93.815,102.715081168831,101.644736035804,-41.7544856538067,24.7,15.7827410257444,1,1,1,1,NA,0,170,2,250,NA,NA,1,1
"MALCOMFLOYD","Malcom Floyd","WR",101.389985188689,5.65884126635655,1,"SD",158,153.4,66,107.495,98.75,93.5,102.5,NA,95.5,118.625,89.625,112.75,103.375,87.875,89.875,70.375,125.625,NA,106.4,102.273869047619,101.389985188689,-42.0092365009211,24.7,14.0859349808848,1,1,1,1,NA,0,170,1,244,NA,NA,1,1
"DWAYNEALLEN","Dwayne Allen","TE",101.149783706503,5.35024069906694,1,"IND",159,154.7,18,123.485,100.625,109.125,69.375,NA,98.125,114.525,106.625,99,110,87.125,102.5,58.625,116.25,NA,80.825,98.5946428571429,101.149783706503,-17.2051405699273,17.8,18.4134092920958,1.1,0,0.55,1.1,133.5,0,170,3,228,NA,NA,0.55,1
"ODELLBECKHAM","Odell Beckham","WR",99.506300577532,5.72790072768026,1,"NYG",160,165.3,67,NA,92,102.75,98.75,NA,102.3375,80.375,88.225,79.5,102,105.125,98.375,117.375,106.125,NA,91.95,98.388625957376,99.506300577532,-43.8929211120785,28.5,10.6650036889772,1,1,1,1,NA,0,170,0,210,NA,NA,1,1
"MARVINJONES","Marvin Jones","WR",98.6111796675199,7.53649744930314,5,"CIN",161,149.8,68,148.035,96.25,109.375,89.175,NA,106.8625,110.35,86.9,69.625,70.25,64.5,90.25,118.625,94.675,NA,112.46,100.759264069264,98.6111796675199,-44.7880420220906,34.9,22.3083439806884,1.2,7,4.1,7,115.3,0,170,0,161,NA,NA,4.1,1
"JAREDCOOK","Jared Cook","TE",97.0935156539684,5.04153400822882,1,"STL",162,169.7,19,146.145,89.875,108.25,85.125,NA,96.1625,101.875,104.5,92.125,107.5,86.25,89.625,95.25,106.625,NA,95.275,100.242142857143,97.0935156539684,-21.261408622462,17.7,15.3471228970012,1.3,0,0.65,1.3,130.5,0,170,2,226,NA,NA,0.65,1
"NATEWASHINGTON","Nate Washington","WR",97.0745152608772,5.98008985679966,1,"TEN",163,196.1,69,100.46,100.375,89.5,87,NA,90.1375,135,81.875,77.375,87,70.5,87,128.625,114.375,NA,113.425,98.9295833333333,97.0745152608772,-46.3247064287333,23.1,19.129380246972,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"MILESAUSTIN","Miles Austin","WR",96.9380934449106,6.56417137419383,1,"CLE",164,165.8,70,55.945,88.125,99.875,52.125,NA,85.95,153.775,98.625,103.625,89.25,104.5,117.75,107.75,126.875,NA,93.4,97.9762987012987,96.9380934449106,-46.4611282446999,22.4,25.8975813181824,1,1,1,1,NA,0,170,2,192,NA,NA,1,1
"JEREMYKERLEY","Jeremy Kerley","WR",94.3438377772157,4.38139448771995,1,"NYJ",165,186.8,71,123.745,91.75,88.5,90.9,NA,86.95,92.95,76.625,83.175,101.75,53.125,80.5,111.375,94.675,NA,96.845,92.628354978355,94.3438377772157,-49.0553839123948,10.5,16.3852188523883,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"DEVONTAFREEMAN","Devonta Freeman","RB",93.0250512707931,6.67293837175213,5,"ATL",166,121.9,44,NA,151.3,114.875,61.6,NA,108.2375,91,78.825,89.875,104.75,96.3,128.75,40.3,114.65,NA,86.225,94.9675137362637,93.0250512707931,-24.9027629302774,21,28.5382537497187,2.1,6,4.05,6,123.7,1.9,138.3,3,142,102.4,11.4,4.05,1
"CHRISIVORY","Chris Ivory","RB",92.2180815394298,5.54348107105699,4,"NYJ",167,NA,45,84.875,116.875,77.125,92.075,NA,95.82,118.975,92.725,81.3,114.125,90.275,68.375,120.525,119.35,NA,89,95.478,92.2180815394298,-25.7097326616407,NA,17.5068243679586,3.6,4,3.8,4,125.5,2.5,118.5,5,144,132.4,13,3.8,1
"MIKEWILLIAMS","Mike Williams","WR",92.144001498786,5.32851678100984,1,"BUF",168,166.1,72,116.08,85.375,93.5,106,NA,89.1875,108.075,74.625,89.125,116,87.25,80.5,88.25,123.25,NA,83.975,95.4027813852814,92.144001498786,-51.2552201908245,20.6,15.1459417698201,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"CARLOSHYDE","Carlos Hyde","RB",91.5617725269818,7.67437930886533,6,"SF",169,121.3,46,NA,139.8,95.25,81,NA,88.395,88.125,67.875,82.875,98.875,76.025,8.125,105.8,127,NA,85.475,86.0243223443223,91.5617725269818,-26.3660416740886,28,31.2278232387525,1.6,10,5.8,10,114.3,1.7,129.8,5,123,94.3,10.3,5.8,1
"ERICEBRON","Eric Ebron","TE",91.2248293659376,5.0870422806276,1,"DET",170,167.4,20,NA,97.625,111.75,83.5,NA,102.2875,86.5,78.625,83,90.25,88,77.375,86.125,102.25,NA,90.575,91.2518086080586,91.2248293659376,-27.1300949104928,22.9,10.1619510133358,1.5,0,0.75,1.5,128,1.7,138.4,2,148,126.9,16,0.75,1
"TYLEREIFERT","Tyler Eifert","TE",91.0921671759475,5.48449560252532,2,"CIN",171,158,21,33.99,94.75,72.875,81.125,NA,86.3875,95.625,90.375,98.125,100,98.125,115.625,95.25,117.25,NA,78.075,90.3791071428572,91.0921671759475,-27.2627571004829,17.3,20.3377795044519,1,1,1,1,132.7,0,170,3,240,NA,NA,1,1
"DONNIEAVERY","Donnie Avery","WR",90.7177501594373,3.87634396662475,1,"KC",172,183.8,73,82.895,93.75,87.125,98.2,NA,91.0875,90.825,84.125,99.775,78.25,68.45,93.25,98.375,112.85,NA,98.955,90.9991666666667,90.7177501594373,-52.6814715301731,10.8,10.8647026481741,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"SHONNGREENE","Shonn Greene","RB",90.6710844135714,6.1870819436066,1,"TEN",173,138.7,47,136.46,NA,62.875,87.025,NA,83.2625,70.625,89.925,68.75,83.625,75.575,114.25,113.85,111.175,NA,104.475,89.8578525641026,90.6710844135714,-27.256729787499,22.5,21.9105572295406,1,1,1,1,NA,1.3,128.4,4,172,NA,NA,1,1
"AARONDOBSON","Aaron Dobson","WR",90.5223061672422,8.04471125717709,1,"NE",174,139.3,74,42.345,107.125,56.625,106.5,NA,80,126.95,53.875,59.5,97.125,104.375,43.5,116.25,134.875,NA,111.65,91.4676461038961,90.5223061672422,-52.8769155223682,30.9,31.8838759092195,1,1,1,1,NA,0,170,2,197,NA,NA,1,1
"GARRETTGRAHAM","Garrett Graham","TE",88.1654785473869,4.99184258377302,2,"HOU",175,160.4,22,91.95,90.625,99.5,60.25,NA,87.7625,117.75,93.375,86.5,83,79.25,102.75,83.25,109,NA,92.525,89.7508928571429,88.1654785473869,-30.1894457290435,18.6,13.8576125152298,1,1,1,1,137.2,0,170,2,232,NA,NA,1,1
"ANDREWILLIAMS","Andre Williams","RB",87.62528230622,7.36901413127881,4,"NYG",176,123.1,48,NA,151.775,108.575,65.125,NA,89.235,110.125,67.325,100.25,92.25,76.025,100.5,29.275,128,NA,76.3,89.4280952380952,87.62528230622,-30.3025318948505,25.5,30.8050811867633,1.8,6,3.9,6,123.1,1.6,139.8,5,139,110.7,11.6,3.9,1
"KHIRYROBINSON","Khiry Robinson","RB",87.1564041637103,7.78604139463982,2,"NO",177,135.6,49,NA,138.425,94.725,101.55,NA,112.0425,63.25,105,85.05,85.5,79.3,55.375,15.1,121.825,NA,65.725,86.6004258241758,87.1564041637103,-30.7714100373601,28.3,32.0501039089879,1.4,1,1.2,1.4,123.6,2.4,111.6,5,134,123.9,14.6,1.2,1
"JONATHANSTEWART","Jonathan Stewart","RB",87.095434435969,6.71980470987803,1,"CAR",178,141.5,50,90.385,81.1,61.35,61.45,NA,77.425,110.75,98.5,63,94.5,67.675,102.5,157.7,104.9,NA,83.5,87.8335119047619,87.095434435969,-30.8323797651015,24,25.7587952999009,1,1,1,1,NA,1.1,144.5,3,189,NA,NA,1,1
"TRAVISKELCE","Travis Kelce","TE",85.7939618117601,5.62204186497942,1,"KC",179,158.8,23,NA,97.375,70.125,73.75,NA,77.4875,69.875,83.625,98,96.5,73.875,105,39.875,105.25,NA,99.375,78.3622619047619,85.7939618117601,-32.5609624646703,20,18.8170976790817,1,1,1,1,NA,0,170,3,215,130.9,21.5,1,1
"DEXTERMCCLUSTER","Dexter McCluster","RB",83.4814837288906,5.51036255529282,1,"TEN",180,172.7,51,80.795,113.825,86.55,95.2,NA,94.0175,46,76.475,82.05,67.75,60.85,66.375,62.7,NA,NA,82.275,81.6885256410256,83.4814837288906,-34.4463304721799,20,17.668492691069,1,1,1,1,NA,0,146.6,2,204,NA,NA,1,1
"STEVEJOHNSON","Steve Johnson","WR",83.419981045091,5.50829695974595,1,"SF",181,162.8,75,106.82,96.875,66.625,97.75,NA,81.95,77.175,72.75,78.375,88.875,82.075,86.75,90.25,95.1,NA,65.85,85.0913852813853,83.419981045091,-59.9792406445194,25.1,12.1027464188556,1,1,1,1,NA,1.3,148.3,0,211,NA,NA,1,1
"KNILEDAVIS","Knile Davis","RB",83.3003885010969,5.21448740262198,1,"KC",182,159.6,52,73.445,84.675,79.95,69.075,NA,79.515,84.65,70.125,70.55,95.875,63.775,38.125,91.725,104.8,NA,69.175,81.3175,83.3003885010969,-34.6274256999736,18.6,16.1474811596793,1,1,1,1,NA,1.1,142.7,3,182,NA,NA,1,1
"ANDREHOLMES","Andre Holmes","WR",82.6875031655153,6.4097843904464,1,"OAK",183,166,76,NA,109.625,100,69.875,NA,70.55,58.025,81.875,35.275,86.125,72.575,85.25,65.25,120.5,NA,103.75,79.9891233766234,82.6875031655153,-60.7117185240952,23.4,23.2225770519961,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"DENARIUSMOORE","Denarius Moore","WR",82.4998832417942,6.74567531098476,1,"OAK",184,183,77,185.045,98.625,59.375,101.875,NA,74.35,106.75,41.875,77.875,50.75,72.625,89.875,107.875,92.625,NA,49.875,86.017619047619,82.4998832417942,-60.8993384478163,14.9,35.9180014576089,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"COBYFLEENER","Coby Fleener","TE",82.0425250963744,4.86405788224899,2,"IND",185,176.7,24,118.85,91.625,62.25,84.125,NA,78.6625,63.625,78.375,86.75,86.5,77.875,93.375,74.25,94.625,NA,81.9,86.0325,82.0425250963744,-36.3123991800561,17.2,14.0653861201947,1,1,1,1,136.5,1.4,138.8,0,213,NA,NA,1,1
"ANDREROBERTS","Andre Roberts","WR",81.9201845682237,6.7342989509233,1,"WAS",186,193.5,78,18.91,85.875,85.75,93.825,NA,84.3125,65.05,70.75,73,90.75,60.95,73,73.375,93.875,NA,99.675,78.9442965367965,81.9201845682237,-61.4790371213868,29.2,20.2546487448215,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"AHMADBRADSHAW","Ahmad Bradshaw","RB",81.845848595089,6.56867198781193,1,"IND",187,139.8,53,52.44,83.6,64.325,52.875,NA,72.0075,99.25,67.725,83.6,98.25,67.05,107.5,139.025,106.625,NA,90.8,81.9572857142857,81.845848595089,-36.0819656059815,24,24.2044178695228,1,1,1,1,NA,1.2,145.5,3,178,129.2,13.8,1,1
"LANCEMOORE","Lance Moore","WR",81.0027142756877,6.26439301072676,1,"PIT",188,187.9,79,66.255,88.375,96.375,87.25,NA,86.85,81.375,69.875,68,59.5,79.625,80.5,99.5,89.75,NA,86.675,81.8228138528139,81.0027142756877,-62.3965074139227,32.6,11.7254018476558,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"LEGARRETTEBLOUNT","LeGarrette Blount","RB",79.7960884219165,6.83262271130809,4,"PIT",189,133.9,54,36.44,135.45,NA,64.475,NA,80.0775,107.25,65.725,66.6,78.375,69.975,80,99.4,103.575,NA,66.475,78.3409203296703,79.7960884219165,-38.131725779154,25.7,25.0709442517245,2.9,5,3.95,5,121.8,1.2,135.4,3,145,128.6,15,3.95,1
"MARCEDESLEWIS","Marcedes Lewis","TE",79.3642025307023,5.06861810999736,1,"JAC",190,184.4,25,70.59,86.625,95.875,58,NA,82.7,85.875,81.75,75.5,82.75,75,64.875,79.25,90,NA,91.925,80.7969047619048,79.3642025307023,-38.9907217457281,22.4,10.516039796164,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"MOHAMEDSANU","Mohamed Sanu","WR",78.4752021724176,5.61721406507654,1,"CIN",191,174.6,80,39.13,99.875,99.25,82.4,NA,85.075,80.9,79.125,74.225,84.75,75.475,67.75,76.625,82.95,NA,72.475,78.2828896103896,78.4752021724176,-64.9240195171929,23.9,14.5275312380881,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"MATTCASSEL","Matt Cassel","QB",77.9965191849643,10.3870879420347,1,"MIN",192,186.2,33,1.72,39.76,36.54,104.28,NA,65.646,81,117.9,65.94,60.8,50.84,62.5,214.06,139.92,NA,119.14,82.6459476190476,77.9965191849643,-167.08579493156,33.6,53.0395450391125,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"EDDIEROYAL","Eddie Royal","WR",77.161474199479,3.99668547979909,1,"SD",193,192,81,110.535,85.5,46.25,73.175,NA,67.5,104.075,67.75,49,40.5,62.8,68,104.125,95.65,NA,59.035,76.0961038961039,77.161474199479,-66.2377474901315,1,22.7565380684901,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JOHNBROWN","John Brown","WR",76.2479982631865,6.68031817676922,1,"ARI",194,172.7,82,NA,64.75,123.375,NA,NA,69.0125,77.15,62.875,77.4,101.25,76.375,46.375,NA,NA,NA,74.695,73.6028472222222,76.2479982631865,-67.1512234264239,27.7,21.3302004226272,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"LANCEDUNBAR","Lance Dunbar","RB",75.7131337014749,6.65595591538233,1,"DAL",195,147.5,55,-0.6,89.35,78.675,50.8,NA,77.13,79.625,99.125,79.7,80.5,52.225,61.5,84.725,108.2,NA,92.525,74.2625952380952,75.7131337014749,-42.2146804995955,22.4,26.8415715893205,1,1,1,1,NA,0,170,2,218,NA,NA,1,1
"JERMAINEKEARSE","Jermaine Kearse","WR",74.8724413177282,6.42480283128767,1,"SEA",196,178.8,83,-1.74,45.25,70.75,79.5,NA,64.725,84.35,70.125,80.75,104.125,65.375,43.5,96.5,109,NA,88.725,71.1392099567099,74.8724413177282,-68.5267803718823,18.6,28.5953942273311,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"CHRISGIVENS","Chris Givens","WR",74.8070905124543,11.3364953854792,1,"STL",197,199.4,84,139.565,97,57.5,92.975,NA,75.55,59.625,51.375,33.925,34.125,68.75,68.25,161.75,119.925,NA,16.91,78.0232034632035,74.8070905124543,-68.5921311771562,53.2,41.4957765906681,1,1,1,1,NA,0,170,2,NA,NA,NA,1,1
"LEVINETOILOLO","Levine Toilolo","TE",74.4329180436533,5.58152035628174,1,"ATL",198,207.3,26,NA,75.375,78.25,NA,NA,58.8625,72.125,63.875,69.5,85,53.125,45.75,89.125,92.125,NA,88.8,72.5272321428571,74.4329180436533,-43.9220062327771,23.1,15.0301525775915,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"RONNIEHILLMAN","Ronnie Hillman","RB",73.7080724403158,6.99962400764445,1,"DEN",199,164.7,56,88.44,109.35,68.45,53.2,NA,66.9525,79.625,90.5,48.7,41.5,57.775,62,118.475,87.7,NA,78.175,72.8680357142857,73.7080724403158,-44.2197417607546,29.7,22.4398986282565,1,1,1,1,NA,0,170,2,214,NA,NA,1,1
"ROYHELU","Roy Helu","RB",73.3305627869787,4.9278102812998,1,"WAS",200,172.8,57,36.305,86.4,65.225,80.725,NA,74.9125,91.125,63.4,56.9,70.75,68.175,78.5,91.075,89.5,NA,73.55,73.674880952381,73.3305627869787,-44.5972514140917,16.8,15.1559329008405,1,1,1,1,NA,1.1,147.4,2,231,NA,NA,1,1
"SCOTTCHANDLER","Scott Chandler","TE",73.1251935778291,7.3411953479253,1,"BUF",201,241,27,70.965,85.5,91.125,66.875,NA,80.5125,98.625,76.75,60,58.875,54.625,52.375,72.125,76.125,NA,78.75,72.6659523809524,73.1251935778291,-45.2297306986014,41,13.6680319212487,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"JAMESWHITE","James White","RB",72.6185013712862,6.1328752768826,1,"NE",202,154.1,58,NA,108.9,71.1,44.425,NA,75.535,60.3,57.1,55.375,102.125,46.3,81.875,NA,63.725,NA,78.5125,70.2727083333333,72.6185013712862,-45.3093128297843,23.5,20.2658925325791,1,1,1,1,NA,0,170,0,209,NA,NA,1,1
"NATEBURLESON","Nate Burleson","WR",72.5750635166329,5.17083872279575,1,"CLE",203,NA,85,82.99,76.25,69.75,73.75,NA,71.825,93.7,64.875,65.15,35.25,93.45,68,74,92.25,NA,57.45,72.1769642857143,72.5750635166329,-70.8241581729776,NA,15.5905389738298,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"MYCHALRIVERA","Mychal Rivera","TE",72.3753342290143,4.88628777669055,1,"OAK",204,NA,28,NA,83.625,87.75,69.75,NA,79.3375,82.5,69.875,47.5,57,58.875,75.5,44.375,82.625,NA,72.35,71.7236950549451,72.3753342290143,-45.9795900474161,NA,14.1272570241233,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"JACQUIZZRODGERS","Jacquizz Rodgers","RB",72.2572004191882,5.48021579012079,1,"ATL",205,181.4,59,81.08,69.8,55.975,56.375,NA,62.5975,96.55,73.95,66.475,74.75,64.025,47,135.6,87.1,NA,74.75,73.8444166666667,72.2572004191882,-45.6706137818823,15.9,21.8157824122724,1,1,1,1,NA,0,170,2,NA,NA,NA,1,1
"STEPFANTAYLOR","Stepfan Taylor","RB",71.9000215744971,5.78681170189634,1,"ARI",206,173.7,60,NA,104.625,90.2,41.85,NA,87.3675,98.475,59.25,65.675,83.75,62.075,69.125,93.425,74.45,NA,66.875,75.112793040293,71.9000215744971,-46.0277926265733,22.3,18.0112691397814,1,1,1,1,NA,0,170,1,225,NA,NA,1,1
"MARLONBROWN","Marlon Brown","WR",71.5177551806507,6.48249773842486,1,"BAL",207,196,86,76.705,87.25,46.125,69.375,NA,56.9125,86.125,15.125,71.9,92.5,63.2,79.25,72.25,87.25,NA,33.725,67.4801406926407,71.5177551806507,-71.8814665089598,24.9,22.339687092761,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"ZACHMILLER","Zach Miller","TE",70.8322606707253,7.7092734106955,1,"SEA",208,NA,29,167.74,82.75,58.125,54.75,NA,67.8875,76,73.375,70.75,72.75,45.5,74,66,87.375,NA,63.35,75.0400595238095,70.8322606707253,-47.5226636057051,NA,28.6442494258744,1.1,0,0.55,1.1,119.6,0,170,1,NA,NA,NA,0.55,1
"JEROMESIMPSON","Jerome Simpson","WR",70.3378265985741,6.78967978512675,1,"MIN",209,NA,87,94.345,88.375,78,89.5,NA,74.9875,71.775,41.875,46.25,26.875,64.125,80.5,112.375,87.75,NA,45.55,70.7587175324675,70.3378265985741,-73.0613950910364,NA,23.9153080121198,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JAMESSTARKS","James Starks","RB",69.9376208786228,5.60924853053789,1,"GB",210,157.9,61,62.515,86.9,66.35,66.95,NA,69.815,82.75,58.25,46.675,68.5,49.6,68,93.75,101.15,NA,56.05,69.385880952381,69.9376208786228,-47.9901933224476,22.4,16.0763427694442,1,1,1,1,NA,1.1,140.9,3,201,NA,NA,1,1
"ALLENROBINSON","Allen Robinson","WR",69.9253696197531,5.44526523344158,1,"JAC",211,178.2,88,NA,101.5,41.125,58.375,NA,60.8375,86.625,37.875,82,81.75,77.375,49.5,98.75,71.625,NA,85.5,70.5105769230769,69.9253696197531,-73.4738520698574,16.6,20.6953110979832,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"BRANDONLAFELL","Brandon LaFell","WR",69.5350894996882,6.03353908901727,1,"NE",212,164.3,89,-0.09,90.5,78.5,101.325,NA,75.95,76,26.125,53.125,39.5,53.775,55.5,57.625,84.3,NA,74.35,63.7752435064935,69.5350894996882,-73.8641321899223,16.3,27.071766843475,1,1,1,1,NA,1.3,146.4,0,188,NA,NA,1,1
"CHRISTINEMICHAEL","Christine Michael","RB",69.099645031193,6.78106982531476,4,"SEA",213,144.7,62,NA,127.85,94,66.85,NA,91.87,55.5,49.225,62.175,49.625,73.825,44.5,27.15,100.475,NA,41.6,68.228489010989,69.099645031193,-48.8281691698774,22.1,28.4544966028759,2.2,5,3.6,5,124.8,1.3,133.2,3,151,127.1,13.8,3.6,1
"BLAKEBORTLES","Blake Bortles","QB",68.8141655100111,8.06792398971052,1,"JAC",214,234,34,NA,44.46,129.76,47.26,NA,71.05,42.5,58.66,54.2,122.9,84.42,96.5,NA,49.96,NA,46.75,71.3814652014652,68.8141655100111,-176.268148606513,32,30.9267424241496,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DONALDBROWN","Donald Brown","RB",68.8071417312252,5.68332096416363,1,"SD",215,160.1,63,85.45,85.5,57.925,76.625,NA,68.7775,64.875,52.125,66.9,59.75,72.775,70.625,30.45,57.4,NA,69.325,67.7989166666667,68.8071417312252,-49.1206724698452,24.9,14.120273561317,1,1,1,1,NA,1.1,135.6,2,208,NA,NA,1,1
"BRIANQUICK","Brian Quick","WR",68.6254002284705,8.26076433483603,1,"STL",216,175.3,90,26.965,64.625,94.375,NA,NA,77.5375,72.85,71.625,100.5,77.125,57.5,68.875,13.75,51.875,NA,89.65,66.7451282051282,68.6254002284705,-74.7738214611399,39.4,24.8651129300802,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"MIKETOLBERT","Mike Tolbert","RB",68.199983110794,5.59071202951334,1,"CAR",217,177.5,64,74.18,84.725,67.725,78.175,NA,78.615,89.375,NA,62.55,80.375,51.125,55.625,12.375,84.15,NA,68.125,68.5089880952381,68.199983110794,-49.7278310902764,18.3,20.3430423200005,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JACEAMARO","Jace Amaro","TE",66.5001692227895,5.31880573421971,1,"NYJ",218,178,30,NA,94.5,88,65,NA,74.2,95,19.5,42.25,74.25,60,59.25,31.25,71,NA,50.9,64.2403846153846,66.5001692227895,-51.8547550536409,13.1,23.1997444172482,1,1,1,1,NA,0,170,0,247,NA,NA,1,1
"TREMASON","Tre Mason","RB",66.0874262522819,6.41712536762205,1,"STL",219,163.1,65,NA,110.775,81.95,62.975,NA,85.2375,34.875,38.125,63.25,58.25,55.45,79,103.95,70.55,NA,21.2625,65.3423076923077,66.0874262522819,-51.8403879487886,20.8,26.1246867313447,1,1,1,1,NA,1.4,147.8,0,180,NA,NA,1,1
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR",64.4316419316338,7.13072065652867,1,"NE",220,160.5,91,37.36,70.75,88.25,85.25,NA,72.15,58.25,37,78.125,77.375,74.625,55.75,13.375,85.625,NA,24.175,62.2713095238095,64.4316419316338,-78.9675797579766,29.2,24.3317866649306,1.1,0,0.55,1.1,123.5,0,170,0,221,NA,NA,0.55,1
"BRANDONGIBSON","Brandon Gibson","WR",63.9328108535096,6.09179713005484,1,"MIA",221,NA,92,35.52,77.25,66.125,NA,NA,67.7,92.125,55.75,47.625,51.125,51.375,43.25,86,91,NA,94.225,65.9728525641026,63.9328108535096,-79.4664108361009,NA,20.3264986753114,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JERMAINEGRESHAM","Jermaine Gresham","TE",63.5736336315746,7.0641867501253,1,"CIN",222,221,31,93.545,81.875,59.25,58.5,NA,64.3375,97.375,60.5,59.625,68,56.875,53,62.75,79.25,NA,53.075,66.5202380952381,63.5736336315746,-54.7812906448558,37.6,14.5153745662341,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
