"name","pos","name_fs","team_fs","positionRank_fs","overallRank_fs","pts_fs","passAtt_fs","passComp_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"BLAKEBORTLES","QB","Blake Bortles","JAC",43,331,14,NA,25,276,1,1,3,5,0,0,0,0,NA,NA,0
"JIMMYCLAUSEN","QB","Jimmy Clausen","CHI",43,331,14,NA,18,162,2,2,4,21,0,0,0,0,NA,NA,0
"CHRISTIANPONDER","QB","Christian Ponder","MIN",43,331,14,NA,19,212,2,1,4,15,0,0,0,0,NA,NA,1
"TYRODTAYLOR","QB","Tyrod Taylor","BAL",43,331,14,NA,7,45,0,3,27,161,0,0,0,0,NA,NA,0
"DRIARCHER","RB","Dri Archer","PIT",94,331,14,NA,0,0,0,0,22,75,0,13,90,0,NA,NA,1
"CYRUSGRAY","RB","Cyrus Gray","KCC",94,331,14,NA,0,0,0,0,15,51,0,13,111,0,NA,NA,1
"CHARLESSIMS","RB","Charles Sims","TBB",94,331,14,NA,0,0,0,0,22,79,0,12,78,0,NA,NA,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",94,331,14,NA,0,0,0,0,35,100,0,9,47,0,NA,NA,0
"GARYBARNIDGE","TE","Gary Barnidge","CLE",63,339,13,NA,0,0,0,0,0,0,0,9,77,1,NA,NA,0
"SEYIAJIROTUTU","WR","Seyi Ajirotutu","SDC",134,339,13,NA,0,0,0,0,0,0,0,5,78,1,NA,NA,0
"DEVINSTREET","WR","Devin Street","DAL",134,339,13,NA,0,0,0,0,0,2,0,14,136,0,NA,NA,0
"DIONSIMS","TE","Dion Sims","MIA",64,342,12,NA,0,0,0,0,0,0,0,15,120,0,NA,NA,0
"DANESANZENBACHER","WR","Dane Sanzenbacher","CIN",136,342,12,NA,0,0,0,0,0,0,0,12,127,0,NA,NA,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",98,344,11,NA,0,0,0,0,47,117,0,10,21,0,NA,NA,1
"MATTSPAETH","TE","Matt Spaeth","PIT",65,344,11,NA,0,0,0,0,0,0,0,6,52,1,NA,NA,0
"JARONBROWN","WR","Jaron Brown","ARI",137,344,11,NA,0,0,0,0,0,0,0,9,119,0,NA,NA,0
"JEREMYROSS","WR","Jeremy Ross","DET",137,344,11,NA,0,0,0,0,2,13,0,6,64,1,NA,NA,1
"NICKTOON","WR","Nick Toon","NOS",137,344,11,NA,0,0,0,0,0,0,0,6,110,0,NA,NA,0
"MATTMCGLOIN","QB","Matt McGloin","OAK",47,349,10,NA,15,191,1,1,2,6,0,0,0,0,NA,NA,0
"DAMIENWILLIAMS","RB","Damien Williams","MIA",99,349,10,NA,0,0,0,0,30,85,0,7,41,0,NA,NA,1
"VANCEMCDONALD","TE","Vance McDonald","SFO",66,349,10,NA,0,0,0,0,0,0,0,8,108,0,NA,NA,0
"LEESMITH","TE","Lee Smith","BUF",66,349,10,NA,0,0,0,0,0,0,0,4,46,1,NA,NA,0
"CHRISOWUSU","WR","Chris Owusu","TBB",140,349,10,NA,0,0,0,0,1,2,0,10,102,0,NA,NA,0
"PAULRICHARDSON","WR","Paul Richardson","SEA",140,349,10,NA,0,0,0,0,1,0,0,8,129,0,NA,NA,1
"GREGSALAS","WR","Greg Salas","NYJ",140,349,10,NA,0,0,0,0,3,12,0,9,96,0,NA,NA,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",48,356,9,NA,19,211,1,3,6,0,0,0,0,0,NA,NA,0
"MONTELLOWENS","RB","Montell Owens","DET",100,356,9,NA,0,0,0,0,13,54,0,3,48,0,NA,NA,0
"AJJENKINS","WR","A.J. Jenkins","KCC",143,356,9,NA,0,0,0,0,0,0,0,5,91,0,NA,NA,0
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",49,359,8,NA,17,276,0,3,6,0,0,0,0,0,NA,NA,0
"JOSHHILL","TE","Josh Hill","NOS",68,359,8,NA,0,0,0,0,1,0,0,9,82,0,NA,NA,0
"DEONTETHOMPSON","WR","Deonte Thompson","BAL",144,359,8,NA,0,0,0,0,0,0,0,9,86,0,NA,NA,0
"RONNIEBROWN","RB","Ronnie Brown","HOU",101,362,7,NA,0,0,0,0,17,59,0,3,20,0,NA,NA,0
"SILASREDD","RB","Silas Redd","WAS",101,362,7,NA,0,0,0,0,14,49,0,7,30,0,NA,NA,0
