"name","pos","name_fs","team_fs","positionRank_fs","overallRank_fs","pts_fs","passAtt_fs","passComp_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"DREWBREES","QB","Drew Brees","NOS",1,1,372,NA,426,5132,42,13,27,42,2,0,0,0,NA,NA,2
"PEYTONMANNING","QB","Peyton Manning","DEN",2,2,360,NA,400,4908,45,12,26,0,1,0,0,0,NA,NA,5
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,311,NA,346,4150,26,16,65,331,5,0,0,0,NA,NA,3
"AARONRODGERS","QB","Aaron Rodgers","GBP",4,4,306,NA,349,4281,31,12,49,214,2,0,0,0,NA,NA,5
"TOMBRADY","QB","Tom Brady","NEP",5,5,303,NA,393,4584,30,10,28,23,2,0,0,0,NA,NA,2
"ANDYDALTON","QB","Andy Dalton","CIN",6,6,300,NA,346,3990,32,21,59,182,4,0,0,0,NA,NA,4
"NICKFOLES","QB","Nick Foles","PHI",7,7,299,NA,296,3716,28,6,69,313,4,0,0,0,NA,NA,5
"COLINKAEPERNICK","QB","Colin Kaepernick","SFO",8,8,297,NA,259,3485,24,9,115,550,4,0,0,0,NA,NA,4
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",9,9,294,NA,305,3564,23,12,107,643,3,0,0,0,NA,NA,5
"RUSSELLWILSON","QB","Russell Wilson","SEA",10,10,293,NA,262,3413,28,7,87,482,2,0,0,0,NA,NA,4
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",11,11,288,NA,390,4705,25,19,35,96,3,0,0,0,NA,NA,4
"TONYROMO","QB","Tony Romo","DAL",12,12,281,NA,368,4137,31,16,25,45,1,0,0,0,NA,NA,1
"MATTRYAN","QB","Matt Ryan","ATL",13,13,280,NA,411,4539,29,16,21,72,0,0,0,0,NA,NA,4
"CAMNEWTON","QB","Cam Newton","CAR",14,14,278,NA,249,3170,20,15,111,618,5,0,0,0,NA,NA,2
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",15,15,275,NA,355,4002,30,13,27,109,1,0,0,0,NA,NA,4
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,16,269,NA,0,0,0,0,320,1600,12,41,310,2,NA,NA,3
"ALEXSMITH","QB","Alex Smith","KCC",16,17,268,NA,296,3241,26,9,79,467,1,0,0,0,NA,NA,4
"JAMAALCHARLES","RB","Jamaal Charles","KCC",2,17,268,NA,0,0,0,0,263,1350,10,51,436,6,NA,NA,3
"PHILIPRIVERS","QB","Philip Rivers","SDC",17,19,261,NA,322,3800,31,11,31,60,0,0,0,0,NA,NA,5
"JAYCUTLER","QB","Jay Cutler","CHI",18,20,257,NA,320,3763,27,13,35,201,0,0,0,0,NA,NA,4
"CARSONPALMER","QB","Carson Palmer","ARI",19,21,243,NA,364,4292,25,20,25,4,0,0,0,0,NA,NA,4
"LESEANMCCOY","RB","LeSean McCoy","PHI",3,21,243,NA,0,0,0,0,268,1286,8,55,474,4,NA,NA,2
"EDDIELACY","RB","Eddie Lacy","GBP",4,23,242,NA,0,0,0,0,336,1351,13,43,316,0,NA,NA,1
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",20,24,240,NA,333,3711,20,16,42,244,2,0,0,0,NA,NA,4
"MATTFORTE","RB","Matt Forte","CHI",5,25,239,NA,0,0,0,0,278,1275,8,62,480,3,NA,NA,1
"JOEFLACCO","QB","Joe Flacco","BAL",21,26,235,NA,333,3711,22,17,33,100,2,0,0,0,NA,NA,3
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",1,27,233,NA,0,0,0,0,0,0,0,95,1450,15,NA,NA,1
"CALVINJOHNSON","WR","Calvin Johnson","DET",2,28,230,NA,0,0,0,0,0,0,0,94,1625,12,NA,NA,2
"MATTCASSEL","QB","Matt Cassel","MIN",22,29,227,NA,292,3259,19,14,47,173,4,0,0,0,NA,NA,3
"JAKELOCKER","QB","Jake Locker","TEN",22,29,227,NA,270,3089,16,15,60,355,4,0,0,0,NA,NA,2
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",6,31,225,NA,0,0,0,0,272,1250,13,24,204,1,NA,NA,2
"MONTEEBALL","RB","Montee Ball","DEN",7,32,222,NA,0,0,0,0,252,1200,9,50,387,2,NA,NA,1
"JIMMYGRAHAM","TE","Jimmy Graham","NOS",1,33,220,NA,0,0,0,0,0,0,0,84,1300,15,NA,NA,0
"DEZBRYANT","WR","Dez Bryant","DAL",3,33,220,NA,0,0,0,0,2,0,0,97,1325,15,NA,NA,1
"EJMANUEL","QB","E.J. Manuel","BUF",24,35,219,NA,288,3228,18,11,73,233,3,0,0,0,NA,NA,6
"SHAUNHILL","QB","Shaun Hill","STL",25,36,214,NA,283,3214,22,10,36,87,1,0,0,0,NA,NA,3
"ANDREELLINGTON","RB","Andre Ellington","ARI",8,37,211,NA,0,0,0,0,225,1100,7,45,430,3,NA,NA,1
"ELIMANNING","QB","Eli Manning","NYG",26,38,209,NA,304,3635,21,20,20,26,0,0,0,0,NA,NA,1
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",9,38,209,NA,0,0,0,0,245,1160,8,56,394,2,NA,NA,3
"JULIOJONES","WR","Julio Jones","ATL",4,40,208,NA,0,0,0,0,3,13,0,105,1375,12,NA,NA,1
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",5,41,206,NA,0,0,0,0,1,0,0,102,1400,11,NA,NA,0
"AJGREEN","WR","A.J. Green","CIN",6,42,204,NA,0,0,0,0,2,12,0,93,1336,12,NA,NA,1
"DEREKCARR","QB","Derek Carr","OAK",27,43,202,NA,265,3183,16,19,54,308,2,0,0,0,NA,NA,6
"DOUGMARTIN","RB","Doug Martin","TBB",10,43,202,NA,0,0,0,0,250,1150,8,40,314,2,NA,NA,2
"GENOSMITH","QB","Geno Smith","NYJ",28,45,200,NA,235,2835,11,16,65,312,6,0,0,0,NA,NA,4
"TOBYGERHART","RB","Toby Gerhart","JAC",11,45,200,NA,0,0,0,0,265,1225,7,38,280,2,NA,NA,2
"BRIANHOYER","QB","Brian Hoyer","CLE",29,47,197,NA,293,3310,19,18,27,138,0,0,0,0,NA,NA,3
"CHRISJOHNSON","RB","Chris Johnson","NYJ",12,47,197,NA,0,0,0,0,268,1092,6,41,306,4,NA,NA,1
"ROBGRONKOWSKI","TE","Rob Gronkowski","NEP",2,47,197,NA,0,0,0,0,0,1,0,80,1250,12,NA,NA,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",30,50,196,NA,303,3467,15,19,34,135,2,0,0,0,NA,NA,4
"JOSHMCCOWN","QB","Josh McCown","TBB",30,50,196,NA,271,3101,21,10,26,69,0,0,0,0,NA,NA,4
"FRANKGORE","RB","Frank Gore","SFO",13,50,196,NA,0,0,0,0,280,1162,10,19,180,1,NA,NA,2
"BISHOPSANKEY","RB","Bishop Sankey","TEN",14,53,189,NA,0,0,0,0,245,1055,6,39,286,4,NA,NA,2
"LEVEONBELL","RB","Le'Veon Bell","PIT",15,54,185,NA,0,0,0,0,273,1010,8,45,406,0,NA,NA,2
"ZACSTACY","RB","Zac Stacy","STL",16,55,184,NA,0,0,0,0,290,1190,7,37,210,1,NA,NA,2
"CJSPILLER","RB","C.J. Spiller","BUF",17,56,182,NA,0,0,0,0,215,1011,6,40,353,2,NA,NA,1
"JORDYNELSON","WR","Jordy Nelson","GBP",7,56,182,NA,0,0,0,0,1,7,0,92,1346,8,NA,NA,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",8,58,180,NA,0,0,0,0,7,8,0,100,1342,8,NA,NA,1
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,58,180,NA,0,0,0,0,11,59,0,78,1295,8,NA,NA,1
"ARIANFOSTER","RB","Arian Foster","HOU",18,60,179,NA,0,0,0,0,250,1050,6,47,306,2,NA,NA,2
"BENTATE","RB","Ben Tate","CLE",18,60,179,NA,0,0,0,0,250,1075,4,48,323,3,NA,NA,1
"ANDREJOHNSON","WR","Andre Johnson","HOU",10,62,178,NA,0,0,0,0,0,0,0,90,1300,8,NA,NA,0
"VICTORCRUZ","WR","Victor Cruz","NYG",11,63,177,NA,0,0,0,0,3,14,1,85,1225,8,NA,NA,0
"VINCENTJACKSON","WR","Vincent Jackson","TBB",11,63,177,NA,0,0,0,0,1,0,0,75,1298,8,NA,NA,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",13,65,176,NA,0,0,0,0,10,61,2,82,1165,7,NA,NA,0
"REGGIEBUSH","RB","Reggie Bush","DET",20,66,175,NA,0,0,0,0,175,780,5,60,536,4,NA,NA,5
"ALFREDMORRIS","RB","Alfred Morris","WAS",21,67,172,NA,0,0,0,0,268,1250,8,10,78,0,NA,NA,4
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",22,68,169,NA,0,0,0,0,200,865,6,45,375,2,NA,NA,1
"TRENTRICHARDSON","RB","Trent Richardson","IND",22,68,169,NA,0,0,0,0,207,751,7,41,342,3,NA,NA,0
"JULIUSTHOMAS","TE","Julius Thomas","DEN",3,68,169,NA,0,0,0,0,0,0,0,75,875,14,NA,NA,1
"TORREYSMITH","WR","Torrey Smith","BAL",14,71,168,NA,0,0,0,0,1,0,0,75,1200,8,NA,NA,0
"FREDJACKSON","RB","Fred Jackson","BUF",24,72,167,NA,0,0,0,0,210,890,7,42,329,1,NA,NA,1
"ERICDECKER","WR","Eric Decker","NYJ",15,73,166,NA,0,0,0,0,1,2,0,82,1140,9,NA,NA,1
"RANDALLCOBB","WR","Randall Cobb","GBP",16,74,164,NA,0,0,0,0,7,39,0,79,1092,9,NA,NA,1
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",16,74,164,NA,0,0,0,0,1,0,0,75,1064,10,NA,NA,1
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",25,76,163,NA,0,0,0,0,199,751,5,52,503,2,NA,NA,2
"RYANMATHEWS","RB","Ryan Mathews","SDC",26,77,162,NA,0,0,0,0,240,1080,5,34,220,1,NA,NA,2
"MICHAELCRABTREE","WR","Michael Crabtree","SFO",18,78,161,NA,0,0,0,0,1,7,0,78,1150,8,NA,NA,1
"MICHAELFLOYD","WR","Michael Floyd","ARI",18,78,161,NA,0,0,0,0,1,3,0,72,1150,8,NA,NA,1
"RODDYWHITE","WR","Roddy White","ATL",18,78,161,NA,0,0,0,0,1,0,0,78,1116,9,NA,NA,2
"KEENANALLEN","WR","Keenan Allen","SDC",21,81,160,NA,0,0,0,0,0,1,0,75,1160,8,NA,NA,2
"RASHADJENNINGS","RB","Rashad Jennings","NYG",27,82,158,NA,0,0,0,0,216,825,8,39,267,1,NA,NA,2
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",22,83,157,NA,0,0,0,0,2,5,0,84,1050,9,NA,NA,1
"PIERREGARCON","WR","Pierre Garcon","WAS",22,83,157,NA,0,0,0,0,3,17,0,99,1224,6,NA,NA,1
"JOIQUEBELL","RB","Joique Bell","DET",28,85,156,NA,0,0,0,0,153,643,8,53,509,0,NA,NA,3
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",24,86,154,NA,0,0,0,0,4,21,0,71,983,9,NA,NA,0
"VERNONDAVIS","TE","Vernon Davis","SFO",4,87,152,NA,0,0,0,0,0,0,0,55,825,12,NA,NA,1
"DESEANJACKSON","WR","DeSean Jackson","WAS",25,87,152,NA,0,0,0,0,5,11,0,72,1075,8,NA,NA,2
"REGGIEWAYNE","WR","Reggie Wayne","IND",25,87,152,NA,0,0,0,0,1,0,0,82,1120,7,NA,NA,1
"JAMESJONES","WR","James Jones","OAK",27,90,151,NA,0,0,0,0,1,3,0,75,1057,8,NA,NA,1
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",29,91,150,NA,0,0,0,0,187,783,4,24,347,3,NA,NA,2
"PIERRETHOMAS","RB","Pierre Thomas","NOS",30,92,148,NA,0,0,0,0,150,601,4,71,483,3,NA,NA,1
"RAYRICE","RB","Ray Rice","BAL",31,93,144,NA,0,0,0,0,224,795,6,50,330,0,NA,NA,2
"MILESAUSTIN","WR","Miles Austin","CLE",28,94,143,NA,0,0,0,0,3,19,0,72,1123,5,NA,NA,0
"JORDANREED","TE","Jordan Reed","WAS",5,95,142,NA,0,0,0,0,2,10,0,82,915,9,NA,NA,2
"CHADHENNE","QB","Chad Henne","JAC",32,96,138,NA,220,2379,11,12,21,70,1,0,0,0,NA,NA,1
"SAMMYWATKINS","WR","Sammy Watkins","BUF",29,96,138,NA,0,0,0,0,2,14,0,67,977,7,NA,NA,1
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",6,98,137,NA,0,0,0,0,0,0,0,72,775,10,NA,NA,0
"CECILSHORTS","WR","Cecil Shorts","JAC",30,98,137,NA,0,0,0,0,0,1,0,72,918,8,NA,NA,1
"MARQUESCOLSTON","WR","Marques Colston","NOS",31,100,133,NA,0,0,0,0,0,0,0,71,995,6,NA,NA,1
"PERCYHARVIN","WR","Percy Harvin","SEA",32,101,132,NA,0,0,0,0,9,50,0,63,919,6,NA,NA,0
"MIKEWALLACE","WR","Mike Wallace","MIA",32,101,132,NA,0,0,0,0,3,18,0,79,975,6,NA,NA,1
"STEVANRIDLEY","RB","Stevan Ridley","NEP",32,103,131,NA,0,0,0,0,200,826,8,12,72,0,NA,NA,3
"DENNISPITTA","TE","Dennis Pitta","BAL",7,104,130,NA,0,0,0,0,0,0,0,80,825,8,NA,NA,0
"GREGJENNINGS","WR","Greg Jennings","MIN",34,104,130,NA,0,0,0,0,2,8,0,76,883,7,NA,NA,0
"JEREMYHILL","RB","Jeremy Hill","CIN",33,106,129,NA,0,0,0,0,166,670,7,20,165,1,NA,NA,1
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",34,107,128,NA,0,0,0,0,175,700,4,42,325,1,NA,NA,2
"JASONWITTEN","TE","Jason Witten","DAL",8,108,126,NA,0,0,0,0,0,0,0,84,901,6,NA,NA,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",35,108,126,NA,0,0,0,0,1,3,0,70,900,6,NA,NA,0
"DANNYWOODHEAD","RB","Danny Woodhead","SDC",35,110,124,NA,0,0,0,0,111,439,3,62,471,3,NA,NA,1
"WESWELKER","WR","Wes Welker","DEN",36,111,123,NA,0,0,0,0,0,0,0,68,756,8,NA,NA,0
"DARRENMCFADDEN","RB","Darren McFadden","OAK",36,112,122,NA,0,0,0,0,167,550,4,40,334,2,NA,NA,1
"JULIANEDELMAN","WR","Julian Edelman","NEP",37,112,122,NA,0,0,0,0,1,6,0,90,925,5,NA,NA,0
"TYHILTON","WR","T.Y. Hilton","IND",37,112,122,NA,0,0,0,0,1,0,0,70,983,4,NA,NA,0
"RODSTREATER","WR","Rod Streater","OAK",39,115,121,NA,0,0,0,0,2,11,0,60,920,5,NA,NA,1
"KENDALLWRIGHT","WR","Kendall Wright","TEN",39,115,121,NA,0,0,0,0,1,2,0,81,976,4,NA,NA,0
"DWAYNEBOWE","WR","Dwayne Bowe","KCC",41,117,120,NA,0,0,0,0,0,0,0,67,866,6,NA,NA,1
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",42,118,119,NA,0,0,0,0,1,5,0,62,875,6,NA,NA,2
"DOUGBALDWIN","WR","Doug Baldwin","SEA",43,119,118,NA,0,0,0,0,2,8,0,55,825,6,NA,NA,0
"JORDANCAMERON","TE","Jordan Cameron","CLE",9,120,117,NA,0,0,0,0,0,0,0,61,693,8,NA,NA,0
"GOLDENTATE","WR","Golden Tate","DET",44,120,117,NA,0,0,0,0,3,14,0,65,800,6,NA,NA,0
"BRIANHARTLINE","WR","Brian Hartline","MIA",45,122,116,NA,0,0,0,0,0,0,0,75,1000,3,NA,NA,1
"BERNARDPIERCE","RB","Bernard Pierce","BAL",37,123,115,NA,0,0,0,0,175,715,6,16,86,0,NA,NA,0
"GREGOLSEN","TE","Greg Olsen","CAR",10,123,115,NA,0,0,0,0,0,0,0,69,792,6,NA,NA,0
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",46,125,113,NA,0,0,0,0,1,2,0,60,850,5,NA,NA,1
"DANNYAMENDOLA","WR","Danny Amendola","NEP",47,126,112,NA,0,0,0,0,0,0,0,60,825,5,NA,NA,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",47,126,112,NA,0,0,0,0,1,2,0,65,900,4,NA,NA,1
"NATEWASHINGTON","WR","Nate Washington","TEN",47,126,112,NA,0,0,0,0,0,0,0,57,886,4,NA,NA,0
"RILEYCOOPER","WR","Riley Cooper","PHI",50,129,111,NA,0,0,0,0,0,2,0,51,750,6,NA,NA,0
"SHANEVEREEN","RB","Shane Vereen","NEP",38,130,110,NA,0,0,0,0,80,350,2,52,475,3,NA,NA,1
"ANDREWILLIAMS","RB","Andre Williams","NYG",38,130,110,NA,0,0,0,0,150,650,7,10,73,0,NA,NA,2
"LADARIUSGREEN","TE","Ladarius Green","SDC",11,132,109,NA,0,0,0,0,0,0,0,38,675,7,NA,NA,0
"AARONDOBSON","WR","Aaron Dobson","NEP",51,132,109,NA,0,0,0,0,1,2,0,50,678,7,NA,NA,0
"RUEBENRANDLE","WR","Rueben Randle","NYG",51,132,109,NA,0,0,0,0,0,0,0,54,750,6,NA,NA,1
"DARRENSPROLES","RB","Darren Sproles","PHI",40,135,108,NA,0,0,0,0,45,195,3,55,490,4,NA,NA,1
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",41,136,106,NA,0,0,0,0,150,630,4,27,190,0,NA,NA,0
"ZACHERTZ","TE","Zach Ertz","PHI",12,136,106,NA,0,0,0,0,0,0,0,53,624,8,NA,NA,2
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",42,138,105,NA,0,0,0,0,140,625,5,14,118,1,NA,NA,2
"BRANDINCOOKS","WR","Brandin Cooks","NOS",53,138,105,NA,0,0,0,0,2,6,0,75,775,5,NA,NA,1
"MARKUSWHEATON","WR","Markus Wheaton","PIT",54,140,103,NA,0,0,0,0,3,7,0,65,698,6,NA,NA,1
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",43,141,101,NA,0,0,0,0,115,500,4,25,215,1,NA,NA,0
"ANQUANBOLDIN","WR","Anquan Boldin","SFO",55,141,101,NA,0,0,0,0,2,3,0,64,775,4,NA,NA,0
"MARQISELEE","WR","Marqise Lee","JAC",55,141,101,NA,0,0,0,0,2,8,0,64,734,5,NA,NA,1
"GARRETTGRAHAM","TE","Garrett Graham","HOU",13,144,100,NA,0,0,0,0,0,0,0,64,725,5,NA,NA,1
"MIKEEVANS","WR","Mike Evans","TBB",57,144,100,NA,0,0,0,0,0,0,0,47,640,6,NA,NA,0
"MARKINGRAM","RB","Mark Ingram","NOS",44,146,99,NA,0,0,0,0,111,454,3,48,300,1,NA,NA,0
"JARRETTBOYKIN","WR","Jarrett Boykin","GBP",58,146,99,NA,0,0,0,0,1,5,0,51,690,5,NA,NA,0
"DWAYNEALLEN","TE","Dwayne Allen","IND",14,148,98,NA,0,0,0,0,2,4,0,52,625,6,NA,NA,0
"CHARLESCLAY","TE","Charles Clay","MIA",14,148,98,NA,0,0,0,0,5,9,1,52,563,6,NA,NA,0
"DELANIEWALKER","TE","Delanie Walker","TEN",14,148,98,NA,0,0,0,0,0,0,0,63,625,6,NA,NA,0
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",59,148,98,NA,0,0,0,0,2,10,0,47,610,6,NA,NA,0
"MALCOMFLOYD","WR","Malcom Floyd","SDC",59,148,98,NA,0,0,0,0,0,0,0,52,805,3,NA,NA,0
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",17,153,96,NA,0,0,0,0,0,0,0,56,606,7,NA,NA,3
"KENNYBRITT","WR","Kenny Britt","STL",61,154,94,NA,0,0,0,0,4,26,2,42,500,5,NA,NA,0
"MARVINJONES","WR","Marvin Jones","CIN",61,154,94,NA,0,0,0,0,7,36,0,45,614,5,NA,NA,0
"HEATHMILLER","TE","Heath Miller","PIT",18,156,93,NA,0,0,0,0,0,0,0,66,714,4,NA,NA,1
"LAMARMILLER","RB","Lamar Miller","MIA",45,157,92,NA,0,0,0,0,149,571,3,23,137,1,NA,NA,1
"MIKEWILLIAMS","WR","Mike Williams","BUF",63,157,92,NA,0,0,0,0,3,12,0,40,615,5,NA,NA,0
"CHRISIVORY","RB","Chris Ivory","NYJ",46,159,91,NA,0,0,0,0,150,675,3,10,67,0,NA,NA,0
"JUSTINHUNTER","WR","Justin Hunter","TEN",64,159,91,NA,0,0,0,0,0,0,0,32,550,6,NA,NA,0
"STEVESMITH","WR","Steve Smith","BAL",64,159,91,NA,0,0,0,0,1,0,0,57,736,3,NA,NA,0
"ANTONIOGATES","TE","Antonio Gates","SDC",19,162,89,NA,0,0,0,0,0,0,0,58,619,5,NA,NA,1
"EDDIEROYAL","WR","Eddie Royal","SDC",66,162,89,NA,0,0,0,0,5,27,0,42,595,5,NA,NA,1
"KENNYSTILLS","WR","Kenny Stills","NOS",66,162,89,NA,0,0,0,0,3,7,0,36,657,4,NA,NA,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",47,165,88,NA,0,0,0,0,95,383,2,49,346,1,NA,NA,1
"TERRANCEWEST","RB","Terrance West","CLE",48,166,87,NA,0,0,0,0,120,525,3,28,196,0,NA,NA,1
"JAREDCOOK","TE","Jared Cook","STL",20,166,87,NA,0,0,0,0,0,0,0,46,577,5,NA,NA,0
"HARRYDOUGLAS","WR","Harry Douglas","ATL",68,166,87,NA,0,0,0,0,1,0,0,59,719,3,NA,NA,1
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",68,166,87,NA,0,0,0,0,1,1,0,45,578,5,NA,NA,0
"KNILEDAVIS","RB","Knile Davis","KCC",49,170,85,NA,0,0,0,0,102,366,5,21,150,1,NA,NA,1
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",21,170,85,NA,0,0,0,0,0,0,0,55,639,4,NA,NA,1
"CARLOSHYDE","RB","Carlos Hyde","SFO",50,172,84,NA,0,0,0,0,81,485,4,18,149,0,NA,NA,1
"ROYHELU","RB","Roy Helu","WAS",51,173,83,NA,0,0,0,0,80,350,2,38,305,1,NA,NA,0
"BRANDONMYERS","TE","Brandon Myers","TBB",22,173,83,NA,0,0,0,0,1,2,0,50,534,5,NA,NA,0
"TYLEREIFERT","TE","Tyler Eifert","CIN",23,175,82,NA,0,0,0,0,0,0,0,48,525,5,NA,NA,0
"ROBERTWOODS","WR","Robert Woods","BUF",70,176,81,NA,0,0,0,0,3,15,0,45,520,5,NA,NA,1
"JAMESSTARKS","RB","James Starks","GBP",52,177,80,NA,0,0,0,0,102,480,3,10,86,1,NA,NA,0
"JACEAMARO","TE","Jace Amaro","NYJ",24,177,80,NA,0,0,0,0,0,0,0,43,568,4,NA,NA,0
"STEVENJACKSON","RB","Steven Jackson","ATL",53,179,78,NA,0,0,0,0,150,450,3,24,150,0,NA,NA,0
"BRANDONGIBSON","WR","Brandon Gibson","MIA",71,179,78,NA,0,0,0,0,1,0,0,50,545,4,NA,NA,0
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",71,179,78,NA,0,0,0,0,7,22,0,49,606,3,NA,NA,1
"SCOTTCHANDLER","TE","Scott Chandler","BUF",25,182,76,NA,0,0,0,0,0,0,0,44,561,4,NA,NA,2
"SHONNGREENE","RB","Shonn Greene","TEN",54,183,75,NA,0,0,0,0,100,410,5,8,45,0,NA,NA,0
"DONNIEAVERY","WR","Donnie Avery","KCC",73,183,75,NA,0,0,0,0,2,7,0,37,578,3,NA,NA,0
"ERICEBRON","TE","Eric Ebron","DET",26,185,74,NA,0,0,0,0,0,0,0,44,500,4,NA,NA,0
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",26,185,74,NA,0,0,0,0,0,0,0,42,520,4,NA,NA,1
"DENARIUSMOORE","WR","Denarius Moore","OAK",74,185,74,NA,0,0,0,0,0,0,0,37,504,4,NA,NA,0
"LANCEDUNBAR","RB","Lance Dunbar","DAL",55,188,73,NA,0,0,0,0,63,279,2,30,245,2,NA,NA,1
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",56,189,72,NA,0,0,0,0,103,435,3,14,135,0,NA,NA,1
"MYCHALRIVERA","TE","Mychal Rivera","OAK",28,189,72,NA,0,0,0,0,0,0,0,40,420,5,NA,NA,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",75,189,72,NA,0,0,0,0,0,1,0,33,506,4,NA,NA,1
"TAVONAUSTIN","WR","Tavon Austin","STL",76,192,71,NA,0,0,0,0,8,47,1,42,452,3,NA,NA,1
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",57,193,69,NA,0,0,0,0,111,468,2,19,156,0,NA,NA,2
"MARLONBROWN","WR","Marlon Brown","BAL",77,193,69,NA,0,0,0,0,2,0,0,47,518,3,NA,NA,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",77,193,69,NA,0,0,0,0,7,34,0,45,500,3,NA,NA,1
"BRENTCELEK","TE","Brent Celek","PHI",29,196,68,NA,0,0,0,0,0,0,0,32,408,5,NA,NA,1
"ZACHMILLER","TE","Zach Miller","SEA",30,197,67,NA,0,0,0,0,0,0,0,36,393,5,NA,NA,1
"JARIUSWRIGHT","WR","Jarius Wright","MIN",79,197,67,NA,0,0,0,0,3,17,1,30,422,3,NA,NA,0
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",58,199,65,NA,0,0,0,0,124,444,1,17,139,1,NA,NA,2
"JOHNBROWN","WR","John Brown","ARI",80,199,65,NA,0,0,0,0,1,4,0,43,470,3,NA,NA,0
"STEVEJOHNSON","WR","Stevie Johnson","SFO",80,199,65,NA,0,0,0,0,1,3,0,45,495,3,NA,NA,1
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",59,202,64,NA,0,0,0,0,80,325,3,19,106,1,NA,NA,1
"BOBBYRAINEY","RB","Bobby Rainey","TBB",59,202,64,NA,0,0,0,0,125,414,2,23,138,0,NA,NA,1
"MIKETOLBERT","RB","Mike Tolbert","CAR",59,202,64,NA,0,0,0,0,78,273,3,20,138,1,NA,NA,0
"ROBERTTURBIN","RB","Robert Turbin","SEA",59,202,64,NA,0,0,0,0,100,425,2,11,109,0,NA,NA,0
"BRANDONLAFELL","WR","Brandon LaFell","NEP",82,202,64,NA,0,0,0,0,1,5,0,38,460,3,NA,NA,0
"ANTHONYFASANO","TE","Anthony Fasano","KCC",31,207,63,NA,0,0,0,0,0,0,0,35,332,5,NA,NA,0
"RICHARDRODGERS","TE","Richard Rodgers","GBP",31,207,63,NA,0,0,0,0,0,0,0,36,450,3,NA,NA,0
"LANCEMOORE","WR","Lance Moore","PIT",83,207,63,NA,0,0,0,0,2,9,0,38,471,3,NA,NA,1
"DONALDBROWN","RB","Donald Brown","SDC",63,210,62,NA,0,0,0,0,60,280,3,16,103,1,NA,NA,0
"KHIRYROBINSON","RB","Khiry Robinson","NOS",63,210,62,NA,0,0,0,0,100,450,2,7,50,0,NA,NA,0
"COLEBEASLEY","WR","Cole Beasley","DAL",84,210,62,NA,0,0,0,0,1,1,0,43,464,3,NA,NA,1
"BRANDONBOSTICK","TE","Brandon Bostick","GBP",33,213,60,NA,0,0,0,0,0,0,0,34,425,3,NA,NA,0
"BRIANQUICK","WR","Brian Quick","STL",85,213,60,NA,0,0,0,0,3,16,0,37,474,2,NA,NA,0
"PEYTONHILLIS","RB","Peyton Hillis","NYG",65,215,59,NA,0,0,0,0,92,332,2,14,86,1,NA,NA,0
"JAMESWHITE","RB","James White","NEP",65,215,59,NA,0,0,0,0,105,433,1,5,40,1,NA,NA,0
