"name","pos","name_eds","team_eds","positionRank_eds","overallRank_eds","pts_eds","passAtt_eds","passComp_eds","passYds_eds","passTds_eds","passInt_eds","rushAtt_eds","rushYds_eds","rushTds_eds","rec_eds","recYds_eds","recTds_eds","returnTds_eds","twoPts_eds","fumbles_eds"
"SHANEVEREEN","RB","Shane Vereen","NE",24,79,149.4,NA,NA,NA,NA,NA,125,576,3,61,558,3,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",21,81,149.3,NA,NA,NA,NA,NA,69,1125,6,1,8,0,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",26,82,149.1,NA,NA,NA,NA,NA,206,937,8,12,74,0,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",22,82,149.1,NA,NA,NA,NA,NA,76,1011,8,0,0,0,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",27,84,148.9,NA,NA,NA,NA,NA,192,814,4,42,315,2,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",23,84,148.9,NA,NA,NA,NA,NA,76,1045,7,2,24,0,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",28,86,148.5,NA,NA,NA,NA,NA,210,935,5,28,190,1,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",29,87,147.9,NA,NA,NA,NA,NA,212,901,4,37,278,1,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",30,88,147.4,NA,NA,NA,NA,NA,199,786,7,32,208,1,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","SEA",24,89,146.4,NA,NA,NA,NA,NA,71,856,7,15,128,1,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",31,90,146.1,NA,NA,NA,NA,NA,105,441,3,79,600,4,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",32,91,144.9,NA,NA,NA,NA,NA,226,983,7,7,46,0,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",25,92,144,NA,NA,NA,NA,NA,80,1020,7,0,0,0,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",33,93,143.2,NA,NA,NA,NA,NA,192,816,5,35,256,1,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",26,94,143,NA,NA,NA,NA,NA,64,1046,6,4,24,0,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",34,95,140.2,NA,NA,NA,NA,NA,206,731,6,33,251,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",27,96,139.9,NA,NA,NA,NA,NA,72,979,7,0,0,0,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",35,97,139.5,NA,NA,NA,NA,NA,155,659,7,36,256,1,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",36,98,137.6,NA,NA,NA,NA,NA,192,883,6,23,133,0,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",4,99,137.4,NA,NA,NA,NA,NA,NA,NA,NA,73,894,8,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",28,100,136.9,NA,NA,NA,NA,NA,70,973,6,4,36,0,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",29,101,136.6,NA,NA,NA,NA,NA,86,1066,5,0,0,0,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",30,102,133.3,NA,NA,NA,NA,NA,66,812,5,14,161,1,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",31,103,132.8,NA,NA,NA,NA,NA,87,953,6,3,15,0,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",32,104,132.1,NA,NA,NA,NA,NA,66,901,7,0,0,0,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",5,105,131.6,NA,NA,NA,NA,NA,NA,NA,NA,75,896,7,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",33,106,130.8,NA,NA,NA,NA,NA,68,993,5,3,15,0,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",37,107,130.5,NA,NA,NA,NA,NA,165,686,5,32,259,1,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",38,108,130.4,NA,NA,NA,NA,NA,184,837,6,16,107,0,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",39,109,128.6,NA,NA,NA,NA,NA,178,854,7,2,12,0,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",34,110,128.2,NA,NA,NA,NA,NA,72,922,6,0,0,0,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",35,111,127.5,NA,NA,NA,NA,NA,49,915,6,0,0,0,NA,NA,NA
