"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstPtsAllowed","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg019","fg2029","fg3039","fg4049","fg50","xp"
"LESEANMCCOY","RB","PHI","cbs2","LeSean McCoy",573,2015,3,4,244.45,182.6,289.925,120.335524785935,9.25625,4.77520716244657,44.2887842037914,1.56195,NA,NA,NA,NA,NA,NA,290,1410,10,34,28,298,2,0,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","PHI","averageRobust","LeSean McCoy",573,2015,3,3,242.898133908242,182.6,289.925,118.783658694177,9.25625,4.77520716244657,44.2887842037914,1.56195,157.5,0,0,0,0,0,290.5,1404,9.25,39.425,28,324.25,2.04448065137365,0,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","PIT","yahoo","Le'Veon Bell",574,2015,5,7,242.625,190.175,242.625,118.510524785935,13.94375,3.54088333510317,22.3357092175288,4.27065,262,0,0,0,0,0,265,1195,2.7,83.8,66,717,3.2,0,0.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","WR","DET","averageRobust","Calvin Johnson",143,2015,1,4,265.07481060805,189.775,277.8,117.945682949662,11.1875,5.75373783357932,41.6461101374826,6.21195,0,0,0,0,0,0,0,0,0,93.25,52,1567,11.999968434675,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","PHI","average","LeSean McCoy",573,2015,3,3,241.58125,182.6,289.925,117.466774785935,9.25625,4.77520716244657,44.2887842037914,1.56195,157.5,0,0,0,0,0,290.666666666667,1400.5,9.025,39.425,28,324.25,2.075,0,0.1,1.93333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MONTEEBALL","RB","DEN","cbs1","Montee Ball",662,2015,7,8,241.3,74.425,241.3,117.185524785935,37.95,6.77040704100545,71.496156656611,8.1891,NA,NA,NA,NA,NA,NA,266,1306,11,53,11,332,2,0,0.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARYIUSTHOMAS","WR","DEN","cbs2","Demaryius Thomas",265,2015,2,5,263.45,251.2,281.75,116.320872341612,7.95625,2.84683363720168,13.8635312961742,2.2413,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,1466,13,0,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARYIUSTHOMAS","WR","DEN","average","Demaryius Thomas",265,2015,1,4,262.525,251.2,281.75,115.395872341612,7.95625,2.84683363720168,13.8635312961742,2.2413,0,0,0,0,0,0,0,0,0,100.25,101,1491,12.575,0,1.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDYNELSON","WR","GB","yahoo","Jordy Nelson",479,2015,3,8,260.075,219.2,260.075,112.945872341612,15.275,3.60309751901297,19.7404552358011,6.01195,0,0,0,0,0,0,0,0,0,97,84,1443,13.3,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYGRAHAM","TE","NO","cbs2","Jimmy Graham",444,2015,1,6,233.15,216.575,233.15,112.554011515484,12.34375,2.24020078359346,7.90546685844676,3.66195,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,75,1238,13,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARSHAWNLYNCH","RB","SEA","espn","Marshawn Lynch",605,2015,5,6,236.575,187.1,268.425,112.460524785935,8.325,4.30856262417849,35.8378546081747,2.78729833462074,0,0,0,0,0,0,303,1285,12,33,30,279,1,0,0.1,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYGRAHAM","TE","NO","cbs1","Jimmy Graham",444,2015,1,9,233.025,216.575,233.15,112.429011515484,12.34375,2.24020078359346,7.90546685844676,3.66195,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,75,1189,14,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","KC","yahoo","Jamaal Charles",389,2015,6,9,235.7,235.7,307.8,111.585524785935,5.99375,4.01502854183591,30.609795545435,3.4413,248,0,0,0,0,0,255.666666666667,1130,12.6,41.9,28,292,2.8,0,0.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARYIUSTHOMAS","WR","DEN","averageRobust","Demaryius Thomas",265,2015,2,5,258.431336869088,251.2,281.75,111.3022092107,7.95625,2.84683363720168,13.8635312961742,2.2413,0,0,0,0,0,0,0,0,0,95.2118503440425,101,1459.5,12.5489728115146,0,1.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DAL","average","DeMarco Murray",264,2015,4,5,233.725,196.025,292.125,109.610524785935,7.1125,4.94770076755509,46.3132090588995,2.57065,192.5,0,0,0,0,0,227.333333333333,1310,9.225,54.85,41,417,0.875,0,0.1,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYGRAHAM","TE","NO","averageRobust","Jimmy Graham",444,2015,1,6,227.949913130912,216.575,233.15,107.353924646396,12.34375,2.24020078359346,7.90546685844676,3.66195,0,0,0,0,0,0,0,0,0,87.75,75,1174.75,13.4510271884854,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARYIUSTHOMAS","WR","DEN","espn","Demaryius Thomas",265,2015,2,7,253.7,251.2,281.75,106.570872341612,7.95625,2.84683363720168,13.8635312961742,2.2413,0,0,0,0,0,0,0,0,0,93,101,1400,13,0,1.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYGRAHAM","TE","NO","average","Jimmy Graham",444,2015,1,6,226.89375,216.575,233.15,106.297761515484,12.34375,2.24020078359346,7.90546685844676,3.66195,0,0,0,0,0,0,0,0,0,90.5,75,1174.75,13.475,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DAL","averageRobust","DeMarco Murray",264,2015,4,7,229.098114564387,196.025,292.125,104.983639350322,7.1125,4.94770076755509,46.3132090588995,2.57065,192.5,0,0,0,0,0,226.75,1208.5,9.0000274172331,55.55,41,428,1.09132501016481,0,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMMANUELSANDERS","WR","DEN","yahoo","Emmanuel Sanders",323,2015,4,10,252.015,165.7,252.015,104.885872341612,46.33125,5.68974695874125,39.1305675484865,9.9826,11.7,0,0,0,0,0,1,58.9,0.1,105,84,1449,10.9,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","WR","DET","average","Calvin Johnson",143,2015,2,7,251.99375,189.775,277.8,104.864622341612,11.1875,5.75373783357932,41.6461101374826,6.21195,0,0,0,0,0,0,0,0,0,88.6,52,1488.75,11.35,0,0.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","MIN","averageRobust","Adrian Peterson",11,2015,5,8,228.97279911864,96.45,256.725,104.858323904575,19.10625,6.81353071375969,75.0993092511509,4.3239,62.5,0,0,0,0,0,296.5,1299,10.25,40.5,3,288.386211529528,1.23325377957485,0,0.1,2.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYGRAHAM","TE","NO","yahoo","Jimmy Graham",444,2015,1,11,224.825,216.575,233.15,104.229011515484,12.34375,2.24020078359346,7.90546685844676,3.66195,0,0,0,0,0,0,0,0,0,103,75,1157,13.9,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARYIUSTHOMAS","WR","DEN","cbs1","Demaryius Thomas",265,2015,2,10,251.2,251.2,281.75,104.070872341612,7.95625,2.84683363720168,13.8635312961742,2.2413,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,101,1440,12,0,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBGRONKOWSKI","TE","NE","yahoo","Rob Gronkowski",742,2015,2,12,223.825,162.9,223.825,103.229011515484,30.00625,4.26595555694351,25.1855323879935,9.16195,0,0,0,0,0,0,0,0,0,90.6,75,1177,12.9,0,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARSHAWNLYNCH","RB","SEA","average","Marshawn Lynch",605,2015,5,8,224.28125,187.1,268.425,100.166774785935,8.325,4.30856262417849,35.8378546081747,2.78729833462074,136,0,0,0,0,0,281,1214.75,11,29.725,30,251.25,1.7,0,0.1,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","MIN","cbs2","Adrian Peterson",11,2015,4,7,224.025,96.45,256.725,99.9105247859347,19.10625,6.81353071375969,75.0993092511509,4.3239,NA,NA,NA,NA,NA,NA,281,1277,10,42,3,289,1,0,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARSHAWNLYNCH","RB","SEA","averageRobust","Marshawn Lynch",605,2015,6,9,223.612065654561,187.1,268.425,99.4975904404962,8.325,4.30856262417849,35.8378546081747,2.78729833462074,136,0,0,0,0,0,278.5,1214.75,11.2551359424269,29.725,30,251.25,1,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
