"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation","bidUpToSim"
"JAMAALCHARLES","Jamaal Charles","RB",276.837608598223,3.15256422889173,74,"KC",9,1.87077640786405,1,307.4,268.025,265.375,282.625,279.9075,279.5,283.025,257.35,274.65,276.287341269841,276.837608598223,246.170531706999,153.667469955035,1.0413,14.1929531614969,59.7,68,79,10.5363006940564,74
"LESEANMCCOY","LeSean McCoy","RB",263.100672229449,3.85410964768013,75,"PHI",14,2.00389870043319,2,289.725,244.25,254.95,274.95,262.8025,281.175,270.1,264.45,225.575,263.619722222222,263.100672229449,223.984838579309,139.930533586261,1.05941766901095,19.5473774260414,60.1,68,67,9.59110286744398,60
"MATTFORTE","Matt Forte","RB",253.575209417379,2.65057923848802,67,"CHI",18,4.20129956681106,3,276.7,249.1,254.7,247.425,255.105,243.525,244.125,250.75,246.825,252.472777777778,253.575209417379,214.467396332806,130.405070774191,1.24197322556544,10.1152039030363,53.85,61,58,8.74608021735751,61
"CALVINJOHNSON","Calvin Johnson","WR",266.79968365548,2.94736517331734,70,"DET",12,6.10454848383872,1,271.25,268.75,280,256.375,266.925,244.625,250.625,277.875,258.8,264.086904761905,266.79968365548,231.421528151265,122.642617253642,1.4913,12.1016083067959,55.95,63,67,10.1063875793733,58
"ADRIANPETERSON","Adrian Peterson","RB",242.930791859818,2.95934164303902,73,"MIN",22,2.82922359213595,4,250.8,223.825,262.625,255.275,240.2325,244.5,241.6,253.125,262.225,247.265912698413,242.930791859818,203.965470744281,119.76065321663,1.4413,12.2510496007258,58.3,66,52,5.76519110278484,52
"DEMARYIUSTHOMAS","Demaryius Thomas","WR",255.112156404468,3.58097122004468,64,"DEN",17,10.6798900366544,2,249,261.25,253,286.25,254.9,286.25,259.125,252.175,238.125,260.521031746032,255.112156404468,218.295390898411,110.955090002629,2.0913,16.2642581678354,51.35,58,59,10.0714566031057,58
"EDDIELACY","Eddie Lacy","RB",226.025813145601,3.34977933877494,70,"GB",29,6.0740253248917,5,250.825,209.675,225.625,239.375,223.675,249.6,208,225.4,223.65,227.837698412698,226.025813145601,178.396796249577,102.855674502413,1.2913,15.4156576246361,55.85,63,43,4.87519732320115,51
"JIMMYGRAHAM","Jimmy Graham","TE",223.874728150512,3.76397926391193,67,"NO",30,9.86494501832722,1,232.625,232.75,217.375,202.75,224.9375,252.5,209.25,221.125,210.55,222.856150793651,223.874728150512,177.707982353911,101.367317065058,4.2239,15.2064830495454,53.4,61,49,8.60904284504612,45
"DEMARCOMURRAY","DeMarco Murray","RB",222.694870942978,4.08928200403489,43,"DAL",31,14.5311562812396,6,246.775,194.825,206.025,NA,220.7,219.45,247.075,213.925,228.175,220.73125,222.694870942978,170.187023747189,99.5247322997894,3.6913,18.3133574884563,34.7,40,40,10.0330234738852,35
"ARIANFOSTER","Arian Foster","RB",218.64987278363,3.89792223948605,42,"HOU",32,13.5519660113296,7,237.6,206.325,195.775,NA,214.5625,240.75,223.15,217.925,220.825,219.0890625,218.64987278363,166.036543341148,95.4797341404422,5.3652,14.9162534755057,33.35,38,38,9.5563385212508,35
"PEYTONMANNING","Peyton Manning","QB",342.050068753799,3.50287324077245,51,"DEN",1,16.9168777074309,1,346.76,348.48,363,359.4,344.888,330.92,356.98,335.98,343.38,346.137555555556,342.050068753799,342.050068753799,94.4427020939715,6.4565,10.6305014201798,41.1,47,39,9.35910514524129,44
"MARSHAWNLYNCH","Marshawn Lynch","RB",217.6070231222,3.88144985579327,63,"SEA",34,8.84480173275575,8,210.825,194,241.375,235.5,209.7525,228.5,212.15,247.85,206.275,219.495119047619,217.6070231222,166.256104773723,94.4368844790118,2.3913,18.2205037225313,55.85,63,37,6.37672694789863,35
"DEZBRYANT","Dez Bryant","WR",237.59955117477,3.40551974457319,58,"DAL",24,13.80973008997,3,232.375,228.375,238.675,257.875,227.925,252.625,214.625,248.075,244,237.783333333333,237.59955117477,189.06665830863,93.4424847729319,3.0826,13.7764404872957,46.3,53,48,8.95635094049087,50
"MONTEEBALL","Montee Ball","RB",215.887473129979,3.70941456759968,57,"DEN",36,13.1928357214262,9,241.1,199.75,195.925,222.375,212.66,231.375,221.1,206.8,204.05,213.808650793651,215.887473129979,162.063093450208,92.7173344867913,3.9326,15.1244233361143,50.65,57,36,6.37331978957701,22
"JULIOJONES","Julio Jones","WR",234.943820162937,2.73950219764326,47,"ATL",25,15.5084471842719,4,224.25,244.375,229.275,248.6,236.7375,238.975,243.825,237.725,229.115,237.170198412698,234.943820162937,192.196106532095,90.7867537610984,3.5826,8.09657403542455,37.75,43,49,10.0448568979987,46
"AJGREEN","A.J. Green","WR",232.512840939999,2.8983695728097,60,"CIN",26,14.4727257580806,5,226.75,227,233,241.925,227.4,237.075,223.375,252.375,221.8,232.287301587302,232.512840939999,184.196504494642,88.3557745381605,3.0326,9.9482724630963,48.35,55,47,6.56526497003536,52
"BRANDONMARSHALL","Brandon Marshall","WR",231.70643175556,3.87405884436716,51,"CHI",27,16.4948017327557,6,220.375,232,225.75,264,222.2125,258.75,206.75,233.875,224.5,232.910912698413,231.70643175556,180.05535898092,87.5493653537221,2.1913,18.3945776279618,40.9,47,47,9.85193106562173,54
"LEVEONBELL","Le'Veon Bell","RB",210.306447693552,3.85778567514854,48,"PIT",41,15.9844218593802,10,241.075,193.475,206.05,NA,213.675,193.425,216.5,214.75,190.95,207.95,210.306447693552,156.417321215545,87.1363090503638,3.5326,16.7226696006179,42.65,48,32,7.90617884039481,13
"DOUGMARTIN","Doug Martin","RB",207.799584766891,4.13876112660672,43,"TB",43,23.5019493502166,11,219.975,181.7,212.7,222.25,205.2175,208.125,222.875,210.15,182.65,206.125357142857,207.799584766891,151.910749917865,84.6294461237024,6.4239,15.5403539771818,37.5,43,31,8.23774380389093,29
"GIOVANIBERNARD","Giovani Bernard","RB",203.302484507444,4.40600869890485,39,"CIN",44,17.3227090969677,12,243.4,196.75,194.45,NA,207.7,173.975,198.825,213.55,207.375,203.078125,203.302484507444,151.250174636165,80.1323458642555,4.5239,19.7797309561184,33.95,39,31,9.04605517766833,16
"JORDYNELSON","Jordy Nelson","WR",217.511411907519,2.63871666562327,38,"GB",35,22.2740253248917,7,219,223,220.75,212.85,215.925,217.575,198.875,222.375,218.125,216.401984126984,217.511411907519,167.990531612869,73.3543455056809,3.5826,7.32434344801256,33.55,38,36,9.20018902091981,22
"ZACSTACY","Zac Stacy","RB",196.371583975215,3.00931505659536,40,"STL",49,24.5564978340553,13,208.1,189.525,188.575,NA,196.9325,187.125,208.65,203.15,199.7,196.7321875,196.371583975215,141.413739799541,73.201445332027,4.8913,8.6542956341985,34.95,40,27,3.85014760171006,16
"ANDREELLINGTON","Andre Ellington","RB",195.97542454467,4.43772923182411,30,"ARI",50,32.8961012995668,14,209.2,178.05,179.825,223.75,189.335,220.75,194.975,198.175,198.675,198.376904761905,195.97542454467,138.154832123224,72.805285901482,7.8152,16.2261854557516,26.2,30,27,9.17750721488094,6
"AARONRODGERS","Aaron Rodgers","QB",319.159790065599,4.70316189199452,45,"GB",2,23.248667110963,2,337.46,338.26,344.62,311.22,334.52,282.02,328.2,330.08,297.38,320.678888888889,319.159790065599,315.729837111258,71.5524234057713,5.2739,21.1914109959672,35.9,41,25,8.9839415279413,19
"ANTONIOBROWN","Antonio Brown","WR",215.025289926899,2.72103570995951,38,"PIT",37,25.0369876707764,8,218.25,202.375,226.075,NA,215.5125,213.55,211.4,221.275,214.7,215.925520833333,215.025289926899,163.942602456333,70.8682235250603,4.3826,7.03226282387875,33.2,38,36,8.58988587680968,26
"ALSHONJEFFERY","Alshon Jeffery","WR",214.993384036278,2.66657473419565,41,"CHI",38,24.6571142952349,9,214.875,200,223,213.275,215.6625,212.775,205.325,217.75,202.96,214.093293650794,214.993384036278,162.107989725957,70.8363176344402,3.6326,7.48011906656572,35.7,41,36,7.78072088611792,30
"DREWBREES","Drew Brees","QB",317.839884043776,2.79881806598529,46,"NO",3,25.6747250916361,3,323.6,326.02,318.6,312.9,320.19,312.92,324.42,328.22,310.44,319.195555555556,317.839884043776,305.406341161392,70.2325173839486,5.4326,6.41704068174039,36.6,42,24,5.15905529921453,27
"ALFREDMORRIS","Alfred Morris","RB",186.330648303216,3.67238789170255,36,"WAS",55,20.2065144951683,15,213.65,186.35,190.45,NA,192.18,170.75,185.45,175.9,178.95,184.6975,186.330648303216,130.952698060927,63.1605096600281,5.4326,13.1104353202216,31.5,36,20,5.55682806169954,5
