"name","name_accu","pos","team_accu","positionRank_accu","overallRank_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","twoPts_accu","fumbles_accu","pts_accu"
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",15,66,NA,NA,NA,NA,NA,764,4.73,51.4,452,2.34,NA,2.25,159.5
"ZACSTACY","Zac Stacy","RB","STL",16,67,NA,NA,NA,NA,NA,953,6.21,37.2,210,1.64,NA,2.67,158.1
"MONTEEBALL","Montee Ball","RB","DEN",17,68,NA,NA,NA,NA,NA,1005,6.51,23.4,153,1.04,NA,2.5,156.2
"RYANMATHEWS","Ryan Mathews","RB","SD",18,69,NA,NA,NA,NA,NA,994,5.1,29.6,219,1.33,NA,2.7,154.5
"DENARIUSMOORE","Denarius Moore","WR","OAK",18,70,NA,NA,NA,NA,NA,NA,NA,85.4,1273,4.79,NA,0.94,154.3
"CHRISJOHNSON","Chris Johnson","RB","NYJ",19,71,NA,NA,NA,NA,NA,891,4.94,35.2,264,1.7,NA,2.6,150.2
"ANDREJOHNSON","Andre Johnson","WR","HOU",19,72,NA,NA,NA,NA,NA,NA,NA,104,1225,4.87,NA,0.89,150
"TOBYGERHART","Toby Gerhart","RB","JAC",20,73,NA,NA,NA,NA,NA,850,6.65,26.3,197,1.24,NA,2.68,146.8
"ZACHMILLER","Zach Miller","TE","SEA",3,74,NA,NA,NA,NA,NA,NA,NA,71.4,926,8.98,NA,0.63,145.2
"JOIQUEBELL","Joique Bell","RB","DET",21,75,NA,NA,NA,NA,NA,585,5.07,50.2,453,2.35,NA,1.87,144.7
"REGGIEBUSH","Reggie Bush","RB","DET",22,76,NA,NA,NA,NA,NA,615,3.69,55.8,472,2.96,NA,2.41,143.8
"GOLDENTATE","Golden Tate","WR","DET",20,77,NA,NA,NA,NA,NA,NA,NA,87,1065,5.08,NA,1.39,143.7
"RAYRICE","Ray Rice","RB","BAL",23,78,NA,NA,NA,NA,NA,754,4.6,51.9,326,2.16,NA,2.6,143.4
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",4,79,NA,NA,NA,NA,NA,NA,NA,83,1132,5.14,NA,0.74,142.7
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",21,80,NA,NA,NA,NA,NA,NA,NA,55.3,601,2.87,NA,0.88,140.8
"PIERRETHOMAS","Pierre Thomas","RB","NO",24,81,NA,NA,NA,NA,NA,428,2.51,90.3,618,4.14,NA,2.12,140.6
"JULIANEDELMAN","Julian Edelman","WR","NE",22,82,NA,NA,NA,NA,NA,NA,NA,93.4,1005,5.23,NA,3.68,140.3
"GREGOLSEN","Greg Olsen","TE","CAR",5,83,NA,NA,NA,NA,NA,NA,NA,95.1,1045,6.18,NA,0.82,140
"ANDREELLINGTON","Andre Ellington","RB","ARI",25,84,NA,NA,NA,NA,NA,605,4.24,45.1,426,2.12,NA,1.55,138.1
"CJSPILLER","C.J. Spiller","RB","BUF",26,85,NA,NA,NA,NA,NA,809,4,38.8,271,1.63,NA,2.12,137.6
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",27,86,NA,NA,NA,NA,NA,620,4.82,44.3,374,2.12,NA,1.73,137.5
"PIERREGARCON","Pierre Garcon","WR","WAS",23,86,NA,NA,NA,NA,NA,NA,NA,89.8,1090,4.89,NA,0.83,137.5
"MICHAELFLOYD","Michael Floyd","WR","ARI",24,88,NA,NA,NA,NA,NA,NA,NA,76.9,1115,4.4,NA,0.65,136.6
"BRIANHARTLINE","Brian Hartline","WR","MIA",25,89,NA,NA,NA,NA,NA,NA,NA,84.1,1118,4.34,NA,0.75,136.4
"SHONNGREENE","Shonn Greene","RB","TEN",28,90,NA,NA,NA,NA,NA,888,6.4,14.2,106,0.58,NA,2.49,136.3
"DESEANJACKSON","DeSean Jackson","WR","WAS",26,91,NA,NA,NA,NA,NA,NA,NA,63.5,986,5.86,NA,0.85,134.2
"REGGIEWAYNE","Reggie Wayne","WR","IND",26,91,NA,NA,NA,NA,NA,NA,NA,89.5,1036,5.38,NA,0.79,134.2
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",28,93,NA,NA,NA,NA,NA,NA,NA,83.2,972,5.91,NA,1.21,134.1
"MARVINJONES","Marvin Jones","WR","CIN",29,94,NA,NA,NA,NA,NA,NA,NA,54.3,843,7.37,NA,0.52,133.5
"FRANKGORE","Frank Gore","RB","SF",29,95,NA,NA,NA,NA,NA,795,6.27,17.6,152,0.85,NA,2.09,133.3
"FREDJACKSON","Fred Jackson","RB","BUF",30,96,NA,NA,NA,NA,NA,572,4.32,48.8,392,2,NA,1.86,130.5
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",31,97,NA,NA,NA,NA,NA,586,3.62,51.2,398,2.31,NA,2.32,129.5
"STEVENJACKSON","Steven Jackson","RB","ATL",32,98,NA,NA,NA,NA,NA,542,4.32,52.5,361,2.52,NA,2.01,127.4
"DOUGBALDWIN","Doug Baldwin","WR","SEA",30,99,NA,NA,NA,NA,NA,NA,NA,57.2,949,5.3,NA,0.5,126.1
"DARRENMCFADDEN","Darren McFadden","RB","OAK",33,100,NA,NA,NA,NA,NA,566,4.36,46.8,345,2.09,NA,2.07,125.7
"JAREDCOOK","Jared Cook","TE","STL",6,100,NA,NA,NA,NA,NA,NA,NA,67.3,849,7.07,NA,0.8,125.7
"TRENTRICHARDSON","Trent Richardson","RB","IND",34,102,NA,NA,NA,NA,NA,659,4.84,29.2,245,1.53,NA,2.05,124.6
"JASONWITTEN","Jason Witten","TE","DAL",7,103,NA,NA,NA,NA,NA,NA,NA,85,878,6.37,NA,0.76,124.5
"KENDALLWRIGHT","Kendall Wright","WR","TEN",31,104,NA,NA,NA,NA,NA,NA,NA,90.8,1029,3.82,NA,1.05,123.7
"MIKEBROWN","Mike Brown","WR","JAC",32,105,NA,NA,NA,NA,NA,NA,NA,75.8,1060,3.85,NA,2.79,123.6
"RODSTREATER","Rod Streater","WR","OAK",33,106,NA,NA,NA,NA,NA,NA,NA,71.9,1008,3.93,NA,0.78,123.3
"JORDANCAMERON","Jordan Cameron","TE","CLE",8,107,NA,NA,NA,NA,NA,NA,NA,83,964,4.6,NA,0.75,122.5
"TORREYSMITH","Torrey Smith","WR","BAL",34,108,NA,NA,NA,NA,NA,NA,NA,60.9,1023,3.38,NA,0.55,121.6
"DWAYNEBOWE","Dwayne Bowe","WR","KC",35,109,NA,NA,NA,NA,NA,NA,NA,72.1,899,5.45,NA,0.61,121.4
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",9,110,NA,NA,NA,NA,NA,NA,NA,69,844,6.04,NA,0.6,119.4
"RILEYCOOPER","Riley Cooper","WR","PHI",36,111,NA,NA,NA,NA,NA,NA,NA,44.7,792,6.65,NA,0.43,118.2
"MICHAELCRABTREE","Michael Crabtree","WR","SF",37,112,NA,NA,NA,NA,NA,NA,NA,68.7,932,4.37,NA,0.81,118.1
"RASHARDMENDENHALL","Rashard Mendenhall","RB","ARI",35,113,NA,NA,NA,NA,NA,666,5.56,21.3,171,0.93,NA,2.68,117.3
"CHRISGIVENS","Chris Givens","WR","STL",38,114,NA,NA,NA,NA,NA,NA,NA,61,997,2.82,NA,0.66,116.3
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",39,115,NA,NA,NA,NA,NA,NA,NA,62.2,808,6.05,NA,0.63,115.8
"MIKEWALLACE","Mike Wallace","WR","MIA",39,115,NA,NA,NA,NA,NA,NA,NA,74.7,901,4.48,NA,0.65,115.8
"ANQUANBOLDIN","Anquan Boldin","WR","SF",41,117,NA,NA,NA,NA,NA,NA,NA,66.7,881,4.54,NA,0.64,115
"HAKEEMNICKS","Hakeem Nicks","WR","IND",42,118,NA,NA,NA,NA,NA,NA,NA,63.6,929,3.42,NA,0.56,112.4
"EDDIEROYAL","Eddie Royal","WR","SD",43,119,NA,NA,NA,NA,NA,NA,NA,42.8,639,5.86,NA,1.5,108.7
"EDWINBAKER","Edwin Baker","RB","CLE",36,120,NA,NA,NA,NA,NA,582,4.19,27.6,210,0.99,NA,1.42,107.4
"CHARLESCLAY","Charles Clay","TE","MIA",10,121,NA,NA,NA,NA,NA,NA,NA,73.1,807,4.58,NA,0.65,107.1
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",44,122,NA,NA,NA,NA,NA,NA,NA,64.9,857,3.28,NA,1.02,106.8
"DWAYNEALLEN","Dwayne Allen","TE","IND",11,123,NA,NA,NA,NA,NA,NA,NA,52.1,709,6.13,NA,0.64,106.4
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",45,124,NA,NA,NA,NA,NA,NA,NA,74.1,796,4.47,NA,0.65,105.7
"RODDYWHITE","Roddy White","WR","ATL",46,125,NA,NA,NA,NA,NA,NA,NA,73.9,815,4.36,NA,1.01,105.6
"KENNYSTILLS","Kenny Stills","WR","NO",47,126,NA,NA,NA,NA,NA,NA,NA,40.8,714,5.8,NA,0.36,105.5
"RUEBENRANDLE","Rueben Randle","WR","NYG",48,127,NA,NA,NA,NA,NA,NA,NA,56.2,868,3.34,NA,2.8,104.8
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",49,128,NA,NA,NA,NA,NA,NA,NA,42.5,744,5.28,NA,0.94,104.5
"MARKINGRAM","Mark Ingram","RB","NO",37,129,NA,NA,NA,NA,NA,685,4.29,12,97,0.52,NA,1.54,103.9
"DANNYAMENDOLA","Danny Amendola","WR","NE",50,130,NA,NA,NA,NA,NA,NA,NA,71.9,813,3.47,NA,0.63,101.7
"COBYFLEENER","Coby Fleener","TE","IND",12,131,NA,NA,NA,NA,NA,NA,NA,61.9,718,5.12,NA,0.54,101.4
"MIKEWILLIAMS","Mike Williams","WR","BUF",51,132,NA,NA,NA,NA,NA,NA,NA,61.7,764,3.71,NA,0.56,97.5
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",52,133,NA,NA,NA,NA,NA,NA,NA,55.6,830,2.63,NA,0.67,97.4
