"name","name_accu","pos","team_accu","positionRank_accu","overallRank_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","twoPts_accu","fumbles_accu","pts_accu"
"MATTCASSEL","Matt Cassel","QB","MIN",47,369,6.3,3.6,40,0.19,0.24,2,0.01,NA,NA,NA,NA,0.06,2
"JOSEPHANDERSON","Joseph Anderson","WR","CHI",143,369,NA,NA,NA,NA,NA,NA,NA,1.3,15,0.06,NA,0.01,2
"MATTHASSELBECK","Matt Hasselbeck","QB","IND",49,372,6,3.5,40,0.17,0.18,0,0,NA,NA,NA,NA,0.03,1.9
"CASEKEENUM","Case Keenum","QB","HOU",49,372,5.8,3.1,33,0.15,0.11,2,0.02,NA,NA,NA,NA,0.08,1.9
"JALENPARMELE","Jalen Parmele","RB","ARI",112,372,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.08,1.9
"THADDEUSLEWIS","Thaddeus Lewis","QB","BUF",51,375,5.4,3.1,35,0.14,0.11,1,0.01,NA,NA,NA,NA,0.11,1.7
"MIKEGLENNON","Mike Glennon","QB","TB",51,375,5.2,3,32,0.16,0.12,0,0,NA,NA,NA,NA,0.03,1.7
"QUINTONPATTON","Quinton Patton","WR","SF",144,375,NA,NA,NA,NA,NA,NA,NA,1.1,14,0.05,NA,0.02,1.7
"MATTMCGLOIN","Matt McGloin","QB","OAK",53,378,6,3.1,36,0.16,0.25,1,0,NA,NA,NA,NA,0.04,1.6
"KELLENCLEMENS","Kellen Clemens","QB","SD",54,379,5.1,2.8,33,0.13,0.13,1,0,NA,NA,NA,NA,0.09,1.5
"LUKEMCCOWN","Luke McCown","QB","NO",54,379,7.1,3,34,0.12,0.15,0,0,NA,NA,NA,NA,0,1.5
"BRADSMELLEY","Brad Smelley","RB","HOU",113,379,NA,NA,NA,NA,NA,0,0,2,9,0.09,NA,0.02,1.5
"NILESPAUL","Niles Paul","TE","WAS",70,379,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.08,1.5
"TJYATES","T.J. Yates","QB","ATL",56,383,7.1,4.3,44,0.18,0.41,0,0,NA,NA,NA,NA,0.14,1.4
"TYRODTAYLOR","Tyrod Taylor","QB","BAL",56,383,6.4,2.9,33,0.12,0.33,2,0.02,NA,NA,NA,NA,0,1.4
"JERONMASTRUD","Jeron Mastrud","TE","CHI",71,385,NA,NA,NA,NA,NA,NA,NA,0.9,10,0.05,NA,0.01,1.3
"MARKSANCHEZ","Mark Sanchez","QB","PHI",58,386,4.6,2.5,29,0.11,0.15,0,0,NA,NA,NA,NA,0.07,1.2
"ARMANTIEDWARDS","Armanti Edwards","WR","CHI",145,386,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.09,1.2
"LEONWASHINGTON","Leon Washington","RB","TEN",114,388,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.09,1
"VANCEMCDONALD","Vance McDonald","TE","SF",72,388,NA,NA,NA,NA,NA,NA,NA,0.7,9,0.02,NA,0.02,1
"TIQUANUNDERWOOD","Tiquan Underwood","WR","CAR",146,390,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.03,0.8
"DANTEROSARIO","Dante Rosario","TE","CHI",73,390,NA,NA,NA,NA,NA,NA,NA,0.3,4,0.05,NA,0.02,0.8
"RYANMALLETT","Ryan Mallett","QB","NE",59,392,6.9,2.6,29,0.1,0.38,-1,0,NA,NA,NA,NA,0,0.7
"ERICWEEMS","Eric Weems","WR","CHI",147,392,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.12,0.7
"COLEBEASLEY","Cole Beasley","WR","DAL",147,392,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.26,0.7
"CHRISGRONKOWSKI","Chris Gronkowski","RB","SD",115,395,NA,NA,NA,NA,NA,0,0,0.3,3,0.02,NA,0.02,0.6
"PERCYHARVIN","Percy Harvin","WR","SEA",149,395,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.01,0.6
"GARRETTCELEK","Garrett Celek","TE","SF",74,395,NA,NA,NA,NA,NA,NA,NA,0.7,6,0.02,NA,0.08,0.6
"KAHLILBELL","Kahlil Bell","RB","GB",116,398,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.04,0.5
"JOEMCKNIGHT","Joe McKnight","RB","KC",117,399,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.04,0.4
"JOSHUACRIBBS","Joshua Cribbs","WR","NYJ",150,399,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.03,0.4
"KEILANDWILLIAMS","Keiland Williams","RB","WAS",118,401,NA,NA,NA,NA,NA,0,0,0.5,3,0.02,NA,0.01,0.3
"RONNIEBROWN","Ronnie Brown","RB","SD",118,401,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.01,0.3
"JEREMYSTEWART","Jeremy Stewart","RB","OAK",118,401,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.03,0.3
"JOEWEBB","Joe Webb","WR","CAR",151,401,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.05,0.3
"KEVINOGLETREE","Kevin Ogletree","WR","DET",151,401,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0.3
"LAVELLEHAWKINS","Lavelle Hawkins","WR","TB",151,401,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.01,0.3
"DEONTETHOMPSON","Deonte Thompson","WR","BAL",151,401,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0.3
"STEPHENBURTON","Stephen Burton","WR","JAC",151,401,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0.3
"DORINDICKERSON","Dorin Dickerson","TE","TEN",75,401,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.09,0.3
"ALEXGREEN","Alex Green","RB","NYJ",121,410,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0.2
"CYRUSGRAY","Cyrus Gray","RB","KC",121,410,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.01,0.2
"TYLERCLUTTS","Tyler Clutts","RB","DAL",121,410,NA,NA,NA,NA,NA,0,0,0.9,5,0.03,NA,0.3,0.2
"MATTHEWSLATER","Matthew Slater","WR","NE",156,410,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.01,0.2
"DJWILLIAMS","D.J. Williams","TE","NE",76,410,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.01,0.2
"EVANROYSTER","Evan Royster","RB","WAS",124,415,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0.1
"ANTHONYDIXON","Anthony Dixon","RB","BUF",124,415,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.01,0.1
"DANHERRON","Dan Herron","RB","IND",124,415,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.01,0.1
"MICHAELFORD","Michael Ford","RB","CHI",124,415,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0.1
"LAQUANWILLIAMS","LaQuan Williams","WR","BAL",157,415,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.02,0.1
"BRANDONLAFELL","Brandon LaFell","WR","NE",157,415,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.03,0.1
"JOSHBELLAMY","Josh Bellamy","WR","CHI",157,415,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0.1
"MARCUSEASLEY","Marcus Easley","WR","BUF",157,415,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0.1
"GREGMCELROY","Greg McElroy","QB","CIN",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"COLTMCCOY","Colt McCoy","QB","WAS",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"RYANLINDLEY","Ryan Lindley","QB","ARI",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"MATTFLYNN","Matt Flynn","QB","GB",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"DREWSTANTON","Drew Stanton","QB","ARI",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"SHAUNHILL","Shaun Hill","QB","STL",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"RICKYSTANZI","Ricky Stanzi","QB","JAC",60,423,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"DELONECARTER","Delone Carter","RB","JAC",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"MICHAELSMITH","Michael Smith","RB","TB",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"BRADIEEWING","Bradie Ewing","RB","JAC",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"RYANWILLIAMS","Ryan Williams","RB","DAL",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"MIKELLESHOURE","Mikel LeShoure","RB","DET",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"BERNARDSCOTT","Bernard Scott","RB","BAL",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"MIKECOX","Mike Cox","RB","ATL",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"MONTELLOWENS","Montell Owens","RB","DET",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"HENRYHYNOSKI","Henry Hynoski","RB","NYG",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"WILLJOHNSON","Will Johnson","RB","PIT",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"BRANDONBOLDEN","Brandon Bolden","RB","NE",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"ROBERTHUGHES","Robert Hughes","RB","ARI",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"DUJUANHARRIS","DuJuan Harris","RB","GB",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"CEDRICPEERMAN","Cedric Peerman","RB","CIN",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"DENNISJOHNSON","Dennis Johnson","RB","HOU",128,423,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"DEVIERPOSEY","DeVier Posey","WR","HOU",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"DANESANZENBACHER","Dane Sanzenbacher","WR","CIN",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"RYANWHALEN","Ryan Whalen","WR","CIN",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"PRESTONPARKER","Preston Parker","WR","NYG",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"SEYIAJIROTUTU","Seyi Ajirotutu","WR","SD",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"KRISDURHAM","Kris Durham","WR","DET",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"MARLONMOORE","Marlon Moore","WR","MIA",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"TONEYCLEMONS","Toney Clemons","WR","CAR",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"JURONCRINER","Juron Criner","WR","OAK",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"JONBALDWIN","Jon Baldwin","WR","SF",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"ARRELIOUSBENN","Arrelious Benn","WR","PHI",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.01,0
"BRIANROBISKIE","Brian Robiskie","WR","TEN",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"RAMSESBARDEN","Ramses Barden","WR","BUF",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"ANTHONYARMSTRONG","Anthony Armstrong","WR","CLE",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"JORDANNORWOOD","Jordan Norwood","WR","DEN",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"ROBERTMEACHEM","Robert Meachem","WR","NO",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"DEREKHAGAN","Derek Hagan","WR","TEN",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"COURTNEYROBY","Courtney Roby","WR","ATL",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"DEIONBRANCH","Deion Branch","WR","IND",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"KASSIMOSGOOD","Kassim Osgood","WR","SF",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"NATHANPALMER","Nathan Palmer","WR","DEN",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"KEVINELLIOTT","Kevin Elliott","WR","BUF",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"MICHAELPRESTON","Michael Preston","WR","TEN",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"ARMONBINNS","Armon Binns","WR","MIA",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"ANDREHOLMES","Andre Holmes","WR","OAK",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"JOSEPHMORGAN","Joseph Morgan","WR","NO",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"JAMARNEWSOME","Jamar Newsome","WR","DAL",161,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"VIRGILGREEN","Virgil Green","TE","DEN",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"RYANTAYLOR","Ryan Taylor","TE","GB",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"NATEBYHAM","Nate Byham","TE","TB",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"MICHAELPALMER","Michael Palmer","TE","PIT",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"TONYMOEAKI","Tony Moeaki","TE","BUF",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"LADARIUSGREEN","Ladarius Green","TE","SD",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"EVANRODRIGUEZ","Evan Rodriguez","TE","BUF",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"RHETTELLISON","Rhett Ellison","TE","MIN",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"TAYLORTHOMPSON","Taylor Thompson","TE","TEN",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"JAKEOCONNELL","Jake OConnell","TE","DEN",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"MATTHEWMULLIGAN","Matthew Mulligan","TE","CHI",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"GARYBARNIDGE","Gary Barnidge","TE","CLE",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"KELLENDAVIS","Kellen Davis","TE","NYG",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"MATTSPAETH","Matt Spaeth","TE","PIT",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"JOELDREESSEN","Joel Dreessen","TE","DEN",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"CHRISCOOLEY","Chris Cooley","TE","WAS",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"MIKEMCNEILL","Mike McNeill","TE","CAR",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"CORYHARKEY","Cory Harkey","TE","STL",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"KONRADREULAND","Konrad Reuland","TE","NYJ",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"MIKELEACH","Mike Leach","TE","ARI",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"TRAVISKELCE","Travis Kelce","TE","KC",77,423,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"DEVONWYLIE","Devon Wylie","WR","SF",189,498,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.28,-0.3
"RICHIEBROCKEL","Richie Brockel","RB","CAR",145,499,NA,NA,NA,NA,NA,0,0,0.6,8,0.02,NA,3.37,-5
