"name","pos","name_nf","team_nf","positionRank_nf","overallRank_nf","pts_nf","passAtt_nf","passComp_nf","passYds_nf","passTds_nf","passInt_nf","rushAtt_nf","rushYds_nf","rushTds_nf","rec_nf","recYds_nf","recTds_nf","returnTds_nf","twoPts_nf","fumbles_nf"
"TRENTRICHARDSON","RB","Trent Richardson","IND",23,77,148.23,0.04,0,0,0,0.04,185.91,673.81,4.1,56.26,500.28,1.57,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",25,78,146.75,0.11,0.06,1.51,0.06,0,0,0,0,91.98,1057.87,6.79,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",24,79,145.78,0.04,0,0,0,0,229.44,864.64,5.86,39.32,235.31,0.47,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,80,145.66,0,0,0,0,0,0,0,0,68.93,882.82,9.63,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",25,81,144.45,0.18,0,0,0,0.12,153.43,735.55,6.04,32.86,285.17,1.35,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",26,82,141.67,0.5,0.3,7.95,0.08,0,216.87,989.56,3.92,34.88,204.32,0.16,NA,NA,NA
"BENTATE","RB","Ben Tate","CLE",27,83,141.56,0,0,0,0,0,222.2,898.13,5.17,37.38,212.84,0.42,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",26,84,139.54,0.06,0,0,0,0,0,0,0,76.58,990.98,6.82,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",27,85,138.47,0.1,0,0,0,0,0,0,0,67.4,1010.1,6.32,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",28,86,135.59,0.18,0,0,0,0,139.74,609.95,4.69,43.53,415.12,1.21,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",28,87,133.45,0.35,0,0,0,0.04,0,0,0,65.84,941.14,6.67,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",3,88,128.62,0,0,0,0,0,0,0,0,58.59,815.42,7.94,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",4,89,126.58,0,0,0,0,0,0,0,0,79.77,924.84,5.75,NA,NA,NA
