Player,Action,,Proj Value,Avg Cost,Percent Drafted
Anquan Boldin,The add action is disabled,Add to Watch List,$6 ,$2.60 ,100%
(SF - WR),,,,,
Player Note,,,,,
Rashard Mendenhall,The add action is disabled,Add to Watch List,$13 ,$4.50 ,97%
(Ari - RB),,,,,
Player Note,,,,,
Eli Manning,The add action is disabled,Add to Watch List,$8 ,$3.30 ,100%
(NYG - QB),,,,,
No new player Notes,,,,,
Antonio Gates,The add action is disabled,Add to Watch List,$6 ,$2.80 ,99%
(SD - TE),,,,,
Player Note,,,,,
Ahmad Bradshaw,The add action is disabled,Add to Watch List,$6 ,$5.50 ,73%
(Ind - RB),,,,,
No new player Notes,,,,,
David Akers,The add action is disabled,Add to Watch List,$0 ,$1.10 ,77%
(Det - K),,,,,
No new player Notes,,,,,
Josh Brown,The add action is disabled,Add to Watch List,$0 ,$1.10 ,92%
(NYG - K),,,,,
No new player Notes,,,,,
Mike Williams,The add action is disabled,Add to Watch List,$7 ,$2.40 ,100%
(TB - WR),,,,,
No new player Notes,,,,,
Lance Moore,The add action is disabled,Add to Watch List,$7 ,$1.80 ,100%
(NO - WR),,,,,
No new player Notes,,,,,
Ben Roethlisberger,The add action is disabled,Add to Watch List,$8 ,$3.00 ,100%
(Pit - QB),,,,,
No new player Notes,,,,,
Josh Gordon,The add action is disabled,Add to Watch List,$7 ,$2.60 ,100%
(Cle - WR),,,,,
New Player Note,,,,,
Michael Crabtree,The add action is disabled,Add to Watch List,$0 ,$1.00 ,9%
(SF - WR),,,,,
No new player Notes,,,,,
Jason Hanson,The add action is disabled,Add to Watch List,$0 ,$1.10 ,56%
(Det - K),,,,,
NA,,,,,
No new player Notes,,,,,
Andre Brown,The add action is disabled,Add to Watch List,$10 ,$2.60 ,79%
(NYG - RB),,,,,
No new player Notes,,,,,
Ryan Tannehill,The add action is disabled,Add to Watch List,$1 ,$2.20 ,13%
(Mia - QB),,,,,
No new player Notes,,,,,
Kenny Britt,The add action is disabled,Add to Watch List,$7 ,$2.40 ,100%
(Ten - WR),,,,,
Player Note,,,,,
Michael Vick,The add action is disabled,Add to Watch List,$6 ,$3.10 ,99%
(Phi - QB),,,,,
Player Note,,,,,
Michael Turner,The add action is disabled,Add to Watch List,$1 ,$1.10 ,8%
(Atl - RB),,,,,
NA,,,,,
No new player Notes,,,,,
Mikel Leshoure,The add action is disabled,Add to Watch List,$7 ,$2.30 ,42%
(Det - RB),,,,,
No new player Notes,,,,,
Joe Flacco,The add action is disabled,Add to Watch List,$7 ,$2.60 ,99%
(Bal - QB),,,,,
No new player Notes,,,,,
Billy Cundiff,The add action is disabled,Add to Watch List,$0 ,$1.00 ,0%
(SF - K),,,,,
NA,,,,,
No new player Notes,,,,,
Alex Smith,The add action is disabled,Add to Watch List,$0 ,$1.70 ,13%
(KC - QB),,,,,
No new player Notes,,,,,
Willis McGahee,The add action is disabled,Add to Watch List,$3 ,$3.00 ,14%
(Den - RB),,,,,
NA,,,,,
No new player Notes,,,,,
Jonathan Stewart,The add action is disabled,Add to Watch List,$9 ,$3.00 ,67%
(Car - RB),,,,,
No new player Notes,,,,,
Mark Ingram,The add action is disabled,Add to Watch List,$9 ,$3.00 ,58%
(NO - RB),,,,,
No new player Notes,,,,,
Sidney Rice,The add action is disabled,Add to Watch List,$6 ,$1.90 ,99%
(Sea - WR),,,,,
No new player Notes,,,,,
Robbie Gould,The add action is disabled,Add to Watch List,$0 ,$1.10 ,3%
(Chi - K),,,,,
No new player Notes,,,,,
Shaun Suisham,The add action is disabled,Add to Watch List,$0 ,$1.00 ,0%
(Pit - K),,,,,
No new player Notes,,,,,
Shonn Greene,The add action is disabled,Add to Watch List,$5 ,$4.30 ,28%
(Ten - RB),,,,,
No new player Notes,,,,,
Denarius Moore,The add action is disabled,Add to Watch List,$7 ,$2.00 ,100%
(Oak - WR),,,,,
No new player Notes,,,,,
Giovani Bernard,The add action is disabled,Add to Watch List,$6 ,$2.20 ,31%
(Cin - RB),,,,,
No new player Notes,,,,,
Shane Vereen,The add action is disabled,Add to Watch List,$7 ,$2.80 ,16%
(NE - RB),,,,,
No new player Notes,,,,,
Adam Vinatieri,The add action is disabled,Add to Watch List,$0 ,$1.50 ,1%
(Ind - K),,,,,
No new player Notes,,,,,
Fred Jackson,The add action is disabled,Add to Watch List,$7 ,$2.30 ,31%
(Buf - RB),,,,,
No new player Notes,,,,,
Pierre Thomas,The add action is disabled,Add to Watch List,$3 ,$2.90 ,8%
(NO - RB),,,,,
No new player Notes,,,,,
Sam Bradford,The add action is disabled,Add to Watch List,$1 ,$1.80 ,19%
(StL - QB),,,,,
Player Note,,,,,
Bryce Brown,The add action is disabled,Add to Watch List,$7 ,$3.60 ,31%
(Phi - RB),,,,,
No new player Notes,,,,,
Zach Miller,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Sea - TE),,,,,
No new player Notes,,,,,
Knowshon Moreno,The add action is disabled,Add to Watch List,$6 ,$3.90 ,18%
