"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo","passAttMedian","passCompMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",30,219.41395035836,231.75,220.375,228.25,225.75,225,222.2125,258.75,206.75,213.75,221.25,208.825,220.25,174.75,234.75,222.325,0,0,221.2595,219.41395035836,15.822675464907,17.6634558936563,3.1826,4.0508438312032
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",31,215.981242438425,198.59,235.98,240.76,214.78,NA,225.438,204.64,218.9,217.56,241.4,225,214.9,233.1,252.82,223.98,562.5,338.471760415899,221.010928571429,215.981242438425,138.8,14.9084424994109,19.1,5.3442899321822
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",32,215.727888417732,301.98,246.775,197.825,206.025,216.75,216.76,219.45,222.875,190.6,210.5,211.6,211.625,242.45,213.925,217.925,0,0,219.580333333333,215.727888417732,13.1850129974005,26.3844794655242,3.0413,4.95557640456961
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",33,214.770437659895,217.57,215.125,200,223,217.625,215.6625,212.775,205.325,209.725,214.625,202.8,220.25,180,217.75,203.015,0,0,211.145166666667,214.770437659895,23.8583483303339,10.8815605197618,3.9326,3.41096779503992
"JORDYNELSON","Jordy Nelson","WR","GB",34,213.68189745359,219.035,219,223,220.75,216.125,215.925,217.575,198.875,206.125,215.25,213.375,228.5,193.375,222.5,196.875,0,0,213.265333333333,213.68189745359,21.0377924415117,10.3194896860723,4.2239,3.3807344139915
"ANTONIOBROWN","Antonio Brown","WR","PIT",35,211.975829962499,195.48,220.875,202.375,226.075,218.375,218.35,213.55,221.65,209.35,209.5,203.85,221.375,204.625,222.525,195.185,0,0,211.801833333333,211.975829962499,25.0202659468106,10.1198150510109,4.5739,3.39452111260169
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",36,211.574831010466,258.505,210.825,187.9,241.375,207.05,207.9225,228.5,212.15,207.525,217.375,211.6,220.125,178.425,237.75,203.15,0,0,212.6305,211.574831010466,10.9031393721256,20.2433457864789,2.9913,4.30361116937092
"MONTEEBALL","Montee Ball","RB","DEN",37,210.086779299881,157.425,241.1,199.75,195.925,216.1,212.135,231.375,218.475,212.875,237.5,209.525,210.625,222.875,217,198.5,0,0,209.145666666667,210.086779299881,12.3925814837033,20.0931884513846,4.4739,4.43530237107699
"LEVEONBELL","Le'Veon Bell","RB","PIT",38,208.700397228824,214.485,241.075,194.475,206.05,211.725,213.975,193.425,216.5,197.4,206.625,208.075,208.75,213.075,223.15,205.1,0,0,208.117666666667,208.700397228824,16.7752049590082,11.8290094682522,4.6239,3.57956562053033
"SAMBRADFORD","Sam Bradford","QB","STL",39,208.300016383555,224.39,231.54,246.26,169.94,NA,211.728,228.2,191.5,195.3,221.4,204.86,197.5,235.4,225.7,199.1,521,314,210.792178571429,208.300016383555,162.6,20.8941189543642,16.2,5.68636787628061
"CARSONPALMER","Carson Palmer","QB","ARI",40,207.666914573648,181.3,234.84,222.08,210.94,NA,216.804,201.62,208.7,198.2,207,210.62,204.5,229.46,244.3,189.98,565.300047144095,352.355202254642,208.233976190476,207.666914573648,142.6,17.121799145476,13.3,5.00040584892041
"ARIANFOSTER","Arian Foster","RB","HOU",41,207.537005313786,192.19,237.6,185.325,195.775,NA,207.0625,218,217.15,213.375,209,206.1,214.875,213.3,222.425,195.45,0,0,207.436845238095,207.537005313786,17.6423715256949,13.6756913321946,6.1413,3.92509342239319
"JOEFLACCO","Joe Flacco","QB","BAL",42,204.425660965257,168.87,226.22,207.56,202.3,NA,208.526,200.1,210.96,210.78,219.6,207.36,209,236.14,222.3,206.42,574.3,341.312491452979,207.161380952381,204.425660965257,161.3,15.3627689611556,17.6,5.2429128335126
"ELIMANNING","Eli Manning","QB","NYG",43,202.333565711811,141.56,213.34,213.38,211.18,NA,208.5,174.3,201.74,199.64,204.8,208.42,199.5,241.08,218.86,193.58,558.5,334.152613681036,199.763035714286,202.333565711811,142.226697127937,22.7832589396708,15.8304,5.84862232758056
"DOUGMARTIN","Doug Martin","RB","TB",44,200.175660627539,239.13,219.975,179.7,212.7,204.625,202.8675,208.125,214.125,179.65,180,177.1,199.875,213,203.55,178.075,0,0,198.629166666667,200.175660627539,25.4701959608078,18.4954158525707,5.0413,4.32342456919835
