"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",17,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,947,14.8,6.5,NA,0,146
"WESWELKER","Wes Welker","WR","DEN",17,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,990.5,12.2,9.5,NA,1,146
"MICHAELFLOYD","Michael Floyd","WR","ARI",19,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,1108,14,7,NA,0,145
"FRANKGORE","Frank Gore","RB","SF",24,78,NA,NA,NA,NA,NA,NA,NA,239.5,1040,4.3,7.5,16,127.5,8,0,NA,1.5,144
"STEVANRIDLEY","Stevan Ridley","RB","NE",24,78,NA,NA,NA,NA,NA,NA,NA,235,1028.5,4.4,8.5,8,56.5,7.1,0,NA,2,144
"VICTORCRUZ","Victor Cruz","WR","NYG",20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1097,13.4,7,NA,1,141
"BENTATE","Ben Tate","RB","CLE",26,81,NA,NA,NA,NA,NA,NA,NA,232,1043.5,4.5,7,23.5,139.5,5.9,0,NA,3,139
"RODDYWHITE","Roddy White","WR","ATL",21,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1093.5,12.7,6.5,NA,0.5,139
"CHRISJOHNSON","Chris Johnson","RB","NYJ",27,83,NA,NA,NA,NA,NA,NA,NA,243.5,1004.5,4.1,4.5,36,271,7.5,1,NA,2.5,138
"TRENTRICHARDSON","Trent Richardson","RB","IND",27,83,NA,NA,NA,NA,NA,NA,NA,241.5,914.5,3.8,6,38,287,7.6,0.5,NA,2.5,138
"VERNONDAVIS","Vernon Davis","TE","SF",4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,845,14.6,10.5,NA,0.5,138
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",22,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5,1021,14.3,7,NA,0.5,135
"GOLDENTATE","Golden Tate","WR","DET",22,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,1015.5,14.4,7,NA,1,135
"JULIANEDELMAN","Julian Edelman","WR","NE",24,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1068.5,11.4,6,NA,0.5,134
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",29,89,NA,NA,NA,NA,NA,NA,NA,228.5,907.5,4,5,36.5,270,7.4,1,NA,1.5,133
"RASHADJENNINGS","Rashad Jennings","RB","NYG",30,90,NA,NA,NA,NA,NA,NA,NA,197.5,868.5,4.4,5.5,36,262,7.3,1,NA,2,132
"STEVENJACKSON","Steven Jackson","RB","ATL",31,91,NA,NA,NA,NA,NA,NA,NA,197.5,835,4.2,6.5,28.5,179.5,6.3,1,NA,0.5,131
"DESEANJACKSON","DeSean Jackson","WR","WAS",25,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,939.5,16.3,7.5,NA,0,131
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",32,93,NA,NA,NA,NA,NA,NA,NA,219.5,858.5,3.9,5.5,33.5,252,7.5,0.5,NA,1,129
"TORREYSMITH","Torrey Smith","WR","BAL",26,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1049,16.4,5.5,NA,0.5,129
"GENOSMITH","Geno Smith","QB","NYJ",33,95,275,169,1957,9.5,8,61.5,7.1,33,144,4.4,2.5,NA,NA,NA,NA,NA,2,128
"PERCYHARVIN","Percy Harvin","WR","SEA",27,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,820,12.1,6.5,NA,0.5,128
"MIKEWALLACE","Mike Wallace","WR","MIA",28,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1015.5,14.5,5.5,NA,0.5,127
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",29,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,986.5,13.7,6,NA,0.5,126
"KENDALLWRIGHT","Kendall Wright","WR","TEN",30,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5,1043,11.8,5,NA,1,125
"MARQUESCOLSTON","Marques Colston","WR","NO",31,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.5,961.5,12.7,6,NA,0.5,124
"PIERRETHOMAS","Pierre Thomas","RB","NO",33,101,NA,NA,NA,NA,NA,NA,NA,158.5,635.5,4,4,56.5,393.5,7,2.5,NA,1,123
"FREDJACKSON","Fred Jackson","RB","BUF",34,102,NA,NA,NA,NA,NA,NA,NA,162.5,695.5,4.3,6,36.5,306,8.4,0.5,NA,1.5,121
"ERICDECKER","Eric Decker","WR","NYJ",32,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,941.5,14.2,6,NA,1,119
"JASONWITTEN","Jason Witten","TE","DAL",5,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.5,897.5,11.1,6,NA,0,118
"TYHILTON","T.Y. Hilton","WR","IND",33,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,952,14.6,5,NA,0.5,117
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",33,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,864,14.8,6.5,NA,1,117
"SAMMYWATKINS","Sammy Watkins","WR","BUF",35,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,881,15.3,6,NA,1,116
"MIKEEVANS","Mike Evans","WR","TB",36,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,815,14.6,7,NA,0.5,114
"BRANDINCOOKS","Brandin Cooks","WR","NO",37,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,865,14.3,6,NA,1.5,113
"DENNISPITTA","Dennis Pitta","TE","BAL",6,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5,790.5,12.1,7,NA,0,113
"TERRANCEWEST","Terrance West","RB","CLE",35,111,NA,NA,NA,NA,NA,NA,NA,157.5,729.5,4.6,5.5,22,184,8.4,0.5,NA,0,112
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",35,111,NA,NA,NA,NA,NA,NA,NA,181.5,803.5,4.4,4,25,203.5,8.1,1,NA,1.5,112
"RILEYCOOPER","Riley Cooper","WR","PHI",38,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,844.5,15.6,6,NA,0.5,111
"JORDANCAMERON","Jordan Cameron","TE","CLE",7,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5,874.5,11.7,5.5,NA,0.5,111
"KHIRYROBINSON","Khiry Robinson","RB","NO",37,115,NA,NA,NA,NA,NA,NA,NA,164.5,724.5,4.4,6.5,9,68,7.6,0.5,NA,0,110
"REGGIEWAYNE","Reggie Wayne","WR","IND",39,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,865.5,12.9,5,NA,0,109
"JOSHGORDON","Josh Gordon","WR","CLE",39,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,812,16.6,6.5,NA,1.5,109
"GREGOLSEN","Greg Olsen","TE","CAR",8,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5,847.5,11.4,5.5,NA,0.5,108
"JORDANREED","Jordan Reed","TE","WAS",8,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,780,12,6.5,NA,0,108
"RUEBENRANDLE","Rueben Randle","WR","NYG",41,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,821,13.6,5.5,NA,0.5,107
"HAKEEMNICKS","Hakeem Nicks","WR","IND",42,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,834.5,14.9,5,NA,0,106
"MARVINJONES","Marvin Jones","WR","CIN",43,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,803,13.2,5.5,NA,1,105
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",10,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,707.5,11.7,7,NA,0,105
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",38,124,NA,NA,NA,NA,NA,NA,NA,117,581.5,5,3,41.5,355.5,8.6,1.5,NA,0.5,104
"TAVONAUSTIN","Tavon Austin","WR","STL",44,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,719.5,13.2,4.5,NA,1.5,104
