Name,,Proj Value,Avg Cost,Percent Drafted,
,Ray Rice Bal - RB,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$12 ,$6.00 ,100%
,Golden Tate Det - WR,,,,
,Mon 4:10 pm vs NYG,,,,
?,No new player Notes,?,$14 ,$4.50 ,100%
,Kendall Wright Ten - WR,,,,
,Sun 10:00 am @ KC,,,,
?,No new player Notes,?,$10 ,$3.40 ,100%
,Marques Colston NO - WR,,,,
,Sun 10:00 am @ Atl,,,,
?,Player Note,?,$12 ,$4.20 ,100%
,Reggie Wayne Ind - WR,,,,
,Out,,,,
,Sun 5:30 pm @ Den,,,,
?,No new player Notes,?,$22 ,$4.70 ,100%
,Shane Vereen NE - RB,,,,
,Sun 10:00 am @ Mia,,,,
?,No new player Notes,?,$0 ,$1.40 ,100%
,Justin Tucker Bal - K,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$22 ,$6.80 ,97%
,Toby Gerhart Jax - RB,,,,
,Sun 10:00 am @ Phi,,,,
?,No new player Notes,?,$7 ,$2.50 ,100%
,Kyle Rudolph Min - TE,,,,
,Out,,,,
,Sun 10:00 am @ StL,,,,
?,No new player Notes,?,$12 ,$3.20 ,100%
,Tony Romo Dal - QB,,,,
,Out,,,,
,Sun 1:25 pm vs SF,,,,
?,No new player Notes,?,$9 ,$5.80 ,100%
,Russell Wilson Sea - QB,,,,
,Thu 5:30 pm vs GB,,,,
?,No new player Notes,?,$0 ,$1.30 ,97%
,Steven Hauschka Sea - K,,,,
,Thu 5:30 pm vs GB,,,,
?,No new player Notes,?,$22 ,$7.00 ,100%
,Joique Bell Det - RB,,,,
,Out,,,,
,Mon 4:10 pm vs NYG,,,,
?,New Player Note,?,$8 ,$4.30 ,100%
,Colin Kaepernick SF - QB,,,,
,Sun 1:25 pm @ Dal,,,,
?,No new player Notes,?,$12 ,$4.40 ,100%
,Philip Rivers SD - QB,,,,
,Mon 7:20 pm @ Ari,,,,
?,No new player Notes,?,$8 ,$2.80 ,100%
,Emmanuel Sanders Den - WR,,,,
,Sun 5:30 pm vs Ind,,,,
?,No new player Notes,?,$14 ,$2.40 ,94%
,Stevan Ridley NE - RB,,,,
,Sun 10:00 am @ Mia,,,,
?,No new player Notes,?,$0 ,$0.00 ,0%
,Tony Gonzalez Atl - TE,,,,
,Sun 10:00 am vs NO,,,,
?,Player Note,?,$8 ,$2.20 ,100%
,Mike Wallace Mia - WR,,,,
,Sun 10:00 am vs NE,,,,
?,No new player Notes,?,$7 ,$2.40 ,100%
,Anquan Boldin SF - WR,,,,
,Sun 1:25 pm @ Dal,,,,
?,No new player Notes,?,$0 ,$1.10 ,97%
,Phil Dawson SF - K,,,,
,Sun 1:25 pm @ Dal,,,,
?,New Player Note,?,$6 ,$5.30 ,94%
,Sammy Watkins Buf - WR,,,,
,Sun 10:00 am @ Chi,,,,
?,No new player Notes,?,$10 ,$2.10 ,100%
,Terrance Williams Dal - WR,,,,
,Sun 1:25 pm vs SF,,,,
?,No new player Notes,?,$12 ,$3.50 ,88%
,Steven Jackson Atl - RB,,,,
,Sun 10:00 am vs NO,,,,
?,No new player Notes,?,$7 ,$3.50 ,94%
,Mike Evans TB - WR,,,,
,Sun 1:25 pm vs Car,,,,
?,No new player Notes,?,$7 ,$2.80 ,100%
,Zach Ertz Phi - TE,,,,
,Sun 10:00 am vs Jax,,,,
?,No new player Notes,?,$7 ,$3.20 ,97%
,Riley Cooper Phi - WR,,,,
,Sun 10:00 am vs Jax,,,,
?,No new player Notes,?,$8 ,$2.30 ,100%
,Jay Cutler Chi - QB,,,,
,Sun 10:00 am vs Buf,,,,
?,No new player Notes,?,$8 ,$2.40 ,100%
,Cecil Shorts III Jax - WR,,,,
,Out,,,,
,Sun 10:00 am @ Phi,,,,
?,No new player Notes,?,$7 ,$1.90 ,94%
,Brandin Cooks NO - WR,,,,
,Sun 10:00 am @ Atl,,,,
?,Player Note,?,$7 ,$2.50 ,100%
,Jordan Reed Was - TE,,,,
,Sun 10:00 am @ Hou,,,,
?,No new player Notes,?,$0 ,$1.00 ,100%
,Dan Bailey Dal - K,,,,
,Sun 1:25 pm vs SF,,,,
?,New Player Note,?,$9 ,$2.60 ,76%
,Trent Richardson Ind - RB,,,,
,Out,,,,
,Sun 5:30 pm @ Den,,,,
?,Player Note,?,$1 ,$10.60 ,45%
,Josh Gordon Cle - WR,,,,
,Out,,,,
,Sun 10:00 am @ Pit,,,,
?,No new player Notes,?,$9 ,$2.40 ,82%
,Maurice Jones-Drew Oak - RB,,,,
,Sun 10:00 am @ NYJ,,,,
?,No new player Notes,?,$7 ,$1.90 ,97%
,Dwayne Bowe KC - WR,,,,
,Sun 10:00 am vs Ten,,,,
?,No new player Notes,?,$6 ,$1.60 ,100%
,Martellus Bennett Chi - TE,,,,
,Sun 10:00 am vs Buf,,,,
?,No new player Notes,?,$7 ,$1.30 ,100%
,Hakeem Nicks Ind - WR,,,,
,Sun 5:30 pm @ Den,,,,
?,No new player Notes,?,$9 ,$1.40 ,67%
,Pierre Thomas NO - RB,,,,
,Sun 10:00 am @ Atl,,,,
?,No new player Notes,?,$7 ,$3.00 ,36%
,Darren Sproles Phi - RB,,,,
,Sun 10:00 am vs Jax,,,,
?,Player Note,?,$7 ,$4.70 ,45%
,Fred Jackson Buf - RB,,,,
,Sun 10:00 am @ Chi,,,,
?,New Player Note,?,$0 ,$1.10 ,94%
,Mason Crosby GB - K,,,,
,Thu 5:30 pm @ Sea,,,,
?,No new player Notes,?,$7 ,$1.80 ,97%
,Marvin Jones Cin - WR,,,,
,Sun 10:00 am @ Bal,,,,
?,No new player Notes,?,$0 ,$0.00 ,0%
,Sidney Rice Sea - WR,,,,
,Thu 5:30 pm vs GB,,,,
?,New Player Note,?,$1 ,$1.00 ,3%
,David Wilson NYG - RB,,,,
,Out,,,,
,Mon 4:10 pm @ Det,,,,
?,New Player Note,?,$3 ,$3.60 ,15%
,Justin Blackmon Jax - WR,,,,
,Out,,,,
,Sun 10:00 am @ Phi,,,,
?,No new player Notes,?,$6 ,$1.30 ,97%
,Ben Roethlisberger Pit - QB,,,,
,Sun 10:00 am vs Cle,,,,
?,No new player Notes,?,$1 ,$1.40 ,30%
,Antonio Gates SD - TE,,,,
,Mon 7:20 pm @ Ari,,,,
?,No new player Notes,?,$0 ,$1.00 ,12%
,Michael Vick NYJ - QB,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$1 ,$0.00 ,0%
,Jeremy Hill Cin - RB,,,,
,Sun 10:00 am @ Bal,,,,
?,No new player Notes,?,$3 ,$0.00 ,0%
,BenJarvus Green-Ellis Cin - RB,,,,
,Sun 10:00 am @ Bal,,,,
?,No new player Notes,?,$6 ,$5.00 ,12%
,Shonn Greene Ten - RB,,,,
,Out,,,,
,Sun 10:00 am @ KC,,,,
?,No new player Notes,?,$7 ,$1.10 ,30%
,Danny Woodhead SD - RB,,,,
,Mon 7:20 pm @ Ari,,,,
?,Player Note,?,$8 ,$2.20 ,39%
,Terrance West Cle - RB,,,,
,Sun 10:00 am @ Pit,,,,
?,No new player Notes,?,$5 ,$1.70 ,100%
,Andy Dalton Cin - QB,,,,
,Sun 10:00 am @ Bal,,,,
?,No new player Notes,?,$0 ,$0.00 ,0%
,Brandon LaFell NE - WR,,,,
,Sun 10:00 am @ Mia,,,,
?,No new player Notes,?,$0 ,$1.00 ,12%
,Miles Austin Cle - WR,,,,
,Sun 10:00 am @ Pit,,,,
?,Player Note,?,$2 ,$2.40 ,85%
,Johnny Manziel Cle - QB,,,,
,Sun 10:00 am @ Pit,,,,
?,No new player Notes,?,$3 ,$1.50 ,94%
,Charles Clay Mia - TE,,,,
,Sun 10:00 am vs NE,,,,
?,Player Note,?,$0 ,$1.00 ,12%
,Jordan Matthews Phi - WR,,,,
,Sun 10:00 am vs Jax,,,,
?,Player Note,?,$0 ,$1.00 ,3%
,Jerricho Cotchery Car - WR,,,,
,Sun 1:25 pm @ TB,,,,
?,No new player Notes,?,$0 ,$0.00 ,0%
,Brandon Pettigrew Det - TE,,,,
,Mon 4:10 pm vs NYG,,,,
?,Player Note,?,$1 ,$1.00 ,9%
,Marqise Lee Jax - WR,,,,
,Sun 10:00 am @ Phi,,,,
?,No new player Notes,?,$0 ,$1.30 ,9%
,Teddy Bridgewater Min - QB,,,,
,Sun 10:00 am @ StL,,,,
?,Player Note,?,$1 ,$1.00 ,9%
,Alex Smith KC - QB,,,,
,Sun 10:00 am vs Ten,,,,
?,No new player Notes,?,$6 ,$1.40 ,100%
,James Jones Oak - WR,,,,
,Sun 10:00 am @ NYJ,,,,
?,No new player Notes,?,$1 ,$1.00 ,6%
,Greg Jennings Min - WR,,,,
,Sun 10:00 am @ StL,,,,
?,No new player Notes,?,$0 ,$1.00 ,6%
,Joseph Fauria Det - TE,,,,
,Mon 4:10 pm vs NYG,,,,
?,New Player Note,?,$1 ,$1.00 ,3%
,Jarrett Boykin GB - WR,,,,
,Thu 5:30 pm @ Sea,,,,
?,No new player Notes,?,$1 ,$1.00 ,6%
,Tre Mason StL - RB,,,,
,Out,,,,
,Sun 10:00 am vs Min,,,,
?,No new player Notes,?,$6 ,$1.10 ,21%
,DeAngelo Williams Car - RB,,,,
,Sun 1:25 pm @ TB,,,,
?,New Player Note,?,$6 ,$1.70 ,97%
,Danny Amendola NE - WR,,,,
,Sun 10:00 am @ Mia,,,,
?,No new player Notes,?,$4 ,$4.40 ,21%
,Darren McFadden Oak - RB,,,,
,Sun 10:00 am @ NYJ,,,,
?,Player Note,?,$5 ,$2.80 ,18%
,LeGarrette Blount Pit - RB,,,,
,Sun 10:00 am vs Cle,,,,
?,No new player Notes,?,$0 ,$1.60 ,42%
,Eric Ebron Det - TE,,,,
,Mon 4:10 pm vs NYG,,,,
?,No new player Notes,?,$2 ,$1.00 ,18%
,Kenny Stills NO - WR,,,,
,Sun 10:00 am @ Atl,,,,
?,Player Note,?,$1 ,$1.00 ,15%
