"name","name_nfl","pos","team_nfl","positionRank_nfl","overallRank_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","twoPts_nfl","fumbles_nfl","pts_nfl"
"CHRISGIVENS","Chris Givens","WR","STL",67,167,NA,NA,0,0,0,8,0,NA,672,6,0,1,102
"ANTONIOGATES","Antonio Gates","TE","SD",14,169,NA,NA,0,0,0,0,0,NA,732,5,0,1,101.2
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",53,170,NA,NA,0,0,0,652,6,NA,39,0,0,2,101.1
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",54,171,NA,NA,0,0,0,604,4,NA,164,0,0,0,100.8
"MARQISELEE","Marqise Lee","WR","JAX",69,172,NA,NA,0,0,0,0,0,NA,774,4,0,1,99.4
"RODSTREATER","Rod Streater","WR","OAK",70,173,NA,NA,0,0,0,7,0,NA,640,6,0,1,98.7
"HEATHMILLER","Heath Miller","TE","PIT",15,173,NA,NA,0,0,0,0,0,NA,647,6,0,1,98.7
"JAMESSTARKS","James Starks","RB","GB",55,175,NA,NA,0,0,0,488,4,NA,194,1,0,0,98.2
"ANDREWILLIAMS","Andre Williams","RB","NYG",56,176,NA,NA,0,0,0,396,7,NA,55,2,0,1,97.1
"NATEWASHINGTON","Nate Washington","WR","TEN",71,177,NA,NA,0,0,0,0,0,NA,723,4,0,0,96.3
"DELANIEWALKER","Delanie Walker","TE","TEN",16,177,NA,NA,0,0,0,0,0,NA,683,5,0,1,96.3
"DONNIEAVERY","Donnie Avery","WR","KC",72,179,NA,NA,0,0,0,6,0,NA,730,4,0,1,95.6
"JAREDCOOK","Jared Cook","TE","STL",17,180,NA,NA,0,0,0,0,0,NA,541,7,0,1,94.1
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",73,181,NA,NA,0,0,0,0,0,NA,680,4,0,0,92
"GARRETTGRAHAM","Garrett Graham","TE","HOU",18,182,NA,NA,0,0,0,0,0,NA,612,5,0,0,91.2
"ODELLBECKHAM","Odell Beckham","WR","NYG",74,183,NA,NA,0,0,0,10,0,NA,660,4,0,0,91
"ERICEBRON","Eric Ebron","TE","DET",19,183,NA,NA,0,0,0,0,0,NA,630,5,0,1,91
"DWAYNEALLEN","Dwayne Allen","TE","IND",20,185,NA,NA,0,0,0,0,0,NA,514,6,0,0,87.4
"LADARIUSGREEN","Ladarius Green","TE","SD",21,186,NA,NA,0,0,0,0,0,NA,562,5,0,0,86.2
"MALCOMFLOYD","Malcom Floyd","WR","SD",75,187,NA,NA,0,0,0,0,0,NA,620,4,0,0,86
