"player","position","positionRank","team","teams","aav","teams10","aavImputeZeros","aavPercent","aavImputeZerosPercent","aavFitted","aavPercentFitted","aavPercentToAAVFitted","predictedAAV","predictedAAVPercent","predictedAAVPercentToAAV"
"Charles Johnson","WR",44,"MIN",8,NA,2,0,NA,0,0.615894359562466,0.0610448499549446,0.976717599279114,0.309051801903746,0.0268167441590982,0.42906790654557
"Charles Johnson","WR",44,"MIN",6,NA,2,0,NA,0,0,-0.0185668343446415,0,0,0,0
"Charles Johnson","WR",44,"MIN",16,12,2,12,0.375,0.375,11.5055449020947,0.342828973491098,10.9705271517151,10.4418368287558,0.328870935588595,10.523869938835
"Charles Johnson","WR",44,"MIN",20,16,2,16,0.4,0.4,15.4590223491013,0.351733069409874,14.069322776395,14.0168815179224,0.347910065454043,13.9164026181617
"Charles Johnson","WR",44,"MIN",4,NA,2,0,NA,0,0,-0.0861318660601611,0,0,0,0
"Charles Johnson","WR",44,"MIN",14,9,2,9,0.321428571428571,0.321428571428571,8.65421286504001,0.293595248606674,8.22066696098687,7.7797211706212,0.274569693730835,7.68795142446338
"Charles Johnson","WR",44,"MIN",12,6,2,6,0.25,0.25,5.66582427005015,0.224982348405744,5.39957636173785,4.98054895455137,0.200889276556569,4.82134263735765
"Charles Johnson","WR",44,"MIN",10,2,2,2,0.1,0.1,2.87488335544956,0.144846729863455,2.8969345972691,2.37882441887081,0.115686141040944,2.31372282081888
"Charles Johnson","WR",44,"MIN",18,14,2,14,0.388888888888889,0.388888888888889,13.8853161428899,0.364827066083878,13.1337743790196,12.632391690631,0.355936545154711,12.8137156255696
"Charles Sims","RB",36,"TB",16,10,5,10,0.3125,0.3125,10.7877247345695,0.349025794175568,11.1688254136182,11.1973711157981,0.354626769637022,11.3480566283847
"Charles Sims","RB",36,"TB",12,7,5,7,0.291666666666667,0.291666666666667,6.77699138382409,0.29984294073947,7.19623057774729,6.99538520782324,0.290911931964108,6.98188636713858
"Charles Sims","RB",36,"TB",4,NA,5,0,NA,0,0,-0.0855823509786245,0,0,0,0
"Charles Sims","RB",36,"TB",6,NA,5,0,NA,0,0.274506031813415,0.0441880549699206,0.530256659639048,0.206021019968491,0.0134590698393326,0.161508838071991
"Charles Sims","RB",36,"TB",10,5,5,5,0.25,0.25,4.40528087993377,0.237888046863655,4.7577609372731,4.52804842531823,0.221691045969884,4.43382091939768
"Charles Sims","RB",36,"TB",8,2,5,2,0.125,0.125,2.14809684148385,0.152340636262244,2.4374501801959,2.17523810825362,0.128877643250064,2.06204229200102
