"projectionId","playerId","rec","recYds","recTds","rushAtt","rushYds","rushTds","fumbles","twoPts","rec100","rec150","rec200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
69356,2540157,41,556,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69357,768,32,469,2.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69358,2532850,3,54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69359,2532865,84,1224,7.5,3,26,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69360,2539336,38,364,1.6,16,110,1.2,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69361,2550617,46,605,2.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69362,2539205,43,696,6.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69363,2533539,7,81,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69364,2495459,50,852,6.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69365,2532790,7,114,0.5,2,9,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69366,2552430,8,114,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69367,2507855,49,809,5.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69368,2552431,3,33,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69369,2508115,2,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
69370,2506400,74,1102,4.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,25,NA,NA
79547,2495450,103.56,1351.88,7.11,1.06,7.68,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79548,2539256,4.73,49.97,0.24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79549,2540267,20.74,162.99,0.51,0.36,0.87,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79550,2541785,5.44,57.49,0.16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79551,2550272,22.8,288.27,1.54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79552,2550353,50.4,600.32,3.38,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79553,2543509,66.94,710.67,5.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79554,2533039,91.62,1277.98,9.36,1.98,10.93,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79555,2552487,64.46,843.82,4.72,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79556,206,17.65,236.1,0.59,0.38,2.08,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79557,2495453,30.22,416.82,3.66,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79558,2505551,86.27,1036.81,5.67,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79559,497320,20.36,272,0.6,1.28,3.32,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79560,2508097,35.47,409.33,2.14,1.45,10.84,0.02,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79561,2505587,71.31,944.63,4.06,0.5,2.25,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
