"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts"
"Brock Osweiler","QB","DEN",556,3.922,NA,5.13,NA,3.922,4.526,3.05422873521496,NA
"Brody Eldridge","TE","CHI",578,2.3625,NA,NA,NA,2.3625,2.3625,2.37619110906945,NA
"Bruce Gradkowski","QB","PIT",403,16.856,25.92,11.622,NA,16.856,17.9826666666667,10.2726749287857,NA
"Bruce Miller","RB","SF",496,7.9325,NA,NA,NA,7.9325,7.9325,2.14871959523128,22.3
"Bryan Walters","WR","SEA",650,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Bryce Brown","RB","PHI",163,92.95,84.725,103.2425,77.05,92.95,89.091875,89.7692332443029,84.02
"C.J. Anderson","RB","DEN",651,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"C.J. Spiller","RB","BUF",18,240.745,245.425,243.7175,252.45,240.745,244.867708333333,237.037529278417,220.78
"Caleb Hanie","QB","BAL",652,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Calvin Johnson","WR","DET",14,267.1675,285.75,270.8375,246.25,267.1675,267.399583333333,290.206130209881,268.5
"Cam Newton","QB","CAR",3,310.062,316.92,328.618,295.52,310.062,311.98,332.083968357753,308.61
"Carlton Mitchell","WR","DAL",618,0.55,NA,NA,NA,0.55,0.55,2.51088979260948,NA
"Carson Palmer","QB","ARI",46,206.22,211.58,209.95,210.74,206.22,208.355833333333,197.004935537041,207.32
"Case Keenum","QB","HOU",653,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Cecil Shorts","WR","JAC",78,167.7,157.25,178.4,171,167.7,168.520833333333,168.4944411599,160.98
"Cedric Benson","RB","FA",413,15.9975,57.725,NA,NA,15.9975,36.41125,7.95732009744273,45.93
"Cedric Peerman","RB","CIN",401,17.205,NA,NA,NA,17.205,17.205,2.39414781467366,50.17
"Chad Hall","WR","SF",518,6.4,NA,NA,NA,6.4,6.4,2.18324624041702,NA
"Chad Henne","QB","JAC",202,70.17,60.54,72.81,NA,70.17,67.5066666666667,55.5862414779205,100.01
"Chandler Harnish","QB","IND",654,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Charles Clay","TE","MIA",321,28.775,NA,28.875,NA,28.775,28.825,10.3088528823216,39.5
"Charles Johnson","WR","CAR",303,32.6875,NA,NA,33.875,32.6875,33.28125,11.804616517413,NA
"Charlie Batch","QB",NA,655,NA,NA,NA,NA,NA,0,2.55765622217905,11
"Charlie Whitehurst","QB","SD",545,4.66,NA,5.392,NA,4.66,5.026,3.15082435348177,NA
"Charly Martin","WR","SF",656,NA,NA,NA,NA,NA,0,2.55765622217905,6.25
"Chase Coffman","TE","ATL",455,11.0375,NA,NA,NA,11.0375,11.0375,2.14406303022679,NA
"Chase Daniel","QB","KC",421,14.794,NA,NA,NA,14.794,7.397,2.2553137210852,NA
"Chastin West","WR","DET",455,11.0375,NA,NA,NA,11.0375,11.0375,2.14406303022679,NA
"Chaz Schilens","WR",NA,324,28.375,NA,NA,28.375,28.375,28.375,9.72576666156624,50.13
"Chris ""Beanie"" Wells","RB",NA,435,13.3025,NA,NA,NA,13.3025,13.3025,2.1958226548154,NA
"Chris Givens","WR","STL",118,124.185,143.15,125.7375,88.625,124.185,120.725208333333,133.391555783468,121.23
"Chris Gragg","TE","BUF",380,20.0375,NA,NA,NA,20.0375,20.0375,2.62460454085573,NA
"Chris Gronkowski","RB","SD",586,1.65,NA,NA,NA,1.65,1.65,2.42558751241296,4.88
"Chris Harper","WR","SEA",411,16.075,NA,NA,26.75,16.075,21.4125,6.22854303628878,NA
"Chris Hogan","WR","BUF",657,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Chris Ivory","RB","NYJ",86,157.695,134.625,158.3075,186.45,157.695,158.902708333333,176.098686703674,36.58
"Chris Johnson","RB","TEN",50,200.675,186.3,207.8125,199.325,200.675,198.053125,199.506656635662,178.3
"Chris Ogbonnaya","RB","CLE",313,29.895,NA,29.7375,NA,29.895,29.81625,10.7752741202051,28.38
"Chris Owusu","WR","TB",499,7.85,NA,NA,NA,7.85,7.85,2.15003581904205,NA
"Chris Polk","RB","PHI",425,14.5325,12.375,NA,NA,14.5325,13.45375,4.8845065821543,NA
"Chris Pressley","RB","CIN",519,6.355,NA,NA,NA,6.355,6.355,2.18458198425793,6.43
"Chris Thompson","RB","WAS",476,9.05,NA,NA,NA,9.05,4.525,2.13697185086488,NA
"Christian Ponder","QB","MIN",75,169.888,162.56,201.862,143.7,169.888,168.2025,193.934275509729,176.83
"Christine Michael","RB","SEA",280,38.49,29.95,46.9175,42.85,38.49,39.5435416666667,37.4173524727689,NA
"Cierre Wood","RB","HOU",439,12.7625,NA,NA,NA,12.7625,6.28125,2.17925848829407,NA
"Clay Harbor","TE","PHI",469,9.7625,NA,NA,8.5,9.7625,9.13125,3.87212883807695,34.25
"Clyde Gates","WR","NYJ",353,23.55,NA,NA,NA,23.55,23.55,3.01145237108489,33.08
"Cobi Hamilton","WR","CIN",558,3.8375,NA,NA,NA,3.8375,3.8375,2.28856355608491,NA
"Coby Fleener","TE","IND",184,81.25,82.375,81.6625,79.625,81.25,81.2197916666667,76.5291745303959,48.13
"Colby Cameron","QB","CAR",658,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Cole Beasley","WR","DAL",363,21.7,NA,NA,NA,21.7,21.7,2.79375613244213,17
"Colin Cloherty","TE",NA,659,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Colin Cochart","TE","DAL",596,1.225,NA,NA,NA,1.225,1.225,2.45724430395768,NA
"Colin Kaepernick","QB","SF",6,294.896,304.32,296.932,297.08,294.896,296.948666666667,285.51018132097,169.06
"Colt McCoy","QB","SF",460,10.71,NA,NA,NA,10.71,10.71,2.14042922744181,8.66
"Conner Vernon","WR","OAK",660,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Cordarrelle Patterson","WR","MIN",169,89.0425,69,98.55,81.7,89.0425,85.5714583333333,85.2791327826365,NA
"Corey Fuller","WR","DET",370,21.025,43.125,NA,NA,21.025,32.075,9.12842524686317,NA
"Corey McIntyre","RB",NA,594,1.39,NA,NA,NA,1.39,1.39,2.44475947922462,5.63
"Cory Harkey","TE","STL",661,NA,NA,NA,NA,NA,0,2.55765622217905,5.63
"Courtney Roby","WR","NO",358,22.9375,NA,NA,45.875,22.9375,34.40625,9.76735471595799,16.13
"Craig Stevens","TE","TEN",337,26.275,NA,NA,53.75,26.275,40.0125,11.8375492408201,45.24
"Curtis McNeal","RB","PIT",662,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Curtis Painter","QB","NYG",576,2.432,NA,1.83,NA,2.432,2.131,2.76601761321348,NA
"Cyrus Gray","RB","KC",488,8.4075,NA,NA,NA,8.4075,4.20375,2.14234219653378,9.81
"D.C. Jefferson","TE","ARI",527,6,NA,NA,NA,6,6,2.19576345410508,NA
"D.J. Harper","RB","SF",663,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"D.J. Williams","TE","GB",371,20.9625,NA,NA,NA,20.9625,20.9625,2.71562540757765,9.11
"Da'Rel Scott","RB","NYG",436,13.2425,7.25,NA,NA,13.2425,10.19625,4.00038177309011,NA
"Da'Rick Rogers","WR","BUF",389,18.6,NA,NA,NA,18.6,9.25,2.49855364444977,NA
"Dale Moss","WR","CHI",664,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Damaris Johnson","WR","PHI",355,23.25,NA,NA,NA,23.25,23.25,2.97404161761119,41.02
"Damian Williams","WR","TEN",320,28.925,NA,NA,25.125,28.925,27.025,9.39305508248771,40.62
"Damien Berry","RB","BAL",531,5.34,NA,NA,NA,5.34,5.34,2.21958937075561,NA
"Dan Gronkowski","TE",NA,599,1.1625,NA,NA,NA,1.1625,1.1625,2.46203788277217,NA
"Dan Herron","RB",NA,554,4.1,NA,NA,NA,4.1,4.1,2.27503709514508,NA
"Dan Orlovsky","QB","TB",605,0.974,NA,0.338,NA,0.974,0.656,2.57062103039419,NA
"Danario Alexander","WR","SD",88,154.65,155.625,160.5,165.5,154.65,158.927083333333,153.321828178715,125.25
"Dane Sanzenbacher","WR","CIN",399,17.4625,NA,NA,NA,17.4625,17.4625,2.41209160066256,NA
"Daniel Fells","TE","NE",394,18.125,NA,NA,NA,18.125,18.125,2.4610215847016,11.63
"Daniel Thomas","RB","MIA",215,63.6825,65.8,53.6925,63.1,63.6825,61.3520833333333,59.1893868062412,70
"Danny Amendola","WR","NE",82,162.2875,138.35,173.375,173.75,162.2875,161.994791666667,173.126433188709,101.81
"Danny Coale","WR","DAL",567,3.225,NA,NA,NA,3.225,3.225,2.32255564312743,NA
"Danny Noble","TE","TB",665,NA,NA,NA,NA,NA,0,2.55765622217905,NA
