"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk","avgCost","projectedCost","inflatedCost"
"Alshon Jeffery","WR","CHI",161,129.05,54,102.6625,113.625,128.3875,92.375,102.6625,109.179166666667,113.793302213785,-41.7625,14.45,15.4223289151369,4.95849149276562,1,2,2
"Daniel Thomas","RB","MIA",162,168.9,56,71.1625,65.8,51.8925,63.1,71.1625,62.7970833333333,66.7468392294418,-42.2491666666667,21.7,8.12101094384191,4.91628091991759,NA,1,1
"Rod Streater","WR","OAK",163,171.5,55,101.4625,80.25,119.675,NA,101.4625,100.179166666667,95.5602762407287,-42.9625,23.7,19.7315142918632,6.49965211841695,NA,1,1
"Brandon LaFell","WR","CAR",164,159.5,56,100.8175,94.8,124,76,100.8175,99.1402083333333,105.707791504757,-43.6075,16.9,19.7897846517465,5.74436522735537,NA,1,1
"Brent Celek","TE","PHI",165,197.5,28,69.2125,79.75,79.125,71.25,69.2125,74.7510416666667,77.1449229761757,-44.3416666666667,23.8,5.38597111910501,4.83145155339593,1,2,2
"Ronnie Hillman","RB","DEN",166,144.85,57,69.03,75.85,93.9625,82.5,69.03,80.1689583333333,82.5882560295392,-44.3816666666667,21.4,10.6193883955637,5.17513923326327,NA,1,1
"Shonn Greene","RB","TEN",167,125.15,58,68.7925,86.375,99.8675,78.475,68.7925,82.9608333333333,85.8719231537767,-44.6191666666667,19.1,13.1359790588038,5.21198017658006,4.8,6,5
"Willis McGahee","RB","DEN",168,128.15,59,68.2325,57.8,50.43,106.675,68.2325,70.309375,73.5922451747844,-45.1791666666667,22.15,25.0169516174367,6.94469325860261,2.8,4,3
"Joel Dreessen","TE","DEN",169,NA,29,68.3625,65,71.875,48.375,68.3625,63.2364583333333,67.2005234976218,-45.1916666666667,NA,10.4045281358246,4.09206499433435,1,2,2
"Jacob Tamme","TE","DEN",170,168.3,30,66.5875,75.375,78.375,43.75,66.5875,66.021875,69.9163257580157,-46.9666666666667,52.5,15.6677693816265,9.25167015221781,NA,1,1
"Tony Scheffler","TE","DET",171,NA,31,65.3375,53.5,68.8625,82.125,65.3375,67.3729166666667,70.338624616906,-48.2166666666667,NA,11.7815644299332,4.41447953102535,NA,1,1
"Jake Locker","QB","TEN",172,166.5,26,160.47,163.1,218.252,169.8,160.47,176.713833333333,197.59680467839,-48.408,29.7,27.182952274051,8.04442781317699,NA,1,1
"Toby Gerhart","RB","MIN",173,183.2,60,63.8825,58.825,61.605,56.575,63.8825,59.946875,64.0406331547403,-49.5291666666667,9.5,3.19187338864916,2.97192295996137,NA,1,1
"Scott Chandler","TE","BUF",174,160,32,63.55,NA,77.0125,83.25,63.55,74.6041666666667,56.0896602945324,-50.0041666666667,0,10.0683937191259,2.71223495003446,0,0,0
"Isaac Redman","RB","PIT",175,170.5,61,63.155,57.975,39.3925,47.1,63.155,51.680625,56.2487058481144,-50.2566666666667,13.7,10.6935818708778,4.32084913220703,NA,1,1
"Tyler Eifert","TE","CIN",176,149,33,62.0875,78.125,84.8875,NA,62.0875,75.0333333333333,61.2586570588466,-51.4666666666667,23.85,11.710200770411,5.57742197032301,1,2,2
"Matt Flynn","QB","OAK",177,203.4,27,157.168,130.7,186.248,111.7,157.168,145.595666666667,171.164481489561,-51.71,43.5,32.4262304521098,10.2048813225279,0,0,0
"Rueben Randle","WR","NYG",178,165.5,57,92.2125,101,116.675,52.375,92.2125,90.4822916666667,99.8668418332889,-52.2125,16.3,27.3971511882014,6.56770166368375,NA,1,1
"Donald Brown","RB","IND",179,163,62,60.95,48.2,77.02,48.325,60.95,58.59875,62.119359382741,-52.4616666666667,22.7,13.6449290794541,5.67503128615038,NA,1,1
"David Ausberry","TE","OAK",180,NA,34,61,NA,52.0375,NA,61,56.51875,29.5159900771066,-52.5541666666667,NA,6.33744452638444,3.13981204121221,NA,1,1
"Mike Gillislee","RB","MIA",181,166.1,63,60.7875,51.85,63.6125,46.85,60.7875,55.55,59.8293064595676,-52.6241666666667,20.7,7.780591504935,4.76435382257278,NA,1,1
"Jacoby Jones","WR","BAL",182,149.85,58,90.4,97.3,96.2,66.625,90.4,87.83125,92.0275856873434,-54.025,14.55,14.3275575814582,4.8415359753781,1,2,2
"Jeff Cumberland","TE","NYJ",183,NA,35,58.1625,NA,68.6625,31.875,58.1625,52.9,40.5427370201157,-55.3916666666667,NA,18.9499464049374,6.09285980552007,NA,1,1
"Malcom Floyd","WR","SD",184,150,59,88.575,101,105.1625,73.75,88.575,92.121875,96.0054135440015,-55.85,21.2,14.1301700530874,5.56372544206787,1,2,2
"Robert Woods","WR","BUF",185,154.75,60,88.0375,84.65,89.7375,94.225,88.0375,89.3291666666667,89.9546626718457,-56.3875,12.6,3.98278849132949,3.41194584643762,0,0,0
"Brandon Weeden","QB","CLE",186,194.5,28,152.36,159.78,192.442,158.04,152.36,164.6305,174.153438639434,-56.518,68.5,18.1365583192255,11.3338834978289,NA,1,1
"Santana Moss","WR","WAS",187,184.8,61,87.1125,85.825,90.875,62.875,87.1125,81.6635416666667,85.6708843067241,-57.3125,4.4,12.7131017351851,3.5149753951,1,2,2
"Luke Stocker","TE","TB",188,NA,36,55.8375,56.75,43.5375,56.25,55.8375,53.09375,57.2969691972207,-57.7166666666667,NA,6.38174887863821,3.15018530970659,NA,1,1
"Nate Burleson","WR","DET",189,183.6,62,86.355,87.9,97.6,90.125,86.355,90.8475,91.3959291746634,-58.07,16.8,4.98302284428504,3.9997556348355,NA,1,1
"Aaron Dobson","WR","NE",190,133.7,63,86.2,80.75,98,70.375,86.2,83.7479166666667,87.1910226128981,-58.225,14.7,11.5025970799352,4.52763392966288,1.2,2,2
"Zac Stacy","RB","STL",191,119.7,64,54.4325,72.275,123.605,61.7,54.4325,77.8114583333333,80.7276286092351,-58.9791666666667,20.7,31.271438870997,7.51438688357896,2,3,3
"Travis Kelce","TE","KC",192,NA,37,53.6625,59.125,31.7625,NA,53.6625,48.1833333333333,38.8497913537374,-59.8916666666667,NA,14.4807648998019,5.04646103554497,NA,1,1
"Stephen Hill","WR","NYJ",193,174.4,64,84.45,88.75,88.8375,127.5,84.45,97.2760416666667,101.443215451251,-59.975,17.5,20.1812654846642,5.85744008232409,NA,1,1
