"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo"
"Owen Daniels","TE",118.475,4.0669932247684,3,"HOU",125,113.1,10,117.75,119.45,110.875,118.475,116.5875,111.53094240505,4.86249999999998,17.5,3.90429784553723,2.2,3,1
"Brian Hartline","WR",118.2875,4.87541392390833,2,"MIA",126,133.4,50,100.125,122.1625,108.5,118.2875,112.14375,112.697289836846,-31.9891666666667,16.25,9.92951461133256,1.3,2,1
"Jermichael Finley","TE",118.25,4.89333998830538,2,"GB",127,117.1,11,101,120.75,112.625,118.25,112.947916666667,112.531260079738,4.63749999999999,18,8.78764224635937,1.3,2,1
"Greg Little","WR",117.45,4.78574802529612,2,"CLE",128,159.5,51,99.1,115.5625,128.875,117.45,115.380208333333,117.37527866743,-32.8266666666667,12.2,12.2664955901227,1.2,2,1
"Brandon LaFell","WR",116.0125,5.93851577860369,2,"CAR",129,158.9,52,94.8,124.4125,119,116.0125,113.90625,116.307146922952,-34.2641666666667,21.4,12.9784777773307,1.1,2,1
"Alshon Jeffery","WR",115.2375,4.85132637035034,2,"CHI",130,131.2,53,113.625,128.3875,104.875,115.2375,115.522916666667,115.41476037143,-35.0391666666667,16.35,9.70496275538104,1,2,1
"Brandon Myers","TE",114.925,3.44940431159768,2,"NYG",131,122.05,12,115.625,115.3625,117.125,114.925,115.759375,108.098387906651,1.3125,16.15,0.955105524274671,1.5,2,1
"Jared Cook","TE",114.4625,4.35940141636033,2,"STL",132,105.65,13,112.75,125.65,109.625,114.4625,115.463541666667,113.096241623347,0.849999999999994,15.8,6.9789592630874,1.3,2,1
"Pierre Thomas","RB",113.125,5.3971626442658,3,"NO",133,121.65,36,89.075,117.8175,104.675,113.125,106.023125,108.620410385876,-6.74583333333334,17.1,12.6294667634531,2.7,4,1
"DeAndre Hopkins","WR",112.675,5.50923717904063,2,"HOU",134,120.65,54,100.25,125.9,96.3,112.675,109.810416666667,111.782098771987,-37.6016666666667,17.05,13.3763064003733,1.5,2,1
"Martellus Bennett","TE",111.45,5.8681619140864,2,"CHI",135,122,14,107.625,123.5375,85.75,111.45,107.082291666667,111.938068445669,-2.16250000000001,16.9,15.760834153977,1.5,2,1
"Geno Smith","QB",111.132,10.3391495494919,1,"NYJ",136,198,32,103.54,130.718,89.22,111.132,107.619166666667,114.689073355549,-112.624,54.3,17.2896300615909,1,1,1
"Rueben Randle","WR",110.6625,5.65262251105258,1,"NYG",137,159.8,55,101,124.65,95.375,110.6625,107.876041666667,110.291675450083,-39.6141666666667,19.1,12.815064275915,1,1,1
"Rod Streater","WR",108.1125,7.30703636259108,1,"OAK",138,172.8,56,80.25,118.5375,NA,108.1125,101.966666666667,106.758242100005,-42.1641666666667,24,19.7944949733505,1,1,1
"Danny Woodhead","RB",107.52,5.03110181198917,2,"SD",139,116.7,37,91.375,117.4675,103.225,107.52,104.846875,105.484607226354,-12.3508333333333,16.4,10.8095276984011,1.1,2,1
