"name","pos","team","overallRank","positionRank","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","cost","risk","sdPts"
"Mike James","RB","TB",285,86,NA,NA,NA,215.4,1.3,6.7,51,0.3,NA,0.5,0,4.82277777064933,6.80236723501459
"Louis Murphy","WR","NYG",286,117,NA,NA,NA,2,0,19.8,291.4,0.8,NA,0,0,1.96167600136618,1.48719814864507
"John Kuhn","RB","GB",287,87,NA,NA,NA,83.6,1.5,16.5,101.5,1.1,NA,0.3,0,8.73114359107945,21.2790046661805
"Nick Toon","WR","NO",287,118,NA,NA,NA,6.6,0,17,226.4,1.7,NA,0,0,5.61710422807324,7.68094741063887
"Tom Crabtree","TE","TB",289,45,NA,NA,NA,NA,NA,20.8,223.5,1.9,NA,0,0,5.70229744737072,12.4236056184386
"Charles Clay","TE","MIA",290,46,NA,NA,NA,NA,NA,20.8,238.9,1.6,NA,0.1,0,1.4771893520819,0.0707106781186558
"Benjamin Watson","TE","NO",291,47,NA,NA,NA,NA,NA,18.1,237,1.6,NA,0,0,6.06545883228772,13.4853759526138
"Lance Kendricks","TE","STL",292,48,NA,NA,NA,NA,NA,18.6,232.4,1.7,NA,0,0,6.23572020346068,13.9831669636507
"Jason Snelling","RB","ATL",293,88,NA,NA,NA,118.7,0.6,18.9,138.7,0.8,NA,0.4,0,2.54974782974744,3.206536293261
"Evan Royster","RB","WAS",294,89,NA,NA,NA,169.6,0.8,11.6,87.6,0.4,NA,0,0,6.17637886931173,7.30658008236412
"Keshawn Martin","WR","HOU",294,119,NA,NA,NA,12.4,0.1,22.1,264.1,0.9,NA,0.3,0,4.75111579584429,9.6426478901458
"Chris Polk","RB","PHI",296,90,NA,NA,NA,232.1,0.9,7.1,48.7,0,NA,0.5,0,4.35666681413069,1.52558288040998
"Vance McDonald","TE","SF",296,49,NA,NA,NA,NA,NA,18.6,238.6,1.5,NA,0.1,0,6.81612628887952,15.6800928728117
"Plaxico Burress","WR","PIT",298,120,NA,NA,NA,0,0,13.8,201.8,2.1,NA,0,0,7.94074947148921,18.9681394053291
"Andre Ellington","RB","ARI",299,91,NA,NA,NA,183.9,0.5,10.6,84.7,0.4,NA,0,0,5.43279601241467,5.32759873989524
"Stedman Bailey","WR","STL",300,121,NA,NA,NA,0,0,18,245.4,1.3,NA,0.2,0,6.34755897784346,14.3101485695758
"Kevin Walter","WR","TEN",301,122,NA,NA,NA,0,0,17.1,243.2,1.1,NA,0,0,3.24151754931581,5.22905464687452
"Kyle Williams","WR","SF",302,123,NA,NA,NA,0,0,14.7,237.3,1.1,NA,0.1,0,12.6992357333915,32.8804653251745
"Damian Williams","WR","TEN",303,124,NA,NA,NA,0,0,20.1,244.7,0.9,NA,0,0,2.37205080921219,2.68700576850888
"Tandon Doss","WR","BAL",304,125,NA,NA,NA,0,0,19.4,239.4,1,NA,0,0,3.78508542091049,6.81827713759128
"Kirk Cousins","QB","WAS",305,40,454.6,3.3,1.8,19.1,0,NA,NA,NA,NA,0.1,0,2.3449322447824,2.60771956569976
"Tommy Streeter","WR","BAL",305,126,NA,NA,NA,0,0,15,234.3,1,NA,0,0,3.50876671421553,6.01040764008565
