"name","pos","team","overallRank","positionRank","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","cost","risk","sdPts"
"Kyle Orton","QB","DAL",388,50,107.9,0.7,0.5,1,0,NA,NA,NA,NA,0.1,0,2.3585069601313,2.64740778876243
"Charlie Whitehurst","QB","SD",389,51,115,0.6,0.6,0.3,0,NA,NA,NA,NA,0,0,1.63004136313767,0.517602163828553
"Graham Harrell","QB",NA,390,52,63,0.7,0,4,0,NA,NA,NA,NA,0,0,1.59666544933118,0.420021428024809
"Shaun Chapas","RB","DET",391,118,NA,NA,NA,11.1,0,2,42.7,0,NA,0,0,2.91682795304624,4.27976379313158
"Owen Marecic","RB","CLE",392,119,NA,NA,NA,11.7,0,2.7,41.3,0,NA,0,0,3.45858191628187,5.86368298298945
"Shaun Hill","QB","DET",392,53,72,0.7,0.2,0.8,0,NA,NA,NA,NA,0,0,2.11326654998802,1.93040151263927
"Brock Osweiler","QB","DEN",394,54,79.2,0.3,0,2.5,0,NA,NA,NA,NA,0,0,1.74516408032524,0.854184991673349
"Evan Rodriguez","TE","MIA",395,58,NA,NA,NA,NA,NA,5,43,0,NA,0,0,2.4204216987868,2.82842712474619
"Ryan Mallett","QB","NE",396,55,36.2,0.3,0,0.5,0,NA,NA,NA,NA,0,0,1.59182836037372,0.405879292401078
"Curtis Painter","QB","NYG",397,56,45.3,0,0,6.2,0,NA,NA,NA,NA,0,0,1.59860028491417,0.425678282274301
"Dan Orlovsky","QB","TB",398,57,23.1,0,0,0.5,0,NA,NA,NA,NA,0,0,1.60682333614185,0.449719912834644
"David Carr","QB","NYG",399,58,14.7,0,0,0,0,NA,NA,NA,NA,0,0,1.52072315269905,0.197989898732233
"Alfonso Smith","RB",NA,400,120,NA,NA,NA,0,0,0,0,0,NA,0,0,3.72592277084192,NA
"Danario Alexander","WR","SD",400,165,NA,NA,NA,0,0,0,0,0,NA,0,0,3.7134697733271,4.99313591343156
"Dennis Pitta","TE","BAL",400,59,NA,NA,NA,NA,NA,0,0,0,NA,0,0,8.82647833575244,8.22408176232054
"Jeremy Maclin","WR","PHI",400,165,NA,NA,NA,0,0,0,0,0,NA,0,0,5.660298007366,12.3008123884834
