"name","pos","team","projections","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"BenJarvus Green-Ellis","RB","CIN",132.0825,12.2966666666667,0,10.55,9.39166815476178,4.13720146892904,4.4,5,1,1
"James Jones","WR","GB",163.1375,12.0508333333333,8.78828846026362,9.8,16.0570953942486,5.12478481398288,5.9,6,1,7
"Giovani Bernard","RB","CIN",130.3225,10.5366666666667,2.07944154167984,14.05,13.3416651571933,5.14401803115254,2,3,1,1
"Andre Brown","RB","NYG",127.415,7.62916666666666,0.693147180559945,10.55,12.4266107901216,4.62337122120607,2.8,3,1,1
"Mike Williams","WR","TB",157.975,6.88833333333332,4.06044301054642,10.25,5.43207464011986,3.47084860329139,2.5,3,1,1
"Antonio Gates","TE","SD",121.275,6.6125,2.30258509299405,16.2,7.68636170434361,4.46787260216033,2.7,3,1,1
"Danario Alexander","WR","SD",156.8375,5.7508333333333,1.38629436111989,11.4,4.43662990295938,3.43429415751837,3.9,4,1,1
"Michael Vick","QB","PHI",230.628,5.21799999999999,6.20455776256869,21.6,24.0576236219069,7.66752404517128,3.1,4,1,8
"T.Y. Hilton","WR","IND",155.7875,4.70083333333332,3.09104245335832,11.2,4.86198047781629,3.48105632669343,2.8,3,1,1
"Jermichael Finley","TE","GB",118.4625,3.79999999999998,2.19722457733622,20.9,8.82924458239964,5.15326579672318,1.3,2,1,1
"Jared Cook","TE","STL",118.35,3.6875,0,18.6,6.51081932088172,4.53606230700796,1.3,2,1,1
"Owen Daniels","TE","HOU",118.0375,3.375,0,16.8,3.8412830837061,3.91605173642291,2.2,3,1,1
"Kyle Rudolph","TE","MIN",117.9,3.2375,0,13.35,6.82230849706803,4.02486465336282,3.2,4,1,1
"Josh Freeman","QB","TB",228.166,2.756,1.38629436111989,19.9,13.6841680297586,5.82410434659123,1.6,2,1,1
"Andy Dalton","QB","CIN",227.39,1.98000000000002,1.09861228866811,15.15,15.0437522801549,5.53423948566831,1.9,3,1,1
"Jeremy Maclin","WR","PHI",152.83,1.74333333333331,6.35088571671474,8.9,12.1088437679175,4.39612363228688,3,4,1,5
"Tavon Austin","WR","STL",152.585,1.49833333333333,0,13.3,5.86354748104762,3.8659362371561,4.2,5,1,1
"Lance Moore","WR","NO",152.1125,1.02583333333334,5.59471137960184,10.5,9.44327637793155,4.1401248640226,1.9,2,1,7
"Ben Roethlisberger","QB","PIT",226.258,0.848000000000013,0,17.35,10.3700682736422,5.02068418209437,3.3,5,1,1
"Mark Ingram","RB","NO",119.0325,-0.753333333333316,0,11.25,7.99458123773014,3.9882137728216,3.4,4,1,1
"Brandon Myers","TE","NYG",113.6375,-1.02500000000001,0,15.8,1.42926991852484,3.42279422346284,1.5,2,1,1
"Martellus Bennett","TE","CHI",112.45,-2.21250000000001,5.26785815906333,16.65,15.8606476295631,5.82541152275912,1.5,2,1,4
"DeSean Jackson","WR","PHI",148.5625,-2.52416666666667,2.07944154167984,11.3,8.20889063251952,4.02788792172873,3.8,4,1,1
"Joe Flacco","QB","BAL",222.582,-2.828,0,18.35,6.4560236472099,4.50056572095656,2.6,4,1,1
"Greg Jennings","WR","MIN",148.0625,-3.02416666666667,3.8286413964891,10.95,10.4945248622,4.35661903874051,4.8,5,1,1
