"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk"
"Kevin Walter","WR","TEN",463,NA,150,10.75,NA,NA,45,10.75,27.875,11.0501674796426,-133.675,NA,24.2184072556393,7.33547543348845
"Devon Wylie","WR",NA,464,NA,151,10.625,NA,NA,NA,10.625,10.625,11.3632004402697,-133.8,NA,NA,NA
"Marquess Wilson","WR","CHI",465,NA,152,10.25,NA,NA,30.375,10.25,20.3125,12.0639207124007,-134.175,NA,14.2305239713793,4.98693850150558
"Jordan White","WR",NA,466,NA,153,10,NA,NA,NA,10,10,11.4133342238088,-134.425,NA,NA,NA
"Anthony Armstrong","WR",NA,467,NA,154,9.625,NA,NA,NA,9.625,9.625,11.4447313749307,-134.8,NA,NA,NA
"Plaxico Burress","WR","PIT",467,NA,154,9.625,NA,NA,82.375,9.625,46,7.65533340748084,-134.8,NA,51.4420183313213,13.7367973365922
"Chad Henne","QB","JAC",469,NA,33,74.02,60.54,107.342,NA,74.02,60.1671666666667,68.5637561957344,-134.858,NA,24.091814958612,7.30570869749328
"Brice Butler","WR","OAK",470,NA,156,9.375,NA,NA,23,9.375,16.1875,12.4015511518449,-135.05,NA,9.63432989366671,3.90619584254001
"DeVier Posey","WR","HOU",471,NA,157,9,NA,NA,29.25,9,19.125,11.7639095827266,-135.425,NA,14.3189123190276,5.00772201417799
"Kevin Cone","WR",NA,472,NA,158,8.875,NA,NA,NA,8.875,8.875,11.510488659421,-135.55,NA,NA,NA
"Devin Hester","WR","CHI",473,NA,159,8.75,NA,NA,54.625,8.75,31.6875,9.3893657705429,-135.675,NA,32.4385235869329,9.26834211202302
"Alan Bonner","WR",NA,474,NA,160,8.625,NA,NA,NA,8.625,8.625,11.5332856749168,-135.8,NA,NA,NA
"Ramses Barden","WR","NYG",475,NA,161,8.5,NA,NA,49.375,8.5,28.9375,9.7429111177612,-135.925,NA,28.9029896810001,8.43700160512643
"Austin Pettis","WR","STL",476,NA,162,8.4375,NA,NA,41.125,8.4375,24.78125,10.472991836594,-135.9875,NA,23.1135529100353,7.07568152508326
"Drew Davis","WR",NA,477,NA,163,8.375,NA,NA,NA,8.375,8.375,11.5565216507454,-136.05,NA,NA,NA
"Brandon Tate","WR","CIN",478,NA,164,8.125,NA,NA,27.5,8.125,17.8125,11.6446777996559,-136.3,NA,13.7001938854894,4.86223742547109
"Laron Byrd","WR",NA,479,NA,165,8,NA,NA,NA,8,8,11.5921986651124,-136.425,NA,NA,NA
"Kyle Williams","WR","SF",480,NA,166,7.8125,NA,NA,73.375,7.8125,40.59375,7.33927613062315,-136.6125,NA,46.359688341543,12.5417453579284
"Nathan Palmer","WR",NA,481,NA,167,7.5,NA,NA,NA,7.5,7.5,11.6413043787666,-136.925,NA,NA,NA
"Armon Binns","WR",NA,482,NA,168,7.125,NA,NA,NA,7.125,7.125,11.6792859348809,-137.3,NA,NA,NA
"David Reed","WR","BAL",483,NA,169,6.375,NA,NA,33.875,6.375,20.125,10.3942047310481,-138.05,NA,19.4454364826301,6.21316574917805
"Aaron Mellette","WR",NA,484,NA,170,5.625,NA,NA,NA,5.625,5.625,11.841088766827,-138.8,NA,NA,NA
"Michael Jenkins","WR","NE",484,NA,170,5.625,NA,NA,42.75,5.625,24.1875,9.1528160180543,-138.8,NA,26.2513392515506,7.81349622495399
"Brandon Lloyd","WR","FA",486,149,172,0,130,NA,NA,0,130,11.5408846713818,-144.425,21.4,91.9238815542512,14.6708211381381
"Braylon Edwards","WR","NYJ",486,NA,172,0,NA,NA,NA,0,49.625,5.72759036976203,-144.425,NA,NA,NA
"Charles Johnson","WR","GB",486,NA,172,0,NA,NA,NA,0,33.875,7.75047420861551,-144.425,NA,NA,NA
"Chaz Schilens","WR","NYJ",486,NA,172,0,NA,NA,NA,0,28.375,8.49075845693653,-144.425,NA,NA,NA
"Cobi Hamilton","WR","CIN",486,NA,172,0,NA,NA,NA,0,57.875,4.72538187887443,-144.425,NA,NA,NA
"Courtney Roby","WR","NO",486,NA,172,0,NA,NA,NA,0,45.875,6.19618453140737,-144.425,NA,NA,NA
"Deion Branch","WR","NE",486,NA,172,0,NA,NA,NA,0,35.75,7.50211315146817,-144.425,NA,NA,NA
"Deon Butler","WR","SD",486,NA,172,0,NA,NA,NA,0,23.375,9.17896312610139,-144.425,NA,NA,NA
"Devery Henderson","WR","NO",486,NA,172,0,NA,NA,NA,0,102.375,0,-144.425,NA,NA,NA
"Devin Aromashodu","WR","MIN",486,NA,172,0,NA,NA,NA,0,25.5,8.88470512246545,-144.425,NA,NA,NA
"Devin Thomas","WR",NA,486,NA,172,0,NA,NA,NA,0,0,12.588591043338,-144.425,NA,NA,NA
"Eric Weems","WR","CHI",486,NA,172,0,NA,NA,NA,0,35.875,7.48562821903391,-144.425,NA,NA,NA
"Jamar Newsome","WR",NA,486,NA,172,0,NA,NA,NA,0,0,12.588591043338,-144.425,NA,NA,NA
"Josh Cribbs","WR","OAK",486,NA,172,0,NA,NA,NA,0,36.925,7.34751243282489,-144.425,NA,NA,NA
"Kevin Dorsey","WR","GB",486,NA,172,0,NA,NA,NA,0,27.625,8.59306514727251,-144.425,NA,NA,NA
"Laurent Robinson","WR","JAC",486,183.9,172,0,NA,NA,NA,0,60,4.47362833701965,-144.425,5.3,NA,2.55205457888365
"Lavelle Hawkins","WR","NE",486,NA,172,0,NA,NA,NA,0,23.25,9.1963539507305,-144.425,NA,NA,NA
"Matthew Slater","WR","NE",486,NA,172,0,NA,NA,NA,0,31.625,8.05119797701093,-144.425,NA,NA,NA
"Randy Moss","WR","SF",486,187,172,0,NA,NA,NA,0,52.375,5.38913635457658,-144.425,2.3,NA,1.89355615214432
"Richard Goodman","WR",NA,486,NA,172,0,NA,NA,NA,0,0,12.588591043338,-144.425,NA,NA,NA
"Ryan Whalen","WR",NA,486,NA,172,0,NA,NA,NA,0,0,12.588591043338,-144.425,NA,NA,NA
"Ted Ginn","WR","CAR",486,NA,172,0,NA,NA,NA,0,28.375,8.49075845693653,-144.425,NA,NA,NA
"Terrance Copper","WR",NA,486,NA,172,0,NA,NA,NA,0,0,12.588591043338,-144.425,NA,NA,NA
"Kevin Kolb","QB","BUF",509,227.3,34,63.602,97.08,64.83,87.72,63.602,77.8663333333333,81.0021405020764,-145.276,50.8,16.7222072705729,9.05605507587673
"Mark Sanchez","QB","NYJ",510,NA,35,55.558,33.2,56.992,30.02,55.558,43.5258333333333,47.8957366506539,-153.32,NA,14.3113777929776,5.0059503562411
"Matt Cassel","QB","MIN",511,NA,36,55.19,27.3,8.302,NA,55.19,22.423,25.3622747511267,-153.688,NA,23.5841071062697,7.18632698187365
"Kirk Cousins","QB","WAS",512,NA,37,45.498,31.74,26.622,NA,45.498,25.8816666666667,29.0850309120427,-163.38,NA,9.762,3.93621601311073
"Nick Foles","QB","PHI",513,NA,38,39.578,63.66,10.638,NA,39.578,37.5753333333333,28.4066857485899,-169.3,NA,26.5480658680314,7.88326810731126
"Ryan Fitzpatrick","QB","TEN",514,175.8,39,39.32,NA,23.91,NA,39.32,31.615,18.0350892286438,-169.558,21.2,10.8965154980847,5.12254032205208
"Jason Campbell","QB","CLE",515,NA,40,34.86,24.58,39.868,NA,34.86,24.552,27.2799578388378,-174.018,NA,7.79402985196575,3.47347025986571
"Bruce Gradkowski","QB","PIT",516,NA,41,18.56,25.92,11.622,NA,18.56,18.3173333333333,18.786020292294,-190.318,NA,7.15003785537764,3.32204288082614
"Tyler Wilson","QB","OAK",517,NA,42,16.66,NA,NA,-5,16.66,5.83,9.22632379483764,-192.218,NA,15.3159328805006,5.24216003712283
"Chase Daniel","QB","KC",518,NA,43,14.522,NA,NA,NA,14.522,7.261,11.112489966762,-194.356,NA,NA,NA
"Colt McCoy","QB",NA,519,NA,44,11.768,NA,NA,NA,11.768,11.768,11.2786122695387,-197.11,NA,NA,NA
"Matt Moore","QB",NA,520,NA,45,10.798,NA,NA,NA,10.798,10.798,11.3498082108244,-198.08,NA,NA,NA
"Terrelle Pryor","QB","OAK",521,NA,46,9.48,NA,46.51,33.82,9.48,29.9366666666667,19.5292822500085,-199.398,NA,18.8179550784174,6.0656206477802
"Seneca Wallace","QB",NA,522,NA,47,8.24,NA,NA,NA,8.24,8.24,11.5692515973993,-200.638,NA,NA,NA
"Domanique Davis","QB",NA,523,NA,48,7.81,NA,NA,NA,7.81,7.81,11.6106519981922,-201.068,NA,NA,NA
"Drew Stanton","QB","ARI",524,NA,49,7.548,NA,6.51,NA,7.548,7.029,12.8633970821321,-201.33,NA,0.733976838871636,1.81337925047853
"Josh Johnson","QB","CIN",525,NA,50,6.58,NA,NA,NA,6.58,3.29,11.7362465541208,-202.298,NA,NA,NA
"Josh McCown","QB","CHI",526,NA,51,6.578,NA,5.282,NA,6.578,5.93,12.7752266457506,-202.3,NA,0.916410388417765,1.85627642063439
"Kyle Orton","QB","DAL",527,NA,52,6.502,NA,2.31,NA,6.502,4.406,12.3772713754678,-202.376,NA,2.96419162673401,2.3377888422289
"Tyrod Taylor","QB","BAL",528,NA,53,6.122,NA,7.142,NA,6.122,6.632,12.8120468743599,-202.756,NA,0.721248916810278,1.8103864246537
"Matt Barkley","QB","PHI",529,NA,54,5.99,NA,39.722,NA,5.99,22.856,10.4074291080958,-202.888,NA,23.8521259429846,7.24934855697396
"Shaun Hill","QB","DET",530,NA,55,3.81,NA,2.282,NA,3.81,2.03066666666667,12.5804977271209,-205.068,NA,1.08045916165304,1.8948506201544
