"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Stepfan Taylor","RB","ARI",72,244,NA,NA,NA,NA,NA,NA,NA,88.3,373.3,4.2,2,9,59,6.6,0,NA,0.7,42.6
"Jordan Shipley","WR","JAC",99,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,378,10.6,2,NA,0,42
"Mike Gillislee","RB","MIA",73,246,NA,NA,NA,NA,NA,NA,NA,69.7,324.3,4.7,1.7,14.3,109.3,7.6,0,NA,0.3,38.6
"Tony Moeaki","TE","KC",40,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,358.3,12.2,1.7,NA,0,38.2
"Lance Dunbar","RB","DAL",74,248,NA,NA,NA,NA,NA,NA,NA,63.7,286.7,4.5,1.7,15.3,108.7,7.1,0.7,NA,0.7,37
"Garrett Graham","TE","HOU",41,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,316.3,12,2.3,NA,0,36.8
"Latavius Murray","RB","OAK",75,250,NA,NA,NA,NA,NA,NA,NA,60.7,270.7,4.5,1.7,11,91,8.3,0.7,NA,0.3,35.8
"DuJuan Harris","RB","GB",76,251,NA,NA,NA,NA,NA,NA,NA,64.3,293,4.6,1.3,12,100.3,8.4,0.3,NA,0,34.6
"Matt Barkley","QB","PHI",36,251,105.3,65.3,710.3,3.7,2.3,62,6.7,4,13.3,3.3,0,NA,NA,NA,NA,NA,1,34.6
"Justin Forsett","RB","JAC",77,253,NA,NA,NA,NA,NA,NA,NA,66.3,308.3,4.7,0.7,15.3,109.3,7.1,0.3,NA,0,33
"Tom Crabtree","TE","TB",42,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,270,12.3,2.3,NA,0,31.8
"John Kuhn","RB","GB",78,255,NA,NA,NA,NA,NA,NA,NA,31.7,110.7,3.5,2,15.3,109.7,7.2,1.7,NA,0.3,29.6
"Delone Carter","RB","IND",79,256,NA,NA,NA,NA,NA,NA,NA,48.3,192.7,4,2.7,3.3,18.3,5.5,0,NA,0,29.2
