"name","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"Preston Parker","WR","NO",499,NA,NA,NA,NA,NA,0,0,5,66.3,0.3,NA,0.7,7.2
"Chad Spann","RB","NYJ",500,NA,NA,NA,NA,NA,50.8,0.4,0,0,0,NA,0.2,6.9
"Michael Cox","RB","NYG",500,NA,NA,NA,NA,NA,42.9,0.5,0,0,0,NA,0.1,6.9
"Allen Reisner","TE","JAC",502,NA,NA,NA,NA,NA,NA,NA,5.5,62,0.1,NA,0,6.7
"Hayden Smith","TE","NYJ",502,NA,NA,NA,NA,NA,NA,NA,5.3,66.8,0,NA,0,6.7
"Toney Clemons","WR","JAC",502,NA,NA,NA,NA,NA,0,0,0,67,0,NA,0,6.7
"Bruce Miller","RB","SF",505,NA,NA,NA,NA,NA,12.7,0,8,53.3,0,NA,0,6.6
"Dennis Dixon","QB","PHI",505,10.2,6.7,49.8,0.4,0,28.9,0,NA,NA,NA,NA,0,6.6
"Jordan Todman","RB","JAC",505,NA,NA,NA,NA,NA,51.1,0.3,0,0,0,NA,0.2,6.6
"Ryan Griffin","TE","HOU",505,NA,NA,NA,NA,NA,NA,NA,5,55.2,0.2,NA,0.1,6.6
"Chris Thompson","RB","WAS",509,NA,NA,NA,NA,NA,46.3,0.1,2.3,14.7,0,NA,0.1,6.5
"Darius Reynaud","RB","TEN",509,NA,NA,NA,NA,NA,15.4,0.1,4.7,44.2,0,NA,0,6.5
"Marcus Thigpen","RB","MIA",509,NA,NA,NA,NA,NA,52,0,2.3,19,0,NA,0.3,6.5
"Billy Bajema","TE","BAL",512,NA,NA,NA,NA,NA,NA,NA,0,34,0.5,NA,0,6.4
"Marlon Moore","WR","SF",512,NA,NA,NA,NA,NA,0,0,3,40.4,0.4,NA,0,6.4
"Nathan Palmer","WR","IND",512,NA,NA,NA,NA,NA,0,0,4.6,56.6,0.1,NA,0.1,6.4
"Jermaine Kearse","WR","SEA",515,NA,NA,NA,NA,NA,0,0,3.2,44.3,0.3,NA,0,6.3
"Brett Brackett","TE","JAC",516,NA,NA,NA,NA,NA,NA,NA,4.4,50,0.2,NA,0.1,6.2
"Weslye Saunders","TE",NA,516,NA,NA,NA,NA,NA,NA,NA,5.8,62.2,0,NA,0,6.2
"Harvey Unga","RB","CHI",518,NA,NA,NA,NA,NA,45.1,0.3,0,0,0,NA,0.2,6.1
"Rhett Ellison","TE","MIN",518,NA,NA,NA,NA,NA,NA,NA,6.2,57.9,0.1,NA,0,6.1
"Stephen Burton","WR","MIN",518,NA,NA,NA,NA,NA,0,0,4.6,57.8,0.1,NA,0,6.1
"Tristan Davis","RB",NA,518,NA,NA,NA,NA,NA,43.4,0,2,18,0,NA,0,6.1
"Jamie McCoy","TE","PIT",522,NA,NA,NA,NA,NA,NA,NA,3.8,43.9,0.3,NA,0.1,6
"Jordan Norwood","WR","CLE",522,NA,NA,NA,NA,NA,0,0,5.1,59.3,0,NA,0,6
"Chris Pressley","RB","CIN",524,NA,NA,NA,NA,NA,14.3,0.3,2.7,25,0,NA,0,5.9
"Greg Salas","WR","PHI",524,NA,NA,NA,NA,NA,0,0,6.2,58.7,0,NA,0,5.9
"Kyle Orton","QB","DAL",524,15.9,9.5,107.8,0.7,0.5,1,0,NA,NA,NA,NA,0.1,5.9
"Charlie Whitehurst","QB","SD",527,19.1,10.6,115,0.6,0.6,0.3,0,NA,NA,NA,NA,0,5.8
"Aaron Mellette","WR","BAL",528,NA,NA,NA,NA,NA,0,0,1.5,57.3,0,NA,0,5.7
"Graham Harrell","QB","GB",529,9.3,6,63,0.7,0,4,0,NA,NA,NA,NA,0,5.6
"Mike Brown","WR","JAC",530,NA,NA,NA,NA,NA,0,0,3.7,52.6,0,NA,0,5.4
"Shaun Chapas","RB","DET",530,NA,NA,NA,NA,NA,11.1,0,2,42.7,0,NA,0,5.4
"Lawrence Vickers","RB",NA,532,NA,NA,NA,NA,NA,11.3,0,5.3,41.3,0,NA,0,5.3
"Matt Asiata","RB","MIN",532,NA,NA,NA,NA,NA,25.7,0.2,2.2,14.5,0.1,NA,0.1,5.3
"Owen Marecic","RB","CLE",532,NA,NA,NA,NA,NA,11.7,0,2.7,41.3,0,NA,0,5.3
"Quinn Johnson","RB","TEN",532,NA,NA,NA,NA,NA,12.3,0,5.3,40.5,0,NA,0,5.3
"Shaun Hill","QB","DET",532,11.5,7,72,0.7,0.2,0.8,0,NA,NA,NA,NA,0,5.3
"D.C. Jefferson","TE","ARI",537,NA,NA,NA,NA,NA,NA,NA,4,44.6,0.1,NA,0.1,5.1
"Antone Smith","RB","ATL",538,NA,NA,NA,NA,NA,35.8,0.3,0,0,0,NA,0.1,5
"Jackie Battle","RB","TEN",538,NA,NA,NA,NA,NA,32.7,0.3,0,0,0,NA,0.1,5
"Michael Smith","RB","TB",538,NA,NA,NA,NA,NA,41.8,0,1.3,8,0,NA,0,5
"Tommy Bohanon","RB","NYJ",538,NA,NA,NA,NA,NA,5.4,0,4.7,44.7,0,NA,0,5
"Kevin Elliott","WR","BUF",542,NA,NA,NA,NA,NA,0,0,4.4,48,0,NA,0,4.8
"Terrance Copper","WR","KC",542,NA,NA,NA,NA,NA,0,0,4.4,48,0,NA,0,4.8
"Josh Cooper","WR","CLE",544,NA,NA,NA,NA,NA,0,0,3.6,47.1,0,NA,0,4.7
"Ben Hartsock","TE","CAR",545,NA,NA,NA,NA,NA,NA,NA,3.9,40.4,0.1,NA,0,4.4
"Taylor Price","WR",NA,545,NA,NA,NA,NA,NA,0,0,3.1,44.4,0,NA,0,4.4
"Brock Osweiler","QB","DEN",547,10.6,6.8,74.7,0.3,0,2.5,0,NA,NA,NA,NA,0,4.3
"David Johnson","RB",NA,547,NA,NA,NA,NA,NA,0,0,5.4,42.7,0,NA,0,4.3
"Dorin Dickerson","TE","BUF",547,NA,NA,NA,NA,NA,NA,NA,4,42.5,0,NA,0,4.3
"Evan Rodriguez","TE","MIA",547,NA,NA,NA,NA,NA,NA,NA,5,43,0,NA,0,4.3
"Lex Hilliard","RB","NYJ",547,NA,NA,NA,NA,NA,26,0,2,16.7,0,NA,0,4.3
"Kealoha Pilares","WR","CAR",552,NA,NA,NA,NA,NA,0,0,2.7,42.3,0,NA,0,4.2
"Dan Herron","RB",NA,553,NA,NA,NA,NA,NA,41,0,0,0,0,NA,0,4.1
"John Griffin","RB","NYJ",553,NA,NA,NA,NA,NA,12.7,0,3.4,28.7,0,NA,0,4.1
"Josh Johnson","QB","CIN",553,13,7.9,92.6,0.1,0.1,5.4,0,NA,NA,NA,NA,0.2,4.1
"Richie Brockel","TE","CAR",553,NA,NA,NA,NA,NA,NA,NA,2.3,21.1,0.3,NA,0,4.1
