"name","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"Aaron Rodgers","QB","GB",1,549.9,369.6,4476.4,38.1,9.8,273,2.6,NA,NA,NA,NA,3.9,346.8
"Drew Brees","QB","NO",2,659,438.2,5086.5,41,16.7,38.8,1,NA,NA,NA,NA,3.1,337.8
"Peyton Manning","QB","DEN",3,601.4,408.3,4844.8,38.7,12.2,16.8,0.2,NA,NA,NA,NA,2.7,321.4
"Cam Newton","QB","CAR",4,502.8,302.5,3921.2,21.3,13.1,709.1,6.9,NA,NA,NA,NA,3.9,320.8
"Tom Brady","QB","NE",5,591,386,4544,32.4,11.2,55.8,2.3,NA,NA,NA,NA,2.3,303.8
"Matt Ryan","QB","ATL",6,610.8,404.8,4763.8,32.3,13.1,99.4,0.8,NA,NA,NA,NA,3.5,301.1
"Colin Kaepernick","QB","SF",7,479,304.7,3730.6,21.4,11.7,669.7,5.4,NA,NA,NA,NA,6.1,298.7
"Andrew Luck","QB","IND",8,585.1,366.5,4425.8,27.2,13.8,270.1,2.9,NA,NA,NA,NA,4.7,292.8
"Matthew Stafford","QB","DET",9,679,419.6,4891.3,29,15.7,94,1.4,NA,NA,NA,NA,3,292.4
"Robert Griffin III","QB","WAS",10,437.4,286.4,3438.5,22.9,9.1,585.9,5.2,NA,NA,NA,NA,6,288.8
"Russell Wilson","QB","SEA",11,458.1,294.7,3505.9,25.3,10.9,484.8,4,NA,NA,NA,NA,3.7,284.8
"Tony Romo","QB","DAL",12,614.4,401.3,4760.1,28.9,15.1,49.1,0.8,NA,NA,NA,NA,3.6,278.5
"Adrian Peterson","RB","MIN",13,NA,NA,NA,NA,NA,1653,12.9,39.1,280.1,1.4,NA,2.4,274.5
"Arian Foster","RB","HOU",14,NA,NA,NA,NA,NA,1346.8,13.3,43.8,371.9,1.9,NA,2.2,258.7
"Eli Manning","QB","NYG",15,558.4,347.1,4201.4,28.5,14.4,35,0.5,NA,NA,NA,NA,3.5,252.8
"Doug Martin","RB","TB",16,NA,NA,NA,NA,NA,1355.4,9.6,53.6,441.6,1.4,NA,1.2,243.3
"Andy Dalton","QB","CIN",17,542.9,330.1,3855.7,26,16.3,150.5,1,NA,NA,NA,NA,3.5,239.6
"Josh Freeman","QB","TB",18,552.4,324.5,3945,25.5,16.3,175.2,0.6,NA,NA,NA,NA,4.7,238.8
"Jamaal Charles","RB","KC",19,NA,NA,NA,NA,NA,1418.3,6.6,57.5,468.6,2.1,NA,2.3,236.4
"C.J. Spiller","RB","BUF",20,NA,NA,NA,NA,NA,1378.5,7.4,47.1,415.9,2.4,NA,2.7,232.7
"Marshawn Lynch","RB","SEA",21,NA,NA,NA,NA,NA,1431.3,11.5,24.9,195.5,0.9,NA,2.4,232.1
"Ben Roethlisberger","QB","PIT",22,502,317.9,3704.3,23.8,10.9,96,1.4,NA,NA,NA,NA,3.9,231.9
"Jay Cutler","QB","CHI",23,512.9,319.4,3790.9,23.7,15.5,167.8,0.8,NA,NA,NA,NA,5,227
"Matt Schaub","QB","HOU",24,538,341.4,4033.7,23.5,12.6,20.8,0.2,NA,NA,NA,NA,3.6,226.6
"Calvin Johnson","WR","DET",25,NA,NA,NA,NA,NA,5,0,105.3,1652.1,10.3,NA,1.2,225.3
"Joe Flacco","QB","BAL",26,541,331,3917.7,22.6,12.6,61.2,1.1,NA,NA,NA,NA,5.1,224.5
"Sam Bradford","QB","STL",27,550,335.9,3893.6,23.5,14.4,89,0.7,NA,NA,NA,NA,4.9,224.1
"Trent Richardson","RB","CLE",28,NA,NA,NA,NA,NA,1217.1,9.9,49.2,381.2,1.3,NA,1.7,223.8
"Philip Rivers","QB","SD",29,558.5,350.8,4051,25,17.4,45.7,0.1,NA,NA,NA,NA,5.4,221.5
"Ray Rice","RB","BAL",30,NA,NA,NA,NA,NA,1135.4,8.2,60.6,492.6,2.1,NA,1.7,221
"Alex Smith","QB","KC",31,510.2,323.6,3686.6,20.7,11.3,152.9,0.8,NA,NA,NA,NA,3.9,220
"LeSean McCoy","RB","PHI",32,NA,NA,NA,NA,NA,1202.9,8.2,54.5,403.5,2.3,NA,2.2,219.5
"Carson Palmer","QB","ARI",33,562.1,345.3,4092.9,23.8,17,32.1,0,NA,NA,NA,NA,4.6,218.9
"Alfred Morris","RB","WAS",34,NA,NA,NA,NA,NA,1430.2,11,14.9,98.6,0.3,NA,2.6,214.9
"Ryan Tannehill","QB","MIA",35,516.7,319.5,3626.6,19.2,14.3,199.7,1.4,NA,NA,NA,NA,4.4,212.4
"Jake Locker","QB","TEN",36,446.7,266.1,3193.9,17,13.7,310.9,1.6,NA,NA,NA,NA,3.6,201.5
"Matt Forte","RB","CHI",37,NA,NA,NA,NA,NA,1124.8,5.2,58.7,467.4,2.4,NA,2.1,200.5
"A.J. Green","WR","CIN",38,NA,NA,NA,NA,NA,34.7,0,93.5,1356.2,10.3,NA,0.4,200.4
"Dez Bryant","WR","DAL",39,NA,NA,NA,NA,NA,7.5,0,94.4,1381.9,10.4,NA,1.1,199
"Steven Jackson","RB","ATL",40,NA,NA,NA,NA,NA,1078.6,9,42.1,336.3,0.8,NA,1,197.9
"Brandon Marshall","WR","CHI",41,NA,NA,NA,NA,NA,1,0,104.8,1393.8,9.6,NA,0.7,195.5
"Brandon Weeden","QB","CLE",42,519.1,308.8,3643.4,18.8,14.8,93.6,0.2,NA,NA,NA,NA,3.4,195
"Stevan Ridley","RB","NE",43,NA,NA,NA,NA,NA,1241.1,10.9,9.3,80.2,0.2,NA,2.4,193.9
"Julio Jones","WR","ATL",44,NA,NA,NA,NA,NA,48.9,0.1,83,1274.6,10,NA,0.1,192.4
"Michael Vick","QB","PHI",45,354.3,216.4,2597,16,11,406.7,2.4,NA,NA,NA,NA,4.7,191.7
"Chris Johnson","RB","TEN",46,NA,NA,NA,NA,NA,1221.1,6.2,39.8,307.8,0.7,NA,2,190.3
"Maurice Jones-Drew","RB","JAC",47,NA,NA,NA,NA,NA,1154.1,6.6,37.3,302.6,1.1,NA,2.2,187.7
"Demaryius Thomas","WR","DEN",48,NA,NA,NA,NA,NA,0,0,85.2,1276.9,10.2,NA,1.6,185.5
"Reggie Bush","RB","DET",49,NA,NA,NA,NA,NA,893.4,4.7,69.4,542.8,2.9,NA,2.1,185.1
"DeMarco Murray","RB","DAL",50,NA,NA,NA,NA,NA,1092.2,6.9,41,310.1,0.8,NA,1.9,182.9
"Frank Gore","RB","SF",51,NA,NA,NA,NA,NA,1110.7,7.6,24.9,205.6,1,NA,1.7,179.7
"David Wilson","RB","NYG",52,NA,NA,NA,NA,NA,1081.9,5.9,27,258,1.6,NA,1.2,176.5
"Lamar Miller","RB","MIA",53,NA,NA,NA,NA,NA,1048.4,6.5,33.1,277.4,1.3,NA,1.5,176.2
"Roddy White","WR","ATL",54,NA,NA,NA,NA,NA,0,0,90.5,1252.6,8.5,NA,0.1,175.8
"Andre Johnson","WR","HOU",55,NA,NA,NA,NA,NA,0,0,96.2,1356.5,6.8,NA,0.4,175.6
"Randall Cobb","WR","GB",56,NA,NA,NA,NA,NA,113,0.4,93.7,1134.2,8.3,NA,1,175
"Larry Fitzgerald","WR","ARI",57,NA,NA,NA,NA,NA,0,0,88.8,1262.3,8,NA,0.3,173.9
"Matt Flynn","QB","OAK",58,440.7,266.4,3130.9,19.1,14.8,50.6,0.4,NA,NA,NA,NA,2.8,173.6
"Darren McFadden","RB","OAK",59,NA,NA,NA,NA,NA,1032.9,6.1,38.7,304.9,1.2,NA,2,173.3
"Vincent Jackson","WR","TB",60,NA,NA,NA,NA,NA,0,0,71.9,1238,8.2,NA,0.5,172.3
"Jimmy Graham","TE","NO",61,NA,NA,NA,NA,NA,NA,NA,89.2,1112.7,10.1,NA,0.2,171.5
"Christian Ponder","QB","MIN",62,418.6,256.2,2878.4,16.8,13.1,196.1,0.8,NA,NA,NA,NA,4.9,170.9
"E.J. Manuel","QB","BUF",63,351.6,206.8,2503.4,14.9,12.5,268.7,2.2,NA,NA,NA,NA,3.4,167.7
"Victor Cruz","WR","NYG",64,NA,NA,NA,NA,NA,0,0,85.8,1159.6,8.5,NA,0.4,165.8
"Le'Veon Bell","RB","PIT",65,NA,NA,NA,NA,NA,1007.5,6.9,29.4,201.8,0.7,NA,1.9,162.8
"Darren Sproles","RB","NO",66,NA,NA,NA,NA,NA,410.1,2.2,79.7,692.2,6.5,NA,0.7,161.2
"Rob Gronkowski","TE","NE",67,NA,NA,NA,NA,NA,NA,NA,71.9,985.3,10.7,NA,1,160.7
"Marques Colston","WR","NO",68,NA,NA,NA,NA,NA,0,0,79.6,1090.5,8.4,NA,1.1,157.3
"Montee Ball","RB","DEN",69,NA,NA,NA,NA,NA,946.3,7.7,21.4,167.6,0.5,NA,1.7,157.1
"Reggie Wayne","WR","IND",70,NA,NA,NA,NA,NA,0,0,88.9,1186,6.2,NA,0.6,154.6
"Dwayne Bowe","WR","KC",71,NA,NA,NA,NA,NA,0,0,79.5,1108.1,7.3,NA,0.5,153.7
"Chris Ivory","RB","NYJ",72,NA,NA,NA,NA,NA,1004,6.7,15.9,130.1,0.5,NA,1.6,153
"Pierre Garcon","WR","WAS",73,NA,NA,NA,NA,NA,13.6,0,74.9,1072.7,7.2,NA,0.4,151.4
"Wes Welker","WR","DEN",74,NA,NA,NA,NA,NA,5.3,0,88.3,1075.7,7,NA,0.1,149.7
"Eric Decker","WR","DEN",75,NA,NA,NA,NA,NA,0,0,71.3,964.1,9,NA,0.8,148.5
"Torrey Smith","WR","BAL",76,NA,NA,NA,NA,NA,27.5,0.1,61.4,1014.2,7.2,NA,0.5,146.7
"Jordy Nelson","WR","GB",77,NA,NA,NA,NA,NA,0,0,66.4,992.5,7.9,NA,0.5,145.4
"Antonio Brown","WR","PIT",78,NA,NA,NA,NA,NA,40.8,0,78.5,1055.4,6.2,NA,1.5,143.9
"Rashard Mendenhall","RB","ARI",79,NA,NA,NA,NA,NA,906,6.3,21.4,162.9,0.4,NA,1.7,143.5
"Ahmad Bradshaw","RB","IND",80,NA,NA,NA,NA,NA,834.9,5.8,27.5,210.2,0.9,NA,1.1,142.1
"Hakeem Nicks","WR","NYG",81,NA,NA,NA,NA,NA,0,0,68.2,1001.4,7.1,NA,0.5,141.8
"Eddie Lacy","RB","GB",82,NA,NA,NA,NA,NA,854.1,6.7,20.8,157.3,0.6,NA,1.5,141.5
"Mike Wallace","WR","MIA",83,NA,NA,NA,NA,NA,30.7,0,64.3,996.2,6.8,NA,1,141.4
"Ryan Mathews","RB","SD",84,NA,NA,NA,NA,NA,865.9,4.9,31.5,246.1,0.6,NA,1.8,140.2
"Cecil Shorts","WR","JAC",85,NA,NA,NA,NA,NA,0,0,66.4,1040.1,6.2,NA,0.6,140.1
"Danny Amendola","WR","NE",86,NA,NA,NA,NA,NA,7,0,90.6,1033.7,6.4,NA,1.2,140
"James Jones","WR","GB",87,NA,NA,NA,NA,NA,0,0,67.6,897.8,8.4,NA,0.8,138.7
"Shane Vereen","RB","NE",88,NA,NA,NA,NA,NA,534.4,4.2,51.1,433.8,2.4,NA,0.5,135.4
"T.Y. Hilton","WR","IND",89,NA,NA,NA,NA,NA,26.7,0,62.4,911.6,6.7,NA,0.1,134.1
"Steve Johnson","WR","BUF",90,NA,NA,NA,NA,NA,0,0,74.6,981.1,6.3,NA,1,133.8
"DeSean Jackson","WR","PHI",91,NA,NA,NA,NA,NA,71.8,0.1,63.6,955.9,5.4,NA,1.3,133.5
"Steve Smith","WR","CAR",92,NA,NA,NA,NA,NA,33.3,0.1,71.8,993.8,5.3,NA,0.8,133
"Mike Williams","WR","TB",93,NA,NA,NA,NA,NA,0,0,64.3,930.3,6.8,NA,1.1,131.4
"Tony Gonzalez","TE","ATL",94,NA,NA,NA,NA,NA,NA,NA,85.2,888.7,6.9,NA,0,130.1
"Giovani Bernard","RB","CIN",95,NA,NA,NA,NA,NA,716.7,3.9,39.4,307.6,1.2,NA,1.7,129.8
"Lance Moore","WR","NO",96,NA,NA,NA,NA,NA,0,0,64.3,902.5,6.5,NA,0.1,129.1
"Jason Witten","TE","DAL",97,NA,NA,NA,NA,NA,NA,NA,91.7,955.9,5.3,NA,0,127.1
"Tavon Austin","WR","STL",98,NA,NA,NA,NA,NA,98.6,0.4,72.2,868,4.9,NA,1,126.7
"Kenny Britt","WR","TEN",99,NA,NA,NA,NA,NA,0,0,58,886.7,6.5,NA,0.7,126
"Miles Austin","WR","DAL",100,NA,NA,NA,NA,NA,0,0,61.9,863.4,6.8,NA,0.6,125.8
"Andre Brown","RB","NYG",101,NA,NA,NA,NA,NA,647.1,7.5,20.7,157.4,0.5,NA,1.3,125.6
"Josh Gordon","WR","CLE",102,NA,NA,NA,NA,NA,0,0,55.3,884.1,5.9,NA,0.7,122.5
"Geno Smith","QB","NYJ",103,318,184.8,1658.3,12.2,10.5,261.5,1.7,NA,NA,NA,NA,4.2,122.3
"BenJarvus Green-Ellis","RB","CIN",104,NA,NA,NA,NA,NA,785.5,6.1,11.6,86.1,0,NA,1.1,121.6
"Greg Jennings","WR","MIN",105,NA,NA,NA,NA,NA,0,0,65.1,859.4,6,NA,0.2,121.5
"Anquan Boldin","WR","SF",106,NA,NA,NA,NA,NA,4,0,62.6,877.3,5.7,NA,0.4,121.1
"Blaine Gabbert","QB","JAC",107,303,180.8,2198.1,12.3,10.5,78.2,0.6,NA,NA,NA,NA,3.5,120.6
"Vernon Davis","TE","SF",108,NA,NA,NA,NA,NA,NA,NA,64.4,843.4,6.1,NA,0.5,120.1
"DeAngelo Williams","RB","CAR",109,NA,NA,NA,NA,NA,731.5,5.1,18.5,137.6,0.5,NA,1.1,118.7
"Mark Ingram","RB","NO",110,NA,NA,NA,NA,NA,717.4,6.4,10.2,62.6,0.1,NA,0.9,115.4
"Denarius Moore","WR","OAK",111,NA,NA,NA,NA,NA,5.7,0,54.9,808.3,5.7,NA,0.3,115.2
"Michael Floyd","WR","ARI",112,NA,NA,NA,NA,NA,0,0,62.3,847.3,5.2,NA,0.4,115.1
"Daryl Richardson","RB","STL",113,NA,NA,NA,NA,NA,669.5,3.6,33,231.5,1.1,NA,1.7,114.8
"Golden Tate","WR","SEA",113,NA,NA,NA,NA,NA,22.1,0.1,52.7,750.5,6.4,NA,0.6,114.8
"Emmanuel Sanders","WR","PIT",115,NA,NA,NA,NA,NA,11.7,0,63,844.8,4.8,NA,1.1,112.8
"Sidney Rice","WR","SEA",116,NA,NA,NA,NA,NA,0,0,51.8,769.8,5.8,NA,0.5,110.7
"Jonathan Stewart","RB","CAR",117,NA,NA,NA,NA,NA,636.4,4,21.7,197,0.8,NA,1.6,109.4
"Greg Olsen","TE","CAR",118,NA,NA,NA,NA,NA,NA,NA,63.9,773.3,5.3,NA,0.9,107.6
"Kendall Wright","WR","TEN",119,NA,NA,NA,NA,NA,0,0,64,785.2,5.2,NA,1.2,107.1
"Chris Givens","WR","STL",120,NA,NA,NA,NA,NA,14.6,0,52.1,759.9,4.8,NA,0.3,106
"Antonio Gates","TE","SD",121,NA,NA,NA,NA,NA,NA,NA,58.3,674.3,6.2,NA,0.3,104.2
"Jared Cook","TE","STL",122,NA,NA,NA,NA,NA,NA,NA,58.1,718.6,5.5,NA,0.6,103.9
"Ryan Broyles","WR","DET",123,NA,NA,NA,NA,NA,0,0,59.8,757.4,4.6,NA,0.4,102.8
"Alshon Jeffery","WR","CHI",124,NA,NA,NA,NA,NA,0,0,49.2,737.2,4.9,NA,0.1,102.7
"Kyle Rudolph","TE","MIN",125,NA,NA,NA,NA,NA,NA,NA,58.4,621.9,6.8,NA,0.1,102.6
"Jermichael Finley","TE","GB",126,NA,NA,NA,NA,NA,NA,NA,60.6,696.8,5.6,NA,0.4,102.5
"Danny Woodhead","RB","SD",127,NA,NA,NA,NA,NA,430.9,2.5,41.8,352.6,1.6,NA,0.4,102.2
"Pierre Thomas","RB","NO",127,NA,NA,NA,NA,NA,520,3.1,35,280.5,0.9,NA,1,102.2
"Justin Blackmon","WR","JAC",129,NA,NA,NA,NA,NA,12.5,0,53.5,727.9,4.8,NA,0.5,101.7
"Vick Ballard","RB","IND",130,NA,NA,NA,NA,NA,561.3,4.3,20.9,154.7,0.8,NA,0.7,101.1
"Rueben Randle","WR","NYG",131,NA,NA,NA,NA,NA,0,0,50.7,711.2,4.9,NA,0.1,100.4
"Brandon LaFell","WR","CAR",132,NA,NA,NA,NA,NA,14.9,0.1,50.8,743.1,4,NA,0.1,100
"Ronnie Hillman","RB","DEN",133,NA,NA,NA,NA,NA,542,3.1,29.5,224.3,1.1,NA,1,99.6
"DeAndre Hopkins","WR","HOU",134,NA,NA,NA,NA,NA,0,0,52.2,700,5,NA,0.5,99.1
"Bernard Pierce","RB","BAL",135,NA,NA,NA,NA,NA,661.8,3.5,13.8,100,0.4,NA,0.5,98.7
"Brian Hartline","WR","MIA",136,NA,NA,NA,NA,NA,0,0,58.2,790.3,3.5,NA,0.8,98.5
"Ben Tate","RB","HOU",137,NA,NA,NA,NA,NA,625.2,4.6,12.9,88.9,0.2,NA,1,98.1
"Johnathan Franklin","RB","GB",138,NA,NA,NA,NA,NA,487.8,2.9,30.8,238.5,1.4,NA,0.4,97.5
"Willis McGahee","RB",NA,138,NA,NA,NA,NA,NA,488,2,0,327,1,NA,1,97.5
"Greg Little","WR","CLE",140,NA,NA,NA,NA,NA,12.7,0,55.2,723.5,4.1,NA,0.5,97.3
"Bryce Brown","RB","PHI",141,NA,NA,NA,NA,NA,611.2,4.2,17.8,120.8,0.5,NA,2,97.1
"Owen Daniels","TE","HOU",142,NA,NA,NA,NA,NA,NA,NA,60.4,678.3,5,NA,0.3,97
"Martellus Bennett","TE","CHI",143,NA,NA,NA,NA,NA,NA,NA,55.7,640.2,5.5,NA,0.1,96.6
"Malcom Floyd","WR","SD",144,NA,NA,NA,NA,NA,0,0,50.2,698.2,4.5,NA,0.3,96.5
"Brandon Myers","TE","NYG",145,NA,NA,NA,NA,NA,NA,NA,63.8,681.6,4.7,NA,0,96.3
"Isaiah Pead","RB","STL",146,NA,NA,NA,NA,NA,631.2,3.3,17.8,130.6,0.4,NA,0.9,96.1
"Fred Jackson","RB","BUF",147,NA,NA,NA,NA,NA,530.2,3.5,25.6,194.5,0.9,NA,1.5,95.9
"Rod Streater","WR","OAK",148,NA,NA,NA,NA,NA,0,0,52.7,675.5,4.5,NA,0.9,92.8
"Aaron Dobson","WR","NE",149,NA,NA,NA,NA,NA,0,0,45.4,619.6,5,NA,0.1,91.9
"Brandon Pettigrew","TE","DET",150,NA,NA,NA,NA,NA,NA,NA,63.8,653.4,4.7,NA,1.2,91.3
"Vincent Brown","WR","SD",151,NA,NA,NA,NA,NA,0,0,44.8,623.1,4.5,NA,0.1,88.9
"Mohamed Sanu","WR","CIN",152,NA,NA,NA,NA,NA,21.6,0.1,44.1,555.5,4.8,NA,0.1,86.9
"Mikel Leshoure","RB","DET",153,NA,NA,NA,NA,NA,460.7,5.7,14,94.1,0.1,NA,1.5,86.8
"Fred Davis","TE","WAS",154,NA,NA,NA,NA,NA,NA,NA,48.4,603.1,4.3,NA,0.1,86.1
"Jacquizz Rodgers","RB","ATL",155,NA,NA,NA,NA,NA,398.2,1.3,40.5,320.4,1.2,NA,0.6,85.8
"Darrius Heyward-Bey","WR","IND",156,NA,NA,NA,NA,NA,6,0,39.6,628.1,3.9,NA,0.5,85.6
"Jacoby Jones","WR","BAL",157,NA,NA,NA,NA,NA,6,0,43.5,608.7,4,NA,0.1,85.1
"Andre Roberts","WR","ARI",158,NA,NA,NA,NA,NA,25,0,49.7,615.3,3.3,NA,0.2,83.9
"Dustin Keller","TE","MIA",159,NA,NA,NA,NA,NA,NA,NA,51.6,588.2,4,NA,0.1,82.6
"Marcedes Lewis","TE","JAC",160,NA,NA,NA,NA,NA,NA,NA,52.9,561.8,4.5,NA,0.6,82.2
"Jordan Cameron","TE","CLE",161,NA,NA,NA,NA,NA,NA,NA,51.7,604.8,3.7,NA,0.3,82
"Chad Henne","QB","JAC",162,224.5,129,1501,9,8,46.5,0,NA,NA,NA,NA,1.5,81.7
"Michael Bush","RB","CHI",163,NA,NA,NA,NA,NA,404.6,5.1,10.8,88.7,0.3,NA,0.8,80.4
"Shonn Greene","RB","TEN",164,NA,NA,NA,NA,NA,460.2,4.7,9.8,69.1,0,NA,1,79.5
"Jermaine Gresham","TE","CIN",165,NA,NA,NA,NA,NA,NA,NA,46.9,562.4,4.1,NA,0.8,79.4
"Nate Burleson","WR","DET",166,NA,NA,NA,NA,NA,45.5,0.1,45.1,542.7,3.4,NA,0.6,78.4
"Ed Dickson","TE","BAL",167,NA,NA,NA,NA,NA,NA,NA,41.7,529.2,4.4,NA,0.4,78.3
"Robert Woods","WR","BUF",168,NA,NA,NA,NA,NA,8,0,41.7,566.2,3.6,NA,0.5,78.2
"Jeremy Kerley","WR","NYJ",169,NA,NA,NA,NA,NA,14.1,0,52.2,629.8,2.6,NA,1.2,77.8
"Santonio Holmes","WR","NYJ",170,NA,NA,NA,NA,NA,0,0,41.1,577.1,3.6,NA,0.7,77.7
"Zac Stacy","RB","STL",171,NA,NA,NA,NA,NA,475.4,3.7,10,78.6,0.2,NA,0.6,77.3
"Rob Housler","TE","ARI",172,NA,NA,NA,NA,NA,NA,NA,54.6,565.8,3.5,NA,0.1,77.2
"Santana Moss","WR","WAS",173,NA,NA,NA,NA,NA,4,0,37,497.7,4.6,NA,0.6,76.5
"Zach Miller","TE","SEA",174,NA,NA,NA,NA,NA,NA,NA,45.1,524.8,4,NA,0.3,75.9
"Coby Fleener","TE","IND",175,NA,NA,NA,NA,NA,NA,NA,45.2,505.1,4.3,NA,0.3,75.4
"Dwayne Allen","TE","IND",176,NA,NA,NA,NA,NA,NA,NA,47,515.8,3.9,NA,0.3,74.4
"Heath Miller","TE","PIT",177,NA,NA,NA,NA,NA,NA,NA,38.3,476.7,4.3,NA,0.3,72.8
"Tyler Eifert","TE","CIN",178,NA,NA,NA,NA,NA,NA,NA,44.7,513.1,3.6,NA,0.3,72.3
"Cordarrelle Patterson","WR","MIN",179,NA,NA,NA,NA,NA,8.3,0,35.6,513.2,3.6,NA,0.7,72.1
"Stephen Hill","WR","NYJ",180,NA,NA,NA,NA,NA,0,0,35.8,532,3.2,NA,0.3,71.6
"Bilal Powell","RB","NYJ",181,NA,NA,NA,NA,NA,404.4,2,22.3,163.9,0.6,NA,0.6,71.3
"Brandon Gibson","WR","MIA",182,NA,NA,NA,NA,NA,4.7,0,39.8,518.5,3,NA,0.3,69.4
"Marcel Reece","RB","OAK",183,NA,NA,NA,NA,NA,202.8,0.8,40.8,329.5,1.9,NA,0.5,67.8
"Josh Morgan","WR","WAS",184,NA,NA,NA,NA,NA,14.8,0.1,38.4,491.5,2.8,NA,0.1,67.5
"Mike Tolbert","RB","CAR",185,NA,NA,NA,NA,NA,217.4,4.5,27,182,0.3,NA,0.8,67.1
"Riley Cooper","WR","PHI",186,NA,NA,NA,NA,NA,0,0,35.7,472.9,3.3,NA,0.3,66.7
"Donnie Avery","WR","KC",187,NA,NA,NA,NA,NA,0.7,0,36.1,498.1,2.8,NA,0,66.6
"Davone Bess","WR","CLE",188,NA,NA,NA,NA,NA,0,0,49.2,525.5,2.5,NA,0.5,66.2
"Dexter McCluster","WR","KC",189,NA,NA,NA,NA,NA,57.7,0,49.8,506.2,2,NA,1.5,65.5
"Brian Quick","WR","STL",190,NA,NA,NA,NA,NA,0,0,33.6,494.4,2.8,NA,0.5,65.3
"Delanie Walker","TE","TEN",191,NA,NA,NA,NA,NA,NA,NA,34.6,445.4,3.6,NA,0.6,65.1
"Jarius Wright","WR","MIN",192,NA,NA,NA,NA,NA,27.2,0.1,37.2,467.6,2.5,NA,0.3,64.4
"Kendall Hunter","RB","SF",193,NA,NA,NA,NA,NA,402.1,2.2,12.2,102.8,0.2,NA,0.5,64.1
"Nate Washington","WR","TEN",193,NA,NA,NA,NA,NA,4,0,31.9,472.2,2.8,NA,0.3,64.1
"Markus Wheaton","WR","PIT",195,NA,NA,NA,NA,NA,24,0,33.6,451.1,2.7,NA,0.1,63.7
"Mark Sanchez","QB","NYJ",196,177.8,102.8,1213,6.9,7.9,34.4,0.4,NA,NA,NA,NA,1.7,62.8
"Ryan Williams","RB","ARI",197,NA,NA,NA,NA,NA,395.8,1.7,15.4,125.4,0.3,NA,0.9,62.5
"Danario Alexander","WR","SD",198,NA,NA,NA,NA,NA,0,0,28.9,432.4,3.1,NA,0,61.8
"Keenan Allen","WR","SD",199,NA,NA,NA,NA,NA,6,0,32.4,445.9,2.7,NA,0.1,61.5
"Austin Collie","WR","SF",200,NA,NA,NA,NA,NA,0,0,38.9,417.6,3.3,NA,0.2,61.1
"Scott Chandler","TE","BUF",201,NA,NA,NA,NA,NA,NA,NA,34.4,401.5,3.6,NA,0.7,60.6
"Kevin Kolb","QB","BUF",202,152.9,89.1,1059.6,6.4,5.4,43.2,0.1,NA,NA,NA,NA,1,60.3
"Brent Celek","TE","PHI",203,NA,NA,NA,NA,NA,NA,NA,37.1,463,2.3,NA,0.2,59.9
"Leonard Hankerson","WR","WAS",204,NA,NA,NA,NA,NA,5.3,0,33.1,446.7,2.5,NA,0.4,59.6
"Daniel Thomas","RB","MIA",205,NA,NA,NA,NA,NA,334.2,2.7,14.7,112.9,0.2,NA,1.2,59.5
"Robert Turbin","RB","SEA",206,NA,NA,NA,NA,NA,341.4,1.5,15.5,129.2,0.5,NA,0.1,58.8
"James Casey","TE","PHI",207,NA,NA,NA,NA,NA,NA,NA,34.8,417.4,2.9,NA,0.3,58.4
"Joique Bell","RB","DET",207,NA,NA,NA,NA,NA,268.9,1.7,24.9,188.1,0.6,NA,0.5,58.4
"Toby Gerhart","RB","MIN",209,NA,NA,NA,NA,NA,307.2,1.9,18.3,151.6,0.5,NA,1.2,58.1
"Jacoby Ford","WR","OAK",210,NA,NA,NA,NA,NA,45.7,0.3,29.9,412.1,1.8,NA,0.5,57.7
"Jon Baldwin","WR","KC",211,NA,NA,NA,NA,NA,0,0,30,433.9,2.3,NA,0.2,56.8
"Jacob Tamme","TE","DEN",212,NA,NA,NA,NA,NA,NA,NA,38.6,408.1,2.6,NA,0,56.4
"LaMichael James","RB","SF",213,NA,NA,NA,NA,NA,348.1,1.5,14,112.7,0.5,NA,1,56.1
"A.J. Jenkins","WR","SF",214,NA,NA,NA,NA,NA,8.2,0.1,26.7,384,2.7,NA,0.1,55.4
"Knowshon Moreno","RB","DEN",214,NA,NA,NA,NA,NA,279.8,2,17.8,127,0.7,NA,0.7,55.4
"Julian Edelman","WR","NE",216,NA,NA,NA,NA,NA,34.3,0.1,32,399.8,2.1,NA,0.7,55.1
"Domenik Hixon","WR","CAR",217,NA,NA,NA,NA,NA,0,0,30.1,404.4,2.4,NA,0,54.6
"Nick Foles","QB","PHI",217,143.3,87.2,981.1,5.5,3.2,22.3,0,NA,NA,NA,NA,1.4,54.6
"Joel Dreessen","TE","DEN",219,NA,NA,NA,NA,NA,NA,NA,29.2,325.1,3.7,NA,0.2,54.4
"Jason Avant","WR","PHI",220,NA,NA,NA,NA,NA,0,0,42.1,467.1,1.5,NA,0.8,54.1
"Knile Davis","RB","KC",221,NA,NA,NA,NA,NA,340.5,1.8,11.6,88.5,0.2,NA,0.6,54
"Tony Scheffler","TE","DET",222,NA,NA,NA,NA,NA,NA,NA,30.6,386.3,2.5,NA,0.1,53.5
"Kenbrell Thompkins","WR","NE",223,NA,NA,NA,NA,NA,0,0,25.9,369.5,2.7,NA,0.1,52.9
