"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"Bobby Rainey","RB",NA,NA,1,"BAL",640,NA,199,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Brad Smelley","TE",0.25,NA,1,"CLE",627,NA,124,NA,NA,NA,0.25,0.25,2.53605864762505,-113.3625,NA,NA,1,1,1,NA
"Brad Smith","WR",21.1625,NA,1,"BUF",368,NA,161,NA,NA,NA,21.1625,21.1625,2.73632591468061,-129.114166666667,NA,NA,1,1,1,NA
"Brad Sorensen","QB",NA,NA,1,"SD",641,NA,82,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Bradie Ewing","RB",3.75,NA,1,"ATL",559,NA,173,NA,NA,NA,3.75,3.75,2.29321125324674,-116.120833333333,NA,NA,1,1,1,NA
"Brady Quinn","QB",0.752,NA,1,"SEA",612,NA,73,NA,NA,NA,0.752,0.752,2.4944026057845,-223.004,NA,NA,1,1,1,NA
"Brandon Barden","TE",NA,NA,1,"TEN",642,NA,127,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Brandon Bolden","RB",35.11,5.89562798396028,1,"NE",296,202.8,86,18.1,25.7325,NA,35.11,26.2975,16.7808559210426,-84.7608333333333,31.8,8.51990475787924,1,1,1,0
"Brandon Bostick","TE",NA,NA,1,"GB",643,NA,128,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Brandon Collins","WR",NA,NA,1,"NYG",644,NA,235,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Brandon Gibson","WR",77.45,4.59637918631787,1,"MIA",189,195.8,78,69.775,87.1625,83.5,77.45,79.609375,77.3176880810577,-72.8266666666667,20.8,7.60457904132986,1,1,1,0
"Brandon Jackson","RB",8.4125,7.61114565389605,1,"CLE",487,178.5,146,NA,NA,NA,8.4125,8.4125,2.14228594943137,-111.458333333333,32.7,NA,1,1,1,NA
"Brandon Jacobs","RB",NA,NA,1,"FA",645,NA,200,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Brandon Kaufman","WR",NA,NA,1,"BUF",646,NA,236,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Brandon LaFell","WR",116.0125,5.29725257129912,2,"CAR",129,155.7,52,94.8,124.4125,119,116.0125,113.90625,116.307146922952,-34.2641666666667,18.7,12.9784777773307,1.2,2,1,0
"Brandon Lloyd","WR",NA,7.32027335249093,2,"FA",647,180.8,237,130,NA,NA,NA,65,1.23771202677244,NA,31.3,NA,1.2,2,1,NA
"Brandon Marshall","WR",231.455,2.07895975591138,54,"CHI",25,17.85,3,230.925,236.5,237.875,231.455,234.132916666667,222.687494183446,81.1783333333333,3.3,3.51453025547748,42.9,49,46,8.32360844234357
"Brandon Myers","TE",114.925,3.18391684811738,2,"NYG",131,124.65,12,115.625,115.3625,117.125,114.925,115.759375,108.098387906651,1.3125,18.15,0.955105524274671,1.3,2,1,0
"Brandon Pettigrew","TE",107.4625,4.79744980669641,2,"DET",140,142.1,15,98.375,109.925,99.25,107.4625,103.411458333333,100.686738247235,-6.15000000000001,25.7,5.80384548345606,1,2,1,0
"Brandon Tate","WR",17.0875,3.97131334577274,1,"CIN",402,NA,170,NA,NA,27.5,17.0875,22.29375,6.55520870206431,-133.189166666667,NA,7.36274935910492,1,1,1,0
