"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"Henry Hynoski","RB",10.44,NA,1,"NYG",463,NA,135,NA,NA,NA,10.44,10.44,2.13816498979315,-109.430833333333,NA,NA,1,1,1,NA
"Isaac Redman","RB",50.68,6.14434246213427,1,"PIT",246,145.4,69,57.975,39.3925,47.1,50.68,48.6702083333333,46.7561045665467,-69.1908333333333,35.5,7.7266938205052,1,1,1,0
"Isaiah Pead","RB",106.8825,4.83509988805599,4,"STL",141,129.6,38,118.75,114.98,123.25,106.8825,115.757291666667,112.898288990176,-12.9883333333333,24.2,6.93516353297935,3.3,4,1,0
"Isaiah Stanback","TE",0.3375,NA,1,"NE",626,NA,123,NA,NA,NA,0.3375,0.3375,2.52863341349217,-113.275,NA,NA,1,1,1,NA
"Isaiah Williams","WR",NA,NA,1,"OAK",684,NA,253,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jackie Battle","RB",NA,NA,1,"FA",685,NA,206,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jacob Hester","RB",19.3225,NA,1,"DEN",384,NA,107,NA,NA,NA,19.3225,19.3225,2.55956532372306,-100.548333333333,NA,NA,1,1,1,NA
"Jacob Tamme","TE",67.7125,5.50381575511812,2,"DEN",207,213.6,32,75.375,78.375,50,67.7125,67.865625,67.1532135451926,-45.9,21.1,12.7284678272433,1.5,2,1,0
"Jacoby Ford","WR",62.8175,6.40893181788901,1,"OAK",218,216.8,89,70.65,65.2625,60.875,62.8175,65.6370833333333,62.0725609382038,-87.4591666666667,43.8,4.23207322124748,1,1,1,0
"Jacoby Jones","WR",90.855,5.58331630900416,2,"BAL",167,174.8,65,97.3,98.9625,66.625,90.855,88.650625,90.581856834644,-59.4216666666667,18.2,14.9549209257633,1.3,2,1,0
"Jacquizz Rodgers","RB",93.7,4.06169834468757,3,"ATL",160,132.4,47,94.725,96.55,106.875,93.7,97.8541666666667,94.7540845812245,-26.1708333333333,18.2,6.05745064638032,2.2,3,1,0
"Jahvid Best","RB",NA,NA,1,"DET",686,NA,207,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jake Ballard","TE",68.8375,5.85380276966391,2,"NE",206,187.6,31,80.75,50.05,69.25,68.8375,67.1052083333333,66.377975069408,-44.775,24.5,12.7096681334526,1.7,2,1,0
"Jake Delhomme","QB",NA,NA,1,NA,687,NA,89,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jake Locker","QB",193.096,8.46131116118578,1,"TEN",55,181.3,26,163.1,222.922,169.8,193.096,186.1545,221.660612887943,-30.66,26,27.0455826276061,1,1,1,3.04452243772342
"Jake Stoneburner","TE",NA,NA,1,"GB",688,NA,139,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jalen Parmele","RB",7.5375,NA,1,"TEN",505,NA,150,NA,NA,NA,7.5375,7.5375,2.15558127402113,-112.333333333333,NA,NA,1,1,1,NA
"Jamaal Charles","RB",251.545,2.68374098098792,72,"KC",16,4.75,3,245.15,264.0875,253.025,251.545,252.960208333333,252.376102068713,131.674166666667,1.95,7.87096017411473,57.8,66,60,8.61013693705898
"Jamar Newsome","WR",2,NA,1,"KC",581,NA,223,NA,NA,NA,2,2,2.40074726558089,-148.276666666667,NA,NA,1,1,1,NA
"JaMarcus Russell","QB",NA,NA,1,NA,689,NA,90,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"James Casey","TE",72.5125,7.37283877772326,1,"PHI",198,190.3,29,NA,93.7375,46.975,72.5125,71.1416666666667,59.9919008322786,-41.1,21.5,23.4143685853367,1,1,1,2.39789527279837
"James Hanna","TE",11.15,NA,1,"DAL",453,NA,86,NA,NA,NA,11.15,11.15,2.14553575342666,-102.4625,NA,NA,1,1,1,NA
"James Jones","WR",160.925,5.05540672336794,5,"GB",83,68.05,29,158,178.45,138.5,160.925,158.827083333333,169.922763002926,10.6483333333333,10.8,16.3631111421392,4.9,6,1,8.98956900480703
"James Starks","RB",19.825,3.60478020414887,1,"GB",381,193,105,5.775,NA,27,19.825,17.5333333333333,9.26057551106715,-100.045833333333,6,10.7964789785065,1,1,1,0
"Jamie Harper","RB",20.15,3.47248854703458,1,NA,379,NA,104,NA,NA,28.5,20.15,24.325,7.48504048226977,-99.7208333333333,NA,5.90434162290767,1,1,1,0
"Jamie McCoy","TE",NA,NA,1,"PIT",690,NA,140,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jared Cook","TE",114.4625,4.30239828203961,2,"STL",132,106.7,13,112.75,125.65,109.625,114.4625,115.463541666667,113.096241623347,0.849999999999994,19,6.9789592630874,1.4,2,1,0
"Jarett Dillard","WR",NA,NA,1,NA,691,NA,254,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jarius Wright","WR",69.1675,6.26547850038958,1,"MIN",205,189.3,84,71.2,86.4875,NA,69.1675,76.5983333333333,62.7617258583188,-81.1091666666667,33.8,9.46767405878198,1,1,1,0
"Jaron Brown","WR",NA,NA,1,"ARI",692,NA,255,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jarred Fayson","WR",NA,NA,1,"NO",693,NA,256,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jarrett Boykin","WR",13.4375,11.8287940242703,1,"GB",434,171,184,NA,NA,NA,13.4375,13.4375,2.2003769259257,-136.839166666667,53,NA,1,1,1,NA
"Jason Avant","WR",56.3,8.80730141394156,1,"PHI",230,200.7,96,69.875,62.3875,23,56.3,52.7572916666667,52.2936957104237,-93.9766666666667,39.8,20.6860091985501,1,1,1,0
"Jason Campbell","QB",28.55,3.36198891229537,1,"CLE",322,NA,40,24.58,35.6,NA,28.55,22.1241666666667,18.3063226125723,-195.206,NA,5.58127524257076,1,1,1,0
"Jason Snelling","RB",36.375,2.54974782974744,1,"ATL",292,NA,84,35.975,41.55,34.05,36.375,36.8458333333333,35.5223846374214,-83.4958333333333,NA,3.206536293261,1,1,1,0
"Jason Witten","TE",150.7625,3.4754127183601,10,"DAL",92,56.6,4,147,152.2,136.75,150.7625,146.678125,144.24094939593,37.15,11.05,6.97243363031636,9.2,11,1,7.26052259808985
"Jasper Collins","WR",NA,NA,1,"MIA",694,NA,257,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Javon Ringer","RB",NA,NA,1,"FA",695,NA,208,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jawan Jamison","RB",NA,NA,1,"WAS",696,NA,209,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jay Cutler","QB",215.756,6.84776532730977,2,"CHI",37,126.6,21,196.84,239.35,186.88,215.756,208.5065,241.411352926537,-8.00000000000003,16.95,23.1079313007461,1.2,2,1,4.63472898822964
"Jed Collins","RB",15.6075,2.17493943419565,1,"NO",417,NA,122,NA,18.5925,NA,15.6075,17.1,5.77174731848686,-104.263333333333,NA,2.11071374184185,1,1,1,0
"Jeff Cumberland","TE",50.7625,7.62046003041059,1,"NYJ",245,217,40,NA,66.8625,31.875,50.7625,49.8333333333333,35.5893948118153,-62.85,33.6,17.5122472025532,1,1,1,0
"Jeff Demps","RB",NA,NA,1,"TB",697,NA,210,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jeff Fuller","WR",13.5125,NA,1,"MIA",431,NA,181,NA,NA,NA,13.5125,13.5125,2.20297849892182,-136.764166666667,NA,NA,1,1,1,NA
"Jeff King","TE",25.95,3.35162550843767,1,"ARI",339,NA,56,NA,32.75,21.75,25.95,26.8166666666667,16.247871810572,-87.6625,NA,5.55097589017763,1,1,1,0
"Jeff Maehl","WR",2.725,NA,1,"HOU",571,NA,220,NA,NA,NA,2.725,2.725,2.35282674265625,-147.551666666667,NA,NA,1,1,1,NA
"Jeff Tuel","QB",NA,NA,1,"BUF",698,NA,91,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jeremiah Johnson","RB",NA,NA,1,"DEN",699,NA,211,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jeremy Ebert","WR",NA,NA,1,"JAC",700,NA,258,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jeremy Horne","WR",NA,NA,1,NA,701,NA,259,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jeremy Kerley","WR",87.445,4.8125363426899,1,"NYJ",173,169.3,69,85.25,99.5375,75.125,87.445,86.874375,86.1232928316549,-62.8316666666667,18.9,10.0226718774237,1,1,1,0
"Jeremy Maclin","WR",149.5925,5.660298007366,3,"PHI",96,NA,35,136.875,157.5125,165.775,149.5925,152.97875,156.448055771187,-0.68416666666667,NA,12.3008123884834,2.5,3,1,6.45362499889269
"Jeremy Ross","WR",NA,NA,1,"GB",702,NA,260,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jeremy Stewart","RB",10.46,NA,1,"OAK",462,NA,134,NA,NA,NA,10.46,10.46,2.13831003732929,-109.410833333333,NA,NA,1,1,1,NA
"Jermaine Gresham","TE",100.2375,5.61171540623366,2,"CIN",150,160,16,84.625,100.0625,113.125,100.2375,99.2208333333333,100.135511857561,-13.375,23.9,11.6585581941622,1.2,2,1,0.693147180559945
"Jermaine Kearse","WR",NA,3.85058232858697,1,"SEA",703,204.3,261,NA,NA,NA,NA,0,2.55765622217905,NA,14.6,NA,1,1,1,NA
"Jermichael Finley","TE",118.25,4.23773500213345,2,"GB",127,87.65,11,101,120.75,112.625,118.25,112.947916666667,112.531260079738,4.63749999999999,15.4,8.78764224635937,1.5,2,1,1.6094379124341
"Jerome Felton","RB",8.9375,NA,1,"MIN",477,NA,142,NA,NA,NA,8.9375,8.9375,2.13764179904268,-110.933333333333,NA,NA,1,1,1,NA
"Jerome Simpson","WR",48.425,4.44205118428282,1,"MIN",251,265.5,104,55.625,NA,54.375,48.425,52.6916666666667,36.3743279120692,-101.851666666667,25.5,3.84718511815241,1,1,1,0
"Jeron Mastrud","TE",NA,NA,1,"OAK",704,NA,141,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jerrel Jernigan","WR",13.45,NA,1,"NYG",433,NA,183,NA,NA,NA,13.45,13.45,2.2008069786483,-136.826666666667,NA,NA,1,1,1,NA
"Jerrell Jackson","WR",NA,NA,1,"CHI",705,NA,262,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jerricho Cotchery","WR",48.2375,6.06755215177748,1,"PIT",253,NA,105,NA,67.0375,40.875,48.2375,52.0666666666667,36.6834013745176,-102.039166666667,NA,13.491496164251,1,1,1,0
"Jewel Hampton","RB",NA,NA,1,NA,706,NA,212,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jim Dray","TE",2.7125,NA,1,"ARI",572,NA,111,NA,NA,NA,2.7125,2.7125,2.35361257091381,-110.9,NA,NA,1,1,1,NA
"Jimmy Clausen","QB",NA,NA,1,"CAR",707,NA,92,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jimmy Graham","TE",201.6375,2.56083577323045,46,"NO",49,18.9,1,205.875,196.7875,209.25,201.6375,203.370833333333,197.11380385997,88.025,4.85,5.39070380377182,40.2,46,28,8.71686338654481
"Joe Adams","WR",3.375,NA,1,"CAR",563,NA,218,NA,NA,NA,3.375,3.375,2.31391645180707,-146.901666666667,NA,NA,1,1,1,NA
"Joe Anderson","WR",NA,NA,1,"CHI",708,NA,263,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Joe Flacco","QB",221.912,4.38634276913744,3,"BAL",32,132.2,18,215.38,231.018,214.2,221.912,219.385833333333,219.23599378143,-1.84399999999999,18.6,7.71279117224539,2.1,3,1,0
"Joe Hastings","WR",NA,NA,1,NA,709,NA,264,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Joe McKnight","RB",21.6825,3.29693982379471,1,"NYJ",364,281.5,101,12.4,NA,35.7,21.6825,23.1441666666667,12.5304310138486,-98.1883333333333,1.5,11.7299127056996,1,1,1,0
"Joe Morgan","WR",88.2825,3.92424959541779,1,"NO",171,190.5,68,68.975,98.0375,NA,88.2825,85.7433333333333,78.9055465917361,-61.9941666666667,2.5,14.790585336062,1,1,1,0
"Joe Webb","WR",14.4375,NA,1,"MIN",426,NA,179,NA,NA,NA,14.4375,14.4375,2.23925921354396,-135.839166666667,NA,NA,1,1,1,NA
"Joel Dreessen","TE",65.2375,5.2896268081524,1,"DEN",210,271.5,34,65,71.875,48.375,65.2375,62.521875,61.2565284182867,-48.375,23.5,10.0181625425607,1,1,1,0
"John Carlson","TE",23.525,NA,1,"MIN",354,NA,61,NA,NA,NA,23.525,23.525,3.00830363186003,-90.0875,NA,NA,1,1,1,NA
"John Conner","RB",1.94,NA,1,"CIN",583,NA,180,NA,NA,NA,1.94,1.94,2.40492668888555,-117.930833333333,NA,NA,1,1,1,NA
"John Griffin","RB",4.8575,NA,1,"NYJ",542,NA,166,NA,NA,NA,4.8575,4.8575,2.23950737143815,-115.013333333333,NA,NA,1,1,1,NA
"John Kuhn","RB",36.995,8.73114359107945,1,"GB",289,NA,83,NA,46.6825,5.95,36.995,29.8758333333333,18.0607574263727,-82.8758333333333,NA,21.2790046661805,1,1,1,0
"John Parker Wilson","QB",NA,NA,1,"JAC",710,NA,93,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"John Phillips","TE",21.05,NA,1,"SD",369,NA,66,NA,NA,NA,21.05,21.05,2.72463724044815,-92.5625,NA,NA,1,1,1,NA
"John Skelton","QB",0.402,NA,1,"CIN",623,NA,77,NA,NA,NA,0.402,0.402,2.52320441391913,-223.354,NA,NA,1,1,1,NA
"Johnathan Franklin","RB",97.975,7.00144191130871,4,"GB",154,143.7,45,130.825,92.52,101.975,97.975,105.757083333333,109.585095470364,-21.8958333333333,28.3,17.1120622052594,3.3,4,1,0
"Joique Bell","RB",49.8,6.31106688075787,1,"DET",248,145.8,70,30.75,55.2925,61.425,49.8,49.1085416666667,47.2589608585131,-70.0708333333333,28,13.2574135510099,1,1,1,0
"Jon Baldwin","WR",65.8625,4.89488744585631,1,"KC",209,185.8,85,42.25,64.5375,72.125,65.8625,61.09375,60.4058989832726,-84.4141666666667,14.7,13.0554686019563,1,1,1,0
"Jonathan Dwyer","RB",41.1,5.33469599137397,2,"PIT",270,119.95,77,39.8,46.9925,63.3,41.1,47.6147916666667,45.0000419550982,-78.7708333333333,22.65,10.7980251618448,1.4,2,1,0
"Jonathan Grimes","RB",6.55,NA,1,NA,514,NA,154,NA,NA,NA,6.55,6.55,2.17892640250864,-113.320833333333,NA,NA,1,1,1,NA
"Jonathan Stewart","RB",138.365,6.63772452588984,4,"CAR",107,122.3,30,114.4,143.4,161.6,138.365,139.124583333333,150.939430441784,18.4941666666667,20.95,19.4499735968116,3.7,5,1,6.73696695800186
"Jordan Cameron","TE",99.7625,4.26914810484171,2,"CLE",152,100,17,86.875,93.4,97,99.7625,94.209375,91.2944921874681,-13.85,21,5.56964779519316,1.3,2,1,0
"Jordan Norwood","WR",7.5,NA,1,"CLE",506,NA,205,NA,NA,NA,7.5,7.5,2.15630624726805,-142.776666666667,NA,NA,1,1,1,NA
"Jordan Reed","TE",21.6125,1.81276239850576,1,"WAS",367,NA,65,NA,NA,20.125,21.6125,20.86875,6.99982204675405,-92,NA,1.05182133701499,1,1,1,0
"Jordan Roberts","RB",NA,NA,1,"KC",711,NA,213,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jordan Rodgers","QB",NA,NA,1,"JAC",712,NA,94,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Jordan Shipley","WR",52.3625,7.10171741669457,1,"JAC",241,NA,101,61.625,65.1625,28.5,52.3625,51.9125,50.4313614133319,-97.9141666666667,NA,16.5150720303203,1,1,1,0
"Jordan Todman","RB",0.6,NA,1,"JAC",614,NA,191,NA,NA,NA,0.6,0.6,2.50677434163941,-119.270833333333,NA,NA,1,1,1,NA
"Jordan White","WR",4.5,NA,1,"NYJ",546,NA,214,NA,NA,NA,4.5,4.5,2.25562705501471,-145.776666666667,NA,NA,1,1,1,NA
"Jordy Nelson","WR",180.95,3.26797506577702,15,"GB",67,55.75,17,184.5,188.2125,174.75,180.95,181.994791666667,177.047437811998,30.6733333333333,11.1,5.72909583289545,14.4,17,10,7.39756153552405
"Jorvorski Lane","RB",27.12,NA,1,"MIA",328,NA,94,NA,NA,NA,27.12,27.12,3.51929204850381,-92.7508333333333,NA,NA,1,1,1,NA
"Jorvorskie Lane","RB",NA,NA,1,"MIA",713,NA,214,NA,27.12,NA,NA,27.12,0.80389994692365,NA,NA,NA,1,1,1,NA
"Joseph Fauria","TE",NA,NA,1,"DET",714,NA,142,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Joseph Randle","RB",75.6575,6.25815254142687,1,"DAL",192,172,54,75.875,88.1325,57.175,75.6575,74.135,74.1178025739892,-44.2133333333333,28.3,12.7657708019009,1,1,1,0
"Josh Bellamy","WR",NA,NA,1,"KC",715,NA,265,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Josh Boyce","WR",29.325,5.24164874853904,1,"NE",318,220.5,136,35.25,NA,39,29.325,34.525,20.9112772952335,-120.951666666667,31.5,4.87807595266822,1,1,1,0
"Josh Cooper","WR",5.8875,NA,1,"CLE",529,NA,211,NA,NA,NA,5.8875,5.8875,2.19954537737891,-144.389166666667,NA,NA,1,1,1,NA
"Josh Cribbs","WR",23.6,4.67571442520301,1,"OAK",351,NA,152,NA,NA,36.925,23.6,30.2625,9.2567387325671,-126.676666666667,NA,9.42219785931075,1,1,1,0
"Josh Freeman","QB",226.716,5.45918632204466,2,"TB",27,134.2,15,210.74,234.55,242.52,226.716,227.689833333333,240.341525901529,2.95999999999998,19.3,13.560899515396,1.6,2,1,1.09861228866811
"Josh Gordon","WR",146.9175,4.53017678182558,2,"CLE",102,86.4,40,129,152.9875,NA,146.9175,142.79,180.186460450437,-3.35916666666668,12.15,12.471847380534,1.8,3,1,6.35957386867238
"Josh Johnson","QB",5.318,NA,1,"CIN",533,NA,56,NA,NA,NA,5.318,5.318,2.22045160742982,-218.438,NA,NA,1,1,1,NA
"Josh McCown","QB",8.534,2.62648168837464,1,"CHI",485,NA,48,NA,3.682,NA,8.534,6.108,3.121180295594,-215.222,NA,3.43088210231713,1,1,1,0
"Josh Morgan","WR",78.8475,6.81424157803693,1,"WAS",187,223.6,76,69,81.8,91.375,78.8475,80.5772916666667,78.718394211541,-71.4291666666667,39.5,9.21407446405588,1,1,1,0
"Josh Vaughan","RB",0.44,NA,1,"ATL",621,NA,194,NA,NA,NA,0.44,0.44,2.5200235964183,-119.430833333333,NA,NA,1,1,1,NA
"Julian Edelman","WR",53.8925,7.19813115063067,2,"NE",238,169.9,98,63.625,NA,91.75,53.8925,69.6225,50.4668731151987,-96.3841666666667,26,19.6592958821859,1.1,2,1,0
"Julio Jones","WR",225.745,2.46621292580409,51,"ATL",30,20.95,5,219.775,228.2,215.9,225.745,224.073333333333,216.366864996365,75.4683333333333,3.6,5.59671183225769,40.5,46,40,8.28425179762192
"Julius Thomas","TE",14.5375,8.79541145247404,2,"DEN",424,168.2,79,NA,NA,NA,14.5375,14.5375,2.24364626527199,-99.075,38.4,NA,1,2,1,NA
"Junior Hemingway","WR",NA,NA,1,"KC",716,NA,266,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Juron Criner","WR",60.2075,4.24763205246771,1,"OAK",225,NA,92,NA,71.7625,NA,60.2075,44.0183333333333,33.9274944377751,-90.0691666666667,NA,8.17061885661056,1,1,1,0
"Justice Cunningham","TE",NA,NA,1,"IND",717,NA,143,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Justin Blackmon","WR",123.13,5.93165957565478,2,"JAC",119,118.5,48,95.125,133.9875,131.75,123.13,121.158958333333,128.834708738269,-27.1466666666667,16.75,17.8726062936877,1.9,3,1,4.44265125649032
"Justin Brown","WR",28.225,3.15203140360278,1,"PIT",326,NA,141,NA,NA,35.25,28.225,31.7375,10.5810627784064,-122.051666666667,NA,4.9674251378355,1,1,1,0
"Justin Forsett","RB",48.955,5.11463052128293,1,"JAC",250,189.4,71,53.025,53.9625,27.325,48.955,45.716875,43.933219441416,-70.9158333333333,17.7,12.518060848064,1,1,1,0
"Justin Hunter","WR",60.8425,5.56855508980567,1,"TEN",223,198.9,91,71.25,74.2625,56.125,60.8425,65.3266666666667,63.4834551842925,-89.4341666666667,28.6,8.55120337535406,1,1,1,0
"Kamar Aiken","WR",NA,NA,1,"NE",718,NA,267,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Kashif Moore","WR",NA,NA,1,"PIT",719,NA,268,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Kassim Osgood","WR",1.8875,NA,1,"SF",584,NA,224,NA,NA,NA,1.8875,1.8875,2.40861046766929,-148.389166666667,NA,NA,1,1,1,NA
"Kealoha Pilares","WR",6.9875,NA,1,"CAR",510,NA,206,NA,NA,NA,6.9875,6.9875,2.16749244882624,-143.289166666667,NA,NA,1,1,1,NA
"Keenan Allen","WR",56.6625,4.14698939277469,1,"SD",229,178.5,95,59.675,69.1125,NA,56.6625,62.1083333333333,46.8248155040176,-93.6141666666667,18.3,6.4954350957679,1,1,1,0
"Keiland Williams","RB",15.76,NA,1,"WAS",416,NA,121,NA,NA,NA,15.76,15.76,2.30460956490447,-104.110833333333,NA,NA,1,1,1,NA
"Kellen Clemens","QB",0.482,NA,1,"STL",620,NA,76,NA,NA,NA,0.482,0.241,2.5165231927968,-223.274,NA,NA,1,1,1,NA
"Kellen Davis","TE",24.2125,NA,1,"CLE",350,NA,60,NA,NA,NA,24.2125,24.2125,3.09695939938831,-89.4,NA,NA,1,1,1,NA
"Kellen Moore","QB",NA,NA,1,"DET",720,NA,95,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Kellen Winslow","TE",61.35,5.86025887171894,1,"NYJ",221,195.3,35,65.375,NA,NA,61.35,63.0125,31.4704664471698,-52.2625,40.8,2.84610479427585,1,1,1,0
"Kenbrell Thompkins","WR",NA,5.31533213209133,2,"NE",721,110.2,269,NA,NA,NA,NA,0,2.55765622217905,NA,21.65,NA,1.6,2,1,NA
"Kendall Hunter","RB",63.03,6.87398828908607,1,"SF",217,165.5,61,28.175,77.2075,62.7,63.03,57.7364583333333,58.1939149889927,-56.8408333333333,20.9,20.8618684620809,1,1,1,0
"Kendall Wright","WR",125.9875,4.6566779298141,2,"TEN",116,130.2,45,135.75,131.575,143,125.9875,133.832291666667,131.17471618231,-24.2891666666667,22.1,7.16749298773056,1.3,2,1,0
"Kenjon Barner","RB",16.8425,2.83520207688908,1,"CAR",405,NA,115,NA,22.5575,NA,16.8425,13.0333333333333,6.39967486725294,-103.028333333333,NA,4.04111525448112,1,1,1,0
"Kenny Britt","WR",147.7875,6.45871710229688,2,"TEN",99,93.3,38,112,163.7125,159.75,147.7875,145.745833333333,164.085613643272,-2.48916666666665,12.5,23.5361402067827,1.8,3,1,8.9632882756103
"Kenny Stills","WR",29.6125,7.72441390318893,1,"NO",315,182.9,133,11.875,NA,47.75,29.6125,29.7125,16.3927568807542,-120.664166666667,33.9,17.9378716570092,1,1,1,0
"Kerry Taylor","WR",NA,NA,1,"ARI",722,NA,270,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Kerwynn Williams","RB",3.53,NA,1,"IND",560,NA,174,NA,NA,NA,3.53,1.765,2.30520366794929,-116.340833333333,NA,NA,1,1,1,NA
"Keshawn Martin","WR",37.01,4.75111579584429,1,"HOU",288,NA,124,20,NA,36.375,37.01,31.095,19.5450797058328,-113.266666666667,NA,9.6426478901458,1,1,1,0
"Kevin Brock","TE",0.775,NA,1,NA,610,NA,121,NA,NA,NA,0.775,0.775,2.49254881919222,-112.8375,NA,NA,1,1,1,NA
"Kevin Cone","WR",10.4375,NA,1,"ATL",464,NA,193,NA,NA,NA,10.4375,10.4375,2.1381471139311,-139.839166666667,NA,NA,1,1,1,NA
"Kevin Dorsey","WR",13.8125,4.79361846854112,1,"GB",429,NA,180,NA,NA,27.625,13.8125,20.71875,5.59980949308255,-136.464166666667,NA,9.76691241513919,1,1,1,0
"Kevin Elliott","WR",6,NA,1,"BUF",527,NA,210,NA,NA,NA,6,6,2.19576345410508,-144.276666666667,NA,NA,1,1,1,NA
"Kevin Kolb","QB",64.342,10.3728210254951,1,"BUF",212,233.5,34,97.08,56.83,95.72,64.342,78.0263333333333,78.7753302264736,-159.414,54.5,20.9107824498909,1,1,1,0
"Kevin Ogletree","WR",46.4,7.11242530697647,1,"TB",255,NA,106,19.425,59.0875,40.625,46.4,41.5302083333333,39.1828414305945,-103.876666666667,NA,16.5463785533018,1,1,1,0
"Kevin Smith","RB",NA,NA,1,NA,723,NA,215,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Kevin Walter","WR",37.605,3.24151754931581,1,"TEN",283,NA,121,NA,NA,45,37.605,41.3025,15.2771017760598,-112.671666666667,NA,5.22905464687452,1,1,1,0
"Kirk Cousins","QB",30.05,2.3449322447824,1,"WAS",311,NA,39,31.74,26.622,NA,30.05,22.0946666666667,18.5021855946557,-193.706,NA,2.60771956569976,1,1,1,0
"Knile Davis","RB",55.7125,8.54089710973171,1,"KC",231,181.6,63,15.575,72.9175,52.075,55.7125,48.9033333333333,48.4851614944409,-64.1583333333333,31.6,24.1092728529917,1,1,1,0
"Knowshon Moreno","RB",55.0725,5.44836999613868,5,"DEN",235,137.7,66,37.05,62.4375,45.375,55.0725,49.7754166666667,48.4452551282927,-64.7983333333333,23.25,11.0982540856659,4.1,5,1,0
"Konrad Reuland","TE",10.85,NA,1,"NYJ",457,NA,89,NA,NA,NA,10.85,10.85,2.14186357148628,-102.7625,NA,NA,1,1,1,NA
"Kory Sperry","TE",1.95,NA,1,"ARI",582,NA,114,NA,NA,NA,1.95,1.95,2.40422785095762,-111.6625,NA,NA,1,1,1,NA
"Kris Adams","WR",1.45,NA,1,"NYG",591,NA,225,NA,NA,NA,1.45,1.45,2.44028076214033,-148.826666666667,NA,NA,1,1,1,NA
"Kris Durham","WR",15.175,3.1338923200123,1,"DET",419,NA,175,NA,NA,22.125,15.175,18.65,5.74970016768157,-135.101666666667,NA,4.91439212924651,1,1,1,0
"Kyle Adams","TE",4.3875,NA,1,"CHI",551,NA,106,NA,NA,NA,4.3875,4.3875,2.26093945784396,-109.225,NA,NA,1,1,1,NA
"Kyle Juszczyk","RB",6.7175,NA,1,"BAL",511,NA,152,NA,NA,NA,6.7175,6.7175,2.17434374740981,-113.153333333333,NA,NA,1,1,1,NA
"Kyle Miller","TE",NA,NA,1,"MIA",724,NA,144,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Kyle Orton","QB",6.054,2.3585069601313,1,"DAL",526,NA,55,NA,2.31,NA,6.054,4.182,2.8245790398849,-217.702,NA,2.64740778876243,1,1,1,0
