"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts","pick","sdPts","sdPick","risk"
"Chris Gragg","TE","BUF",380,20.0375,NA,NA,NA,20.0375,20.0375,2.62460454085573,NA,NA,NA,NA,NA
"James Starks","RB","GB",381,19.825,5.775,NA,27,19.825,17.5333333333333,9.26057551106715,35.38,193,10.7964789785065,6,3.60478020414887
"Andrew Quarless","TE","GB",382,19.5,NA,NA,NA,19.5,19.5,2.57527877918466,NA,NA,NA,NA,NA
"Bernard Scott","RB","CIN",383,19.35,20.9,NA,13.075,19.35,17.325,10.6635188638133,NA,236.5,4.14344361612415,36.5,5.63542901283754
"Jacob Hester","RB","DEN",384,19.3225,NA,NA,NA,19.3225,19.3225,2.55956532372306,20.98,NA,NA,NA,NA
"Deonte Thompson","WR","BAL",385,19.275,NA,NA,NA,19.275,19.275,2.555408779701,11.16,NA,NA,NA,NA
"Nick Kasa","TE","OAK",386,19.225,NA,NA,NA,19.225,19.225,2.55105557713091,NA,NA,NA,NA,NA
"Michael Palmer","TE",NA,387,18.95,NA,NA,NA,18.95,18.95,2.52751825665575,8.75,NA,NA,NA,NA
"Phillip Tanner","RB","DAL",388,18.8275,NA,24.8325,NA,18.8275,21.83,7.10692743141624,20.23,NA,4.24617622102522,NA,2.90533986677227
"Da'Rick Rogers","WR","BUF",389,18.6,NA,NA,NA,18.6,9.25,2.49855364444977,NA,193.5,NA,6.5,2.16767829902876
"Andre Caldwell","WR","DEN",390,18.5875,NA,NA,31.625,18.5875,25.10625,7.2445218499102,4.65,NA,9.21890465971961,NA,4.6061812714395
"Michael Robinson","RB","SEA",391,18.47,NA,NA,11.85,18.47,15.16,5.29486542633623,44.15,NA,4.68104689145494,NA,3.05408035221419
"Adrien Robinson","TE","NYG",392,18.425,NA,NA,NA,18.425,18.425,2.48448796889238,NA,NA,NA,NA,NA
"Garrett Celek","TE","SF",393,18.2625,NA,NA,NA,18.2625,18.2625,2.47167568737405,6.38,NA,NA,NA,NA
"Daniel Fells","TE","NE",394,18.125,NA,NA,NA,18.125,18.125,2.4610215847016,11.63,NA,NA,NA,NA
"Alex Green","RB","GB",395,17.965,14.65,NA,NA,17.965,16.1575,5.68242308894526,62.03,NA,2.34405897963341,NA,2.25475140199376
"Lance Ball","RB","DEN",396,17.7775,NA,NA,NA,17.7775,17.7775,2.43486003772642,35.43,NA,NA,NA,NA
"Taiwan Jones","RB","OAK",397,17.625,NA,NA,17.625,17.625,17.625,5.9250964020647,15.42,NA,NA,NA,NA
"Tyler Wilson","QB","OAK",398,17.618,NA,4.682,NA,17.618,11.15,3.77355879527568,NA,NA,9.14713332142918,NA,4.58163304498039
"Dane Sanzenbacher","WR","CIN",399,17.4625,NA,NA,NA,17.4625,17.4625,2.41209160066256,NA,NA,NA,NA,NA
"Anthony Dixon","RB","SF",400,17.425,NA,NA,NA,17.425,17.425,2.40944101622324,28.3,NA,NA,NA,NA
"Cedric Peerman","RB","CIN",401,17.205,NA,NA,NA,17.205,17.205,2.39414781467366,50.17,NA,NA,NA,NA
"Brandon Tate","WR","CIN",402,17.0875,NA,NA,27.5,17.0875,22.29375,6.55520870206431,50.32,NA,7.36274935910492,NA,3.97131334577274
"Bruce Gradkowski","QB","PIT",403,16.856,25.92,11.622,NA,16.856,17.9826666666667,10.2726749287857,NA,NA,7.23398986267836,NA,3.92727324073457
"Taylor Thompson","TE","TEN",404,16.85,NA,NA,NA,16.85,16.85,2.37039580524561,14.25,NA,NA,NA,NA
"Kenjon Barner","RB","CAR",405,16.8425,NA,22.5575,NA,16.8425,13.0333333333333,6.39967486725294,NA,NA,4.04111525448112,NA,2.83520207688908
"Orson Charles","TE","CIN",406,16.775,NA,NA,NA,16.775,16.775,2.36552402090899,12.97,NA,NA,NA,NA
"Drew Davis","WR","ATL",407,16.7375,NA,NA,NA,16.7375,16.7375,2.3631072597351,15.5,NA,NA,NA,NA
"Tashard Choice","RB","BUF",408,16.6675,9.825,NA,10.7,16.6675,12.1475,7.82536516100868,27.43,NA,3.72371873937869,NA,2.72664172793002
"Brice Butler","WR","OAK",409,16.5625,NA,NA,23,16.5625,19.78125,6.14253276025681,NA,NA,4.5519999038884,NA,3.00994191547736
"Montell Owens","RB","DET",410,16.5275,NA,NA,11.5,16.5275,14.01375,4.99264077905326,51.03,NA,3.55497934241537,NA,2.66892714397636
"Chris Harper","WR","SEA",411,16.075,NA,NA,26.75,16.075,21.4125,6.22854303628878,NA,NA,7.54836488916639,NA,4.03480013833942
"Danny Ware","RB",NA,412,16.07,NA,NA,NA,16.07,16.07,2.32222290950006,NA,NA,NA,NA,NA
"Cedric Benson","RB","FA",413,15.9975,57.725,NA,NA,15.9975,36.41125,7.95732009744273,45.93,213,29.5057982119617,25,8.77816668854262
"David Reed","WR","BAL",414,15.9125,NA,NA,33.875,15.9125,24.89375,6.48810542127183,11.75,NA,12.7014055570634,NA,5.79731442721429
"Ryan Torain","RB","NYG",415,15.7825,NA,NA,NA,15.7825,15.7825,2.30585861862716,NA,NA,NA,NA,NA
"Keiland Williams","RB","WAS",416,15.76,NA,NA,NA,15.76,15.76,2.30460956490447,NA,NA,NA,NA,NA
"Jed Collins","RB","NO",417,15.6075,NA,18.5925,NA,15.6075,17.1,5.77174731848686,19.75,NA,2.11071374184185,NA,2.17493943419565
"Ladarius Green","TE","SD",418,15.45,NA,NA,NA,15.45,15.45,2.28786780007346,7,NA,NA,NA,NA
"Kris Durham","WR","DET",419,15.175,NA,NA,22.125,15.175,18.65,5.74970016768157,22.63,NA,4.91439212924651,NA,3.1338923200123
"Dezmon Briscoe","WR","WAS",420,14.9375,NA,NA,NA,14.9375,14.9375,2.26210142303182,NA,NA,NA,NA,NA
"Chase Daniel","QB","KC",421,14.794,NA,NA,NA,14.794,7.397,2.2553137210852,NA,NA,NA,NA,NA
"Brian Robiskie","WR",NA,422,14.7,NA,NA,NA,14.7,14.7,2.25096865994055,11.5,NA,NA,NA,NA
