"projectionId","playerId","rec","recYds","recTds","rushAtt","rushYds","rushTds","fumbles","twoPts","rec100","rec150","rec200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
40844,2495835,23.12,214.99,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40845,497250,5.22,53.15,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40846,2505299,58.55,663.79,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40847,2550454,3.56,31.14,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40848,2543683,49.21,505.66,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40849,79625,4.21,26.25,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40850,2506122,38.61,338.12,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40851,2536342,3.56,36.98,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40852,89766,20.13,170.92,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40853,71431,18.14,144.78,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40854,2539645,3.81,36.83,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40855,2507218,45.51,428.26,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40856,2541512,4.46,37.63,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40857,2543721,14.74,143.11,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40858,2550656,5.62,69.27,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40859,2534244,6.01,70.64,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40860,2539202,16.47,177.86,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
