playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,
"2552291","null","Deiontrez Mount","LB","TEN","LB","TEN","null","28.6","4","null","1153","828","null","null","0.885","null","null","1","28.6","28.6","null","null",
"2552292","null","Hauoli Kikaha","LB","NO","LB","NO","null","53.725","60.5","null","1154","579","null","null","0.22","141.855","-1634.145","1","66.945","40.505","5.711","null",
"2552296","null","Kyle Emanuel","LB","SD","LB","SD","null","3.05","26.5","null","1155","1367","null","null","0.175","170","-1607","0","3.05","3.05","null","null",
"2552297","null","Lorenzo Mauldin","LB","NYJ","LB","NYJ","null","10.8","25","null","1156","1108","null","null","0.475","89.5","-1688.5","0","10.8","10.8","null","null",
"2552299","null","Nate Orchard","LB","CLE","LB","CLE","null","43.6","45","null","1157","668","null","null","0.6017","null","null","1","50.4","36.8","2.508","null",
"2552301","null","Vic Beasley","LB","ATL","LB","ATL","null","52.65","41","null","1158","592","null","null","1.525","170","-1610","0","53.49","51.81","6.8542","null",
"2552305","null","Amarlo Herrera","LB","IND","LB","IND","null","0","null","null","1479","1479","null","null","0","170","-1611","0","0","0","null","null",
"2552306","null","Ben Heeney","LB","OAK","LB","OAK","null","16.35","42.5","null","1159","998","null","null","0.3","135.375","-1646.625","0","16.35","16.35","null","null",
"2552307","null","Bryce Hager","LB","STL","LB","STL","null","5.2","3.5","null","1160","1286","null","null","0.375","170","-1613","0","5.2","5.2","null","null",
"2552310","null","Denzel Perryman","LB","SD","LB","SD","null","68","74.5","null","1161","469","null","null","2.45","145.63","-1638.37","1","72.88","63.12","3.2065","null",
"2552312","null","Eric Kendricks","LB","MIN","LB","MIN","null","39.2","91","null","1162","709","null","null","1.165","132.61","-1652.39","2.5","41.12","37.28","4.1434","null",
"2552313","null","Hayes Pullard","LB","CLE","LB","CLE","null","0","20.5","null","1479","1479","null","null","0","170","-1616","0.5","0","0","null","null",
"2552314","null","Jake Ryan","LB","GB","LB","GB","null","80.3","42.5","null","1163","355","null","null","2.5383","134.725","-1652.275","0.5","80.86","79.74","5.1776","18",
"2552315","null","Jordan Hicks","LB","PHI","LB","PHI","null","25.2","65.5","null","1164","865","null","null","0.25","127","-1661","0.5","25.2","25.2","null","null",
"2552316","null","Martrell Spaight","LB","WAS","LB","WAS","null","6.25","1","null","1165","1253","null","null","0.25","170","-1619","0.5","6.25","6.25","null","null",
"2552317","null","Mike Hull","LB","MIA","LB","MIA","null","0","1","null","1479","1479","null","null","0","null","null","0","0","0","null","null",
"2552318","null","Paul Dawson","LB","CIN","LB","CIN","null","37.225","10.5","null","1166","726","null","null","2.3","143.76","-1647.24","1","37.445","37.005","5.1309","null",
"2552320","null","Ramik Wilson","LB","KC","LB","KC","null","98.7","22.5","null","1167","247","null","null","1.025","103","-1689","0.5","98.7","98.7","null","null",
"2552321","null","Stephone Anthony","LB","NO","LB","NO","null","118.85","111","null","1168","159","null","null","0.875","135.275","-1657.725","2.5","123.13","114.57","3.7101","51",
"2552325","null","Danny Shelton","DL","CLE","DL","CLE","null","40.9","27.5","null","926","691","null","null","0.285","170","-1624","1","42.34","39.46","4.4923","null",
"2552326","null","Darius Kilgo","DL","DEN","DL","DEN","null","6","6.5","null","927","1260","null","null","0.35","170","-1625","0","6","6","null","null",
"2552327","null","Grady Jarrett","DL","ATL","DL","ATL","null","9.7","20.5","null","928","1142","null","null","0.275","170","-1626","0.5","9.7","9.7","null","null",
"2552329","null","Tyeler Davison","DL","NO","DL","NO","null","12.55","17","null","929","1074","null","null","0.225","170","-1627","0.5","12.55","12.55","null","null",
"2552385","null","Adrian Amos","DB","CHI","DB","CHI","null","68.6","66","null","1453","464","null","null","0.325","153.225","-1644.775","0","68.6","68.6","null","null",
"2552386","null","Clayton Geathers","DB","IND","DB","IND","null","55.55","31.5","null","1454","563","null","null","1.825","152.335","-1646.665","0.5","67.19","43.91","5.6712","null",
"2552389","null","Damarious Randall","DB","GB","DB","GB","null","7.9","84.5","null","1455","1190","null","null","0.275","148.785","-1651.215","0.5","7.9","7.9","null","null",
"2552390","null","Derron Smith","DB","CIN","DB","CIN","null","4.4","2","null","1456","1319","null","null","0.125","170","-1631","0","4.4","4.4","null","null",
"2552391","null","Jaquiski Tartt","DB","SF","DB","SF","null","20.85","70.5","null","1457","920","null","null","0.085","120.125","-1681.875","0.5","20.85","20.85","null","null",
"2552392","null","Jordan Richards","DB","NE","DB","NE","null","4.5","22","null","1458","1315","null","null","0.15","112.5","-1690.5","0","4.5","4.5","null","null",
"2552396","null","Ben Koyack","TE","JAC","TE","JAC","null","2.82","null","null","612","1381","null","null","0.15","160.495","-1643.505","0","6.55","0","5.8111","null",
"2552397","null","Clive Walford","TE","OAK","TE","OAK","null","45.625","50.9","316","613","644","null","null","0.3138","145.57","-1659.43","0.75","60.72","33.95","2.5854","null",
"2552399","null","Jeff Heuerman","TE","DEN","TE","DEN","null","13.96","null","null","614","1047","null","null","0.3329","121.33","-1684.67","0.25","34.58","0","8.3142","null",
"2552401","null","MyCole Pruitt","TE","MIN","TE","MIN","null","19.3786","8.9","null","615","949","null","null","1.3381","147.06","-1659.94","0.5","27.47","9.57","6.1731","null",
"2552402","null","Nick Boyle","TE","BAL","TE","BAL","null","5.9983","15.3","null","616","1264","null","null","0.156","131.8267","-1676.1733","0.25","11.95","1.3","3.98","null",
"2552403","null","Nick OLeary","TE","BUF","TE","BUF","null","5.54","3.7","null","617","1277","null","null","0.3755","152.82","-1656.18","0.5","13.7","0","2.5301","null",
"2552434","null","Bobby McCain","DB","MIA","DB","MIA","null","11.1","29.5","null","1459","1105","null","null","0.475","170","-1640","0.5","11.1","11.1","null","null",
"2552436","null","Damian Swann","DB","NO","DB","NO","null","0.5","25","null","1460","1458","null","null","0.4","170","-1641","0","0.5","0.5","null","null",
"2552438","null","David Parry","DL","IND","DL","IND","null","8.95","25","null","930","1157","null","null","0.275","170","-1642","0","8.95","8.95","null","null",
"2552440","null","Doran Grant","DB","PIT","DB","PIT","null","0","null","null","1479","1479","null","null","0","170","-1643","0.5","0","0","null","null",
"2552441","null","Edmond Robinson","LB","MIN","LB","MIN","null","2.1","9.5","null","1169","1413","null","null","0.475","170","-1644","0","2.1","2.1","null","null",
"2552442","null","Gerod Holliman","DB","PIT","DB","PIT","null","0","null","null","1479","1479","null","null","0","121.5","-1693.5","0","0","0","null","null",
"2552446","null","Randy Gregory","DL","DAL","DL","DAL","null","41.5","9","null","931","687","null","null","0.65","113.41","-1702.59","2","42.16","40.4","4.3762","null",
"2552446","null","Randy Gregory","DL","DAL","DL","DAL","null","41.5","9","null","931","687","null","null","0.65","113.41","-1702.59","2","42.16","40.4","4.3762","null",
"2552446","null","Randy Gregory","LB","DAL","LB","DAL","null","40.4","9","null","1170","698","null","null","0.9033","113.41","-1703.59","2","42.16","40.4","5.239","null",
"2552446","null","Randy Gregory","LB","DAL","LB","DAL","null","40.4","9","null","1170","698","null","null","0.9033","113.41","-1703.59","2","42.16","40.4","5.239","null",
"2552448","null","Trae Waynes","DB","MIN","DB","MIN","null","36.7","32","null","1461","735","null","null","0.8842","127.695","-1690.305","0.5","36.7","36.7","null","null",
"2552449","null","Tye Smith","DB","SEA","DB","SEA","null","9.7","0.5","null","1462","1142","null","null","0.175","170","-1649","0","9.7","9.7","null","null",
"2552451","null","Shane Ray","LB","DEN","LB","DEN","null","31.575","26.5","null","1171","789","null","null","0.0267","170","-1650","0","39.195","23.955","2.9916","null",
"2552454","null","Landon Collins","DB","NYG","DB","NYG","null","101.585","112","null","1463","232","null","null","0.7617","154.67","-1666.33","2.6","104.56","98.868","4.7904","31",
"2552462","null","Gerald Christian","TE","ARI","TE","ARI","null","2.54","null","null","618","1392","null","null","0.1638","160.495","-1661.505","0.5","4.8","0","6.589","null",
"2552468","null","Maxx Williams","TE","BAL","TE","BAL","null","58.5149","32.8","240","619","535","null","null","3.7222","146.6367","-1676.3633","1","76.6933","41.1033","3.4039","null",
"2552478","null","Blake Bell","TE","SF","TE","SF","null","6.3733","18.6","null","620","1250","null","null","0.4382","134.2833","-1689.7167","0.5","11.95","0","4.7503","null",
"2552483","null","Malcom Brown","DL","NE","DL","NE","null","18.8","45.5","null","932","960","null","null","0.15","170","-1655","0.5","18.8","18.8","null","null",
"2552484","null","P.J. Williams","DB","NO","DB","NO","null","13.55","null","null","1464","1052","null","null","0.555","170","-1656","0","13.55","13.55","null","null",
"2552488","null","Marcus Peters","DB","KC","DB","KC","null","70.4833","120.5","null","1465","448","null","null","0.2083","138.86","-1688.14","0.5","72.556","67.604","5.3366","null",
