"tableColumnID","dataColID","siteTableID","columnPeriod","columnOrder","removeColumn"
13688,27,44,"season",6,1
13689,49,45,"season",1,0
13690,23,45,"season",2,0
13691,22,45,"season",3,0
13692,99,45,"season",4,0
13693,27,45,"season",5,1
13694,236,7,"season",32,0
13695,58,7,"season",33,0
13696,225,7,"season",35,0
13697,29,7,"season",36,1
13698,236,8,"season",32,0
13699,58,8,"season",33,0
13700,225,8,"season",35,0
13701,29,8,"season",36,1
13702,236,9,"season",32,0
13703,58,9,"season",33,0
13704,225,9,"season",35,0
13705,29,9,"season",36,1
13706,236,10,"season",32,0
13707,58,10,"season",33,0
13708,225,10,"season",35,0
13709,29,10,"season",36,1
13710,27,116,"week",13,1
13711,27,116,"season",14,1
13712,27,117,"season",14,1
13713,27,118,"season",14,1
13714,236,7,"week",32,0
13715,58,7,"week",33,0
13716,225,7,"week",35,0
13717,29,7,"week",36,1
13718,236,8,"week",32,0
13719,58,8,"week",33,0
13720,225,8,"week",35,0
13721,29,8,"week",36,1
13722,236,9,"week",32,0
13723,58,9,"week",33,0
13724,225,9,"week",35,0
13725,29,9,"week",36,1
13726,236,10,"week",32,0
13727,58,10,"week",33,0
13728,225,10,"week",35,0
13729,29,10,"week",36,1
13730,69,7,"season",34,0
13731,69,8,"season",34,0
13732,69,9,"season",34,0
13733,69,10,"season",34,0
13734,69,7,"week",34,0
13735,69,8,"week",34,0
13736,69,9,"week",34,0
13737,69,10,"week",34,0
13738,55,163,"season",1,0
13739,55,164,"season",1,0
13740,55,165,"season",1,0
13741,55,166,"season",1,0
13742,55,167,"season",1,0
13743,55,168,"season",1,0
13744,49,163,"season",2,0
13745,141,163,"season",3,0
13746,68,163,"season",4,0
13747,248,163,"season",5,0
13748,38,163,"season",6,0
13749,37,163,"season",7,0
13750,39,163,"season",8,0
13751,46,163,"season",9,0
13752,45,163,"season",10,0
13753,42,163,"season",11,0
13754,40,163,"season",12,0
13755,1,163,"season",13,1
13756,60,163,"season",14,0
13757,63,163,"season",15,0
13758,61,163,"season",16,0
13759,62,163,"season",17,0
13760,27,163,"season",18,1
13761,32,163,"season",19,1
13762,49,164,"season",2,0
13763,141,164,"season",3,0
13764,68,164,"season",4,0
13765,248,164,"season",5,0
13766,60,164,"season",6,0
13767,63,164,"season",7,0
13768,61,164,"season",8,0
13769,62,164,"season",9,0
13770,199,164,"season",10,0
13771,41,164,"season",11,0
13772,59,164,"season",12,0
13773,57,164,"season",13,0
13774,225,164,"season",14,0
13775,29,164,"season",15,0
13776,27,164,"season",16,1
13777,32,164,"season",17,1
13778,49,165,"season",2,0
13779,141,165,"season",3,0
13780,68,165,"season",4,0
13781,248,165,"season",5,0
13782,199,165,"season",6,0
13783,41,165,"season",7,0
13784,39,165,"season",8,1
13785,59,165,"season",9,0
13786,57,165,"season",10,0
13787,171,165,"season",11,1
13788,61,165,"season",12,1
13789,56,165,"season",13,0
13790,60,165,"season",14,0
13791,63,165,"season",15,0
13792,62,165,"season",16,0
13793,225,165,"season",17,0
13794,29,165,"season",18,0
13795,27,165,"season",19,1
13796,32,165,"season",20,1
13797,49,166,"season",2,0
13798,141,166,"season",3,0
13799,68,166,"season",4,0
13800,248,166,"season",5,0
13801,199,166,"season",6,0
13802,41,166,"season",7,0
13803,39,166,"season",8,1
13804,59,166,"season",9,0
13805,57,166,"season",10,0
13806,171,166,"season",11,0
13807,61,166,"season",12,1
13808,56,166,"season",13,0
13809,60,166,"season",14,0
13810,63,166,"season",15,0
13811,62,166,"season",16,0
13812,225,166,"season",17,0
13813,29,166,"season",18,0
13814,32,166,"season",20,0
13815,49,167,"season",2,0
13816,141,167,"season",3,0
13817,68,167,"season",4,0
13818,248,167,"season",5,0
13819,23,167,"season",6,0
13820,25,167,"season",8,0
13821,24,167,"season",9,1
13822,99,167,"season",10,0
13823,98,167,"season",11,0
13824,27,167,"season",12,0
13825,32,167,"season",13,0
13826,49,168,"season",2,0
13827,141,168,"season",3,0
13828,68,168,"season",4,0
13829,248,168,"season",5,0
13830,242,168,"season",6,0
13831,13,168,"season",7,0
13832,11,168,"season",8,1
13833,10,168,"season",9,0
13834,30,168,"season",10,0
13835,14,168,"season",11,0
13836,15,168,"season",12,0
13837,58,168,"season",13,0
13838,52,168,"season",14,0
13839,27,168,"season",15,0
13840,32,168,"season",16,0
13841,27,166,"season",19,0
13842,22,167,"season",7,0
13843,55,116,"season",1,1
13844,40,169,"season",10,0
13845,37,169,"season",7,0
13846,46,169,"season",8,0
13847,42,169,"season",9,0
13848,35,169,"season",4,0
13849,248,169,"season",5,0
13850,254,169,"season",19,0
13851,38,169,"season",6,0
13852,145,169,"season",20,0
13853,27,169,"season",18,0
13854,225,169,"season",15,0
13855,68,169,"season",3,0
13856,62,169,"season",14,0
13857,55,169,"season",1,0
13858,69,169,"season",17,0
13859,29,169,"season",16,0
13860,49,169,"season",2,0
13861,197,169,"season",11,0
13862,63,169,"season",13,0
13863,60,169,"season",12,0
13864,63,170,"season",7,0
13865,62,170,"season",8,0
13866,43,170,"season",9,0
13867,254,170,"season",19,0
13868,145,170,"season",20,0
13869,60,170,"season",6,0
13870,35,170,"season",4,0
13871,248,170,"season",5,0
13872,69,170,"season",17,0
13873,27,170,"season",18,0
13874,68,170,"season",3,0
13875,55,170,"season",1,0
13876,49,170,"season",2,0
13877,225,170,"season",15,0
13878,58,170,"season",14,0
13879,29,170,"season",16,0
13880,236,170,"season",13,0
13881,57,170,"season",12,0
13882,41,170,"season",10,0
13883,59,170,"season",11,0
13884,57,171,"season",9,0
13885,59,171,"season",8,0
13886,41,171,"season",7,0
13887,35,171,"season",4,0
13888,69,171,"season",17,0
13889,68,171,"season",3,0
13890,43,171,"season",6,0
13891,27,171,"season",18,0
13892,145,171,"season",20,0
13893,248,171,"season",5,0
13894,254,171,"season",19,0
13895,29,171,"season",16,0
13896,225,171,"season",15,0
13897,55,171,"season",1,0
13898,49,171,"season",2,0
13899,58,171,"season",14,0
13900,63,171,"season",11,0
13901,60,171,"season",10,0
13902,236,171,"season",13,0
13903,62,171,"season",12,0
13904,59,172,"season",8,0
13905,57,172,"season",9,0
13906,41,172,"season",7,0
13907,68,172,"season",3,0
13908,145,172,"season",17,0
13909,248,172,"season",5,0
13910,35,172,"season",4,0
13911,43,172,"season",6,0
13912,49,172,"season",2,0
13913,69,172,"season",14,0
13914,55,172,"season",1,0
13915,27,172,"season",15,0
13916,254,172,"season",16,0
13917,29,172,"season",13,0
13918,236,172,"season",10,0
13919,58,172,"season",11,0
13920,225,172,"season",12,0
13921,18,173,"season",7,0
13922,19,173,"season",8,0
13923,17,173,"season",6,0
13924,68,173,"season",3,0
13925,49,173,"season",2,0
13926,248,173,"season",5,0
13927,35,173,"season",4,0
13928,55,173,"season",1,0
13929,145,173,"season",14,0
13930,254,173,"season",13,0
13931,20,173,"season",9,0
13932,27,173,"season",12,0
13933,21,173,"season",10,0
13934,99,173,"season",11,0
13935,28,174,"season",7,0
13936,254,174,"season",18,0
13937,13,174,"season",4,0
13938,10,174,"season",6,0
13939,145,174,"season",19,0
13940,14,174,"season",5,0
13941,55,174,"season",1,0
13942,27,174,"season",17,0
13943,49,174,"season",2,0
13944,260,174,"season",15,0
13945,178,174,"season",16,0
13946,35,174,"season",3,0
13947,258,174,"season",13,0
13948,259,174,"season",14,0
13950,257,174,"season",12,0
13951,30,174,"season",8,0
13952,15,174,"season",9,0
13953,172,174,"season",10,0
13956,214,128,"season",27,1
13957,111,145,"season",8,0
13958,110,145,"season",9,0
13959,107,145,"season",10,0
13960,111,146,"season",8,0
13961,110,146,"season",9,0
13962,107,146,"season",10,0
13963,111,147,"season",8,0
13964,110,147,"season",9,0
13965,107,147,"season",10,0
13966,62,148,"season",13,0
13967,34,148,"season",14,0
13968,27,148,"season",15,0
13969,57,149,"season",12,0
13970,34,149,"season",13,1
13971,27,149,"season",14,1
13972,57,150,"season",12,0
13973,34,150,"season",13,1
13974,27,150,"season",14,1
13975,57,151,"season",9,0
13976,34,151,"season",10,1
13977,27,151,"season",11,1
13978,68,152,"season",4,0
13979,50,152,"season",5,0
13980,34,153,"season",11,1
13981,27,153,"season",12,1
13983,27,28,"season",16,0
13984,141,152,"season",3,0
13985,70,152,"season",16,0
13986,81,152,"season",17,0
13987,23,133,"season",20,0
13988,23,135,"season",20,0
13989,23,136,"season",20,0
13990,99,162,"season",19,0
13991,23,162,"season",20,0
13992,23,134,"season",20,0
13993,46,162,"season",9,0
13994,212,128,"season",25,1
13995,97,7,"season",37,1
13996,97,8,"season",37,1
13997,97,9,"season",37,1
13998,97,10,"season",37,1
13999,97,11,"season",23,1
14000,97,12,"season",24,1
14001,97,154,"season",25,1
14002,97,155,"season",25,1
14003,97,156,"season",25,1
14004,97,7,"week",37,1
14005,97,8,"week",37,1
14006,97,9,"week",37,1
14007,97,10,"week",37,1
14008,97,11,"week",23,1
14009,97,12,"week",24,1
14010,7,154,"week",6,0
14011,7,155,"week",6,0
14012,7,156,"week",6,0
14013,94,7,"season",1,1
14014,94,154,"week",1,1
14015,49,154,"week",2,0
14016,95,154,"week",3,1
14017,96,154,"week",4,1
14018,248,154,"week",5,1
14019,94,155,"week",1,1
14020,49,155,"week",2,0
14021,95,155,"week",3,1
14022,96,155,"week",4,1
14023,248,155,"week",5,1
14024,27,154,"week",7,1
14025,48,154,"week",8,1
14026,230,154,"week",9,0
14027,229,154,"week",10,0
14028,104,154,"week",11,0
14029,224,154,"week",12,0
14030,105,154,"week",13,0
14031,231,154,"week",14,0
14032,106,154,"week",15,0
14033,234,154,"week",16,0
14034,110,154,"week",17,0
14035,232,154,"week",18,0
14036,109,154,"week",19,0
14037,108,154,"week",20,0
14038,107,154,"week",21,0
14039,233,154,"week",22,0
14040,236,154,"week",23,0
14041,111,154,"week",24,0
14042,97,154,"week",25,0
14043,27,155,"week",7,1
14044,48,155,"week",8,1
14045,230,155,"week",9,0
14046,229,155,"week",10,0
14047,104,155,"week",11,0
14048,224,155,"week",12,0
14049,105,155,"week",13,0
14050,231,155,"week",14,0
14051,106,155,"week",15,0
14052,234,155,"week",16,0
14053,110,155,"week",17,0
14054,232,155,"week",18,0
14055,109,155,"week",19,0
14056,108,155,"week",20,0
14057,107,155,"week",21,0
14058,233,155,"week",22,0
14059,236,155,"week",23,0
14060,111,155,"week",24,0
14061,97,155,"week",25,0
14062,27,156,"week",7,1
14063,48,156,"week",8,1
14064,230,156,"week",9,0
14065,229,156,"week",10,0
14066,104,156,"week",11,0
14067,224,156,"week",12,0
14068,105,156,"week",13,0
14069,231,156,"week",14,0
