"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"DEZBRYANT","Dez Bryant","WR","DAL",24,12.9201329867013,3,235.533717645777,331.07,232.375,238.125,238.675,230.15,231.175,252.625,225.25,228.275,233.75,233.1,244.5,196.75,248.075,NA,241.825,238.942,235.533717645777,92.1344959561667,3.4239,28.1454496110743,5.0933766170675,52.6,52,52.3,52.6,11,37.9,16.7,37,11,10.7,2.1,52.3,65
"EDDIELACY","Eddie Lacy","RB","GB",25,5.56555844415558,5,228.570054134208,246.43,250.825,200.675,225.625,227.575,223.875,249.6,222.5,213.85,229.75,225.15,242.375,255.6,240.6,NA,230.45,231.1525,228.570054134208,110.642239933137,1.3913,15.0970456507541,3.58923437004143,60.9,55,57.95,60.9,5.3,50.1,8.3,49,6,5.6,1.6,57.95,72
"AJGREEN","A.J. Green","WR","CIN",26,15.3565343465653,4,228.163913398433,262.985,226.75,227,233,229.25,227.4,237.075,223.375,227.375,233.75,234.45,230.75,189.25,252.375,NA,211.7,230.051395833333,228.163913398433,84.7646917088221,2.4913,16.3760038805332,3.83364404847161,51,47,49,51,12.5,39.3,16.4,38,14,12.4,2.2,49,61
"ANDYDALTON","Andy Dalton","QB","CIN",27,124.50064051241,18,228.005603951815,242.28,245.26,236.22,231.18,NA,233.2,227.16,230.6,233.56,241.8,236.44,232,245,251.2,NA,224.4,232.68505952381,228.005603951815,-17.0767101647085,15.1891,7.66191681178863,4.34235150391938,1.2,3,2.1,3,123.2,2.1,120.6,6,127,119.2,13.4,2.1,3
"JULIOJONES","Julio Jones","WR","ATL",28,15.9790320967903,5,226.897147088917,250.31,224.25,238.125,229.275,230.975,236.7375,242.075,243.825,213.975,217.5,227.75,215.25,222.875,237.725,NA,226.095,229.332239583333,226.897147088917,83.4979253993069,3.6326,10.8684201030193,3.41400475327388,41.4,38,39.7,41.4,20.3,32.8,22.7,36,20,16.2,2.4,39.7,50
"JIMMYGRAHAM","Jimmy Graham","TE","NO",29,10.3218178182182,1,221.265634013649,292.36,232.625,232.75,217.375,217.375,224.9375,252.5,209.25,213.5,224.25,212.125,215.75,188.25,221.125,NA,212.4,224.93253125,221.265634013649,102.910709737218,3.4739,23.4214710420548,4.63343319437749,58.8,53,55.9,58.8,7.7,46,11.2,43,8,8.4,2.2,55.9,70
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",30,138.549182242991,19,220.471507295718,198.59,235.98,244.76,214.78,NA,226.758,204.64,218.9,220.6,241.4,225.04,229,233.1,252.82,NA,229.24,223.148223809524,220.471507295718,-24.6108068208057,15.5467507798448,14.8914161482748,5.09298503295441,1,1,1,1,133.8,2.3,134.9,5,164,NA,NA,1,2
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",31,15.011703829617,6,219.977956533815,231.75,220.375,228.25,225.75,224.25,221.0875,241,206.75,213.75,221.25,208.95,227.75,174.75,234.75,NA,222.4,220.881322916667,219.977956533815,76.5787348442043,2.1413,15.5110178295024,3.71075850071935,46.1,45,45.55,46.1,14.6,34.6,19.9,36,18,15,2.6,45.55,57
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",32,24.0456304369563,7,216.411470246622,217.57,215.125,200,223,217.625,215.6625,212.775,205.325,209.725,214.625,202.925,214.25,180,217.75,NA,203.235,211.73615625,216.411470246622,73.0122485570116,4.9239,10.5821019240486,3.52482561777181,38.6,36,37.3,38.6,22.1,27.6,27.6,30,25,24.5,3.5,37.3,47
"JORDYNELSON","Jordy Nelson","WR","GB",33,19.3855364463554,8,215.790618606723,219.035,219,223,220.75,216.125,217.125,217.575,204.875,222,215.25,213.375,228.5,193.375,222.5,NA,197.25,215.257520833333,215.790618606723,72.3913969171127,6.0065,9.69419116692839,3.55391866506065,38,36,37,38,23.1,29.5,24.9,31,22,20.2,3.2,37,46
