"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"JASONSNELLING","Jason Snelling","RB",NA,343,NA,95,28.785,59.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.785,28.785,-89.1428142010705,NA,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DEVIERPOSEY","DeVier Posey","WR","HOU",344,NA,148,28.5733223990442,NA,53.125,58.875,NA,NA,35.825,20.375,11.125,15.875,24.75,20,2.5,29.75,41.25,NA,19.425,23.7607142857143,28.5733223990442,-114.825899290566,NA,16.8194640302583,5.41653832817725,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"ANDRECALDWELL","Andre Caldwell","WR","DEN",345,NA,149,28.2964526627864,12.865,68.75,NA,NA,NA,30.85,38.4,29,26.125,7.625,NA,12.875,40.625,35.625,NA,20.975,26.0395154845155,28.2964526627864,-115.102769026824,NA,17.0257626981744,5.45718044438806,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"CLAYHARBOR","Clay Harbor","TE","JAX",346,NA,61,28.1752058994779,13.045,50.875,NA,NA,NA,30.2375,39,NA,39.625,18.75,21.625,27.25,NA,NA,NA,23.475,28.9016111111111,28.1752058994779,-90.1797183769526,NA,11.9353347803673,4.45433459430046,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"ZACHSUDFELD","Zach Sudfeld","TE","NYJ",347,NA,62,28.0623117761336,NA,NA,NA,NA,NA,26.4625,34.125,38,49.75,28.5,21.125,4.375,NA,NA,NA,14.625,27.1203125,28.0623117761336,-90.2926125002968,NA,14.09811590993,4.88041588165992,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"QUINTONPATTON","Quinton Patton","WR","SF",348,NA,150,27.9877853299745,1.99,64.75,NA,NA,NA,33.5,40.925,NA,34.7,13,18.025,1.875,3.875,47.65,NA,NA,26.02,27.9877853299745,-115.411436359636,NA,21.6168252114463,6.36164821473436,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",349,NA,151,27.9197104331261,24.825,NA,33,NA,NA,25.2125,18.325,NA,11,NA,29.825,9.375,27.25,33.3,NA,9.7375,21.045,27.9197104331261,-115.479511256484,NA,9.42636263359309,3.96005153087153,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DUJUANHARRIS","DuJuan Harris","RB","GB",350,NA,96,27.8594777926376,NA,NA,43.575,NA,NA,28.6625,43.025,NA,29.025,36.375,13.1,12.625,3.375,NA,NA,22.3375,21.8954545454545,27.8594777926376,-90.0683364084329,NA,14.1103483806606,4.88282575421023,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"THEORIDDICK","Theo Riddick","RB","DET",351,182.3,97,27.5683133272392,38.24,19.825,38.7,24.925,NA,28.1775,13.1,NA,23.2,48.625,22.775,23.25,2.85,NA,NA,33.6,26.3175297619048,27.5683133272392,-90.3595008738313,11.9,12.2497101755294,4.4401518968255,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JOSHMORGAN","Josh Morgan","WR","CHI",352,NA,152,27.5147318210872,3.77,57.625,NA,NA,NA,25.325,43.975,14.25,14,7.5,34.075,27.25,33.875,35.625,NA,14.4375,23.7761213786214,27.5147318210872,-115.884489868523,NA,15.9467606472928,5.24461035275051,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JACOBTAMME","Jacob Tamme","TE","DEN",353,NA,63,27.3126644543807,25.985,NA,NA,NA,NA,24.3125,53.625,30.25,24.25,15,24.25,40.125,NA,NA,NA,19.85,28.5566666666667,27.3126644543807,-91.0422598220497,NA,11.6532201826362,4.39875627001184,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"CHRISHOGAN","Chris Hogan","WR","BUF",354,NA,153,27.3123546332947,NA,NA,35.5,NA,NA,24.3125,NA,NA,NA,NA,19.125,6.25,NA,NA,NA,44.225,25.8025,27.3123546332947,-116.086867056316,NA,14.6842379356234,4.99588555348364,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",355,192,98,27.2745271929927,NA,55.95,25.625,29.4,NA,37.79,24.5,NA,14.35,9.875,26.675,18.375,NA,NA,NA,13.315,25.5255,27.2745271929927,-90.6532870080777,3,13.5952717373031,3.61450103413619,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JEFFJANIS","Jeff Janis","WR","GB",356,NA,154,27.26875,NA,44.875,NA,NA,NA,33.9625,NA,NA,NA,23.5,19.375,4.375,NA,NA,NA,NA,25.2175,27.26875,-116.13047168961,NA,15.2838701741411,5.11401682096956,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ROBERTHERRON","Robert Herron","WR","TB",357,NA,155,27.25,NA,60.125,23.5,NA,NA,41.8125,-2,NA,NA,34,26.1,3.125,NA,NA,NA,NA,26.3789285714286,27.25,-116.14922168961,NA,21.5598811384103,6.35042987940906,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JUSTINBROWN","Justin Brown","WR","PIT",358,NA,156,27.2063329237779,NA,NA,35.875,NA,NA,26.9125,NA,NA,19.5,40.125,NA,NA,1,NA,NA,NA,20.56875,27.2063329237779,-116.192888765833,NA,15.4631406496223,5.14933421575097,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",359,NA,99,27.1079011897412,NA,54.825,23.5,22.925,NA,35.105,25.5,NA,13.25,6.375,22.525,47,15.6,NA,NA,NA,29.2004545454545,27.1079011897412,-90.8199130113293,NA,15.034454586789,5.06488040439283,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"DONTRELLEINMAN","Dontrelle Inman","WR","SD",360,NA,157,26.875,NA,NA,NA,NA,NA,NA,37.875,NA,NA,NA,15.875,NA,NA,NA,NA,NA,26.875,26.875,-116.52422168961,NA,15.556349186104,5.16769687514087,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JOSHHUFF","Josh Huff","WR","PHI",361,NA,158,26.7562418781602,NA,NA,40.25,NA,NA,36.9375,NA,NA,24.75,25,19.9,9.375,25,36.375,NA,14.325,23.7523611111111,26.7562418781602,-116.64297981145,NA,10.507833965798,4.17310808623428,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ANTHONYMCCOY","Anthony McCoy","TE","SEA",362,NA,64,26.2307508673957,40.24,NA,NA,NA,NA,17.1875,NA,NA,NA,NA,21.625,NA,NA,NA,NA,NA,13.0354166666667,26.2307508673957,-92.1241734090347,NA,12.2312944770099,4.51264048888606,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",363,NA,159,25.6558148922982,26.355,NA,26.5,NA,NA,26.75,35.375,9.625,24.375,15.625,17.875,4.375,26.25,45.125,NA,NA,23.4459090909091,25.6558148922982,-117.743406797312,NA,11.3869608444364,4.34630153012117,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"MIKELLESHOURE","Mikel Leshoure","RB","DET",364,NA,100,25.6382125719786,NA,43.05,NA,NA,NA,18.1175,66.45,11.775,3.5,0.5,6.65,4.125,NA,45.2,NA,8.7175,16.5904166666667,25.6382125719786,-92.2896016290918,NA,22.6044136299873,6.55620925422258,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"TONYMOEAKI","Tony Moeaki","TE","BUF",365,NA,65,24.6250739049274,NA,NA,NA,NA,NA,21.4625,39.125,9.625,4.125,26.625,17.875,18.5,38,50.875,NA,NA,22.62125,24.6250739049274,-93.729850371503,NA,15.0756189987159,5.0729900486779,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"NICKTOON","Nick Toon","WR","NO",366,NA,160,24.5315968414099,66.3,NA,NA,NA,NA,21.85,4.375,11,43.625,24.75,36.75,7.5,5.875,26.625,NA,18.3,24.2022727272727,24.5315968414099,-118.867624848201,NA,18.8033876299893,5.80738357360767,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JOHNKUHN","John Kuhn","RB","GB",367,NA,101,24.2226312756273,25.94,41.1,15.125,NA,NA,23.455,NA,9.475,7.8,15,12.025,31.5,NA,NA,NA,20.39,19.878,24.2226312756273,-93.7051829254432,NA,10.5223940558538,4.17597651421816,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DAVONEBESS","Davone Bess","WR",NA,368,81,161,24.075,90.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,37.1216666666667,24.075,-119.32422168961,0,45.8134483530764,6.46510492159258,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"RONNIEBROWN","Ronnie Brown","RB","HOU",369,NA,102,24.071778295709,-0.03,NA,NA,33.6,NA,33.6,8.4,NA,NA,5.5,20.35,1,NA,48.5,NA,13.2375,18.2370555555556,24.071778295709,-93.8560359053615,NA,16.982150944284,5.44858865856765,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JIMDRAY","Jim Dray","TE","CLE",370,NA,66,23.4949657234627,13.37,NA,NA,NA,NA,20.8375,22.85,NA,NA,NA,4.625,6.25,45.625,43.875,NA,NA,19.7356458333333,23.4949657234627,-94.8599585529677,NA,16.6406982543659,5.38132036234295,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JOSEPHRANDLE","Joseph Randle","RB","DAL",371,171.5,103,23.2245275817182,23.36,31.975,18.625,33.5,NA,26.185,28.875,21.525,8.25,12.875,19.725,22.375,9.725,NA,NA,23.625,21.4753846153846,23.2245275817182,-94.7032866193522,16.5,7.84607363426822,4.50162579155771,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"ROBERTHOUSLER","Robert Housler","TE","ARI",372,NA,67,22.7875,NA,NA,NA,NA,NA,33.475,21.875,21.125,NA,NA,NA,NA,NA,NA,NA,NA,25.4916666666667,22.7875,-95.5674242764304,NA,6.92393192726021,3.46705717175313,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JOSHHILL","Josh Hill","TE","NO",373,NA,68,22.15,NA,NA,NA,NA,NA,15.5875,10.25,NA,38,19.75,NA,5.625,NA,NA,NA,26.55,19.19375,22.15,-96.2049242764304,NA,11.7059433355454,4.40914305791106,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DENNISJOHNSON","Dennis Johnson","RB","HOU",374,NA,104,22.0456277702344,NA,24.125,NA,NA,NA,18.105,NA,NA,NA,NA,NA,NA,20,44.2,NA,NA,11.5588888888889,22.0456277702344,-95.8821864308361,NA,11.9945880157122,4.46600784891272,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",375,NA,105,21.8940726196468,32.565,22.775,19.825,NA,NA,21.3,NA,NA,14.675,10.5,11.425,NA,19.225,NA,NA,18.165,18.8261111111111,21.8940726196468,-96.0337415814236,NA,6.64531387729562,3.41216768904597,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DAMIANWILLIAMS","Damian Williams","WR","MIA",376,NA,162,21.8754013680684,11.53,53.875,31.375,NA,NA,36.975,10.625,20,8.75,NA,0.375,21,NA,NA,NA,NA,18.9525,21.8754013680684,-121.523820321542,NA,16.6358584840098,5.38036689758607,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"ANTHONYDIXON","Anthony Dixon","RB","BUF",377,NA,106,21.84511217833,-0.03,28.125,33.1,NA,NA,30.6125,5.925,NA,24.15,15,13.6,1.75,NA,NA,NA,NA,16.9120555555556,21.84511217833,-96.0827020227404,NA,12.649762129955,4.59508121016293,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"KEVINWALTER","Kevin Walter","WR",NA,378,NA,163,21.8025,44.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8025,21.8025,-121.59672168961,NA,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CLE",379,NA,107,21.7684066338319,58.165,50.3,16.625,NA,NA,22.3625,NA,17.425,6.875,7.625,8.575,28.625,NA,29.525,NA,NA,20.8184090909091,21.7684066338319,-96.1594075672386,NA,17.6596494102139,5.5820600554657,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JUSTINFORSETT","Justin Forsett","RB","BAL",380,NA,108,21.6571005521472,9.65,43.9,28.8,NA,NA,27.41,37.25,NA,12.025,9.125,16.525,4.625,NA,NA,NA,30.6125,19.9065909090909,21.6571005521472,-96.2707136489232,NA,13.3812063715621,4.73918025922324,1,1,1,1,NA,1,NA,0,NA,NA,NA,1,1
"LACHESEASTRUNK","Lache Seastrunk","RB","WAS",381,NA,109,21.3876814968104,NA,26.725,54.925,23.225,NA,30.78,8.65,8.2,19.8,16.25,27.925,7.5,4.8,NA,NA,15.2,20.2816666666667,21.3876814968104,-96.54013270426,NA,13.9660981297461,4.85440756072248,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"KYLEWILLIAMS","Kyle Williams","WR","KC",382,NA,164,21.3853224700855,23.835,47.5,NA,NA,NA,32.5,8.25,NA,13,NA,6.025,1.25,3.375,NA,NA,11.8625,13.84525,21.3853224700855,-122.013899219525,NA,15.3585659346647,5.12873234875422,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JARONBROWN","Jaron Brown","WR","ARI",383,NA,165,21.3180024326868,52.39,NA,18.75,NA,NA,27.5625,13.375,NA,7.875,16.875,4.875,NA,NA,NA,NA,10.7625,16.8765555555556,21.3180024326868,-122.081219256924,NA,15.1918111605985,5.09588062472339,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"MARCUSHARRIS","Marcus Harris","WR","NYG",384,NA,166,21.21875,NA,NA,31.25,NA,NA,23.4375,-2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4791666666667,21.21875,-122.18047168961,NA,17.5268023918607,5.55588836946933,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DANHERRON","Dan Herron","RB","IND",385,NA,110,21.0399706010459,-0.03,NA,35.625,NA,NA,16.9125,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.72,21.0399706010459,-96.8878436000246,NA,14.5662457092588,4.97264035357847,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"KELLENDAVIS","Kellen Davis","TE","NYG",386,NA,69,20.9819794957568,NA,NA,NA,NA,NA,16.3625,NA,43.75,NA,27.625,15.375,8.75,NA,NA,NA,NA,15.9803571428571,20.9819794957568,-97.3729447806736,NA,13.7408503648792,4.81003235496657,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JOSHCOOPER","Josh Cooper","WR","CLE",387,NA,167,20.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,34.125,NA,NA,NA,NA,20.3125,20.3125,-123.08672168961,NA,19.5338248302784,5.95128422928674,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DEMETRIUSHARRIS","Demetrius Harris","TE","KC",388,NA,70,20.125,NA,NA,NA,NA,NA,15.95,NA,19,11.25,24.75,25.5,14.75,NA,NA,NA,NA,15.8857142857143,20.125,-98.2299242764304,NA,5.68213574870107,3.22241562797126,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"LARODSTEPHENSHOWLING","LaRod Stephens-Howling","RB",NA,389,NA,111,19.635,30.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.225,NA,NA,20.3166666666667,19.635,-98.2928142010705,NA,0.572756492761105,2.2158362468118,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DANIELHERRON","Daniel Herron","RB","IND",390,NA,112,19.4750065344,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,14.4,20,NA,NA,NA,27.2375,20.109375,19.4750065344,-98.4528076666705,NA,5.27669181992847,3.14254066107693,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"STORMJOHNSON","Storm Johnson","RB","JAC",391,162.5,113,19.420152724021,NA,35.9,11.075,16.5,NA,21.89,1.15,NA,11.55,19.625,27.7,NA,NA,NA,NA,13.2575,17.5741666666667,19.420152724021,-98.5076614770495,21.5,10.1811458711679,5.26994823109872,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"LOUISMURPHY","Louis Murphy","WR","TB",392,NA,168,19.3559952653835,8.145,52.25,25.75,NA,NA,39,11.475,NA,11.125,16.25,16.875,11.875,15.875,NA,NA,18.5,20.4587987012987,19.3559952653835,-124.043226424227,NA,13.5299965564734,4.76849284784671,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DIONLEWIS","Dion Lewis","RB","CLE",393,NA,114,19.2815131491554,19.86,25.75,NA,NA,NA,14.0975,13.75,17.15,27.775,33.75,9.225,4.125,2.45,NA,NA,31.25,16.2160416666667,19.2815131491554,-98.6463010519151,NA,10.6202818347726,4.19526101336991,1,1,1,1,NA,1,NA,0,NA,NA,NA,1,1
"SHAUNHILL","Shaun Hill","QB","STL",394,NA,42,19.1498941653625,NA,29.46,21,34.44,NA,21.658,-2.16,NA,5.32,6.6,8.84,20.5,NA,21.94,NA,NA,14.8952727272727,19.1498941653625,-225.932419951161,NA,11.6019749449058,4.38866064056291,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DIONSIMS","Dion Sims","TE","MIA",395,NA,71,19.0272280453549,7.735,NA,NA,NA,NA,20.5,15,NA,24,21,18.375,4.375,NA,NA,NA,18.875,16.18,19.0272280453549,-99.3276962310755,NA,6.83660995774117,3.44985420253962,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ARRELIOUSBENN","Arrelious Benn","WR","PHI",396,NA,169,18.525,-0.03,49,NA,NA,NA,37.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5025,18.525,-124.87422168961,NA,25.5658294082812,7.13962651728939,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"BRUCEMILLER","Bruce Miller","RB","SF",397,NA,115,18.4189782148039,30.24,27.35,13.95,NA,NA,20.65,NA,NA,14.925,10.5,7.8,NA,NA,NA,NA,23.36,16.3625555555556,18.4189782148039,-99.5088359862665,NA,8.07368075800269,3.69356481750914,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"VANCEMCDONALD","Vance McDonald","TE","SF",398,NA,72,18.2624347182862,1.185,50.875,NA,NA,NA,24.9875,13.5,10.75,26.625,5,17.625,5.625,NA,NA,NA,17.05,17.31625,18.2624347182862,-100.092489558144,NA,14.4457930462855,4.94891043241169,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"KIRKCOUSINS","Kirk Cousins","QB","WAS",399,NA,43,18.2340495709457,6.31,32.84,22.76,35.34,NA,28.24,8.9,25.46,12.56,10.2,10.78,10.6,NA,40.62,NA,15.7,19.5491208791209,18.2340495709457,-226.848264545578,NA,11.4911672880098,4.36683084537272,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"EDWINBAKER","Edwin Baker","RB","CLE",400,NA,116,17.7885742044636,111.27,10.475,5.5,19.25,NA,11.0975,23.925,NA,NA,NA,15.375,1.125,NA,NA,NA,NA,21.6232777777778,17.7885742044636,-100.139239996607,NA,35.7039435956485,9.13689784784885,1,1,1,1,NA,1,NA,0,NA,NA,NA,1,1
"JACKIEBATTLE","Jackie Battle","RB","TEN",401,NA,117,17.6357682367471,18.9,47.975,5.4,NA,NA,26.6875,16.65,NA,20.55,1.5,17.575,2.675,12.9,NA,NA,10.43,16.4391883116883,17.6357682367471,-100.292045964323,NA,13.0649948465703,4.6768846289328,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JIMMYCLAUSEN","Jimmy Clausen","QB","CHI",402,NA,44,17.3998496397036,NA,NA,NA,NA,NA,14.84,25.5,NA,NA,7.1,NA,9.4,NA,NA,NA,16.02,12.0183333333333,17.3998496397036,-227.68246447682,NA,7.14440480376077,3.51049169490628,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JACOBYFORD","Jacoby Ford","WR","NYJ",403,NA,170,17.2449780249237,-0.325,NA,27.5,NA,NA,25.5,4.975,NA,NA,3.75,17.575,22.5,3.25,18.05,NA,NA,13.1022222222222,17.2449780249237,-126.154243664687,NA,10.7357973038801,4.21801827674461,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",404,NA,45,17.1191765970149,NA,NA,25.7,NA,NA,33.164,22.5,86.3,10.84,26.5,8.52,12,NA,NA,NA,15.82,22.3344,17.1191765970149,-227.963137519509,NA,23.7934302697194,6.79045290172994,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"WILLISMCGAHEE","Willis McGahee","RB",NA,405,NA,118,16.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.875,NA,NA,16.9375,16.9375,-100.99031420107,NA,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"BRENTONBERSIN","Brenton Bersin","WR","CAR",406,NA,171,16.6853584383697,NA,NA,NA,NA,NA,11.125,0.3,NA,NA,NA,30.875,NA,NA,NA,NA,11.775,13.51875,16.6853584383697,-126.713863251241,NA,12.7114838990838,4.60724078123048,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DARIUSJOHNSON","Darius Johnson","WR","ATL",407,NA,172,16.64375,NA,NA,NA,NA,NA,25.525,NA,NA,25.5,10.625,6.125,NA,NA,NA,NA,NA,16.94375,16.64375,-126.75547168961,NA,10.0634523358869,4.08556215088127,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"ALLENREISNER","Allen Reisner","TE","MIN",408,NA,73,16.63625,26.235,NA,NA,NA,NA,7.0375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.63625,16.63625,-101.71867427643,NA,13.5746824318287,4.77729624225308,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"LOGANPAULSEN","Logan Paulsen","TE","WAS",409,NA,74,16.5799753613281,11.14,NA,NA,NA,NA,24,44.375,24,7.5,18.5,17.625,12.125,NA,NA,NA,20.775,19.0127777777778,16.5799753613281,-101.774948915102,NA,10.7900238775351,4.22870124784889,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"GARYBARNIDGE","Gary Barnidge","TE","CLE",410,NA,75,16.4811490053426,NA,NA,NA,NA,NA,16.625,16.75,9.625,8.625,19.75,6.25,11.625,NA,NA,NA,25.75,12.6944444444444,16.4811490053426,-101.873775271088,NA,6.52673075020828,3.38880607803603,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"FOZZYWHITTAKER","Fozzy Whittaker","RB","CAR",411,NA,119,16.3335949700574,22.51,NA,NA,NA,NA,NA,25.775,NA,NA,3.625,6.25,NA,NA,43.375,NA,11.285,13.795,16.3335949700574,-101.594219231013,NA,14.9037151967778,5.03912393424283,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"KEALOHAPILARES","Kealoha Pilares","WR","CAR",412,NA,173,16.225,30.415,NA,NA,NA,NA,16.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5466666666667,16.225,-127.17422168961,NA,10.0338452250371,4.07972936654011,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JURONCRINER","Juron Criner","WR","OAK",413,NA,174,16.2187559871328,NA,51,NA,NA,NA,28.9375,22.75,NA,9,9.375,3.5,7.25,0.75,34.75,NA,NA,16.73125,16.2187559871328,-127.180465702478,NA,16.9092566385824,5.4342280285483,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DARRELYOUNG","Darrel Young","RB","WAS",414,NA,120,16.2019184345439,16.09,36.35,27.25,NA,NA,31.8,NA,NA,4.875,9,8.05,8.375,NA,NA,NA,NA,17.68625,16.2019184345439,-101.725895766527,NA,12.309527886386,4.52805295542086,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"MICHAELHOOMANAWANUI","Michael Hoomanawanui","TE","NE",415,NA,76,16.1872650015383,15.685,NA,NA,NA,NA,20.45,28.125,29.125,7.25,3.75,13.75,1.25,NA,NA,NA,12.0625,14.5677777777778,16.1872650015383,-102.167659274892,NA,9.9148224300511,4.05628113822909,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ERIKLORIG","Erik Lorig","RB","NO",416,NA,121,15.556181243754,26.205,19.075,15.7,NA,NA,17.3875,3.975,NA,NA,NA,1.625,3.75,NA,NA,NA,12.9425,12.52625,15.556181243754,-102.371632957316,NA,8.7245991516598,3.82179977542716,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"MYLESWHITE","Myles White","WR","GB",417,NA,175,15.546875,NA,NA,NA,NA,NA,20.8375,4.5,36.125,NA,NA,NA,3.125,NA,NA,NA,NA,16.146875,15.546875,-127.85234668961,NA,15.5600596312857,5.16842785583885,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"BRUCEELLINGTON","Bruce Ellington","WR","SF",418,NA,176,15.187494286084,NA,NA,NA,NA,NA,25.5625,26.875,NA,NA,5.5,3.5,8.5,NA,51.375,NA,NA,16.7589285714286,15.187494286084,-128.211727403527,NA,18.3142597277367,5.71102234526768,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",419,NA,46,15.039719891966,NA,27.94,NA,NA,NA,14.24,NA,NA,NA,6.1,5.86,29.4,NA,16.14,NA,NA,13.6614285714286,15.039719891966,-230.042594224558,NA,10.2353635336839,4.11942972234639,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"PLAXICOBURRESS","Plaxico Burress","WR","PIT",420,NA,177,14.96,14.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.96,14.96,-128.43922168961,NA,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"CHRISTIANPONDER","Christian Ponder","QB","MIN",421,NA,47,14.8859221003108,186.18,NA,NA,NA,NA,2.2,9.4,NA,NA,NA,16.74,NA,NA,32.06,NA,NA,32.7442857142857,14.8859221003108,-230.196392016213,NA,77.3044699871877,17.3324593854704,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"ALBERTWILSON","Albert Wilson","WR","KC",422,NA,178,14.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,22.25,NA,NA,NA,NA,NA,14.875,14.875,-128.52422168961,NA,10.4298250225016,4.15773984090841,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"LAVELLEHAWKINS","Lavelle Hawkins","WR","TB",423,NA,179,14.86,-0.03,NA,NA,NA,NA,17.125,NA,14.875,NA,NA,NA,NA,NA,NA,NA,NA,10.6516666666667,14.86,-128.53922168961,NA,9.32304984076205,3.93969827035503,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"FRANKSUMMERS","Frank Summers","RB","BUF",424,NA,122,14.7206693517474,17.5,26.9,12.125,NA,NA,19.5125,NA,NA,5.475,1.125,5.25,1.125,NA,NA,NA,15.08,11.4805,14.7206693517474,-103.207144849323,NA,8.95246160282187,3.86669009058894,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
