"name","name_yahoo","pos","team_yahoo","actualPts"
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",113.575
"DELANIEWALKER","Delanie Walker","TE","TEN",135.25
"RUEBENRANDLE","Rueben Randle","WR","NYG",135.25
"KENNYSTILLS","Kenny Stills","WR","NO",134.175
"KENDALLWRIGHT","Kendall Wright","WR","TEN",127.775
"GREGJENNINGS","Greg Jennings","WR","MIN",128.75
"VINCENTJACKSON","Vincent Jackson","WR","TB",134.25
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",125.625
"BRANDENOLIVER","Branden Oliver","RB","SD",116.075
"RASHADJENNINGS","Rashad Jennings","RB","NYG",113.15
"CARSONPALMER","Carson Palmer","QB","ARI",99.54
"ANDREJOHNSON","Andre Johnson","WR","HOU",126
"KNILEDAVIS","Knile Davis","RB","KC",106.675
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",117.825
"ALLENHURNS","Allen Hurns","WR","JAX",120.625
"TERRANCEWEST","Terrance West","RB","CLE",102.3
"DOUGBALDWIN","Doug Baldwin","WR","SEA",121.925
"JAMESJONES","James Jones","WR","OAK",116.25
"JASONWITTEN","Jason Witten","TE","DAL",117.875
"ROBERTWOODS","Robert Woods","WR","BUF",116.375
"DREWSTANTON","Drew Stanton","QB","ARI",89.74
"JOHNBROWN","John Brown","WR","ARI",116.4
"KEENANALLEN","Keenan Allen","WR","SD",115.875
"KIRKCOUSINS","Kirk Cousins","QB","WAS",77.4
"JARVISLANDRY","Jarvis Landry","WR","MIA",112.35
"SHAUNHILL","Shaun Hill","QB","STL",81.28
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",116.5
"MIKEGLENNON","Mike Glennon","QB","TB",83.58
"MICHAELCRABTREE","Michael Crabtree","WR","SF",111.65
"KENNYBRITT","Kenny Britt","WR","STL",112.9
"HEATHMILLER","Heath Miller","TE","PIT",112.125
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",77.36
"ANDREHOLMES","Andre Holmes","WR","OAK",110.625
"PIERREGARCON","Pierre Garcon","WR","WAS",112
"CHRISJOHNSON","Chris Johnson","RB","NYJ",94.175
"TRENTRICHARDSON","Trent Richardson","RB","IND",95.525
"DENARDROBINSON","Denard Robinson","RB","JAX",91.7
"LARRYDONNELL","Larry Donnell","TE","NYG",101.875
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",85.29
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",107
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","NE",88.45
"REGGIEWAYNE","Reggie Wayne","WR","IND",106.375
"DWAYNEALLEN","Dwayne Allen","TE","IND",97.375
"BRANDINCOOKS","Brandin Cooks","WR","NO",100.05
"ZACHERTZ","Zach Ertz","TE","PHI",102.75
"ROYHELU","Roy Helu Jr.","RB","WAS",96.225
"DARRENMCFADDEN","Darren McFadden","RB","OAK",88.9
"ALFREDBLUE","Alfred Blue","RB","HOU",84.925
"JAREDCOOK","Jared Cook","TE","STL",97.25
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",84.775
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",86.6
"CHARLESCLAY","Charles Clay","TE","MIA",93.625
"PERCYHARVIN","Percy Harvin","WR","NYJ",89.575
"MARKUSWHEATON","Markus Wheaton","WR","PIT",94.4
"BISHOPSANKEY","Bishop Sankey","RB","TEN",79.525
"BOBBYRAINEY","Bobby Rainey","RB","TB",82.975
"PIERRETHOMAS","Pierre Thomas","RB","NO",87.45
"JARIUSWRIGHT","Jarius Wright","WR","MIN",92.6
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",61.88
"NATEWASHINGTON","Nate Washington","WR","TEN",92.875
"OWENDANIELS","Owen Daniels","TE","BAL",89.875
"DEVINHESTER","Devin Hester","WR","ATL",87.6
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",87.5
"DWAYNEBOWE","Dwayne Bowe","WR","KC",94.25
"MYCHALRIVERA","Mychal Rivera","TE","OAK",87.75
"RILEYCOOPER","Riley Cooper","WR","PHI",87.125
"JONASGRAY","Jonas Gray","RB","NE",72.075
"JAKELOCKER","Jake Locker","QB","TEN",55.92
"HARRYDOUGLAS","Harry Douglas","WR","ATL",83.5
"TAYLORGABRIEL","Taylor Gabriel","WR","CLE",84.625
"MILESAUSTIN","Miles Austin","WR","CLE",83
"ALLENROBINSON","Allen Robinson","WR","JAX",82.5
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",72.275
"DOUGMARTIN","Doug Martin","RB","TB",69.4
"JUSTINHUNTER","Justin Hunter","WR","TEN",80.25
"SCOTTCHANDLER","Scott Chandler","TE","BUF",80.125
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",70.675
"BENTATE","Ben Tate","RB","PIT",68.6
"REGGIEBUSH","Reggie Bush","RB","DET",73.325
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",80.5
"COLTMCCOY","Colt McCoy","QB","WAS",58.88
"CECILSHORTS","Cecil Shorts III","WR","JAX",77.905
"ANTONESMITH","Antone Smith","RB","ATL",69.15
"TAVONAUSTIN","Tavon Austin","WR","STL",70.65
"HAKEEMNICKS","Hakeem Nicks","WR","IND",74.625
"DONTEMONCRIEF","Donte Moncrief","WR","IND",75.2
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",64.45
"DAVANTEADAMS","Davante Adams","WR","GB",73.75
"CHRISHOGAN","Chris Hogan","WR","BUF",71.25
"CARLOSHYDE","Carlos Hyde","RB","SF",62.8
"COLEBEASLEY","Cole Beasley","WR","DAL",70.5
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",75.305
"EJMANUEL","EJ Manuel","QB","BUF",55.72
"TIMWRIGHT","Tim Wright","TE","NE",68.175
"STEVIEJOHNSON","Stevie Johnson","WR","SF",72.375
"TOBYGERHART","Toby Gerhart","RB","JAX",64.85
"THEORIDDICK","Theo Riddick","RB","DET",68.6
"CHARLESJOHNSON","Charles Johnson","WR","MIN",72.275
"BOOBIEDIXON","Boobie Dixon","RB","BUF",61.325
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",68.7
"ROBERTTURBIN","Robert Turbin","RB","SEA",63.25
"BRIANHARTLINE","Brian Hartline","WR","MIA",71.25
"JAMESSTARKS","James Starks","RB","GB",62.8
"WESWELKER","Wes Welker","WR","DEN",70
"RYANMATHEWS","Ryan Mathews","RB","SD",59.625
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",61.925
"STEDMANBAILEY","Stedman Bailey","WR","STL",67.675
"KHIRYROBINSON","Khiry Robinson","RB","NO",56.075
"LANCEKENDRICKS","Lance Kendricks","TE","STL",62.375
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",65.725
"BRIANQUICK","Brian Quick","WR","STL",64.875
"ANDREROBERTS","Andre Roberts","WR","WAS",64.725
"PHILLYBROWN","Philly Brown","WR","CAR",61.5
"NILESPAUL","Niles Paul","TE","WAS",66.375
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",56.675
"JORDANCAMERON","Jordan Cameron","TE","CLE",65
"DANIELHERRON","Daniel Herron","RB","IND",56.725
"LUKEWILLSON","Luke Willson","TE","SEA",63.25
"CJSPILLER","C.J. Spiller","RB","BUF",54.625
"PRESTONPARKER","Preston Parker","WR","NYG",61.25
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",55.325
"JOSEPHRANDLE","Joseph Randle","RB","DAL",49.175
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",58.35
"SHONNGREENE","Shonn Greene","RB","TEN",49.825
"DEREKANDERSON","Derek Anderson","QB","CAR",50.44
"JORDANTODMAN","Jordan Todman","RB","JAX",55.35
"ANDREWQUARLESS","Andrew Quarless","TE","GB",58.375
"LOUISMURPHY","Louis Murphy Jr.","WR","TB",59.5
"MARQISELEE","Marqise Lee","WR","JAX",59.65
"CHRISPOLK","Chris Polk","RB","PHI",49.2
"STEVANRIDLEY","Stevan Ridley","RB","NE",48.5
"BERNARDPIERCE","Bernard Pierce","RB","BAL",47.225
"JUWANTHOMPSON","Juwan Thompson","RB","DEN",48.325
"JOSHHILL","Josh Hill","TE","NO",52
"ANTHONYFASANO","Anthony Fasano","TE","KC",52.25
"ZACSTACY","Zac Stacy","RB","STL",48.3
"JACEAMARO","Jace Amaro","TE","NYJ",55.125
"MICHAELVICK","Michael Vick","QB","NYJ",39.46
"KAMARAIKEN","Kamar Aiken","WR","BAL",51.375
"JORDANREED","Jordan Reed","TE","WAS",55.125
"DONALDBROWN","Donald Brown","RB","SD",48.675
"JOHNCARLSON","John Carlson","TE","ARI",51.75
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",48.875
"CHARLESSIMS","Charles Sims","RB","TB",45.25
"JASONAVANT","Jason Avant","WR","KC",50.225
"DAMARISJOHNSON","Damaris Johnson","WR","HOU",49.275
"DANIELTHOMAS","Daniel Thomas","RB","MIA",42.925
"DANIELFELLS","Daniel Fells","TE","NYG",44.5
"DIONSIMS","Dion Sims","TE","MIA",47.5
"DARRELYOUNG","Darrel Young","RB","WAS",42.325
"BRICEBUTLER","Brice Butler","WR","OAK",47
"VICTORCRUZ","Victor Cruz","WR","NYG",48.125
"MARCELREECE","Marcel Reece","RB","OAK",44.625
"DEANTHONYTHOMAS","De'Anthony Thomas","RB","KC",42.8
"BRENTCELEK","Brent Celek","TE","PHI",45.5
"VERNONDAVIS","Vernon Davis","TE","SF",43.025
"DAMIENWILLIAMS","Damien Williams","RB","MIA",41.575
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",40.725
"BRANDONGIBSON","Brandon Gibson","WR","MIA",42.875
"BRANDONLLOYD","Brandon Lloyd","WR","SF",42.75
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",40.875
"JARONBROWN","Jaron Brown","WR","ARI",40.625
"CLAYHARBOR","Clay Harbor","TE","JAX",42.125
"TRAVARISCADET","Travaris Cadet","RB","NO",40.2
"RICHARDRODGERS","Richard Rodgers","TE","GB",40.125
"GAVINESCOBAR","Gavin Escobar","TE","DAL",37.125
"LEVINETOILOLO","Levine Toilolo","TE","ATL",38.75
"LANCEMOORE","Lance Moore","WR","PIT",38.75
"JEREMYROSS","Jeremy Ross","WR","DET",39.15
"PAULRICHARDSON","Paul Richardson","WR","SEA",39.875
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",37.75
"FOZZYWHITTAKER","Fozzy Whittaker","RB","CAR",34
"AUSTINSEFE","Austin Sefe","TE","RIA",36.625
"CHASEFORD","Chase Ford","TE","MIN",38.25
"RICARDOLOCKETTE","Ricardo Lockette","WR","SEA",36.575
"LEONWASHINGTON","Leon Washington","RB","TEN",34.575
"LANCEDUNBAR","Lance Dunbar","RB","DAL",37.025
"DEREKHAGAN","Derek Hagan","WR","TEN",37.75
"CHADHENNE","Chad Henne","QB","JAX",28.18
"ERICEBRON","Eric Ebron","TE","DET",37
"COOPERHELFET","Cooper Helfet","TE","SEA",35.125
"JOSHGORDON","Josh Gordon","WR","CLE",37.875
"JIMDRAY","Jim Dray","TE","CLE",36.25
"BRUCEMILLER","Bruce Miller","RB","SF",33.525
"BILALPOWELL","Bilal Powell","RB","NYJ",31.6
"RHETTELLISON","Rhett Ellison","TE","MIN",34
"BRYCEBROWN","Bryce Brown","RB","BUF",31.6
"MONTEEBALL","Montee Ball","RB","DEN",27.95
"BRUCEELLINGTON","Bruce Ellington","WR","SF",28.55
"MATTCASSEL","Matt Cassel","QB","MIN",18.8
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","OAK",33.25
"RYANLINDLEY","Ryan Lindley","QB","ARI",18.48
"ALBERTWILSON","Albert Wilson","WR","KC",32.5
"DANNYAMENDOLA","Danny Amendola","WR","NE",31
"TEDGINN","Ted Ginn Jr.","WR","ARI",30.75
"NICKTOON","Nick Toon","WR","NO",30.275
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",29.175
"KERWYNNWILLIAMS","Kerwynn Williams","RB","ARI",25.975
"GARRETTGRAHAM","Garrett Graham","TE","HOU",30.625
"BENJAMINWATSON","Benjamin Watson","TE","NO",29
"MARLONBROWN","Marlon Brown","WR","BAL",31.875
"BRANDONTATE","Brandon Tate","WR","CIN",29.225
"COREYFULLER","Corey Fuller","WR","DET",29.5
"CASEKEENUM","Case Keenum","QB","HOU",19.9
"GREGSALAS","Greg Salas","WR","NYJ",28.875
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",24.4
"SILASREDD","Silas Redd Jr.","RB","WAS",26.875
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",26.05
"JACKDOYLE","Jack Doyle","TE","IND",26.75
"LADARIUSGREEN","Ladarius Green","TE","SD",28.25
"CHRISGIVENS","Chris Givens","WR","STL",26.275
"ERICWEEMS","Eric Weems","WR","ATL",24.75
"CHRISOWUSU","Chris Owusu","WR","NYJ",24.05
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",18.02
"RYANMALLETT","Ryan Mallett","QB","HOU",17.8
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",21.8
"KADEEMCAREY","Ka'Deem Carey","RB","CHI",22.925
"BRENTONBERSIN","Brenton Bersin","WR","CAR",24.875
"JACOBTAMME","Jacob Tamme","TE","DEN",22.625
"KYLEJUSZCZYK","Kyle Juszczyk","RB","BAL",22.75
"STORMJOHNSON","Storm Johnson","RB","JAX",20.1
"MIKEWILLIAMS","Mike Williams","WR","BUF",23.75
"PEYTONHILLIS","Peyton Hillis","RB","NYG",22.375
"MARQUESSWILSON","Marquess Wilson","WR","CHI",23.5
"ADAMTHIELEN","Adam Thielen","WR","MIN",23.125
"TONYMOEAKI","Tony Moeaki","TE","SEA",22.75
"BRANDONMYERS","Brandon Myers","TE","TB",23.75
"JOEMCKNIGHT","Joe McKnight","RB","KC",20.3
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",19
"CROCKETTGILLMORE","Crockett Gillmore","TE","BAL",21.125
"JAMESCASEY","James Casey","TE","PHI",19.375
"AUSTINPETTIS","Austin Pettis","WR","SD",20.75
"EDDICKSON","Ed Dickson","TE","CAR",20.375
"MIKETOLBERT","Mike Tolbert","RB","CAR",19.425
"MATTHASSELBECK","Matt Hasselbeck","QB","IND",15.94
"JIMMYCLAUSEN","Jimmy Clausen","QB","CHI",14.82
"JOHNKUHN","John Kuhn","RB","GB",17.375
"JACOBYJONES","Jacoby Jones","WR","BAL",17.975
"MAURICEJ","Maurice J","RB","ONE",18.475
"MICHAELCAMPANARO","Michael Campanaro","WR","BAL",18.75
"JOSHMORGAN","Josh Morgan","WR","CHI",17.75
"JOSEPHMORGAN","Joseph Morgan","WR","NO",18.2
"DONTRELLEINMAN","Dontrelle Inman","WR","SD",19.75
"BRANDONBOLDEN","Brandon Bolden","RB","NE",15.9
"GARYBARNIDGE","Gary Barnidge","TE","CLE",19.5
"DONNIEAVERY","Donnie Avery","WR","KC",19
"JOSEPHFAURIA","Joseph Fauria","TE","DET",17.25
"RYANGRIFFIN","Ryan Griffin","TE","HOU",17.375
"ROBERTHUGHES","Robert Hughes","RB","ARI",18.6
"JOEBANYARD","Joe Banyard","RB","MIN",16.55
"TJGRAHAM","T.J. Graham","WR","NYJ",16.875
"ZURLONTIPTON","Zurlon Tipton","RB","IND",16.3
"JOSHHUFF","Josh Huff","WR","PHI",15.95
"CHRISTIANPONDER","Christian Ponder","QB","MIN",10.48
"RODSTREATER","Rod Streater","WR","OAK",16.5
"BRIANTYMS","Brian Tyms","WR","NE",16.25
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",9.9
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",15.675
"JAMIZEOLAWALE","Jamize Olawale","RB","OAK",14.25
"VIRGILGREEN","Virgil Green","TE","DEN",15.55
"REXBURKHEAD","Rex Burkhead","RB","CIN",14.825
"CORYHARKEY","Cory Harkey","TE","STL",14.875
"MARQUEISGRAY","MarQueis Gray","TE","BUF",16.75
"ORLEANSDARKWA","Orleans Darkwa","RB","NYG",14.3
"MARIONGRICE","Marion Grice","RB","ARI",13.725
"ROBHOUSLER","Rob Housler","TE","ARI",16.225
"MATTSPAETH","Matt Spaeth","TE","PIT",13.75
"DENNISPITTA","Dennis Pitta","TE","BAL",15.625
"CHASECOFFMAN","Chase Coffman","TE","TEN",14
"PATRICKDIMARCO","Patrick DiMarco","RB","ATL",13.75
"JIMMYGAROPPOLO","Jimmy Garoppolo","QB","NE",12.18
"JAMESWRIGHT","James Wright","WR","CIN",14.375
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",12.1
"ROBERTHERRON","Robert Herron","WR","TB",13.25
"JEDCOLLINS","Jed Collins","RB","DET",12.775
