"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"PHO","WR","ERNIEJONES",103.6,102,"Ernie Jones",25,15,9,0,0,0,0,0,1,18,18,0,45,838,18.62,3,104,NA,32,NA,0,0,0,1.8,0,83.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,101,32,10.6
"NWE","WR","CEDRICJONES",103.3,103,"Cedric Jones",29,15,12,0,0,0,0,0,1,3,3,0,48,670,13.96,6,103,NA,33,NA,0,0,0,0.3,0,67,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,102,33,10.3
"SFO","RB","TOMRATHMAN",104.1,100,"Tom Rathman",27,16,16,0,0,0,0,0,79,305,3.86,1,73,616,8.44,1,104,NA,32,NA,0,0,0,30.5,6,61.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,99,32,8.79999999999998
"MIA","WR","JIMJENSEN",101.46,105,"Jim Jensen",31,16,1,1,1,19,1,0,8,50,6.25,0,61,557,9.13,6,101,NA,34,NA,0.76,4,0,5,0,55.7,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,104,34,8.46000000000001
"SEA","RB","CURTWARNER",102.4,104,"Curt Warner",28,16,15,0,0,0,0,0,194,631,3.25,3,23,153,6.65,1,102,NA,33,NA,0,0,0,63.1,18,15.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,103,33,7.09999999999999
"MIN","TE","STEVEJORDAN",68.6,50,"Steve Jordan*",28,16,15,0,0,0,0,0,0,0,NA,0,35,506,14.46,3,69,23,4,50,0,0,0,0,0,50.6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,161,4,7.09999999999999
"TAM","QB","VINNYTESTAVERDE",175.22,80,"Vinny Testaverde",26,14,14,258,480,3133,20,22,25,139,5.56,0,0,0,NA,0,175,NA,14,NA,125.32,80,-44,13.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,32,14,4.68000000000001
"HOU","WR","ERNESTGIVINS",97.4,110,"Ernest Givins",25,15,15,0,0,0,0,0,0,0,NA,0,55,794,14.44,3,97,NA,35,NA,0,0,0,0,0,79.4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,110,35,4.40000000000001
"TAM","WR","BRUCEHILL",97.3,109,"Bruce Hill",25,16,16,0,0,0,0,0,0,0,NA,0,50,673,13.46,5,97,NA,36,NA,0,0,0,0,0,67.3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,111,36,4.3
"PHO","RB","EARLFERRELL",98.4,108,"Earl Ferrell",31,15,15,0,0,0,0,0,149,502,3.37,6,18,122,6.78,0,98,NA,34,NA,0,0,0,50.2,36,12.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,109,34,3.09999999999999
