"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","FRANKGORE",180.5,"42","Frank Gore*","SFO",28,16,15,0,0,0,0,0,282,1211,4.29,8,17,114,6.71,0,181,32,12,42,0,0,0,121.1,48,11.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,41,12,79.8
"RB","REGGIEBUSH",180.2,"44","Reggie Bush","MIA",26,15,15,0,0,0,0,0,216,1086,5.03,6,43,296,6.88,1,180,32,13,44,0,0,0,108.6,36,29.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,42,13,79.5
"WR","PERCYHARVIN",179.2,"20","Percy Harvin","MIN",23,16,14,0,0,0,0,0,52,345,6.63,2,87,967,11.11,6,179,63,7,20,0,0,0,34.5,12,96.7,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,44,7,75.3
"QB","ELIMANNING",288.82,"21","Eli Manning*","NYG",30,16,16,359,589,4933,29,16,35,15,0.43,1,0,0,NA,0,289,62,6,21,197.32,116,-32,1.5,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,7,6,75.16
"WR","RODDYWHITE",177.6,"22","Roddy White*","ATL",30,16,16,0,0,0,0,0,0,0,NA,0,100,1296,12.96,8,178,62,8,22,0,0,0,0,0,129.6,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,46,8,73.7
"RB","FREDJACKSON",173.6,"51","Fred Jackson","BUF",30,10,10,0,0,0,0,0,170,934,5.49,6,39,442,11.33,0,174,25,14,51,0,0,0,93.4,36,44.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,48,14,72.9
"RB","MATTFORTE",172.7,"52","Matt Forte*","CHI",26,12,12,0,1,0,0,0,203,997,4.91,3,52,490,9.42,1,173,24,15,52,0,0,0,99.7,18,49,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,50,15,72
"RB","CHRISJOHNSON",170.5,"54","Chris Johnson","TEN",26,16,16,0,0,0,0,0,262,1047,4,4,57,418,7.33,0,171,22,16,54,0,0,0,104.7,24,41.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,51,16,69.8
"RB","BEANIEWELLS",169.9,"55","Beanie Wells","ARI",23,14,14,0,0,0,0,0,245,1047,4.27,10,10,52,5.2,0,170,21,17,55,0,0,0,104.7,60,5.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,53,17,69.2
"WR","MIKEWALLACE",173,"23","Mike Wallace*","PIT",25,16,14,0,0,0,0,0,5,57,11.4,0,72,1193,16.57,8,173,57,9,23,0,0,0,5.7,0,119.3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,49,9,69.1
"QB","TONYROMO",281.96,"24","Tony Romo","DAL",31,16,16,346,522,4184,31,10,22,46,2.09,1,0,0,NA,0,282,55,7,24,167.36,124,-20,4.6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,9,7,68.3
"QB","MATTRYAN",279.48,"26","Matt Ryan","ATL",26,16,16,347,566,4177,29,12,37,84,2.27,2,0,0,NA,0,279,53,8,26,167.08,116,-24,8.4,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,10,8,65.82
"WR","VINCENTJACKSON",169.7,"25","Vincent Jackson*","SDG",28,16,16,0,0,0,0,0,3,51,17,0,60,1106,18.43,9,170,54,10,25,0,0,0,5.1,0,110.6,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,54,10,65.8
"RB","SHONNGREENE",162.5,"60","Shonn Greene","NYJ",26,16,15,0,0,0,0,0,253,1054,4.17,6,30,211,7.03,0,163,14,18,60,0,0,0,105.4,36,21.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,59,18,61.8
"RB","RASHARDMENDENHALL",162.2,"62","Rashard Mendenhall","PIT",24,15,15,0,0,0,0,0,228,928,4.07,9,18,154,8.56,0,162,14,19,62,0,0,0,92.8,54,15.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,61,19,61.5
"WR","MARQUESCOLSTON",162.3,"27","Marques Colston","NOR",28,14,7,0,0,0,0,0,0,0,NA,0,80,1143,14.29,8,162,46,11,27,0,0,0,0,0,114.3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,60,11,58.4
"RB","AHMADBRADSHAW",158.6,"64","Ahmad Bradshaw","NYG",25,12,9,0,0,0,0,0,171,659,3.85,9,34,267,7.85,2,161,12,20,64,0,0,0,65.9,54,26.7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,66,20,57.9
"WR","HAKEEMNICKS",161.2,"28","Hakeem Nicks","NYG",23,15,15,0,0,0,0,0,0,0,NA,0,76,1192,15.68,7,161,45,12,28,0,0,0,0,0,119.2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,63,12,57.3
"WR","BRANDONMARSHALL",158.7,"29","Brandon Marshall*","MIA",27,16,16,0,0,0,0,0,1,13,13,0,81,1214,14.99,6,159,43,13,29,0,0,0,1.3,0,121.4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,65,13,54.8
"RB","WILLISMCGAHEE",155,"68","Willis McGahee*","DEN",30,15,14,0,0,0,0,0,249,1199,4.82,4,12,51,4.25,1,157,8,21,68,0,0,0,119.9,24,5.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,69,21,54.3
"RB","MIKETOLBERT",152.3,"72","Mike Tolbert","SDG",26,15,1,0,0,0,0,0,121,490,4.05,8,54,433,8.02,2,152,4,22,72,0,0,0,49,48,43.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,73,22,51.6
"RB","CEDRICBENSON",150.9,"73","Cedric Benson","CIN",29,15,15,0,0,0,0,0,273,1067,3.91,6,15,82,5.47,0,151,2,23,73,0,0,0,106.7,36,8.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,75,23,50.2
"WR","AJGREEN",153,"36","A.J. Green*","CIN",23,15,15,0,0,0,0,0,5,53,10.6,0,65,1057,16.26,7,153,37,14,36,0,0,0,5.3,0,105.7,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,71,14,49.1
"QB","PHILIPRIVERS",262.56,"35","Philip Rivers*","SDG",30,16,16,366,582,4624,27,20,26,36,1.38,1,0,0,NA,0,265,38,9,35,184.96,108,-40,3.6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,13,9,48.9
"WR","LAURENTROBINSON",151.8,"37","Laurent Robinson","DAL",26,14,4,0,0,0,0,0,0,0,NA,0,54,858,15.89,11,152,36,15,37,0,0,0,0,0,85.8,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,74,15,47.9
"RB","BENJARVUSGREENELLIS",148.6,"77","BenJarvus Green-Ellis","NWE",26,16,6,0,0,0,0,0,181,667,3.69,11,9,159,17.67,0,149,NA,24,77,0,0,0,66.7,66,15.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,82,24,47.9
"WR","NATEWASHINGTON",150.8,"39","Nate Washington","TEN",28,16,15,0,0,0,0,0,2,5,2.5,1,74,1023,13.82,7,151,35,16,39,0,0,0,0.5,6,102.3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,76,16,46.9
"RB","JONATHANSTEWART",147.4,"91","Jonathan Stewart","CAR",24,16,3,0,0,0,0,0,142,761,5.36,4,47,413,8.79,1,147,NA,25,NA,0,0,0,76.1,24,41.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,83,25,46.7
"WR","JULIOJONES",149.5,"40","Julio Jones","ATL",22,13,13,0,0,0,0,0,6,56,9.33,0,54,959,17.76,8,150,34,17,40,0,0,0,5.6,0,95.9,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,78,17,45.6
"WR","GREGJENNINGS",148.9,"41","Greg Jennings*","GNB",28,13,13,0,0,0,0,0,0,0,NA,0,67,949,14.16,9,149,33,18,41,0,0,0,0,0,94.9,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,81,18,45
"WR","DEZBRYANT",147.3,"45","Dez Bryant","DAL",23,15,13,0,0,0,0,0,1,5,5,0,63,928,14.73,9,147,31,19,45,0,0,0,0.5,0,92.8,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,84,19,43.4
