Player,Action,,Opp,Owner,Projected,Actual,% Owned,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,Fan Pts
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Delanie Walker,The add action is disabled,Add to Watch List,Ari,W (Mar 6),1795,203,2%,0,0,0,0,0,344,3,28,0,0,1,64.06
(SF - TE),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Daryl Richardson,The add action is disabled,Add to Watch List,@Sea,W (Mar 6),1815,228,17%,0,0,0,475,0,163,0,0,0,1,2,63.88
(StL - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Alshon Jeffery,The add action is disabled,Add to Watch List,@Det,W (Mar 6),143,249,10%,0,0,0,0,0,367,3,0,0,0,0,63.88
(Chi - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jeff Cumberland,The add action is disabled,Add to Watch List,@Buf,W (Mar 6),304,195,1%,0,0,0,0,0,359,3,0,0,0,0,63.88
(NYJ - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
James Casey,The add action is disabled,Add to Watch List,@Ind,W (Mar 6),1954,267,1%,0,0,0,6,0,330,3,0,0,0,0,63.85
(Hou - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mike Goodson,The add action is disabled,Remove from Watch List,@SD,W (Mar 6),180,287,4%,0,0,0,221,0,195,1,359,0,0,0,62.66
(Oak - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Earl Bennett,The add action is disabled,Add to Watch List,@Det,W (Mar 6),225,282,1%,0,0,0,0,0,375,2,26,0,0,0,62.4
(Chi - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Alex Green,The trade action is disabled,Add to Watch List,@Min,Thor's Hammer,148,238,27%,0,0,0,464,0,125,0,0,0,0,0,62.03
(GB - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Rashad Jennings,The trade action is disabled,Add to Watch List,@Ten,Utopian Ewes,85,257,35%,0,0,0,283,2,130,0,241,0,1,1,61.37
(Jac - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Donald Brown,The trade action is disabled,Add to Watch List,Hou,StartRussellWilson,71,236,34%,0,0,0,417,1,93,0,0,0,1,0,61.33
(Ind - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Matt Cassel,The add action is disabled,Add to Watch List,@Den,W (Mar 6),198,2209,4%,"1,796",6,12,145,1,0,0,0,0,0,7,60.34
(KC - QB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Robert Turbin,The add action is disabled,Add to Watch List,StL,W (Mar 6),179,256,3%,0,0,0,354,0,181,0,0,0,0,0,60.03
(Sea - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Darius Reynaud,The add action is disabled,Add to Watch List,Jac,W (Mar 6),2431,2329,5%,0,0,0,33,0,35,0,"1,650",3,0,0,59.68
"(Ten - WR,RB)",,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Austin Pettis,The add action is disabled,Add to Watch List,@Sea,W (Mar 6),1809,277,0%,0,0,0,0,0,261,4,90,0,0,0,59.43
(StL - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Harry Douglas,The add action is disabled,Add to Watch List,TB,W (Mar 6),1956,1733,1%,0,0,0,4,0,396,1,50,0,0,0,57.9
(Atl - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Devin Hester,The add action is disabled,Add to Watch List,@Det,W (Mar 6),204,2208,7%,0,0,0,6,0,242,1,952,0,0,0,57.89
(Chi - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Rueben Randle,The add action is disabled,Add to Watch List,Phi,W (Mar 6),168,289,2%,0,0,0,0,0,298,3,108,0,0,0,57.41
(NYG - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kendall Hunter,The add action is disabled,Add to Watch List,Ari,W (Mar 6),176,259,8%,0,0,0,371,2,60,0,165,0,0,1,56.9
(SF - RB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Micheal Spurlock,The add action is disabled,Add to Watch List,Oak,W (Mar 6),1970,2182,0%,0,0,0,0,0,200,1,614,2,0,0,56.78
(SD - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dwayne Harris,The add action is disabled,Add to Watch List,@Was,W (Mar 6),2355,2183,1%,0,0,0,0,0,222,1,564,1,1,0,56.53
(Dal - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Anthony McCoy,The add action is disabled,Add to Watch List,StL,W (Mar 6),282,211,0%,0,0,0,0,0,291,3,0,0,0,0,55.38
(Sea - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Rob Housler,The add action is disabled,Add to Watch List,@SF,W (Mar 6),1801,234,1%,0,0,0,0,0,417,0,0,0,0,0,55.13
(Ari - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Garrett Graham,The add action is disabled,Add to Watch List,@Ind,W (Mar 6),326,224,1%,0,0,0,0,0,263,3,0,0,0,0,54.88
(Hou - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Louis Murphy,The add action is disabled,Add to Watch List,@NO,W (Mar 6),1957,1734,0%,0,0,0,3,0,336,1,0,0,0,0,54.3
(Car - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Justin Forsett,The add action is disabled,Add to Watch List,@Ind,W (Mar 6),1958,290,3%,0,0,0,375,1,38,0,0,0,0,0,54.25
(Hou - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Beanie Wells,The trade action is disabled,Add to Watch List,@SF,Porta-Potty-Passing,88,254,45%,0,0,0,234,5,24,0,0,0,0,1,53.4
(Ari - RB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Riley Cooper,The add action is disabled,Add to Watch List,@NYG,W (Mar 6),1799,1758,2%,0,0,0,0,0,248,3,14,0,0,0,53.28
(Phi - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mohamed Sanu,The add action is disabled,Add to Watch List,Bal,W (Mar 6),252,288,2%,73,1,0,15,0,154,4,0,0,0,0,53.17
(Cin - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ryan Broyles,The add action is disabled,Add to Watch List,Chi,W (Mar 6),276,1757,10%,0,0,0,0,0,310,2,0,0,0,0,52.75
(Det - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dustin Keller,The drop action is disabled,Add to Watch List,@Buf,Timbuktukian Icemen,133,229,26%,0,0,0,0,0,317,2,0,0,0,0,52.63
(NYJ - TE),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jarius Wright,The add action is disabled,Add to Watch List,GB,W (Mar 6),274,1746,1%,0,0,0,11,0,310,2,0,0,0,0,51.85
(Min - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Stephen Hill,The add action is disabled,Remove from Watch List,@Buf,W (Mar 6),192,1751,6%,0,0,0,0,0,252,3,0,0,0,0,51.5
(NYJ - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Montell Owens,The trade action is disabled,Add to Watch List,@Ten,StartRussellWilson,1796,1864,28%,0,0,0,209,1,113,0,0,0,1,0,51.03
(Jac - RB),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brandon Tate,The add action is disabled,Add to Watch List,Bal,W (Mar 6),2403,2327,2%,0,0,0,0,0,211,1,997,0,0,1,50.32
(Cin - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
William Powell,The add action is disabled,Add to Watch List,@SF,W (Mar 6),1974,2186,3%,0,0,0,216,0,132,0,507,0,0,0,50.24
(Ari - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Cedric Peerman,The add action is disabled,Add to Watch List,Bal,W (Mar 6),1819,1863,1%,0,0,0,258,1,85,0,37,0,0,0,50.17
(Cin - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Chaz Schilens,The add action is disabled,Add to Watch List,@Buf,W (Mar 6),1953,2178,0%,0,0,0,0,0,289,2,0,0,0,1,50.13
(NYJ - WR),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Aldrick Robinson,The add action is disabled,Add to Watch List,Dal,W (Mar 6),303,1754,1%,0,0,0,14,0,237,3,0,0,0,0,50.03
(Was - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
T.J. Graham,The add action is disabled,Add to Watch List,NYJ,W (Mar 6),2348,2180,0%,0,0,0,5,0,322,1,0,0,0,0,49.75
(Buf - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Chris Rainey,The add action is disabled,Add to Watch List,Cle,W (Mar 6),2407,2318,2%,0,0,0,102,2,60,0,"1,051",0,0,1,49.22
(Pit - RB),,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Nate Burleson,The add action is disabled,Add to Watch List,Chi,W (Mar 6),149,1759,4%,0,0,0,48,0,240,2,0,0,1,0,48.8
(Det - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Devery Henderson,The add action is disabled,Add to Watch List,Car,W (Mar 6),195,2179,5%,0,0,0,13,0,316,1,0,0,0,0,48.8
(NO - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Coby Fleener,The add action is disabled,Remove from Watch List,Hou,W (Mar 6),160,240,11%,0,0,0,0,0,281,2,0,0,0,0,48.13
(Ind - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jon Baldwin,The add action is disabled,Add to Watch List,@Den,W (Mar 6),139,2181,4%,0,0,0,0,0,325,1,0,0,0,0,47.63
(KC - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Joe McKnight,The add action is disabled,Add to Watch List,@Buf,W (Mar 6),222,2331,2%,0,0,0,179,0,18,0,"1,072",1,0,1,46.59
(NYJ - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Cedric Benson,The add action is disabled,Add to Watch List,@Min,W (Mar 6),115,1859,7%,0,0,0,248,1,97,0,0,0,0,0,45.93
(GB - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brandon Bolden,The add action is disabled,Add to Watch List,Mia,W (Mar 6),1794,1860,3%,0,0,0,274,2,11,0,0,0,0,0,45.78
(NE - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Craig Stevens,The add action is disabled,Add to Watch List,Jac,W (Mar 6),1823,268,0%,0,0,0,0,0,275,1,18,0,0,0,45.24
(Ten - TE),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kyle Williams,The add action is disabled,Add to Watch List,Ari,W (Mar 6),2216,2299,0%,0,0,0,21,0,212,1,405,0,0,0,44.7
(SF - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Logan Paulsen,The add action is disabled,Add to Watch List,Dal,W (Mar 6),1789,248,1%,0,0,0,0,0,308,1,0,0,0,0,44.5
(Was - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Joshua Cribbs,The add action is disabled,Add to Watch List,@Pit,W (Mar 6),2489,2469,5%,0,0,0,42,0,63,0,"1,635",0,0,3,44.28
(Cle - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Michael Robinson,The add action is disabled,Add to Watch List,StL,W (Mar 6),2360,2233,0%,0,0,0,49,0,126,2,0,0,0,0,44.15
(Sea - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Keshawn Martin,The add action is disabled,Add to Watch List,@Ind,W (Mar 6),2438,2366,1%,0,0,0,53,0,85,1,"1,008",0,0,0,44.09
(Hou - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Leon Washington,The add action is disabled,Add to Watch List,StL,W (Mar 6),2444,2352,2%,0,0,0,83,1,31,0,"1,140",1,0,1,43.98
(Sea - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Tom Crabtree,The add action is disabled,Add to Watch List,@Min,W (Mar 6),266,243,1%,0,0,0,0,0,203,3,0,0,0,0,43.88
(GB - TE),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ronnie Hillman,The add action is disabled,Remove from Watch List,KC,W (Mar 6),131,1753,18%,0,0,0,327,1,62,0,0,0,0,1,43.45
(Den - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ben Tate,The add action is disabled,Add to Watch List,@Ind,W (Mar 6),91,1755,31%,0,0,0,279,2,49,0,0,0,0,1,43.03
(Hou - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Marcus Thigpen,The add action is disabled,Add to Watch List,@NE,W (Mar 6),2473,2422,2%,0,0,0,8,0,15,0,"1,356",2,0,1,42.3
(Mia - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jason Snelling,The add action is disabled,Add to Watch List,TB,W (Mar 6),2385,2206,0%,0,0,0,63,0,203,1,16,0,0,1,42
(Atl - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Damaris Johnson,The add action is disabled,Add to Watch List,@NYG,W (Mar 6),2372,2302,0%,0,0,0,12,0,256,0,291,1,0,2,41.02
(Phi - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Fred Davis,The add action is disabled,Add to Watch List,Dal,W (Mar 6),68,273,16%,0,0,0,1,0,325,0,0,0,0,0,40.73
(Was - TE),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Damian Williams,The add action is disabled,Add to Watch List,Jac,W (Mar 6),2351,2193,0%,0,0,0,0,0,324,0,6,0,0,0,40.62
(Ten - WR),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Eddie Royal,The add action is disabled,Add to Watch List,Oak,W (Mar 6),174,2200,2%,0,0,0,22,0,234,1,64,0,0,0,39.73
(SD - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kellen Davis,The add action is disabled,Add to Watch List,@Det,W (Mar 6),220,272,1%,0,0,0,0,0,229,2,0,0,0,1,39.63
(Chi - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Charles Clay,The add action is disabled,Add to Watch List,@NE,W (Mar 6),1808,1760,1%,0,0,0,0,0,212,2,0,0,0,0,39.5
"(Mia - RB,TE)",,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Robert Meachem,The trade action is disabled,Add to Watch List,Oak,Porta-Potty-Passing,93,2195,22%,0,0,0,-6,0,207,2,0,0,0,0,39.28
(SD - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Dante Rosario,The add action is disabled,Add to Watch List,Oak,W (Mar 6),1822,1749,1%,0,0,0,0,0,95,3,0,0,0,1,38.88
(SD - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Peyton Hillis,The trade action is disabled,Add to Watch List,@Den,Thor's Hammer,62,1971,21%,0,0,0,309,1,62,0,0,0,0,2,38.65
(KC - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Armon Binns,The add action is disabled,Add to Watch List,@NE,W (Mar 6),1790,2199,0%,0,0,0,0,0,277,1,0,0,0,1,38.63
(Mia - WR),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Niles Paul,The add action is disabled,Add to Watch List,Dal,W (Mar 6),2363,2232,0%,0,0,0,-1,0,152,1,283,0,0,0,38.06
"(Was - WR,TE)",,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Marvin Jones,The add action is disabled,Add to Watch List,Bal,W (Mar 6),1810,2207,0%,0,0,0,47,0,201,1,0,0,0,0,37.83
(Cin - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jordan Shipley,The add action is disabled,Add to Watch List,@Ten,W (Mar 6),1803,2305,0%,0,0,0,0,0,244,1,202,0,0,1,37.54
(Jac - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kevin Smith,The add action is disabled,Add to Watch List,Chi,W (Mar 6),75,2190,13%,0,0,0,134,1,79,1,0,0,0,0,37.28
(Det - RB),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Toby Gerhart,The add action is disabled,Add to Watch List,GB,W (Mar 6),97,2189,8%,0,0,0,169,1,155,0,0,0,0,2,37.28
(Min - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Santonio Holmes,The add action is disabled,Add to Watch List,@Buf,W (Mar 6),104,2203,9%,0,0,0,0,0,272,1,0,0,0,1,37
(NYJ - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Lamar Miller,The add action is disabled,Add to Watch List,@NE,W (Mar 6),1812,2184,1%,0,0,0,250,1,45,0,0,0,0,0,36.63
(Mia - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Chris Ivory,The add action is disabled,Add to Watch List,Car,W (Mar 6),286,2185,10%,0,0,0,217,2,15,0,0,0,0,0,36.58
(NO - RB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brady Quinn,The add action is disabled,Add to Watch List,@Den,W (Mar 6),2598,2564,1%,"1,141",2,8,66,0,0,0,0,0,0,0,36.24
(KC - QB),,,,,,,,,,,,,,,,,,,
Player Note,,,,,,,,,,,,,,,,,,,
Lance Ball,The add action is disabled,Add to Watch List,KC,W (Mar 6),1975,2194,2%,0,0,0,158,1,61,1,0,0,0,1,35.43
(Den - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
James Starks,The add action is disabled,Add to Watch List,@Min,W (Mar 6),144,2188,13%,0,0,0,255,1,31,0,0,0,0,0,35.38
(GB - RB),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jordan Cameron,The add action is disabled,Add to Watch List,@Pit,W (Mar 6),1825,1730,0%,0,0,0,0,0,226,1,0,0,0,0,35.25
(Cle - TE),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Evan Royster,The add action is disabled,Remove from Watch List,Dal,W (Mar 6),90,2196,5%,0,0,0,88,2,109,0,39,0,0,0,35.21
(Was - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Montario Hardesty,The add action is disabled,Add to Watch List,@Pit,W (Mar 6),161,2187,2%,0,0,0,271,1,16,0,0,0,0,0,35.1
(Cle - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
David Thomas,The add action is disabled,Add to Watch List,Car,W (Mar 6),267,274,0%,0,0,0,0,0,86,4,0,0,0,0,34.75
(NO - TE),,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Darrel Young,The add action is disabled,Add to Watch List,Dal,W (Mar 6),2366,2300,0%,0,0,0,60,0,109,2,0,0,0,0,34.63
(Was - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Clay Harbor,The add action is disabled,Add to Watch List,@NYG,W (Mar 6),1813,1731,1%,0,0,0,0,0,186,2,0,0,0,1,34.25
(Phi - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Clyde Gates,The add action is disabled,Add to Watch List,@Buf,W (Mar 6),2359,2335,0%,0,0,0,12,0,224,0,144,0,0,0,33.08
(NYJ - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
John Kuhn,The add action is disabled,Add to Watch List,@Min,W (Mar 6),2365,2312,0%,0,0,0,63,1,148,0,0,0,0,0,32.8
(GB - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Derek Hagan,The add action is disabled,Add to Watch List,@SD,W (Mar 6),2346,2324,0%,0,0,0,0,0,259,0,0,0,0,0,32.38
(Oak - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Delone Carter,The add action is disabled,Add to Watch List,Hou,W (Mar 6),197,2198,1%,0,0,0,122,3,13,0,0,0,0,0,32.33
(Ind - RB),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jalen Parmele,The add action is disabled,Add to Watch List,@Ten,W (Mar 6),2390,2359,5%,0,0,0,143,0,60,0,233,0,0,0,31.96
(Jac - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Braylon Edwards,The add action is disabled,Add to Watch List,@Buf,W (Mar 6),1816,2323,1%,0,0,0,0,0,199,1,0,0,0,0,31.88
(NYJ - WR),,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Trindon Holliday,The add action is disabled,Add to Watch List,KC,W (Mar 6),2469,2428,1%,0,0,0,0,0,17,0,"1,033",2,0,1,31.79
(Den - WR),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Mohamed Massaquoi,The add action is disabled,Add to Watch List,@Pit,W (Mar 6),1972,2326,0%,0,0,0,0,0,254,0,0,0,0,0,31.75
(Cle - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Brian Quick,The add action is disabled,Add to Watch List,@Sea,W (Mar 6),156,2308,2%,0,0,0,0,0,156,2,0,0,0,0,31.5
(StL - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
LaVon Brazill,The add action is disabled,Add to Watch List,Hou,W (Mar 6),2380,2345,0%,0,0,0,0,0,186,1,62,0,0,1,31.49
(Ind - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jerome Simpson,The add action is disabled,Add to Watch List,GB,W (Mar 6),163,2325,3%,0,0,0,0,0,274,0,0,0,0,1,31.25
(Min - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Kirk Cousins,The add action is disabled,Add to Watch List,Dal,W (Mar 6),2530,2569,5%,466,4,3,22,0,0,0,0,0,1,0,30.84
(Was - QB),,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
DuJuan Harris,The add action is disabled,Add to Watch List,@Min,W (Mar 6),258,2234,1%,0,0,0,157,2,17,0,0,0,0,0,29.83
(GB - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Jorvorskie Lane,The add action is disabled,Add to Watch List,@NE,W (Mar 6),2384,2311,0%,0,0,0,13,2,79,1,42,0,1,1,29.52
(Mia - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Laurent Robinson,The add action is disabled,Add to Watch List,@Ten,W (Mar 6),150,2340,6%,0,0,0,0,0,252,0,0,0,0,1,29.5
(Jac - WR),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ed Dickson,The add action is disabled,Add to Watch List,@Cin,W (Mar 6),208,1862,2%,0,0,0,0,0,225,0,0,0,0,0,29.13
(Bal - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Rashard Mendenhall,The add action is disabled,Add to Watch List,Cle,W (Mar 6),130,2303,37%,0,0,0,182,0,62,1,0,0,0,1,28.95
(Pit - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Luke Stocker,The add action is disabled,Add to Watch List,@Atl,W (Mar 6),1955,1861,0%,0,0,0,0,0,165,1,0,0,0,0,28.63
(TB - TE),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Ramses Barden,The add action is disabled,Add to Watch List,Phi,W (Mar 6),1818,2350,1%,0,0,0,0,0,220,0,0,0,0,0,28.5
(NYG - WR),,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Chris Ogbonnaya,The add action is disabled,Add to Watch List,@Pit,W (Mar 6),2405,2364,0%,0,0,0,30,0,187,0,0,0,0,1,28.38
(Cle - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
Anthony Dixon,The add action is disabled,Add to Watch List,Ari,W (Mar 6),2358,2363,0%,0,0,0,78,2,0,0,0,0,0,0,28.3
(SF - RB),,,,,,,,,,,,,,,,,,,
No new player Notes,,,,,,,,,,,,,,,,,,,
