"pos","name","points","name_info","games","team","overall_rank","age","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","sack","fumlRec","int","defTD","ptsA","passYdsAPG","rushYdsAPG","safety","kickTD","pts","ptsPG","passYdsA","rushYdsA","ptsAPG","td","fumlRecoveryPts","intCaughtPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"WR","SKYEDAWSON",2.7,"Skye Dawson","7","TAM",453,23,0,0,0,0,0,0,2,15,7.5,0,2,12,6,0,3,NA,181,NA,0,0,0,1.5,0,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,530,180,-102
"RB","MIKEGILLISLEE",2.1,"Mike Gillislee","3","MIA",481,23,0,0,0,0,0,0,6,21,3.5,0,0,0,NA,0,2,NA,144,NA,0,0,0,2.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,535,144,-102
"RB","RAYGRAHAM",2,"Ray Graham","1","2TM",480,23,0,0,0,0,0,0,4,8,2,0,1,12,12,0,2,NA,145,NA,0,0,0,0.8,0,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,536,145,-102.1
"RB","CEDRICPEERMAN",1.7,"Cedric Peerman","16","CIN",479,27,0,0,0,0,0,0,8,17,2.13,0,0,0,NA,0,2,NA,146,NA,0,0,0,1.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,542,146,-102.4
"RB","KENJONBARNER",1.4,"Kenjon Barner","7","CAR",485,24,0,0,0,0,0,0,6,7,1.17,0,2,7,3.5,0,1,NA,147,NA,0,0,0,0.7,0,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,548,147,-102.7
"WR","CHADHALL",2,"Chad Hall","9","KAN",478,27,0,0,0,0,0,0,0,0,NA,0,2,20,10,0,2,NA,183,NA,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,536,181,-102.7
"WR","JEREMYEBERT",1.8,"Jeremy Ebert","6","JAX",477,24,0,0,0,0,0,0,0,0,NA,0,3,18,6,0,2,NA,184,NA,0,0,0,0,0,1.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,540,182,-102.9
"WR","KASSIMOSGOOD",1.7,"Kassim Osgood","14","SFO",482,33,0,0,0,0,0,0,0,0,NA,0,1,17,17,0,2,NA,186,NA,0,0,0,0,0,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,542,183,-103
"WR","PERCYHARVIN",1.7,"Percy Harvin","1","SEA",475,25,0,0,0,0,0,0,0,0,NA,0,1,17,17,0,2,NA,185,NA,0,0,0,0,0,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,542,183,-103
"RB","JOEBANYARD",1.1,"Joe Banyard","3","MIN",486,25,0,0,0,0,0,0,0,0,NA,0,1,11,11,0,1,NA,148,NA,0,0,0,0,0,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,557,148,-103
"RB","SPENCERWARE",1,"Spencer Ware","2","SEA",487,22,0,0,0,0,0,0,3,10,3.33,0,0,0,NA,0,1,NA,149,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,558,149,-103.1
"RB","CIERREWOOD",0.9,"Cierre Wood","5","2TM",489,22,0,0,0,0,0,0,3,9,3,0,0,0,NA,0,1,NA,151,NA,0,0,0,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,561,150,-103.2
"RB","MIKELLESHOURE",0.9,"Mikel Leshoure","3","DET",488,23,0,0,0,0,0,0,2,9,4.5,0,0,0,NA,0,1,NA,150,NA,0,0,0,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,561,150,-103.2
"WR","NICKWILLIAMS",1.5,"Nick Williams","5","WAS",434,23,0,0,0,0,0,0,0,0,NA,0,3,15,5,0,4,NA,173,NA,0,0,0,0,0,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,546,185,-103.2
"WR","TORIGURLEY",1.5,"Tori Gurley","3","CLE",474,26,0,0,0,0,0,0,0,0,NA,0,1,15,15,0,2,NA,187,NA,0,0,0,0,0,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,546,185,-103.2
"WR","DAMARISJOHNSON",1.4,"Damaris Johnson","13","PHI",591,24,0,0,0,0,0,0,0,0,NA,0,2,14,7,0,-1,NA,220,NA,0,0,0,0,0,1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,548,187,-103.3
"RB","ZACHLINE",0.8,"Zach Line","3","MIN",484,24,1,0,0,0,0,0,0,0,NA,0,1,8,8,0,1,NA,152,NA,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,563,152,-103.3
"WR","DOMINIQUEDAVIS",1.36,"Dominique Davis","11","ATL",450,24,3,5,7,34,0,0,0,0,NA,0,0,0,NA,0,3,NA,175,NA,1.36,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,550,188,-103.34
"WR","MARCUSEASLEY",1.3,"Marcus Easley","16","BUF",497,27,0,0,0,0,0,0,0,0,NA,0,2,13,6.5,0,1,NA,188,NA,0,0,0,0,0,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,552,189,-103.4
