Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
?,No new player Notes,?,FA,53.88,0%,2326,1701,1092,4,3,52,1,0,0,0,0,0,3
,Thad Lewis Buf - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,53.1,18%,133,272,0,0,0,386,1,68,0,0,0,0,0
,Mark Ingram NO - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,53.04,0%,2297,1448,0,0,0,79,0,155,2,638,0,0,0
,Fozzy Whittaker Cle - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,52.4,0%,1921,1414,0,0,0,-1,0,324,2,0,0,0,0
,Robert Meachem NO - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,51.42,68%,50,1371,0,0,0,283,2,88,0,106,0,0,1
,Toby Gerhart Jax - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,51.38,0%,1714,229,0,0,0,0,0,267,3,0,0,0,2
,Logan Paulsen Was - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,51.23,10%,1766,1401,0,0,0,26,0,309,1,0,0,1,0
,Darrius Heyward-Bey Pit - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,50.75,3%,1916,1398,0,0,0,0,0,302,2,0,0,0,0
,Brian Quick StL - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,50.75,0%,1709,222,0,0,0,0,0,302,2,0,0,0,0
,Sean McGrath KC - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,50.5,18%,181,219,0,0,0,0,0,252,3,0,0,0,0
,Owen Daniels Bal - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,49.7,3%,1752,293,0,0,0,197,3,48,1,0,0,0,0
,Michael Bush Chi - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,49.52,3%,1905,1412,0,0,0,7,0,200,3,141,0,0,0
,Andre Caldwell Den - WR,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,49.31,3%,2130,1429,0,0,0,0,0,305,0,359,1,0,1
,Tandon Doss Jax - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,49.26,0%,1742,243,0,0,0,0,0,344,1,13,0,0,1
,John Carlson Ari - TE,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,49.2,3%,242,287,0,0,0,377,2,20,0,0,0,0,1
,Willis McGahee Cle - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,48.9,0%,1740,1438,0,0,0,0,0,259,2,126,0,0,0
,Griff Whalen Ind - WR,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,48.7,0%,253,1393,0,0,0,247,2,96,0,0,0,0,1
,Peyton Hillis NYG - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,48,0%,1725,236,0,0,0,0,0,292,2,0,0,0,1
,Clay Harbor Jax - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,47.5,0%,2253,1435,0,0,0,0,0,216,2,0,0,0,0
,Drew Davis Atl - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,47.46,8%,2256,1413,0,0,0,261,1,59,0,299,0,1,1
,Benny Cunningham StL - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,47.13,0%,1739,1411,0,0,0,0,0,269,2,25,0,0,0
,Kevin Ogletree Det - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,47.07,3%,1911,1439,0,0,0,33,1,226,0,26,0,0,0
,Stedman Bailey StL - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,46.75,0%,1772,1416,0,0,0,0,0,342,1,0,0,0,1
,Stephen Hill NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,44.92,0%,2269,1459,0,0,0,40,0,67,1,777,2,0,1
,Jeremy Ross Det - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,43.88,10%,251,1409,0,0,0,0,0,231,3,0,0,0,1
,Sidney Rice Sea - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,43.63,0%,1757,276,0,0,0,0,0,273,1,0,0,0,0
,Ed Dickson Car - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,43,0%,246,246,0,0,0,0,0,200,3,0,0,0,0
,Anthony Fasano KC - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,42.98,0%,1903,1423,0,0,0,41,3,71,1,0,0,0,0
,Darrel Young Was - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,42.77,3%,2397,1541,0,0,0,18,0,97,1,1142,0,0,0
,Marcus Thigpen Mia - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,41.5,98%,43,1430,0,0,0,0,0,284,1,0,0,0,0
,Michael Crabtree SF - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,41,3%,1720,297,0,0,0,0,0,244,1,0,0,0,0
,Ryan Griffin Hou - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,40.77,0%,1914,1452,0,0,0,0,0,161,2,82,0,0,0
,LaVon Brazill Ind - WR,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,40.3,0%,1733,279,0,0,0,0,0,272,1,15,0,0,0
,Luke Willson Sea - TE,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,40.25,3%,1721,269,0,0,0,0,0,226,2,0,0,0,0
,Benjamin Watson NO - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,40.17,8%,1712,1428,0,0,0,164,2,61,0,7,0,0,0
,Joseph Randle Dal - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,39.68,10%,1750,1417,0,0,0,218,1,119,0,0,0,0,1
,Ronnie Hillman Den - RB,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,39.09,3%,1747,1432,0,0,0,98,3,61,0,8,0,0,0
,Chris Polk Phi - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,39.05,0%,2317,1454,0,0,0,145,2,10,0,40,0,0,0
,Antone Smith Atl - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,39,0%,1738,1397,0,0,0,0,0,184,1,0,0,0,0
,Jacob Tamme Den - TE,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,39,15%,167,1436,0,0,0,0,0,216,2,0,0,0,0
,Mike Williams Buf - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,38.96,8%,1692,1415,2,1,0,295,0,43,0,0,0,0,0
,Mike James TB - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,38.29,3%,1710,1431,0,0,0,166,3,13,0,28,0,0,1
,Matt Asiata Min - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,37.2,3%,2500,1702,615,5,3,16,0,0,0,0,0,0,0
,Brian Hoyer Cle - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,37.18,0%,2363,1467,0,0,0,13,0,243,0,0,0,0,0
,Bruce Miller SF - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,36.88,0%,1768,289,0,0,0,0,0,215,2,0,0,0,1
,Jim Dray Cle - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,36.84,3%,2406,1618,0,0,0,0,0,0,0,1692,1,0,1
,Devin Hester Atl - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,36.83,0%,1880,1489,0,0,0,0,0,229,1,60,0,0,0
,Kerry Taylor Jax - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,36.63,0%,1707,1433,0,0,0,215,0,121,0,0,0,0,0
,Daryl Richardson NYJ - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,36.23,3%,2170,1426,0,0,0,171,2,57,0,0,0,0,0
,Edwin Baker Cle - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,36,20%,203,1442,0,0,0,0,0,192,2,0,0,0,0
,Da'Rick Rogers Ind - WR,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,35.85,10%,171,1427,0,0,0,186,2,42,0,0,0,0,0
,Ahmad Bradshaw Ind - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,35.44,5%,2314,1444,0,0,0,264,0,60,0,177,0,0,1
,Robert Turbin Sea - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,34.18,0%,2384,1509,0,0,0,3,0,155,1,0,0,0,1
,Anthony Sherman KC - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,34.01,0%,2292,1491,0,0,0,13,0,214,0,298,0,0,0
,Josh Morgan Chi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,33.63,0%,2302,1494,0,0,0,0,0,125,2,0,0,0,1
,Junior Hemingway KC - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,33.48,3%,2303,1488,0,0,0,184,0,63,0,510,0,0,1
,Felix Jones Pit - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,33.37,0%,2366,1506,0,0,0,56,2,30,0,101,0,0,0
,Anthony Dixon Buf - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,32,0%,2364,1563,0,0,0,0,0,64,1,0,0,0,0
,Seyi Ajirotutu SD - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,31.88,0%,1902,1394,0,0,0,0,0,127,2,0,0,0,0
,Gary Barnidge Cle - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,31.7,0%,2370,1513,0,0,0,7,0,128,1,0,0,0,0
,Stanley Havili Ind - RB,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,31.5,13%,169,1479,0,0,0,0,0,244,0,0,0,0,0
,Miles Austin Cle - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,31.46,0%,2293,1453,0,0,0,157,1,60,0,113,0,0,0
,Ronnie Brown SD - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,31.25,0%,2250,1475,0,0,0,0,0,210,1,0,0,0,1
,Darius Johnson Atl - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,31.22,0%,2277,1481,0,0,0,142,1,36,0,26,0,0,0
,Jackie Battle Ten - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,30.69,0%,2126,1518,0,0,0,45,0,105,0,403,1,0,1
,Travis Benjamin Cle - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,29.75,3%,1767,1420,0,0,0,0,0,134,2,0,0,0,0
,Gavin Escobar Dal - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,29.5,3%,2271,1461,0,0,0,197,0,64,0,90,0,0,0
,Jonathan Dwyer Ari - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,29.4,8%,156,1450,0,0,0,224,1,0,0,0,0,0,0
,Khiry Robinson NO - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,29.18,0%,2485,1704,717,1,5,55,1,0,0,0,0,0,0
,Scott Tolzien GB - QB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,29.18,0%,1885,1508,0,0,0,3,0,199,0,0,0,0,0
,Andrew Hawkins Cle - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,29,5%,1744,1422,0,0,0,0,0,120,1,0,0,0,0
,Brandon Bostick GB - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,28.13,85%,95,1406,0,0,0,0,0,169,1,0,0,0,0
,Dennis Pitta Bal - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,28,0%,2316,1511,0,0,0,0,0,140,1,0,0,0,0
,Jaron Brown Ari - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,27.62,0%,2405,1579,0,0,0,7,0,0,0,1046,2,0,2
,Trindon Holliday NYG - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,27.07,3%,2249,1485,0,0,0,183,0,46,0,151,0,0,0
,Dennis Johnson Hou - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,26.48,0%,1918,1477,0,0,0,46,1,79,1,0,0,0,0
,Frank Summers Buf - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,26.13,0%,1876,1403,0,0,0,0,0,113,2,0,0,0,0
,Cory Harkey StL - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,25.75,3%,2415,1664,0,0,0,0,0,6,0,1250,0,0,0
,Brandon Tate Cin - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,25.44,0%,2373,1705,761,2,4,20,0,0,0,0,0,0,1
,Josh Freeman NYG - QB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,25.29,0%,2404,1649,0,0,0,0,0,13,0,83,0,0,0
,Marcus Easley Buf - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,25.1,0%,2313,1487,0,0,0,0,0,51,0,411,0,0,0
,Niles Paul Was - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,24.85,0%,2362,1592,0,0,0,2,1,6,0,95,0,0,0
,Jeremy Stewart Oak - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,24.56,5%,2436,1703,854,4,7,14,0,0,0,0,0,0,2
,Kirk Cousins Was - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,24.49,0%,2381,1589,38,0,0,55,0,6,0,586,0,0,0
,Josh Cribbs NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,23.63,0%,2425,1644,0,0,0,0,0,17,0,0,0,0,0
,Kassim Osgood SF - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,23.5,15%,139,1490,0,0,0,180,0,44,0,0,0,0,0
,Jonathan Stewart Car - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,23,0%,1884,1418,0,0,0,0,0,136,1,0,0,0,0
,Michael Hoomanawanui NE - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,22.38,5%,2337,1519,0,0,0,115,0,71,0,0,0,0,0
,Stepfan Taylor Ari - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,22.09,8%,2274,1529,0,0,0,107,1,30,0,82,0,0,1
,Johnathan Franklin GB - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,21.95,0%,2318,1548,0,0,0,0,0,178,0,135,0,0,1
,Damian Williams Mia - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,21.38,0%,1736,1440,0,0,0,0,0,75,2,0,0,0,0
,Jake Ballard Ari - TE,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,21.1,0%,2394,1591,0,0,0,6,0,63,0,6,0,0,0
,Jamize Olawale Oak - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,21.04,23%,161,1542,0,0,0,146,1,8,0,222,0,0,2
,David Wilson NYG - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,20.88,0%,2395,1615,0,0,0,14,0,68,0,799,0,0,2
,Eric Page TB - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,20.8,0%,2192,1559,0,0,0,73,1,76,0,0,0,0,1
,Jonathan Grimes Hou - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,20.43,0%,2301,1565,0,0,0,0,0,122,0,209,0,0,0
,Clyde Gates NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,20.41,0%,2289,1566,0,0,0,0,0,121,0,214,0,0,0
,Josh Boyce NE - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,20.33,0%,2329,1555,0,0,0,23,0,113,0,195,0,0,0
,Kyle Williams KC - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,19.94,3%,2325,1517,0,0,0,150,0,59,0,28,0,0,1
,Lance Dunbar Dal - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,19.88,0%,2307,1561,0,0,0,0,0,67,1,0,0,0,0
,Jeff Maehl Phi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,19.73,0%,2372,1546,0,0,0,38,1,81,0,40,0,0,1
,John Kuhn GB - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,19.38,0%,2369,1583,0,0,0,0,0,83,0,0,0,0,0
,Chris Hogan Buf - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,19.38,0%,2336,1550,0,0,0,0,0,155,0,0,0,0,0
,DeVier Posey Hou - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,19.38,5%,1907,1424,0,0,0,0,0,55,2,0,0,0,0
,Levine Toilolo Atl - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,19.34,5%,2380,1587,0,0,0,59,0,16,0,572,0,0,0
,LaMichael James SF - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,19.25,0%,2389,1547,0,0,0,45,1,54,0,0,0,0,0
,Jed Collins Det - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,19.11,0%,2391,1564,0,0,0,21,0,78,0,138,0,1,0
,Isaiah Pead StL - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,18.99,3%,2382,1570,0,0,0,25,1,26,0,12,0,0,0
,Theo Riddick Det - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,18.97,0%,1899,1441,0,0,0,0,0,133,0,17,0,0,0
,Chase Ford Min - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,18.72,0%,2506,1710,398,2,2,8,0,0,0,0,0,0,0
,Kyle Orton Dal - QB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,18.63,3%,1746,1551,0,0,0,0,0,149,0,0,0,0,0
,Malcom Floyd SD - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,18,0%,1920,1554,0,0,0,0,0,136,0,0,0,0,0
,Brittan Golden Ari - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,17.88,0%,1913,1552,0,0,0,0,0,143,0,0,0,0,0
,Greg Salas NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,17.63,0%,2396,1573,0,0,0,0,0,41,1,0,0,0,0
,Will Johnson Pit - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,17.52,0%,2402,1605,0,0,0,43,0,12,0,436,0,0,0
,Michael Cox NYG - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,17.48,0%,2376,1577,0,0,0,15,0,99,0,330,0,0,1
,Jacoby Ford NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,17.25,0%,2319,1571,0,0,0,0,0,114,0,0,0,0,0
,Chris Owusu TB - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,17.05,0%,2414,1677,0,0,0,0,0,2,0,590,0,0,0
,David Reed SF - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,17.05,0%,2328,1560,0,0,0,3,0,62,1,0,0,0,0
,Derrick Coleman Sea - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,16.85,0%,2294,1553,0,0,0,6,0,130,0,0,0,0,0
,A.J. Jenkins KC - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
