Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
?,Player Note,?,FA,169.07,5%,174,64,3046,12,21,366,6,13,0,0,0,0,4
,Geno Smith NYJ - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,168.25,98%,27,44,0,0,0,1275,7,78,0,0,0,0,4
,Alfred Morris Was - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,168,78%,64,68,0,0,0,0,0,1128,4,0,0,1,0
,Torrey Smith Bal - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,167.77,33%,103,61,0,0,0,429,2,605,6,262,0,0,2
,Danny Woodhead SD - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,163.44,100%,24,119,2536,17,6,120,0,0,0,0,0,0,0
,Aaron Rodgers GB - QB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,161.13,78%,62,73,0,0,0,0,0,1041,5,0,0,0,0
,Michael Floyd Ari - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,160,50%,106,74,0,0,0,65,0,712,10,0,0,0,0
,Marvin Jones Cin - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,159.93,98%,16,54,0,0,0,973,7,141,1,0,0,0,1
,Zac Stacy StL - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,159.1,60%,97,71,0,0,0,18,0,835,8,-4,0,2,0
,Riley Cooper Phi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,158.38,13%,2000,57,0,0,0,0,0,859,8,0,0,1,0
,Tony Gonzalez Atl - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,158.19,70%,73,93,0,0,0,31,0,898,5,642,0,0,0
,Golden Tate Det - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,157.65,98%,39,72,0,0,0,0,0,778,10,70,0,0,1
,Wes Welker Den - WR,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,157.63,95%,63,58,0,0,0,0,0,917,7,0,0,0,0
,Jordan Cameron Cle - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,156.38,88%,76,59,0,0,0,0,0,851,8,0,0,0,0
,Jason Witten Dal - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,156.29,88%,46,112,0,0,0,158,3,469,4,1393,2,0,0
,Cordarrelle Patterson Min - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,155.3,93%,41,67,0,0,0,733,6,292,0,0,0,0,0
,Rashad Jennings NYG - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,153.64,68%,87,104,2621,19,12,118,0,0,0,0,0,3,3
