"name","name_yahoo","pos","team_yahoo","actualPts"
"EDDIELACY","Eddie Lacy","RB","GB",201.5
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",199.5
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",194.6
"DEZBRYANT","Dez Bryant","WR","DAL",193.4
"ELIMANNING","Eli Manning","QB","NYG",193.32
"CHRISJOHNSON","Chris Johnson","RB","NYJ",192.2
"DESEANJACKSON","DeSean Jackson","WR","WAS",187.4
"ERICDECKER","Eric Decker","WR","NYJ",186.8
"RYANMATHEWS","Ryan Mathews","RB","SD",184.4
"FREDJACKSON","Fred Jackson","RB","BUF",181.7
"JORDYNELSON","Jordy Nelson","WR","GB",179.4
"REGGIEBUSH","Reggie Bush","RB","DET",179.2
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",178.66
"FRANKGORE","Frank Gore","RB","SF",174.9
"JAYCUTLER","Jay Cutler","QB","CHI",172.64
"CHADHENNE","Chad Henne","QB","JAX",171.34
"ANDREJOHNSON","Andre Johnson","WR","HOU",170.7
"ALFREDMORRIS","Alfred Morris","RB","WAS",169.3
"AARONRODGERS","Aaron Rodgers","QB","GB",167.44
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",166.9
"LEVEONBELL","Le'Veon Bell","RB","PIT",165.9
"PIERREGARCON","Pierre Garcon","WR","WAS",164.5
"VINCENTJACKSON","Vincent Jackson","WR","TB",164.4
"JOIQUEBELL","Joique Bell","RB","DET",163.7
"MIKEGLENNON","Mike Glennon","QB","TB",159.02
"ZACSTACY","Zac Stacy","RB","STL",157.4
"VERNONDAVIS","Vernon Davis","TE","SF",155
"ANQUANBOLDIN","Anquan Boldin","WR","SF",155
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",154.2
"JULIUSTHOMAS","Julius Thomas","TE","DEN",150.8
"KEENANALLEN","Keenan Allen","WR","SD",148.6
"DANNYWOODHEAD","Danny Woodhead","RB","SD",147.4
"TERRELLEPRYOR","Terrelle Pryor","QB","SEA",146.52
"JULIANEDELMAN","Julian Edelman","WR","NE",144.7
"MAURICEJ","Maurice J","RB","ONE",144.02
"EJMANUEL","EJ Manuel","QB","BUF",142.48
"TYHILTON","T.Y. Hilton","WR","IND",138.9
"TORREYSMITH","Torrey Smith","WR","BAL",138.8
"RASHADJENNINGS","Rashad Jennings","RB","NYG",138.5
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",137.6
"RILEYCOOPER","Riley Cooper","WR","PHI",137.3
"JOSHMCCOWN","Josh McCown","QB","TB",137.06
"TONYGONZALEZ","Tony Gonzalez","TE","ATL",135.9
"WESWELKER","Wes Welker","WR","DEN",135.8
"MICHAELFLOYD","Michael Floyd","WR","ARI",134.1
"JORDANCAMERON","Jordan Cameron","TE","CLE",133.7
"JASONWITTEN","Jason Witten","TE","DAL",133.1
"MARVINJONES","Marvin Jones","WR","CIN",131.7
"PIERRETHOMAS","Pierre Thomas","RB","NO",128.2
"ANDREELLINGTON","Andre Ellington","RB","ARI",126.3
"RASHARDMENDENHALL","Rashard Mendenhall","RB","ARI",126.1
"BRIANHARTLINE","Brian Hartline","WR","MIA",125.6
"MARQUESCOLSTON","Marques Colston","WR","NO",124.3
"SAMBRADFORD","Sam Bradford","QB","STL",122.58
"VICTORCRUZ","Victor Cruz","WR","NYG",121.8
"CJSPILLER","C.J. Spiller","RB","BUF",121.8
"MIKEWALLACE","Mike Wallace","WR","MIA",120.3
"KENDALLWRIGHT","Kendall Wright","WR","TEN",119.9
"CHARLESCLAY","Charles Clay","TE","MIA",119.4
"JASONCAMPBELL","Jason Campbell","QB","CIN",119.3
"MATTSCHAUB","Matt Schaub","QB","OAK",118.8
"RAYRICE","Ray Rice","RB","BAL",118.1
"STEVANRIDLEY","Stevan Ridley","RB","NE",117.5
"DONALDBROWN","Donald Brown","RB","SD",117.1
"GOLDENTATE","Golden Tate","WR","DET",116.9
"CHRISTIANPONDER","Christian Ponder","QB","MIN",116.02
"BENJARVUSG","BenJarvus G","RB","REE",115.8
"STEVENJACKSON","Steven Jackson","RB","ATL",115.4
"HARRYDOUGLAS","Harry Douglas","WR","ATL",114.7
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",114.5
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",113.7
"MATTCASSEL","Matt Cassel","QB","MIN",112.98
