"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushAtt","rushYds","rushTds","recTgts","rec","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"ALLENHURNS","Allen Hurns","WR","JAX",0,0,0,0,0,0,97,51,677,6,0,0,0,103.7
"TERRANCEWEST","Terrance West","RB","CLE",0,0,0,171,673,4,13,11,64,1,0,0,1,101.7
"DOUGBALDWIN","Doug Baldwin","WR","SEA",0,0,0,1,8,0,98,66,825,3,0,0,0,101.3
"JAMESJONES","James Jones","WR","OAK",0,0,0,0,0,0,111,73,666,6,0,0,1,100.6
"JASONWITTEN","Jason Witten","TE","DAL",0,0,0,0,0,0,90,64,703,5,0,0,0,100.3
"ROBERTWOODS","Robert Woods","WR","BUF",0,0,0,0,0,0,104,65,699,5,0,1,1,99.9
"DREWSTANTON","Drew Stanton","QB","ARI",1711,7,5,25,63,0,0,0,0,0,0,1,0,99.74
"JOHNBROWN","John Brown","WR","ARI",0,0,0,3,-6,0,103,48,696,5,0,0,0,99
"KEENANALLEN","Keenan Allen","WR","SD",0,0,0,0,0,0,122,77,783,4,0,0,2,98.3
"KIRKCOUSINS","Kirk Cousins","QB","WAS",1710,10,9,7,20,0,0,0,0,0,0,0,2,97.4
"JARVISLANDRY","Jarvis Landry","WR","MIA",0,0,0,2,-4,0,112,84,758,5,0,0,4,97.4
"SHAUNHILL","Shaun Hill","QB","STL",1657,8,7,10,10,1,1,1,0,0,0,0,1,96.28
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",0,0,0,3,15,0,112,63,824,2,0,0,0,95.9
"MIKEGLENNON","Mike Glennon","QB","TB",1417,10,6,10,49,0,0,0,0,0,0,0,0,95.58
"MICHAELCRABTREE","Michael Crabtree","WR","SF",0,0,0,1,4,0,108,68,698,4,0,0,0,94.2
"KENNYBRITT","Kenny Britt","WR","STL",0,0,0,2,14,0,84,48,748,3,0,0,0,94.2
"HEATHMILLER","Heath Miller","TE","PIT",0,0,0,0,0,0,91,66,761,3,0,1,1,94.1
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",1694,4,6,38,176,1,0,0,0,0,0,0,4,93.36
"ANDREHOLMES","Andre Holmes","WR","OAK",0,0,0,0,0,0,99,47,693,4,0,0,0,93.3
"PIERREGARCON","Pierre Garcon","WR","WAS",0,0,0,0,0,0,105,68,752,3,0,0,0,93.2
"CHRISJOHNSON","Chris Johnson","RB","NYJ",0,0,0,155,663,1,35,24,151,1,0,0,1,91.4
"TRENTRICHARDSON","Trent Richardson","RB","IND",0,0,0,159,519,3,34,27,229,0,0,0,1,90.8
"DENARDROBINSON","Denard Robinson","RB","JAX",0,0,0,135,582,4,31,23,124,0,0,0,2,90.6
"LARRYDONNELL","Larry Donnell","TE","NYG",0,0,0,0,0,0,92,63,623,6,0,0,4,90.3
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",1326,7,2,20,90,0,0,0,10,0,0,0,0,89.04
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",0,0,0,0,0,0,103,63,784,2,0,0,1,88.4
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","NE",0,0,0,125,547,5,12,10,54,0,0,0,1,88.1
"REGGIEWAYNE","Reggie Wayne","WR","IND",0,0,0,0,0,0,116,64,779,2,0,0,1,87.9
