"name","name_yahoo","pos","actualPts"
"DONNIEAVERY","Donnie Avery","WR",118.53
"VICKBALLARD","Vick Ballard","RB",118.4
"SANTANAMOSS","Santana Moss","WR",118.03
"DARRENMCFADDEN","Darren McFadden","RB",117.95
"DEMARCOMURRAY","DeMarco Murray","RB",117.68
"DWAYNEBOWE","Dwayne Bowe","WR",117.13
"ALEXSMITH","Alex Smith","QB",116.68
"BRANDONGIBSON","Brandon Gibson","WR",116.38
"WILLISMCGAHEE","Willis McGahee","RB",115.73
"BRANDONLAFELL","Brandon LaFell","WR",114.13
"PIERREGARCON","Pierre Garcon","WR",113.03
"MARTELLUSBENNETT","Martellus Bennett","TE",111.51
"ANTONIOGATES","Antonio Gates","TE",111.25
"GREGLITTLE","Greg Little","WR",110.38
"JACQUIZZRODGERS","Jacquizz Rodgers","RB",110.29
"DARRIUSHEYWARDBEY","Darrius Heyward-Bey","WR",108.85
"SCOTTCHANDLER","Scott Chandler","TE",108.38
"JACOBYJONES","Jacoby Jones","WR",106.51
"HAKEEMNICKS","Hakeem Nicks","WR",105.5
"PIERRETHOMAS","Pierre Thomas","RB",105.37
"DAVONEBESS","Davone Bess","WR",103.85
"DAVIDWILSON","David Wilson","RB",103.71
"FELIXJONES","Felix Jones","RB",102.67
"RYANMATHEWS","Ryan Mathews","RB",102.2
"ANDREBROWN","Andre Brown","RB",102.09
"DANNYAMENDOLA","Danny Amendola","WR",101.81
"KENDALLWRIGHT","Kendall Wright","WR",100.65
"KENNYBRITT","Kenny Britt","WR",100.63
"CHADHENNE","Chad Henne","QB",100.01
"DESEANJACKSON","DeSean Jackson","WR",99.74
"VERNONDAVIS","Vernon Davis","TE",99.5
"ANDREWHAWKINS","Andrew Hawkins","WR",98.63
"BRANDONSTOKLEY","Brandon Stokley","WR",98
"MARCELREECE","Marcel Reece","RB",97.82
"MARKSANCHEZ","Mark Sanchez","QB",95.62
"KNOWSHONMORENO","Knowshon Moreno","RB",94.68
"MIKETOLBERT","Mike Tolbert","RB",94.32
"LANCEKENDRICKS","Lance Kendricks","TE",93.88
"MARKINGRAM","Mark Ingram","RB",93.83
"MARCEDESLEWIS","Marcedes Lewis","TE",93.5
"JERMICHAELFINLEY","Jermichael Finley","TE",93.38
"RODSTREATER","Rod Streater","WR",92
"AARONHERNANDEZ","Aaron Hernandez","TE",91.88
"BILALPOWELL","Bilal Powell","RB",90.2
"BRENTCELEK","Brent Celek","TE",88.5
"JAREDCOOK","Jared Cook","TE",87.38
"LEONARDHANKERSON","Leonard Hankerson","WR",86.38
"BRANDONPETTIGREW","Brandon Pettigrew","TE",85.88
"FREDJACKSON","Fred Jackson","RB",85.83
"JACOBTAMME","Jacob Tamme","TE",85.38
"JOSHUAMORGAN","Joshua Morgan","WR",85.25
"BLAINEGABBERT","Blaine Gabbert","QB",85.08
"DWAYNEALLEN","Dwayne Allen","TE",84.63
"BRYCEBROWN","Bryce Brown","RB",84.02
"JASONAVANT","Jason Avant","WR",84
"DOMENIKHIXON","Domenik Hixon","WR",83.6
"JONATHANDWYER","Jonathan Dwyer","RB",83.55
"EMMANUELSANDERS","Emmanuel Sanders","WR",82.05
"DALLASCLARK","Dallas Clark","TE",81.38
"DONALDJONES","Donald Jones","WR",81.38
"LARODSTEPHENSHOWLING","LaRod Stephens-Howling","RB",81.05
"BENJAMINWATSON","Benjamin Watson","TE",80.63
"MICHAELFLOYD","Michael Floyd","WR",80.25
"KEVINKOLB","Kevin Kolb","QB",80.06
"KEVINOGLETREE","Kevin Ogletree","WR",79.9
"NICKFOLES","Nick Foles","QB",79.16
"JACKIEBATTLE","Jackie Battle","RB",79.1
"MICHAELBUSH","Michael Bush","RB",78.48
"KEVINWALTER","Kevin Walter","WR",77.75
"SHAUNDRAUGHN","Shaun Draughn","RB",76.79
"ANTHONYFASANO","Anthony Fasano","TE",76.5
"JULIANEDELMAN","Julian Edelman","WR",75.78
"JOELDREESSEN","Joel Dreessen","TE",75.5
"ISAACREDMAN","Isaac Redman","RB",74.5
"TITUSYOUNG","Titus Young","WR",74.48
"RANDYMOSS","Randy Moss","WR",72.25
"BRADSMITH","Brad Smith","WR",72.02
"MATTHASSELBECK","Matt Hasselbeck","QB",71.48
"GREGJENNINGS","Greg Jennings","WR",70.75
"TONYSCHEFFLER","Tony Scheffler","TE",70.14
"DANIELTHOMAS","Daniel Thomas","RB",70
"JOSEPHMORGAN","Joseph Morgan","WR",68.48
"RONNIEBROWN","Ronnie Brown","RB",68.38
"MICHAELJENKINS","Michael Jenkins","WR",68.13
"TIQUANUNDERWOOD","Tiquan Underwood","WR",67.17
"DEXTERMCCLUSTER","Dexter McCluster","WR",66.62
"MARIOMANNINGHAM","Mario Manningham","WR",66.53
"DOUGBALDWIN","Doug Baldwin","WR",65.81
"SHANEVEREEN","Shane Vereen","RB",65.73
"TONYMOEAKI","Tony Moeaki","TE",65.63
"ZACHMILLER","Zach Miller","TE",65.5
"TRAVISBENJAMIN","Travis Benjamin","WR",65.35
"MAURICEJONESDREW","Maurice Jones-Drew","RB",65.23
"JONATHANSTEWART","Jonathan Stewart","RB",65.23
"BERNARDPIERCE","Bernard Pierce","RB",65.08
"DELANIEWALKER","Delanie Walker","TE",64.06
"DARYLRICHARDSON","Daryl Richardson","RB",63.88
"ALSHONJEFFERY","Alshon Jeffery","WR",63.88
"JEFFCUMBERLAND","Jeff Cumberland","TE",63.88
"JAMESCASEY","James Casey","RB",63.85
"MIKEGOODSON","Mike Goodson","RB",62.66
"EARLBENNETT","Earl Bennett","WR",62.4
"ALEXGREEN","Alex Green","RB",62.03
"RASHADJENNINGS","Rashad Jennings","RB",61.37
"DONALDBROWN","Donald Brown","RB",61.33
"MATTCASSEL","Matt Cassel","QB",60.34
"ROBERTTURBIN","Robert Turbin","RB",60.03
"DARIUSREYNAUD","Darius Reynaud","WR",59.68
"AUSTINPETTIS","Austin Pettis","WR",59.43
"HARRYDOUGLAS","Harry Douglas","WR",57.9
"DEVINHESTER","Devin Hester","WR",57.89
"RUEBENRANDLE","Rueben Randle","WR",57.41
"KENDALLHUNTER","Kendall Hunter","RB",56.9
"MICHEALSPURLOCK","Micheal Spurlock","WR",56.78
"DWAYNEHARRIS","Dwayne Harris","WR",56.53
"ANTHONYMCCOY","Anthony McCoy","TE",55.38
"ROBHOUSLER","Rob Housler","TE",55.13
"GARRETTGRAHAM","Garrett Graham","TE",54.88
"LOUISMURPHY","Louis Murphy","WR",54.3
"JUSTINFORSETT","Justin Forsett","RB",54.25
"BEANIEWELLS","Beanie Wells","RB",53.4
"RILEYCOOPER","Riley Cooper","WR",53.28
"MOHAMEDSANU","Mohamed Sanu","WR",53.17
"RYANBROYLES","Ryan Broyles","WR",52.75
"DUSTINKELLER","Dustin Keller","TE",52.63
"JARIUSWRIGHT","Jarius Wright","WR",51.85
"STEPHENHILL","Stephen Hill","WR",51.5
"MONTELLOWENS","Montell Owens","RB",51.03
"BRANDONTATE","Brandon Tate","WR",50.32
"WILLIAMPOWELL","William Powell","RB",50.24
"CEDRICPEERMAN","Cedric Peerman","RB",50.17
"CHAZSCHILENS","Chaz Schilens","WR",50.13
"ALDRICKROBINSON","Aldrick Robinson","WR",50.03
"TJGRAHAM","T.J. Graham","WR",49.75
"CHRISRAINEY","Chris Rainey","RB",49.22
"NATEBURLESON","Nate Burleson","WR",48.8
