"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"GREGOLSEN","TE","Greg Olsen","CAR",9,132,125.1,NA,NA,0,0,0,NA,0,0,NA,851,7,NA,0,1
"CARLOSHYDE","RB","Carlos Hyde","SF",44,134,125,NA,NA,0,0,0,NA,670,7,NA,120,1,NA,0,1
"DANNYAMENDOLA","WR","Danny Amendola","NE",47,135,123.9,NA,NA,0,0,0,NA,9,0,NA,890,6,NA,0,1
"HAKEEMNICKS","WR","Hakeem Nicks","IND",48,136,122.5,NA,NA,0,0,0,NA,0,0,NA,865,6,NA,0,0
"DOUGBALDWIN","WR","Doug Baldwin","SEA",49,137,122.2,NA,NA,0,0,0,NA,13,0,NA,849,6,NA,0,0
"CECILSHORTS","WR","Cecil Shorts","JAX",50,138,121.5,NA,NA,0,0,0,NA,0,0,NA,915,5,NA,0,0
"GREGJENNINGS","WR","Greg Jennings","MIN",51,139,120,NA,NA,0,0,0,NA,0,0,NA,860,6,NA,0,1
"KHIRYROBINSON","RB","Khiry Robinson","NO",45,140,118.6,NA,NA,0,0,0,NA,697,5,NA,129,1,NA,0,0
"CHRISIVORY","RB","Chris Ivory","NYJ",46,141,118.5,NA,NA,0,0,0,NA,791,6,NA,34,0,NA,0,0
"ROBERTWOODS","WR","Robert Woods","BUF",52,142,117.7,NA,NA,0,0,0,NA,12,0,NA,805,6,NA,0,0
"MARKUSWHEATON","WR","Markus Wheaton","PIT",53,143,116.5,NA,NA,0,0,0,NA,13,0,NA,792,6,NA,0,0
"KENNYBRITT","WR","Kenny Britt","STL",54,144,116,NA,NA,0,0,0,NA,0,0,NA,880,5,NA,0,1
"AARONDOBSON","WR","Aaron Dobson","NE",55,145,114.3,NA,NA,0,0,0,NA,0,0,NA,863,5,NA,0,1
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",10,146,114.2,NA,NA,0,0,0,NA,0,0,NA,662,8,NA,0,0
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",47,147,114,NA,NA,0,0,0,NA,665,5,NA,115,1,NA,0,0
"KENNYSTILLS","WR","Kenny Stills","NO",56,148,113.9,NA,NA,0,0,0,NA,26,0,NA,753,6,NA,0,0
