"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_nfl","projectedPts_yahoo","passYdsMedian","passTdsMedian","passIntMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian","weeklySD","weeklyVariability","ydsPerRec","totalTds"
"RANDALLCOBB","Randall Cobb","WR","GB",48,195.366266733638,199,182.875,214.425,NA,200.2625,192.025,191.725,198.625,190,201.275,217.5,202.175,179.145,0,0,0,81.6,0,83.5000230661433,1136.05,8.00000617028732,0.1,1.00000676269531,197.696375,195.366266733638,4.02401489973883,2.63269560930694,13.6053854631884,8.00000617028732
"EJMANUEL","E.J. Manuel","QB","BUF",49,192.434934647703,192.32,181.1,173.72,NA,183.494,187.52,204.62,199.46,194,211.06,232.4,225.12,211.32,3261.5,18.0000131061212,14.4499831509501,295.75,2.49994850476136,0,0,0,0.75,4.24995311749983,195.552833333333,192.434934647703,6.22994806086133,8.98077921268403,NA,20.4999616108826
"ZACSTACY","Zac Stacy","RB","STL",50,190.671831067033,208.1,186.525,188.575,NA,196.9325,187.125,208.65,182.225,180.5,169.85,202.875,203.15,199.7,0,0,0,1152.25,8.34477639473761,29.9999800415671,195.425,0.999979314503302,0.1,1.74994272947092,190.492291666667,190.671831067033,4.03958238916513,2.92857190044465,6.5141710004215,9.34475570924091
"ANDREELLINGTON","Andre Ellington","RB","ARI",51,189.249991356937,209.2,178.05,179.825,223.75,189.335,220.75,194.975,166.275,181.25,172,182,198.175,198.675,0,0,0,977.999959645371,5.00004220331447,46.9999803806037,430.000035765159,1.99994771087285,0.1,1.49998285445622,190.017802197802,189.249991356937,4.32270621436419,3.79949740874151,9.1489407502522,6.99998991418732
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",52,186.794582151247,219.62,205.22,178.54,NA,181.172,189.5,114.06,152.46,147.8,226.26,212,263.62,210.96,2971.56001088955,16.5000502319142,14.965925694549,383.296829154506,3.00004423754178,0,0,0,1.25,4.00006348968213,188.826,186.794582151247,6.21829655657553,9.25108495554041,NA,19.500094469456
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",53,183.915141193696,203.875,190.125,181.225,NA,189.275,182.75,172.5,160.025,162.75,175.9,167,218.15,191.015,0,0,0,7.21330420977499,0,83.0000144139168,1047.95,8.50001012878634,0.6,0,183.548166666667,183.915141193696,3.79373642483147,2.60161757314498,12.625901421823,8.50001012878634
"KEENANALLEN","Keenan Allen","WR","SD",54,183.180880428488,186.625,177.125,178.625,NA,181.475,187.225,189.125,179.5,174.5,180.125,198,191.75,183.425,0,0,0,0,0,76.4999939153995,1103.85,7.99994178609558,0.1,1.00000676269531,182.476666666667,183.180880428488,3.84260611180144,2.77820782108019,14.4294129123819,7.99994178609558
"PIERREGARCON","Pierre Garcon","WR","WAS",55,182.137044827334,201.625,183.375,179.025,NA,185.275,187.825,170,176.325,187.5,182.05,176.625,201.675,181.45,0,0,0,13.1834003743773,0,92.0000642336727,1173.75,6.04996051104727,0.1,0.7999360921292,183.7125,182.137044827334,3.80505801010319,2.72891049702277,12.7581432662783,6.04996051104727
"REGGIEBUSH","Reggie Bush","RB","DET",56,181.191820898884,190.05,170.3,195.4,NA,175.2,193.125,155.075,182.15,200.5,178.475,200.5,200.95,145.65,0,0,0,862.523255255122,4.85233525910044,50.5000234474291,465.000021474637,2.50005661526141,0.1,2.4999528523763,178.347916666667,181.191820898884,4.53348241240137,4.8238990620159,9.20791694203282,7.35239187436185
"JAKELOCKER","Jake Locker","QB","TEN",57,180.7165349839,223.92,177.26,157.72,NA,173.79,136.32,127.16,206.38,181.6,212.52,183.5,229.26,209.82,3002.75,17.0000273990421,13.1218580423455,304.219181189798,1.79997874307658,0,0,0,0.25,3.24993035422386,181.204166666667,180.7165349839,5.71813825582693,8.17398519784825,NA,18.8000061421187
"ALFREDMORRIS","Alfred Morris","RB","WAS",58,180.61368499591,213.65,186.35,190.45,NA,192.18,170.75,185.45,182.2,173.5,171.6,176.5,175.9,178.95,0,0,0,1227.575,8.50006624641085,11.9000525527544,90,0.684280968060233,0.1,2.89996609697218,178.965,180.61368499591,3.89801482782819,3.07161544235668,7.56299181041589,9.18434721447109
"VICTORCRUZ","Victor Cruz","WR","NYG",59,179.912143880384,179.375,167.875,172.25,217.65,175.475,208.525,182.75,163.625,161.25,169.5,198,201.75,171.975,0,0,0,0,0,82.4999982492926,1118.5,6.99994064673068,0.1,0.7,181.945054945055,179.912143880384,3.68389033060089,2.5083954587106,13.5575760452769,6.99994064673068
"JOSHMCCOWN","Josh McCown","QB","TB",60,179.634916869265,220.4,215.94,207.3,NA,200.214,161.32,151.26,188.28,164.6,206.06,186.5,165.34,133.75,3246.5,19.4999463854174,12.8000389957752,110.75,1.00003764046637,0,0,0,0.15,2.39999250929256,180.213666666667,179.634916869265,5.77360524441,8.38775004502998,NA,20.4999840258838
"TOBYGERHART","Toby Gerhart","RB","JAC",61,173.819789336135,190.075,169.375,145.6,NA,180.76,205.625,228.025,160.975,179,152.325,187.375,161.5,170.95,0,0,0,1005.25,6.50006434559444,36.0000581907081,272.75,1.00008671373416,0.1,1.99995567327904,174.94875,173.819789336135,4.21921195480122,4.33797858417827,7.57637664236885,7.50015105932861
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",62,173.725217293228,155.375,159.375,160.15,NA,173.85,205.725,184.325,159.7,162,159.225,171.125,188.425,168.775,0,0,0,117,1.14997291078158,70.5000536429121,927.4,6.50006330475646,0.1,0,173.81,173.725217293228,4.30233349746887,4.57632681932285,13.1545999198433,7.65003621553804
"MICHAELCRABTREE","Michael Crabtree","WR","SF",63,173.192826037928,195.75,196.625,167.575,NA,186.1875,189.45,179,146.5,153.5,167.875,167,205,150.6,0,0,0,8.36530004065925,0,75.9499747423069,1065.25,7.00000767231037,0.1,1,174.505208333333,173.192826037928,3.78657665068926,3.15753543678951,14.0256794503793,7.00000767231037
