"name","pos","name_accu","team_accu","positionRank_accu","overallRank_accu","pts_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushAtt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","returnTds_accu","twoPts_accu","fumbles_accu"
"ANDREWQUARLESS","TE","Andrew Quarless","GB",21,349,73.9,NA,NA,NA,NA,NA,NA,NA,NA,51.7,557,3.18,NA,NA,0.48
"CHADGREENWAY","LB","Chad Greenway","MIN",52,351,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARCELLDAREUS","DL","Marcell Dareus","BUF",16,351,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAHIMMOORE","DB","Rahim Moore","DEN",53,353,73.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARYWILLIAMS","DB","Cary Williams","PHI",53,353,73.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORTLANDFINNEGAN","DB","Cortland Finnegan","MIA",53,353,73.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COURTNEYUPSHAW","LB","Courtney Upshaw","BAL",53,356,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALTERRAUNVERNER","DB","Alterraun Verner","TB",56,357,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERRAUDPOWERS","DB","Jerraud Powers","ARI",57,358,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",65,359,72.4,NA,NA,NA,NA,NA,NA,NA,NA,33.8,409,2.43,NA,NA,1.95
"CHARLESJOHNSON","DL","Charles Johnson","CAR",17,359,72.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEVINMCCOURTY","DB","Devin McCourty","NE",58,361,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DONTEWHITNER","DB","Donte Whitner","CLE",59,362,72.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIUSPEPPERS","DL","Julius Peppers","GB",18,363,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONPIERREPAUL","DL","Jason Pierre-Paul","NYG",19,364,71.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DASHONGOLDSON","DB","Dashon Goldson","TB",60,365,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOHNATHANJOSEPH","DB","Johnathan Joseph","HOU",60,365,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RICHARDSHERMAN","DB","Richard Sherman","SEA",62,367,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAMARRWOODLEY","LB","LaMarr Woodley","OAK",54,368,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",66,369,70.6,NA,NA,NA,NA,NA,NA,NA,NA,41.8,559,2.43,NA,NA,0.52
"DAWANLANDRY","DB","Dawan Landry","NYJ",63,369,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REYMAUALUGA","LB","Rey Maualuga","CIN",55,371,70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLIVIERVERNON","DL","Olivier Vernon","MIA",20,371,70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHAELBENNETT","DL","Michael Bennett","SEA",21,373,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMERONWAKE","LB","Cameron Wake","MIA",56,374,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATEBURLESON","WR","Nate Burleson","CLE",67,375,69.9,NA,NA,NA,NA,NA,NA,NA,NA,58.8,572,2.24,NA,NA,0.65
"CALVINPACE","LB","Calvin Pace","NYJ",57,376,69.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELVISDUMERVIL","LB","Elvis Dumervil","BAL",58,377,69.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTONIOALLEN","DB","Antonio Allen","NYJ",64,378,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAPTAINMUNNERLYN","DB","Captain Munnerlyn","MIN",64,378,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PATRICKPETERSON","DB","Patrick Peterson","ARI",64,378,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PERRYRILEY","LB","Perry Riley","WAS",59,381,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANKERRIGAN","LB","Ryan Kerrigan","WAS",60,382,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",68,383,68.5,NA,NA,NA,NA,NA,NA,NA,NA,55.4,542,2.6,NA,NA,1.42
"RICHARDMARSHALL","DB","Richard Marshall","SD",67,384,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALFONZODENNARD","DB","Alfonzo Dennard","NE",68,385,68.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUNIORGALETTE","DL","Junior Galette","NO",22,386,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOISEFOKOU","LB","Moise Fokou","TEN",61,387,67.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDAMUKONGSUH","DL","Ndamukong Suh","DET",23,388,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATEALLEN","DB","Nate Allen","PHI",69,388,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESLEYWOODYARD","LB","Wesley Woodyard","TEN",62,390,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DQWELLJACKSON","LB","DQwell Jackson","IND",62,390,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISCLEMONS","DB","Chris Clemons","HOU",70,392,67.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",52,393,67.2,NA,NA,NA,NA,NA,45.1,169,1.4,38.7,326,1.72,NA,NA,0.73
"BUSTERSKRINE","DB","Buster Skrine","CLE",71,394,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEYTONHILLIS","RB","Peyton Hillis","NYG",53,395,66.8,NA,NA,NA,NA,NA,119.8,401,2.52,14.6,116,0.59,NA,NA,1.83
"TJGRAHAM","WR","T.J. Graham","BUF",69,395,66.8,NA,NA,NA,NA,NA,NA,NA,NA,35.4,507,1.91,NA,NA,1.2
"JAMEELMCCLAIN","LB","Jameel McClain","NYG",64,395,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMARCUSWARE","LB","DeMarcus Ware","DEN",64,395,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONSPIKES","LB","Brandon Spikes","BUF",66,399,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COREYGRAHAM","DB","Corey Graham","BUF",72,399,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THOMASDAVIS","LB","Thomas Davis","CAR",67,401,66.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KJWRIGHT","LB","K.J. Wright","SEA",68,402,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLIAMHAYES","DL","William Hayes","STL",24,403,66.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARRYCHURCH","DB","Barry Church","DAL",73,404,65.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",70,405,65.8,NA,NA,NA,NA,NA,NA,NA,NA,44.8,523,2.49,NA,NA,0.72
"JAMARCASANFORD","DB","Jamarca Sanford","MIN",74,405,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAVIDHAWTHORNE","LB","David Hawthorne","NO",69,407,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRACYPORTER","DB","Tracy Porter","WAS",75,407,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","KC",22,409,65.6,NA,NA,NA,NA,NA,NA,NA,NA,37.4,388,4.58,NA,NA,0.33
"HEATHMILLER","TE","Heath Miller","PIT",23,410,65.3,NA,NA,NA,NA,NA,NA,NA,NA,54.7,513,2.51,NA,NA,0.55
"BRADLEYFLETCHER","DB","Bradley Fletcher","PHI",76,411,65.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONBOYKIN","DB","Brandon Boykin","PHI",77,412,64.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARLONBROWN","WR","Marlon Brown","BAL",71,413,64.5,NA,NA,NA,NA,NA,NA,NA,NA,45.8,497,2.65,NA,NA,0.44
"DONTARIPOE","DL","Dontari Poe","KC",25,414,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERRYHUGHES","DL","Jerry Hughes","BUF",26,415,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONMCCOURTY","DB","Jason McCourty","TEN",78,416,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMACHO","LB","Sam Acho","ARI",70,417,63.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEANGELOHALL","DB","DeAngelo Hall","WAS",79,417,63.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARIUSBUTLER","DB","Darius Butler","IND",80,419,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRENTGRIMES","DB","Brent Grimes","MIA",81,420,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SANTONIOHOLMES","WR","Santonio Holmes","NYJ",72,421,63.3,NA,NA,NA,NA,NA,NA,NA,NA,34.4,547,1.55,NA,NA,0.34
"VERNONDAVIS","TE","Vernon Davis","SF",24,422,63.1,NA,NA,NA,NA,NA,NA,NA,NA,38.6,470,2.8,NA,NA,0.36
"JURRELLCASEY","DL","Jurrell Casey","TEN",27,423,62.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",73,424,62.7,NA,NA,NA,NA,NA,NA,NA,NA,37.3,495,2.3,NA,NA,0.31
"DONTAHIGHTOWER","LB","Donta Hightower","NE",71,424,62.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CONNORBARWIN","DL","Connor Barwin","PHI",28,424,62.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARLESWOODSON","DB","Charles Woodson","OAK",82,424,62.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEPHONGILMORE","DB","Stephon Gilmore","BUF",83,428,62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEODISMCKELVIN","DB","Leodis McKelvin","BUF",84,429,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANIEALMANNING","DB","Danieal Manning","CIN",84,429,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KERRYRHODES","DB","Kerry Rhodes","ARI",86,431,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEENANLEWIS","DB","Keenan Lewis","NO",87,432,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIMITRIPATTERSON","DB","Dimitri Patterson","NYJ",87,432,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","BAL",25,434,61.8,NA,NA,NA,NA,NA,NA,NA,NA,48.3,473,2.56,NA,NA,0.42
"TARELLBROWN","DB","Tarell Brown","OAK",89,435,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHITNEYMERCILUS","LB","Whitney Mercilus","HOU",72,436,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAREDALLEN","DL","Jared Allen","CHI",29,437,61.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANORRISSEARCY","DB","DaNorris Searcy","BUF",90,438,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRYANSCOTT","DB","Bryan Scott","BUF",91,439,60.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENOATKINS","DL","Geno Atkins","CIN",30,440,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREBROWN","RB","Andre Brown","HOU",54,441,59.8,NA,NA,NA,NA,NA,66.6,264,2.15,25,154,1.14,NA,NA,0.94
"SCOTTCHANDLER","TE","Scott Chandler","BUF",26,441,59.8,NA,NA,NA,NA,NA,NA,NA,NA,42.6,477,2.22,NA,NA,0.66
"JAMESSTARKS","RB","James Starks","GB",55,443,59.7,NA,NA,NA,NA,NA,59.1,278,1.95,14.6,139,1.27,NA,NA,0.66
"MARCEDESLEWIS","TE","Mercedes Lewis","JAC",27,443,59.7,NA,NA,NA,NA,NA,NA,NA,NA,47.2,462,2.45,NA,NA,0.62
"ROBERTWOODS","WR","Robert Woods","BUF",74,445,59.6,NA,NA,NA,NA,NA,NA,NA,NA,34,486,1.91,NA,NA,0.29
"CLIFFAVRIL","DL","Cliff Avril","SEA",31,446,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASEYHAYWARD","DB","Casey Hayward","GB",92,447,59.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GERALDMCCOY","DL","Gerald McCoy","TB",32,448,59.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRENTCOLE","DL","Trent Cole","PHI",33,449,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSIUMENYIORA","DL","Osi Umenyiora","ATL",33,449,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROOKSREED","LB","Brooks Reed","HOU",73,451,58.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AKEEMAYERS","LB","Akeem Ayers","TEN",74,452,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHROBINSON","DB","Josh Robinson","MIN",93,452,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAULKRUGER","DL","Paul Kruger","CLE",35,454,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDIANROSS","DB","Brandian Ross","OAK",94,455,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMERONHEYWARD","DL","Cameron Heyward","PIT",36,456,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MORRISCLAIBORNE","DB","Morris Claiborne","DAL",95,456,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLHILL","DB","Will Hill","NYG",95,456,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMESANDERSON","LB","James Anderson","NE",75,459,57.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONBABIN","DL","Jason Babin","JAC",37,460,57.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEDGINN","WR","Ted Ginn Jr.","ARI",75,461,57.7,NA,NA,NA,NA,NA,NA,NA,NA,26.2,384,1.67,NA,NA,0.76
"LEONHALL","DB","Leon Hall","CIN",97,462,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBNINKOVICH","DL","Rob Ninkovich","NE",38,463,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEJENKINS","DB","Mike Jenkins","TB",98,463,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",56,465,57,NA,NA,NA,NA,NA,132.8,432,2.15,4,22,0.16,NA,NA,1.19
"KENDALLLANGFORD","DL","Kendall Langford","STL",39,465,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOLANCARROLL","DB","Nolan Carroll","PHI",99,465,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARRELLEREVIS","DB","Darrelle Revis","NE",99,465,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SENDERRICKMARKS","DL","SenDerrick Marks","JAC",40,469,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RASHADJOHNSON","DB","Rashad Johnson","ARI",101,470,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHAELJOHNSON","DL","Michael Johnson","TB",41,471,56.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","PIT",76,472,56.4,NA,NA,NA,NA,NA,NA,NA,NA,31.8,411,2.66,NA,NA,0.36
"BRADJONES","LB","Brad Jones","GB",76,472,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDJENNINGS","DB","M.D. Jennings","CHI",102,472,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASANTESAMUEL","DB","Asante Samuel","ATL",102,472,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMJONES","DB","Adam Jones","CIN",104,476,55.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMESIHEDIGBO","DB","James Ihedigbo","DET",104,476,55.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISCULLIVER","DB","Chris Culliver","SF",106,478,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COREYLIUGET","DL","Corey Liuget","SD",42,479,55.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALANBALL","DB","Alan Ball","JAC",107,479,55.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANCLARK","DB","Ryan Clark","WAS",107,479,55.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",28,482,55.3,NA,NA,NA,NA,NA,NA,NA,NA,43.7,418,2.4,NA,NA,0.6
"JABAALSHEARD","DL","Jabaal Sheard","CLE",43,483,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KYLEWILLIAMS","DL","Kyle Williams","BUF",44,484,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKTOON","WR","Nick Toon","NO",77,485,54.8,NA,NA,NA,NA,NA,NA,NA,NA,27.9,474,1.32,NA,NA,0.29
"JUSTINDURANT","LB","Justin Durant","DAL",77,485,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THOMASDECOUD","DB","Thomas DeCoud","CAR",109,487,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DERRICKMORGAN","DL","Derrick Morgan","TEN",45,488,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KYLEARRINGTON","DB","Kyle Arrington","NE",110,489,54.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JONBEASON","LB","Jon Beason","NYG",78,490,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REGGIENELSON","DB","Reggie Nelson","CIN",111,491,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PATRICKROBINSON","DB","Patrick Robinson","NO",112,492,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUNTAROBINSON","DB","Dunta Robinson","KC",113,493,53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONSNELLING","RB","Jason Snelling","ATL",57,494,53.3,NA,NA,NA,NA,NA,30.7,108,0.6,36.2,270,2.17,NA,NA,0.6
"BRENTCELEK","TE","Brent Celek","PHI",29,494,53.3,NA,NA,NA,NA,NA,NA,NA,NA,28.2,362,3,NA,NA,0.42
"MANNYLAWSON","LB","Manny Lawson","BUF",79,496,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",78,497,53,NA,NA,NA,NA,NA,NA,NA,NA,25.1,341,2.05,NA,NA,0.68
"JUSTINTUCK","DL","Justin Tuck","OAK",46,498,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MALCOLMSMITH","LB","Malcolm Smith","SEA",80,499,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOAMISI","LB","Koa Misi","MIA",81,500,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USAMAYOUNG","DB","Usama Young","OAK",114,501,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JARIUSWRIGHT","WR","Jarius Wright","MIN",79,502,51.8,NA,NA,NA,NA,NA,NA,NA,NA,28.4,434,1.47,NA,NA,0.22
"MARKUSWHEATON","WR","Markus Wheaton","PIT",80,503,51.7,NA,NA,NA,NA,NA,NA,NA,NA,35.9,415,1.59,NA,NA,0.5
"JOLONNDUNBAR","LB","Jo-Lonn Dunbar","STL",82,504,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",58,505,51.4,NA,NA,NA,NA,NA,63.5,290,2.34,8.8,68,0.48,NA,NA,0.66
"CHARLESGODFREY","DB","Charles Godfrey","CAR",115,505,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJSMITH","LB","D.J. Smith","CAR",83,507,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAUNPHILLIPS","LB","Shaun Phillips","TEN",83,507,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYWILSON","DB","Jimmy Wilson","MIA",116,509,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRIENROBINSON","TE","Adrien Robinson","NYG",30,510,50.6,NA,NA,NA,NA,NA,NA,NA,NA,42.6,401,1.86,NA,NA,0.36
"AKEEMDENT","LB","Akeem Dent","HOU",85,510,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOMINIQUERODGERSCROMARTIE","DB","Dominique Rodgers-Cromartie","NYG",117,510,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENDRICKLEWIS","DB","Kendrick Lewis","HOU",118,513,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISOGBONNAYA","RB","Chris Ogbonnaya","CLE",59,514,50.2,NA,NA,NA,NA,NA,13.4,58,0.2,43.9,351,1.59,NA,NA,0.75
"MATTSHAUGHNESSY","DL","Matt Shaughnessy","ARI",47,514,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLETCHERCOX","DL","Fletcher Cox","PHI",48,516,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOHNNYPATRICK","DB","Johnny Patrick","SD",119,516,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREBRANCH","DL","Andre Branch","JAC",49,518,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAREDODRICK","DL","Jared Odrick","MIA",49,518,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DREWDAVIS","WR","Drew Davis","ATL",81,520,49,NA,NA,NA,NA,NA,NA,NA,NA,27.5,389,1.77,NA,NA,0.26
"DARRYLSHARPTON","LB","Darryl Sharpton","WAS",86,520,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOHNABRAHAM","DL","John Abraham","ARI",51,520,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",82,523,48.8,NA,NA,NA,NA,NA,NA,NA,NA,32.2,375,1.88,NA,NA,0.29
"ANTONIOCROMARTIE","DB","Antonio Cromartie","ARI",120,523,48.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",31,525,48.4,NA,NA,NA,NA,NA,NA,NA,NA,39.1,383,1.99,NA,NA,0.9
"QUINTONCOPLES","DL","Quinton Coples","NYJ",52,526,48.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRUCEIRVIN","DL","Bruce Irvin","SEA",53,527,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEHARRIS","DB","Mike Harris","JAC",121,528,48.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
