"name","pos","name_accu","team_accu","positionRank_accu","overallRank_accu","pts_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushAtt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","returnTds_accu","twoPts_accu","fumbles_accu"
"INDIANAPOLISCOLTS","DST","Indianapolis Colts","IND",9,61,186.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUFFALOBILLS","DST","Buffalo Bills","BUF",10,62,186.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STLOUISRAMS","DST","St. Louis Rams","STL",11,63,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",12,64,184.4,NA,NA,NA,NA,NA,175.7,841,5.88,54.5,495,3.22,NA,NA,2.09
"CALVINJOHNSON","WR","Calvin Johnson","DET",11,65,182,NA,NA,NA,NA,NA,NA,NA,NA,97.1,1471,6.16,NA,NA,1.04
"ANTONIOBROWN","WR","Antonio Brown","PIT",12,66,181.6,NA,NA,NA,NA,NA,NA,NA,NA,98.5,1278,7.04,NA,NA,2.17
"BRIANHOYER","QB","Brian Hoyer","CLE",31,67,178.6,656.4,372.8,3652,15.95,19.17,NA,70,0.39,NA,NA,NA,NA,NA,1.1
"CECILSHORTS","WR","Cecil Shorts","JAC",13,68,178.2,NA,NA,NA,NA,NA,NA,NA,NA,114.7,1437,6.11,NA,NA,0.97
"JJWATT","DL","J.J. Watt","HOU",1,69,174.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KANSASCITYCHIEFS","DST","Kansas City Chiefs","KC",12,70,173.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DENVERBRONCOS","DST","Denver Broncos","DEN",13,71,172.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",14,72,172.3,NA,NA,NA,NA,NA,NA,NA,NA,100.3,1100,9.4,NA,NA,1.78
"ARIZONACARDINALS","DST","Arizona Cardinals","ARI",14,73,171.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAULPOSLUSZNY","LB","Paul Posluszny","JAC",1,74,170.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAROLINAPANTHERS","DST","Carolina Panthers","CAR",15,75,169.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIDNEYRICE","WR","Sidney Rice","SEA",15,76,169.5,NA,NA,NA,NA,NA,NA,NA,NA,69.7,1129,9.8,NA,NA,1.12
"ELIMANNING","QB","Eli Manning","NYG",32,77,168,567,319.6,3706,16.7,22.93,NA,41,0.29,NA,NA,NA,NA,NA,3.51
"VICTORCRUZ","WR","Victor Cruz","NYG",16,78,167.2,NA,NA,NA,NA,NA,NA,NA,NA,103,1333,5.96,NA,NA,0.91
"MARQUESCOLSTON","WR","Marques Colston","NO",17,79,166,NA,NA,NA,NA,NA,NA,NA,NA,96.7,1200,7.97,NA,NA,0.91
"NEWENGLANDPATRIOTS","DST","New England Patriots","NE",16,79,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,81,163.3,NA,NA,NA,NA,NA,NA,NA,NA,77.2,1017,10.49,NA,NA,0.64
"STEVANRIDLEY","RB","Stevan Ridley","NE",13,82,162,NA,NA,NA,NA,NA,217.8,1079,8.88,5.1,40,0.24,NA,NA,2.29
"SANDIEGOCHARGERS","DST","San Diego Chargers","SD",17,82,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",14,84,161.9,NA,NA,NA,NA,NA,197.4,724,5.3,54.9,474,2.46,NA,NA,2.24
"HOUSTONTEXANS","DST","Houston Texans","HOU",18,85,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMESLAURINAITIS","LB","James Laurinaitis","STL",2,86,160.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",15,87,159.5,NA,NA,NA,NA,NA,192.9,764,4.73,51.4,452,2.34,NA,NA,2.25
"NEWORLEANSSAINTS","DST","New Orleans Saints","NO",19,88,158.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLEVELANDBROWNS","DST","Cleveland Browns","CLE",20,89,158.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",16,90,158.1,NA,NA,NA,NA,NA,264.9,953,6.21,37.2,210,1.64,NA,NA,2.67
"NAVORROBOWMAN","LB","Navorro Bowman","SF",3,91,157.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MONTEEBALL","RB","Montee Ball","DEN",17,92,156.2,NA,NA,NA,NA,NA,216.5,1005,6.51,23.4,153,1.04,NA,NA,2.5
"NEWYORKJETS","DST","New York Jets","NYJ",21,93,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",18,94,154.5,NA,NA,NA,NA,NA,264.2,994,5.1,29.6,219,1.33,NA,NA,2.7
"DENARIUSMOORE","WR","Denarius Moore","OAK",18,95,154.3,NA,NA,NA,NA,NA,NA,NA,NA,85.4,1273,4.79,NA,NA,0.94
"TENNESSEETITANS","DST","Tennessee Titans","TEN",22,96,154.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMVINATIERI","K","Adam Vinatieri","IND",1,97,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBERTQUINN","DL","Robert Quinn","STL",2,98,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTPRATER","K","Matt Prater","DEN",2,99,151.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",19,100,150.2,NA,NA,NA,NA,NA,250.4,891,4.94,35.2,264,1.7,NA,NA,2.6
"ANDREJOHNSON","WR","Andre Johnson","HOU",19,101,150,NA,NA,NA,NA,NA,NA,NA,NA,104,1225,4.87,NA,NA,0.89
"WASHINGTONREDSKINS","DST","Washington Redskins","WAS",23,102,149.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JACKSONVILLEJAGUARS","DST","Jacksonville Jaguars","JAC",24,103,148.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","JAC",20,104,146.8,NA,NA,NA,NA,NA,142.5,850,6.65,26.3,197,1.24,NA,NA,2.68
"ZACHMILLER","TE","Zach Miller","SEA",3,105,145.2,NA,NA,NA,NA,NA,NA,NA,NA,71.4,926,8.98,NA,NA,0.63
"JOIQUEBELL","RB","Joique Bell","DET",21,106,144.7,NA,NA,NA,NA,NA,130.5,585,5.07,50.2,453,2.35,NA,NA,1.87
"STEVEHAUSCHKA","K","Steve Hauschka","SEA",3,107,143.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",22,108,143.8,NA,NA,NA,NA,NA,181.2,615,3.69,55.8,472,2.96,NA,NA,2.41
"GOLDENTATE","WR","Golden Tate","DET",20,109,143.7,NA,NA,NA,NA,NA,NA,NA,NA,87,1065,5.08,NA,NA,1.39
"STEPHENGOSTKOWSKI","K","Stephen Gostkowski","NE",4,110,143.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",23,111,143.4,NA,NA,NA,NA,NA,232.4,754,4.6,51.9,326,2.16,NA,NA,2.6
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",4,112,142.7,NA,NA,NA,NA,NA,NA,NA,NA,83,1132,5.14,NA,NA,0.74
"PHILADELPHIAEAGLES","DST","Philadelphia Eagles","PHI",25,113,142.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALLASCOWBOYS","DST","Dallas Cowboys","DAL",26,114,141.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBBIEGOULD","K","Robbie Gould","CHI",5,115,141.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAVONTEDAVID","LB","Lavonte David","TB",4,116,141.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",21,117,140.8,NA,NA,NA,NA,NA,NA,NA,NA,55.3,601,2.87,NA,NA,0.88
"PIERRETHOMAS","RB","Pierre Thomas","NO",24,118,140.6,NA,NA,NA,NA,NA,140.3,428,2.51,90.3,618,4.14,NA,NA,2.12
"JULIANEDELMAN","WR","Julian Edelman","NE",22,119,140.3,NA,NA,NA,NA,NA,NA,NA,NA,93.4,1005,5.23,NA,NA,3.68
"GREGOLSEN","TE","Greg Olsen","CAR",5,120,140,NA,NA,NA,NA,NA,NA,NA,NA,95.1,1045,6.18,NA,NA,0.82
"KAIFORBATH","K","Kai Forbath","WAS",6,121,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMPABAYBUCCANEERS","DST","Tampa Bay Buccaneers","TB",27,122,139.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MASONCROSBY","K","Mason Crosby","GB",7,123,139.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANBAILEY","K","Dan Bailey","DAL",8,124,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",25,125,138.1,NA,NA,NA,NA,NA,121.5,605,4.24,45.1,426,2.12,NA,NA,1.55
"ERICBERRY","DB","Eric Berry","KC",1,126,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",26,127,137.6,NA,NA,NA,NA,NA,194.6,809,4,38.8,271,1.63,NA,NA,2.12
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",27,128,137.5,NA,NA,NA,NA,NA,150.2,620,4.82,44.3,374,2.12,NA,NA,1.73
"PIERREGARCON","WR","Pierre Garcon","WAS",23,128,137.5,NA,NA,NA,NA,NA,NA,NA,NA,89.8,1090,4.89,NA,NA,0.83
"LAWRENCETIMMONS","LB","Lawrence Timmons","PIT",5,130,137.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINNESOTAVIKINGS","DST","Minnesota Vikings","MIN",28,130,137.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKNOVAK","K","Nick Novak","SD",9,130,137.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",24,133,136.6,NA,NA,NA,NA,NA,NA,NA,NA,76.9,1115,4.4,NA,NA,0.65
"BRIANHARTLINE","WR","Brian Hartline","MIA",25,134,136.4,NA,NA,NA,NA,NA,NA,NA,NA,84.1,1118,4.34,NA,NA,0.75
"SHONNGREENE","RB","Shonn Greene","TEN",28,135,136.3,NA,NA,NA,NA,NA,253.8,888,6.4,14.2,106,0.58,NA,NA,2.49
"CONNORBARTH","K","Connor Barth","TB",10,135,136.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEWYORKGIANTS","DST","New York Giants","NYG",29,137,135.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATLANTAFALCONS","DST","Atlanta Falcons","ATL",30,138,134.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILDAWSON","K","Phil Dawson","SF",11,138,134.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DETROITLIONS","DST","Detroit Lions","DET",31,140,134.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAUNSUISHAM","K","Shaun Suisham","PIT",12,141,134.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","WAS",26,142,134.2,NA,NA,NA,NA,NA,NA,NA,NA,63.5,986,5.86,NA,NA,0.85
