"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Alex Smith","QB","KC",23,23,548.3,352.3,4055.3,22,13,64.3,7.4,37.3,133,3.6,1,NA,NA,NA,NA,NA,3.7,266.6
"Philip Rivers","QB","SD",24,24,567.3,359.3,4165,25,17.7,63.3,7.3,24.3,35.3,1.5,0,NA,NA,NA,NA,NA,4.3,266
"Joe Flacco","QB","BAL",25,25,558,351,4007.3,22.7,15,62.9,7.2,39,67.3,1.7,1.3,NA,NA,NA,NA,NA,3.7,262.6
"Ryan Tannehill","QB","MIA",26,26,527.3,333.7,3811.3,20.7,15.3,63.3,7.2,53.7,227.3,4.2,2,NA,NA,NA,NA,NA,3,259.6
"Adrian Peterson","RB","MIN",1,27,NA,NA,NA,NA,NA,NA,NA,326.3,1612.3,4.9,13.3,39.7,259.7,6.5,1.7,NA,1.3,258.4
"Jake Locker","QB","TEN",27,27,496,303.7,3638,19.7,14.3,61.2,7.3,58.3,283.3,4.9,2.3,NA,NA,NA,NA,NA,2,258.4
"C.J. Spiller","RB","BUF",2,29,NA,NA,NA,NA,NA,NA,NA,301,1473,4.9,8.7,47.7,410,8.6,2.7,NA,1.7,238
"Doug Martin","RB","TB",3,30,NA,NA,NA,NA,NA,NA,NA,301.3,1358.3,4.5,10.3,52.3,470.7,9,1.7,NA,1.3,235.4
"Jamaal Charles","RB","KC",4,31,NA,NA,NA,NA,NA,NA,NA,266,1437,5.4,7.7,58.7,493,8.4,2.3,NA,2,232
"Christian Ponder","QB","MIN",28,32,471,290.7,3313.3,20,14,61.7,7,44.3,203,4.6,1,NA,NA,NA,NA,NA,3.3,229.4
"E.J. Manuel","QB","BUF",29,33,412.7,259.7,3171.7,18.3,13,62.9,7.7,49.3,282.7,5.7,1.7,NA,NA,NA,NA,NA,2,228
"Trent Richardson","RB","CLE",5,34,NA,NA,NA,NA,NA,NA,NA,307.3,1314.3,4.3,10.3,49.3,415.3,8.4,1.7,NA,1,227
"Calvin Johnson","WR","DET",1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.3,1680.3,15.8,10.7,NA,1,223.2
"Marshawn Lynch","RB","SEA",6,36,NA,NA,NA,NA,NA,NA,NA,305.7,1428.7,4.7,12,26,195.3,7.5,1,NA,1.7,221.6
"LeSean McCoy","RB","PHI",7,37,NA,NA,NA,NA,NA,NA,NA,276.7,1294.7,4.7,9.7,50,382,7.6,2,NA,2,217.2
"Arian Foster","RB","HOU",8,38,NA,NA,NA,NA,NA,NA,NA,292.7,1271,4.3,10.7,42.3,314.3,7.4,1.7,NA,1.7,213
"Ray Rice","RB","BAL",9,39,NA,NA,NA,NA,NA,NA,NA,251.3,1186.3,4.7,8,63.3,515.3,8.1,2,NA,1.7,211.6
"Alfred Morris","RB","WAS",10,40,NA,NA,NA,NA,NA,NA,NA,316.7,1430.3,4.5,11,15,79.7,5.3,0.3,NA,2.3,201.2
"Dez Bryant","WR","DAL",2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,1424.7,14.9,11,NA,1.3,198.4
"A.J. Green","WR","CIN",3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,1392,14.5,10.7,NA,0,197.2
"Blaine Gabbert","QB","JAC",30,43,391.7,238.3,3005.7,17.7,11.7,60.8,7.7,25,70.7,2.8,0.7,NA,NA,NA,NA,NA,2.7,196.6
"Matt Forte","RB","CHI",11,44,NA,NA,NA,NA,NA,NA,NA,255.3,1143.7,4.5,5.3,59,470,8,3,NA,2,191.8
"Brandon Marshall","WR","CHI",4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.7,1384,13.3,10.3,NA,0.7,190.4
"Julio Jones","WR","ATL",5,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1311,15.1,10.7,NA,0,188.2
"Stevan Ridley","RB","NE",12,46,NA,NA,NA,NA,NA,NA,NA,276,1267.7,4.6,11.7,9.3,75.3,8.1,0,NA,2,188.2
"Chris Johnson","RB","TEN",13,48,NA,NA,NA,NA,NA,NA,NA,269.3,1295.7,4.8,7,39,291.3,7.5,1,NA,1.7,186.6
"Steven Jackson","RB","ATL",14,49,NA,NA,NA,NA,NA,NA,NA,255,1147.3,4.5,9,38.7,298.3,7.7,0.7,NA,1,184.2
"Demaryius Thomas","WR","DEN",7,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7,1312,15.1,10.3,NA,1.7,182.4
"Larry Fitzgerald","WR","ARI",6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,1303,14.3,10,NA,0.3,182.4
"Reggie Bush","RB","DET",15,52,NA,NA,NA,NA,NA,NA,NA,210.3,959.7,4.6,4.7,70.7,562.3,8,2.7,NA,1.7,177
"DeMarco Murray","RB","DAL",16,53,NA,NA,NA,NA,NA,NA,NA,247.7,1129,4.6,7.3,38.7,312,8.1,1,NA,1.3,175.2
"Andre Johnson","WR","HOU",8,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,1384.3,14.4,7.3,NA,0,173.8
"Maurice Jones-Drew","RB","JAC",17,55,NA,NA,NA,NA,NA,NA,NA,280.3,1198.7,4.3,6.3,38,298,7.8,1.3,NA,2,173.6
"Matt Flynn","QB","OAK",31,56,346.7,216,2782.7,15.3,10,62.3,8,23,37.7,1.6,0.3,NA,NA,NA,NA,NA,1.7,173.2
"Roddy White","WR","ATL",9,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7,1263.7,14.6,9,NA,0,171
"Randall Cobb","WR","GB",10,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,1188.3,12.3,8.7,NA,1.3,168.8
"Vincent Jackson","WR","TB",11,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3,1222,16.7,8.7,NA,0.3,165.6
"Frank Gore","RB","SF",18,60,NA,NA,NA,NA,NA,NA,NA,245.7,1092.7,4.4,7.7,24.3,210,8.6,1,NA,1.3,164.6
"Victor Cruz","WR","NYG",12,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.7,1225.7,14,8.3,NA,0,163.8
"Lamar Miller","RB","MIA",19,62,NA,NA,NA,NA,NA,NA,NA,226,1076.7,4.8,6.3,34.3,266,7.8,1.3,NA,1,161.6
"Jimmy Graham","TE","NO",1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,1098.7,12.6,10,NA,0,161
"David Wilson","RB","NYG",20,64,NA,NA,NA,NA,NA,NA,NA,219,1094.7,5,5.7,27,240.3,8.9,1.7,NA,1,160.4
"Pierre Garcon","WR","WAS",13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.7,1168.3,15.4,7.7,NA,0.3,155.6
"Marques Colston","WR","NO",14,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7,1132.3,13.9,8.7,NA,1,155.2
"Dwayne Bowe","WR","KC",15,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.3,1165.3,14.3,7.7,NA,0.3,153.6
"Darren Sproles","RB","NO",21,68,NA,NA,NA,NA,NA,NA,NA,75.7,419,5.5,2.7,77.3,710.7,9.2,7,NA,1,153.2
"Geno Smith","QB","NYJ",32,69,330.3,200.3,1590.7,14.3,10.7,60.6,4.8,76.7,340.7,4.4,2,NA,NA,NA,NA,NA,2.7,153
"Wes Welker","WR","DEN",16,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,1126,12.7,7.3,NA,0,149.8
"Rob Gronkowski","TE","NE",2,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,976.7,14.4,10,NA,1,149
"Darren McFadden","RB","OAK",22,72,NA,NA,NA,NA,NA,NA,NA,227,1019.7,4.5,5,37.3,303.7,8.1,1.3,NA,2,148.8
"Eric Decker","WR","DEN",17,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,973.7,13.7,9.7,NA,1,145.2
"Reggie Wayne","WR","IND",18,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7,1165.3,13.4,6.3,NA,0.7,144.4
"Danny Amendola","WR","NE",19,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1116.3,11.9,7,NA,1,144
"Steve Smith","WR","CAR",20,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.7,1142,15.7,6.3,NA,1,143.8
"Giovani Bernard","RB","CIN",23,77,NA,NA,NA,NA,NA,NA,NA,183.3,903.3,4.9,5,39.3,317,8.1,1.7,NA,1.3,142.6
"Cecil Shorts","WR","JAC",21,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3,1118,16.4,6.3,NA,0.7,140.4
"Hakeem Nicks","WR","NYG",22,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7,1046.7,14.8,7.3,NA,0.3,140.2
"James Jones","WR","GB",23,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3,936.3,13.9,9.3,NA,1,138.8
"Antonio Brown","WR","PIT",24,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.3,1088.3,13.4,6.3,NA,1.3,137.2
"Jordy Nelson","WR","GB",25,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.3,970.3,15.1,8,NA,0.3,136.4
"Torrey Smith","WR","BAL",26,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7,1009,16.6,7,NA,0.3,136.4
"Eddie Lacy","RB","GB",25,84,NA,NA,NA,NA,NA,NA,NA,197.7,885.3,4.5,7,24,183.7,7.7,0.7,NA,1,136.2
"Shane Vereen","RB","NE",24,84,NA,NA,NA,NA,NA,NA,NA,124.3,594.7,4.8,4.3,53,486.7,9.2,3,NA,0.3,136.2
"T.Y. Hilton","WR","IND",27,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,986.3,15.1,7.3,NA,0,135.8
"DeSean Jackson","WR","PHI",28,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,969.3,14.9,6,NA,1.7,131.8
"Rashard Mendenhall","RB","ARI",26,87,NA,NA,NA,NA,NA,NA,NA,235,959.3,4.1,6,21.7,170.7,7.9,0.3,NA,1,131.8
"Tavon Austin","WR","STL",29,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7,936.7,11.9,5.3,NA,1,131.6
"Kenny Britt","WR","TEN",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,961.7,15.5,7.3,NA,0.7,131.4
"Daryl Richardson","RB","STL",27,91,NA,NA,NA,NA,NA,NA,NA,198.3,851.3,4.3,4.7,35.3,280.7,8,1.3,NA,1.7,130.6
"Ahmad Bradshaw","RB","IND",28,92,NA,NA,NA,NA,NA,NA,NA,193,879,4.6,6,26.3,204,7.8,1,NA,1.3,130.4
"Mike Wallace","WR","MIA",31,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3,989,15.6,6.7,NA,1,130.2
"Steve Johnson","WR","BUF",32,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,969.3,13.7,7,NA,1.3,128.4
"Ryan Mathews","RB","SD",29,95,NA,NA,NA,NA,NA,NA,NA,211.7,921.7,4.4,5,29,221,7.6,0.7,NA,2,128.2
"Montee Ball","RB","DEN",30,96,NA,NA,NA,NA,NA,NA,NA,183,825.7,4.5,7,23.7,184,7.8,0.3,NA,1.3,127.2
"Josh Gordon","WR","CLE",34,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,930.3,16,7.3,NA,1,126.8
"Mike Williams","WR","TB",33,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.3,932.3,14.5,7.3,NA,1,126.8
"Chris Givens","WR","STL",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,949.3,15.9,6.3,NA,0.3,125.2
"Jason Witten","TE","DAL",3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,966,10.6,5.7,NA,0,123.2
"Miles Austin","WR","DAL",36,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,890.3,13.6,7,NA,0.7,121.6
"Tony Gonzalez","TE","ATL",4,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,891.7,10.6,6.7,NA,0,121.2
"Chris Ivory","RB","NYJ",31,103,NA,NA,NA,NA,NA,NA,NA,208.3,896,4.3,6.3,10,72.7,7.3,0,NA,1.3,120.2
"Andre Brown","RB","NYG",32,104,NA,NA,NA,NA,NA,NA,NA,157,688.7,4.4,8,22,161.7,7.3,0.3,NA,1,118.8
"Vernon Davis","TE","SF",5,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,883.7,13.8,6.3,NA,0,118.8
"Michael Floyd","WR","ARI",37,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.3,874,14,6.7,NA,0.3,118.6
"Lance Moore","WR","NO",38,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7,900.7,14.4,6,NA,0,118
"Golden Tate","WR","SEA",39,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,854.7,14.7,6.7,NA,0.7,117.8
"Kenbrell Thompkins","WR","NE",40,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7,820.7,14.2,6.7,NA,0,115.2
"Greg Jennings","WR","MIN",41,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,841.3,12.9,6.3,NA,0,113.8
"DeAndre Hopkins","WR","HOU",42,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3,826,15.2,6.3,NA,0.3,113.2
"Anquan Boldin","WR","SF",43,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.3,871,14.2,5.7,NA,0.3,112.6
"Ryan Broyles","WR","DET",44,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,874.3,13.9,5.3,NA,0.3,110.2
"Alshon Jeffery","WR","CHI",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,796.3,15.2,6.3,NA,0,108.8
"DeAngelo Williams","RB","CAR",33,115,NA,NA,NA,NA,NA,NA,NA,176.3,784.3,4.4,5,17.7,131.7,7.4,0.7,NA,1.3,108.6
"Mark Ingram","RB","NO",34,116,NA,NA,NA,NA,NA,NA,NA,178.7,772,4.3,6.7,8.7,47.7,5.5,0,NA,1,108.2
"Jermichael Finley","TE","GB",6,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,799.3,12.1,6,NA,0,107
"Justin Blackmon","WR","JAC",46,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,778.3,13.7,5.7,NA,0.3,105.4
"Ronnie Hillman","RB","DEN",35,118,NA,NA,NA,NA,NA,NA,NA,146.7,687.3,4.7,3.7,33,271.7,8.2,1.3,NA,1.3,105.4
"Rueben Randle","WR","NYG",48,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,799,15,5.7,NA,0,105.2
"Vincent Brown","WR","SD",47,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,793.3,14.9,5.7,NA,0,105.2
"Denarius Moore","WR","OAK",49,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,785.3,14.2,5.7,NA,0.7,104.8
"Emmanuel Sanders","WR","PIT",50,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,839,13.1,5,NA,1.3,103.4
"Antonio Gates","TE","SD",7,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,704.7,11.2,6.7,NA,0.3,102.6
"Jared Cook","TE","STL",8,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3,773,13,5.7,NA,0.3,102.6
"Ben Tate","RB","HOU",36,126,NA,NA,NA,NA,NA,NA,NA,155,729.7,4.7,5,18,133,7.4,0.3,NA,1,100.8
"Bernard Pierce","RB","BAL",37,127,NA,NA,NA,NA,NA,NA,NA,159,752.3,4.7,4.3,15.7,102.3,6.5,0.7,NA,0.7,100.6
"BenJarvus Green-Ellis","RB","CIN",38,128,NA,NA,NA,NA,NA,NA,NA,163.3,693.3,4.2,6.3,9.7,62.3,6.4,0,NA,0.7,100.4
"Jordan Cameron","TE","CLE",9,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3,719.7,12.1,6.3,NA,0.3,100.2
"Greg Olsen","TE","CAR",10,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.7,798.7,12.5,5,NA,1,99
"Bryce Brown","RB","PHI",39,131,NA,NA,NA,NA,NA,NA,NA,160,718.7,4.5,5,20,131,6.5,0.7,NA,2.3,98.6
"Jonathan Stewart","RB","CAR",40,132,NA,NA,NA,NA,NA,NA,NA,154,670.7,4.4,4,24,199,8.3,1,NA,1.7,97.6
"Kendall Wright","WR","TEN",51,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,751,12.5,5.7,NA,1.3,97.6
"Pierre Thomas","RB","NO",41,132,NA,NA,NA,NA,NA,NA,NA,133.7,591.7,4.4,4,33.7,288,8.5,1,NA,1.7,97.6
"Brandon LaFell","WR","CAR",52,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,790,15,4.3,NA,0,96.8
"Sidney Rice","WR","SEA",53,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,738,14.5,5.3,NA,0.7,96.4
"Martellus Bennett","TE","CHI",11,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,673.7,12,6,NA,0,96
"Kyle Rudolph","TE","MIN",12,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3,627,11.5,6.7,NA,0.3,94.6
"Danny Woodhead","RB","SD",42,139,NA,NA,NA,NA,NA,NA,NA,100,441.7,4.4,3,41.3,363.3,8.8,2,NA,0.3,93.4
"Rod Streater","WR","OAK",54,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7,742,12.2,5,NA,1.3,93.4
"Brian Hartline","WR","MIA",55,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,807.7,13.5,3.7,NA,1,93.2
"Tyler Eifert","TE","CIN",13,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,712,12.7,5,NA,0.3,92.4
"Vick Ballard","RB","IND",43,143,NA,NA,NA,NA,NA,NA,NA,137.3,578.3,4.2,4.3,23.3,177.3,7.6,1,NA,0.3,92.2
"Greg Little","WR","CLE",56,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,721,13.4,4.7,NA,1,91.2
"Terrelle Pryor","QB","OAK",33,145,180.3,108.3,1186,7.7,7.3,60.1,6.6,37.7,201.7,5.4,2,NA,NA,NA,NA,NA,2,90.6
"Darrius Heyward-Bey","WR","IND",57,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,681.3,15.4,5,NA,0.7,89.6
"Owen Daniels","TE","HOU",14,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,681.3,11,5,NA,0.3,89.4
"Mohamed Sanu","WR","CIN",58,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,606,13.3,5.7,NA,0,89
"Cordarrelle Patterson","WR","MIN",59,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,657.7,14.8,4.7,NA,0.7,88.8
"Fred Jackson","RB","BUF",44,150,NA,NA,NA,NA,NA,NA,NA,138.7,592,4.3,4,27,182.3,6.8,0.7,NA,1.3,88.6
"Le'Veon Bell","RB","PIT",45,151,NA,NA,NA,NA,NA,NA,NA,141.7,610.3,4.3,4.7,15.7,116,7.4,0.7,NA,1,88.4
"Brandon Myers","TE","NYG",15,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7,674,11.1,4.7,NA,0,88.2
"Aaron Dobson","WR","NE",60,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,658,15.2,4.3,NA,0,87.6
"Brandon Pettigrew","TE","DET",16,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,686.7,10.3,4.7,NA,1,86.2
"Joique Bell","RB","DET",46,155,NA,NA,NA,NA,NA,NA,NA,109,505,4.6,2.7,32.3,266.3,8.2,1.3,NA,0.3,84.4
"Fred Davis","TE","WAS",17,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,627.7,12.6,4.7,NA,0,83.2
"Malcom Floyd","WR","SD",61,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,673.3,14.6,4,NA,1,82
"Jacoby Jones","WR","BAL",62,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,632.3,15.2,4.3,NA,0,81.8
"Coby Fleener","TE","IND",18,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,615,11.7,4.7,NA,0.3,80.6
"Nate Burleson","WR","DET",64,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,602.3,12.1,4.3,NA,0.7,78.4
"Santonio Holmes","WR","NYJ",63,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,637.7,13.8,4,NA,0.3,78.4
"Shonn Greene","RB","TEN",47,160,NA,NA,NA,NA,NA,NA,NA,122,521.7,4.3,5.3,10.7,80.3,7.5,0,NA,0.7,78.4
"Bilal Powell","RB","NYJ",48,163,NA,NA,NA,NA,NA,NA,NA,112.7,507,4.5,3,26,211.7,8.1,0.7,NA,0.7,77.8
"Robert Woods","WR","BUF",65,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3,609.7,14.4,3.7,NA,0.3,74.6
"Jeremy Kerley","WR","NYJ",66,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,662.7,12.7,2.7,NA,1.3,73.6
"Marcedes Lewis","TE","JAC",19,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,551.3,11,4.7,NA,1,73.2
"Daniel Thomas","RB","MIA",49,167,NA,NA,NA,NA,NA,NA,NA,117,475.7,4.1,4.7,16.7,128.7,7.7,0.3,NA,1,73
"Rob Housler","TE","ARI",20,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,560,11,4,NA,0,73
"Davone Bess","WR","CLE",67,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7,582.7,11.3,4,NA,0.7,72.6
"James Casey","TE","PHI",21,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,541.7,13.3,4.3,NA,0.3,72.2
"Markus Wheaton","WR","PIT",68,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,584.3,15.7,3.7,NA,0,72.2
"Andre Roberts","WR","ARI",69,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,599.7,12.1,3.3,NA,0,71.8
"Isaiah Pead","RB","STL",50,172,NA,NA,NA,NA,NA,NA,NA,131.3,579,4.4,3,15.3,96.7,6.3,0.3,NA,1,71.8
