"name","name_fftoday","pos","team_fftoday","positionRank_fftoday","overallRank_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","twoPts_fftoday","fumbles_fftoday","pts_fftoday"
"DANNYWOODHEAD","Danny Woodhead","RB","SD",38,114,NA,NA,NA,322,1,71,589,3,NA,NA,115.1
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",35,115,1355,9,5,111,0,NA,NA,NA,NA,NA,114.9
"DARRENMCFADDEN","Darren McFadden","RB","OAK",39,116,NA,NA,NA,629,5,32,211,0,NA,NA,114
"MARVINJONES","Marvin Jones","WR","CIN",37,116,NA,NA,NA,44,0,54,736,6,NA,NA,114
"DWAYNEBOWE","Dwayne Bowe","WR","KC",38,118,NA,NA,NA,0,0,63,814,5,NA,NA,111.4
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",7,119,NA,NA,NA,NA,NA,70,745,6,NA,NA,110.5
"JASONWITTEN","Jason Witten","TE","DAL",8,120,NA,NA,NA,NA,NA,68,744,6,NA,NA,110.4
"SAMMYWATKINS","Sammy Watkins","WR","BUF",39,121,NA,NA,NA,0,0,62,822,4,NA,NA,106.2
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",40,122,NA,NA,NA,0,0,54,757,5,NA,NA,105.7
"ERICDECKER","Eric Decker","WR","NYJ",41,123,NA,NA,NA,0,0,57,747,5,NA,NA,104.7
"AARONDOBSON","Aaron Dobson","WR","NE",42,124,NA,NA,NA,0,0,54,745,5,NA,NA,104.5
"DENNISPITTA","Dennis Pitta","TE","BAL",9,124,NA,NA,NA,NA,NA,63,685,6,NA,NA,104.5
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",43,126,NA,NA,NA,0,0,48,677,6,NA,NA,103.7
"ANQUANBOLDIN","Anquan Boldin","WR","SF",43,126,NA,NA,NA,0,0,54,737,5,NA,NA,103.7
"RUEBENRANDLE","Rueben Randle","WR","NYG",45,128,NA,NA,NA,0,0,56,787,4,NA,NA,102.7
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",46,129,NA,NA,NA,0,0,55,724,5,NA,NA,102.4
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",36,130,1295,6,7,134,0,NA,NA,NA,NA,NA,102.2
"HARRYDOUGLAS","Harry Douglas","WR","ATL",47,131,NA,NA,NA,0,0,61,775,4,NA,NA,101.5
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",10,132,NA,NA,NA,NA,NA,68,712,5,NA,NA,101.2
"DARRENSPROLES","Darren Sproles","RB","PHI",40,133,NA,NA,NA,286,1,63,545,2,NA,NA,101.1
"CHARLESCLAY","Charles Clay","TE","MIA",11,134,NA,NA,NA,NA,NA,62,707,5,NA,NA,100.7
"TERRANCEWEST","Terrance West","RB","CLE",41,135,NA,NA,NA,596,4,27,166,0,NA,NA,100.2
"ANTONIOGATES","Antonio Gates","TE","SD",12,135,NA,NA,NA,NA,NA,62,702,5,NA,NA,100.2
"RILEYCOOPER","Riley Cooper","WR","PHI",48,137,NA,NA,NA,0,0,46,698,5,NA,NA,99.8
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",13,138,NA,NA,NA,NA,NA,45,637,6,NA,NA,99.7
"GREGJENNINGS","Greg Jennings","WR","MIN",49,139,NA,NA,NA,0,0,61,747,4,NA,NA,98.7
"LANCEDUNBAR","Lance Dunbar","RB","DAL",42,140,NA,NA,NA,445,3,36,299,1,NA,NA,98.4
"HEATHMILLER","Heath Miller","TE","PIT",14,141,NA,NA,NA,NA,NA,64,682,5,NA,NA,98.2
"ZACHERTZ","Zach Ertz","TE","PHI",15,142,NA,NA,NA,NA,NA,48,611,6,NA,NA,97.1
"BERNARDPIERCE","Bernard Pierce","RB","BAL",43,143,NA,NA,NA,566,4,25,157,0,NA,NA,96.3
"REGGIEWAYNE","Reggie Wayne","WR","IND",50,144,NA,NA,NA,0,0,55,714,4,NA,NA,95.4
"ROBERTWOODS","Robert Woods","WR","BUF",51,145,NA,NA,NA,21,0,49,685,4,NA,NA,94.6
