"name","pos","name_cbs2","team_cbs2","positionRank_cbs2","overallRank_cbs2","pts_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recTds_cbs2","returnTds_cbs2","twoPts_cbs2","fumbles_cbs2"
"BRENTONBERSIN","WR","Brenton Bersin","CAR",113,339,29,NA,NA,NA,NA,NA,NA,NA,NA,15,319,1,NA,NA,0
"BRANDONLAFELL","WR","Brandon LaFell","NE",113,339,29,NA,NA,NA,NA,NA,NA,NA,NA,20,304,1,NA,NA,0
"RYANBROYLES","WR","Ryan Broyles","DET",113,339,29,NA,NA,NA,NA,NA,NA,NA,NA,28,308,1,NA,NA,0
"DUJUANHARRIS","RB","DuJuan Harris","GB",78,344,28,NA,NA,NA,NA,NA,63,267,1,16,107,0,NA,NA,0
"TREMASON","RB","Tre Mason","STL",78,344,28,NA,NA,NA,NA,NA,66,307,1,5,30,0,NA,NA,1
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",80,346,27,NA,NA,NA,NA,NA,56,217,2,5,34,0,NA,NA,0
"PEYTONHILLIS","RB","Peyton Hillis","NYG",80,346,27,NA,NA,NA,NA,NA,66,243,1,14,82,0,NA,NA,0
"JALENSAUNDERS","WR","Jalen Saunders","NYJ",116,346,27,NA,NA,NA,NA,NA,NA,NA,NA,18,230,2,NA,NA,0
"ALLENROBINSON","WR","Allen Robinson","JAC",116,346,27,NA,NA,NA,NA,NA,NA,NA,NA,22,305,1,NA,NA,1
"AUSTINPETTIS","WR","Austin Pettis","STL",116,346,27,NA,NA,NA,NA,NA,NA,NA,NA,27,301,1,NA,NA,0
"JOSHHUFF","WR","Josh Huff","PHI",116,346,27,NA,NA,NA,NA,NA,NA,NA,NA,16,274,1,NA,NA,0
"THEORIDDICK","RB","Theo Riddick","DET",82,352,26,NA,NA,NA,NA,NA,61,242,1,12,68,0,NA,NA,0
"CHRISPOLK","RB","Chris Polk","PHI",82,352,26,NA,NA,NA,NA,NA,51,233,2,6,43,0,NA,NA,1
"MARCUSLATTIMORE","RB","Marcus Lattimore","SF",82,352,26,NA,NA,NA,NA,NA,52,208,2,2,8,0,NA,NA,0
"DANHERRON","RB","Dan Herron","IND",82,352,26,NA,NA,NA,NA,NA,77,295,1,3,25,0,NA,NA,1
"TRAVARISCADET","RB","Travaris Cadet","NO",82,352,26,NA,NA,NA,NA,NA,38,167,0,23,189,1,NA,NA,0
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",120,352,26,NA,NA,NA,NA,NA,NA,NA,NA,23,284,1,NA,NA,0
"ANTHONYDIXON","RB","Anthony Dixon","BUF",87,358,24,NA,NA,NA,NA,NA,31,136,3,2,12,0,NA,NA,0
"MARQUESSWILSON","WR","Marquess Wilson","CHI",121,358,24,NA,NA,NA,NA,NA,NA,NA,NA,18,256,1,NA,NA,0
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",121,358,24,NA,NA,NA,NA,NA,NA,NA,NA,15,245,1,NA,NA,0
"JOEMORGAN","WR","Joe Morgan","NO",121,358,24,NA,NA,NA,NA,NA,NA,NA,NA,12,206,2,NA,NA,0
"TIMWRIGHT","TE","Timothy Wright","NE",47,358,24,NA,NA,NA,NA,NA,NA,NA,NA,22,260,1,NA,NA,0
"MIKEGLENNON","QB","Mike Glennon","TB",43,363,23,58,34,503,2,2,12,40,0,NA,NA,NA,NA,NA,0
"SILASREDD","RB","Silas Redd","WAS",88,363,23,NA,NA,NA,NA,NA,52,225,1,4,51,0,NA,NA,0
"JEREMYROSS","WR","Jeremy Ross","DET",124,363,23,NA,NA,NA,NA,NA,NA,NA,NA,18,248,1,NA,NA,0
"SANTANAMOSS","WR","Santana Moss","WAS",124,363,23,NA,NA,NA,NA,NA,NA,NA,NA,14,177,2,NA,NA,0
"JOSEPHFAURIA","TE","Joseph Fauria","DET",48,367,22,NA,NA,NA,NA,NA,NA,NA,NA,16,192,2,NA,NA,1
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",126,368,21,NA,NA,NA,NA,NA,NA,NA,NA,20,227,1,NA,NA,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",126,368,21,NA,NA,NA,NA,NA,NA,NA,NA,17,226,1,NA,NA,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",89,370,20,NA,NA,NA,NA,NA,65,283,0,1,4,0,NA,NA,0
"ANDRECALDWELL","WR","Andre Caldwell","DEN",128,370,20,NA,NA,NA,NA,NA,NA,NA,NA,21,223,1,NA,NA,0
"NICKTOON","WR","Nick Toon","NO",128,370,20,NA,NA,NA,NA,NA,NA,NA,NA,15,209,1,NA,NA,0
"DAVIDAUSBERRY","TE","David Ausberry","OAK",49,370,20,NA,NA,NA,NA,NA,NA,NA,NA,17,213,1,NA,NA,0
"JORDANTODMAN","RB","Jordan Todman","JAC",90,374,19,NA,NA,NA,NA,NA,54,218,0,19,144,0,NA,NA,1
"DARRELYOUNG","RB","Darrel Young","WAS",91,375,18,NA,NA,NA,NA,NA,12,50,2,10,82,0,NA,NA,0
"ALDRICKROBINSON","WR","Aldrick Robinson","WAS",130,375,18,NA,NA,NA,NA,NA,NA,NA,NA,11,199,1,NA,NA,0
"BRYCEBROWN","RB","Bryce Brown","BUF",92,377,17,NA,NA,NA,NA,NA,46,201,1,3,20,0,NA,NA,1
"DAMIENWILLIAMS","RB","Damien Williams","MIA",92,377,17,NA,NA,NA,NA,NA,59,233,0,9,57,0,NA,NA,0
"JIMMYCLAUSEN","QB","Jimmy Clausen","CHI",44,379,16,70,39,505,1,2,2,3,0,NA,NA,NA,NA,NA,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",94,380,15,NA,NA,NA,NA,NA,52,210,0,7,47,0,NA,NA,0
"MARLONMOORE","WR","Marlon Moore","CLE",131,380,15,NA,NA,NA,NA,NA,NA,NA,NA,25,236,0,NA,NA,0
"DONTRELLEINMAN","WR","Dontrelle Inman","SD",131,380,15,NA,NA,NA,NA,NA,NA,NA,NA,12,170,1,NA,NA,0
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",95,383,14,NA,NA,NA,NA,NA,58,215,0,2,10,0,NA,NA,0
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",95,383,14,NA,NA,NA,NA,NA,34,150,1,4,20,0,NA,NA,0
"CJANDERSON","RB","C.J. Anderson","DEN",97,385,13,NA,NA,NA,NA,NA,48,200,0,4,45,0,NA,NA,0
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",97,385,13,NA,NA,NA,NA,NA,46,195,0,5,27,0,NA,NA,0
"RICARDOLOCKETTE","WR","Ricardo Lockette","SEA",133,385,13,NA,NA,NA,NA,NA,NA,NA,NA,10,146,1,NA,NA,0
"DEVINHESTER","WR","Devin Hester","ATL",133,385,13,NA,NA,NA,NA,NA,NA,NA,NA,13,205,0,NA,NA,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",45,389,12,75,40,405,2,3,15,35,0,NA,NA,NA,NA,NA,2
"ROBERTHERRON","WR","Robert Herron","TB",135,389,12,NA,NA,NA,NA,NA,NA,NA,NA,13,140,1,NA,NA,0
"LOUISMURPHY","WR","Louis Murphy","TB",135,389,12,NA,NA,NA,NA,NA,NA,NA,NA,15,206,0,NA,NA,0
"BRICEBUTLER","WR","Brice Butler","OAK",135,389,12,NA,NA,NA,NA,NA,NA,NA,NA,16,198,0,NA,NA,0
"AJJENKINS","WR","A.J. Jenkins","KC",138,393,11,NA,NA,NA,NA,NA,NA,NA,NA,11,121,1,NA,NA,0
"GREGSALAS","WR","Greg Salas","NYJ",138,393,11,NA,NA,NA,NA,NA,NA,NA,NA,14,190,0,NA,NA,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",138,393,11,NA,NA,NA,NA,NA,NA,NA,NA,11,186,0,NA,NA,0
