"name","pos","name_cbs2","team_cbs2","positionRank_cbs2","overallRank_cbs2","pts_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recTds_cbs2","returnTds_cbs2","twoPts_cbs2","fumbles_cbs2"
"BUCCANEERS","DST","Buccaneers","TB",13,73,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",14,75,151,NA,NA,NA,NA,NA,NA,NA,NA,77,991,10,NA,NA,0
"CHIEFS","DST","Chiefs","KC",14,75,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",3,77,150,NA,NA,NA,NA,NA,NA,NA,NA,82,1003,10,NA,NA,1
"ANDREJOHNSON","WR","Andre Johnson","HOU",15,78,149,NA,NA,NA,NA,NA,NA,NA,NA,79,1209,6,NA,NA,0
"MATTCASSEL","QB","Matt Cassel","MIN",30,79,148,336,208,2431,14,12,16,54,0,NA,NA,NA,NA,NA,2
"BILLS","DST","Bills","BUF",15,79,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",31,81,147,320,187,2035,12,10,45,219,2,NA,NA,NA,NA,NA,3
"KEENANALLEN","WR","Keenan Allen","SD",16,82,146,NA,NA,NA,NA,NA,NA,NA,NA,64,1009,9,NA,NA,1
"STEPHENGOSTKOWSKI","K","Stephen Gostkowski","NE",1,82,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAVENS","DST","Ravens","BAL",16,82,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",18,85,145,NA,NA,NA,NA,NA,150,655,2,56,534,5,NA,NA,0
"DOLPHINS","DST","Dolphins","MIA",17,86,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",19,87,143,NA,NA,NA,NA,NA,183,788,7,40,355,1,NA,NA,2
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",17,87,143,NA,NA,NA,NA,NA,NA,NA,NA,76,1026,8,NA,NA,0
"BROWNS","DST","Browns","CLE",18,87,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",18,90,142,NA,NA,NA,NA,NA,NA,NA,NA,76,1078,7,NA,NA,0
"REGGIEBUSH","RB","Reggie Bush","DET",20,91,141,NA,NA,NA,NA,NA,192,823,4,43,352,3,NA,NA,2
"PHILDAWSON","K","Phil Dawson","SF",2,92,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EAGLES","DST","Eagles","PHI",19,92,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",19,94,139,NA,NA,NA,NA,NA,NA,NA,NA,84,1046,7,NA,NA,0
"JETS","DST","Jets","NYJ",20,94,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",21,96,138,NA,NA,NA,NA,NA,189,848,5,43,355,1,NA,NA,2
"PIERREGARCON","WR","Pierre Garcon","WAS",20,96,138,NA,NA,NA,NA,NA,NA,NA,NA,79,1088,6,NA,NA,0
"VIKINGS","DST","Vikings","MIN",21,98,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",22,99,136,NA,NA,NA,NA,NA,231,979,7,16,122,0,NA,NA,1
"DESEANJACKSON","WR","DeSean Jackson","WAS",21,99,136,NA,NA,NA,NA,NA,NA,NA,NA,57,953,8,NA,NA,0
"JUSTINTUCKER","K","Justin Tucker","BAL",3,99,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTBRYANT","K","Matt Bryant","ATL",4,102,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANBAILEY","K","Dan Bailey","DAL",4,102,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIONS","DST","Lions","DET",22,102,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIANTS","DST","Giants","NYG",22,102,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENTATE","RB","Ben Tate","CLE",23,106,134,NA,NA,NA,NA,NA,223,950,7,27,166,0,NA,NA,2
"KYLEORTON","QB","Kyle Orton","BUF",32,107,133,311,190,2173,12,7,3,6,0,NA,NA,NA,NA,NA,2
"CJSPILLER","RB","C.J. Spiller","BUF",24,107,133,NA,NA,NA,NA,NA,218,968,5,33,205,1,NA,NA,2
"TORREYSMITH","WR","Torrey Smith","BAL",22,107,133,NA,NA,NA,NA,NA,NA,NA,NA,60,1045,6,NA,NA,0
"MASONCROSBY","K","Mason Crosby","GB",6,107,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARGERS","DST","Chargers","SD",24,107,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAYNEGRAHAM","K","Shayne Graham","NO",7,112,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REDSKINS","DST","Redskins","WAS",25,112,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",25,114,131,NA,NA,NA,NA,NA,222,920,5,31,231,1,NA,NA,2
"RASHADJENNINGS","RB","Rashad Jennings","NYG",25,114,131,NA,NA,NA,NA,NA,209,867,5,41,286,1,NA,NA,2
"STEVENHAUSCHKA","K","Steven Hauschka","SEA",8,114,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
