"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"PIERRETHOMAS","RB","Pierre Thomas","NO",36,111,118.7,NA,NA,NA,NA,NA,127,532,5,43,295,1,NA,NA,NA
"BRANDONLLOYD","WR","Brandon Lloyd","NE",34,111,118.7,NA,NA,NA,NA,NA,0,0,0,56,827,6,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",35,113,118.5,NA,NA,NA,NA,NA,0,0,0,66,885,5,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",10,114,117.5,NA,NA,NA,NA,NA,NA,NA,NA,79,875,5,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",37,115,117.1,NA,NA,NA,NA,NA,187,746,6,8,65,0,NA,NA,NA
"DANIELTHOMAS","RB","Daniel Thomas","MIA",38,116,116,NA,NA,NA,NA,NA,177,778,4,18,142,0,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","TEN",36,116,116,NA,NA,NA,NA,NA,0,0,0,59,800,6,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",11,118,114.5,NA,NA,NA,NA,NA,NA,NA,NA,69,785,6,NA,NA,NA
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",11,118,114.5,NA,NA,NA,NA,NA,NA,NA,NA,73,785,6,NA,NA,NA
"TITUSYOUNG","WR","Titus Young","DET",37,120,114.1,NA,NA,NA,NA,NA,5,27,0,50,754,6,NA,NA,NA
"DENARIUSMOORE","WR","Denarius Moore","OAK",38,121,113.4,NA,NA,NA,NA,NA,8,75,0,50,759,5,NA,NA,NA
"JUSTINBLACKMON","WR","Justin Blackmon","JAC",39,122,113,NA,NA,NA,NA,NA,0,0,0,61,830,5,NA,NA,NA
"SIDNEYRICE","WR","Sidney Rice","SEA",40,123,111.4,NA,NA,NA,NA,NA,0,0,0,57,814,5,NA,NA,NA
"CEDRICBENSON","RB","Cedric Benson","GB",39,124,111.1,NA,NA,NA,NA,NA,177,706,5,17,105,0,NA,NA,NA
"FELIXJONES","RB","Felix Jones","DAL",40,125,110,NA,NA,NA,NA,NA,123,515,4,39,285,1,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","BAL",41,126,108.4,NA,NA,NA,NA,NA,0,0,0,64,844,4,NA,NA,NA
"GREGLITTLE","WR","Greg Little","CLE",42,127,108.2,NA,NA,NA,NA,NA,0,0,0,61,842,4,NA,NA,NA
"TIMTEBOW","QB","Tim Tebow","NYJ",34,128,107.7,83,49,556,3,2,77,379,5,NA,NA,NA,NA,NA,NA
"FREDDAVIS","TE","Fred Davis","WAS",13,128,107.7,NA,NA,NA,NA,NA,NA,NA,NA,74,777,5,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","NO",43,130,107.6,NA,NA,NA,NA,NA,0,0,0,52,716,6,NA,NA,NA
"JAMESJONES","WR","James Jones","GB",44,131,107.4,NA,NA,NA,NA,NA,0,0,0,51,714,6,NA,NA,NA
"TOBYGERHART","RB","Toby Gerhart","MIN",41,132,106,NA,NA,NA,NA,NA,133,585,4,28,235,0,NA,NA,NA
"MICHAELBUSH","RB","Michael Bush","CHI",42,133,104.4,NA,NA,NA,NA,NA,132,567,5,26,177,0,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","STL",45,134,102.6,NA,NA,NA,NA,NA,0,0,0,83,846,3,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",46,135,100.5,NA,NA,NA,NA,NA,0,0,0,50,765,4,NA,NA,NA
"LAURENTROBINSON","WR","Laurent Robinson","JAC",47,136,99.6,NA,NA,NA,NA,NA,0,0,0,49,756,4,NA,NA,NA
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",14,137,99.5,NA,NA,NA,NA,NA,NA,NA,NA,66,695,5,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",43,138,98.9,NA,NA,NA,NA,NA,117,493,3,35,256,1,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",15,139,98.2,NA,NA,NA,NA,NA,NA,NA,NA,62,682,5,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","HOU",16,140,97.5,NA,NA,NA,NA,NA,NA,NA,NA,60,735,4,NA,NA,NA
"JACOBTAMME","TE","Jacob Tamme","DEN",17,141,95.6,NA,NA,NA,NA,NA,NA,NA,NA,62,656,5,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",18,142,92.2,NA,NA,NA,NA,NA,NA,NA,NA,52,622,5,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","PIT",48,143,90.5,NA,NA,NA,NA,NA,0,0,0,48,665,4,NA,NA,NA
"NATEBURLESON","WR","Nate Burleson","DET",49,144,90.3,NA,NA,NA,NA,NA,1,8,0,46,655,4,NA,NA,NA
"MIKEWILLIAMS","WR","Mike Williams","TB",50,145,90.2,NA,NA,NA,NA,NA,0,0,0,48,662,4,NA,NA,NA
"DAVIDWILSON","RB","David Wilson","NYG",44,146,90,NA,NA,NA,NA,NA,116,556,4,14,104,0,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",51,147,89.9,NA,NA,NA,NA,NA,4,34,0,41,565,5,NA,NA,NA
"SANTANAMOSS","WR","Santana Moss","WAS",52,148,88.5,NA,NA,NA,NA,NA,0,0,0,49,645,4,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",53,149,87.6,NA,NA,NA,NA,NA,2,11,0,47,625,4,NA,NA,NA
"DAVONEBESS","WR","Davone Bess","MIA",54,150,87.5,NA,NA,NA,NA,NA,0,0,0,54,635,4,NA,NA,NA
"JONATHANDWYER","RB","Jonathan Dwyer","PIT",45,151,86.8,NA,NA,NA,NA,NA,128,549,4,11,79,0,NA,NA,NA
"COBYFLEENER","TE","Coby Fleener","IND",19,152,86.5,NA,NA,NA,NA,NA,NA,NA,NA,51,565,5,NA,NA,NA
"EDDICKSON","TE","Ed Dickson","BAL",20,153,85.2,NA,NA,NA,NA,NA,NA,NA,NA,57,612,4,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",21,154,84.1,NA,NA,NA,NA,NA,NA,NA,NA,56,601,4,NA,NA,NA
"MATTMOORE","QB","Matt Moore","MIA",35,155,84,165,97,1156,6,5,7,22,0,NA,NA,NA,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","MIA",22,156,83.5,NA,NA,NA,NA,NA,NA,NA,NA,55,535,5,NA,NA,NA
"EVANROYSTER","RB","Evan Royster","WAS",46,157,83.2,NA,NA,NA,NA,NA,136,545,3,14,107,0,NA,NA,NA
"KEVINWALTER","WR","Kevin Walter","HOU",55,158,82.7,NA,NA,NA,NA,NA,0,0,0,46,587,4,NA,NA,NA
"KEVINOGLETREE","WR","Kevin Ogletree","DAL",56,159,81.8,NA,NA,NA,NA,NA,0,0,0,42,578,4,NA,NA,NA
"STEPHENHILL","WR","Stephen Hill","NYJ",57,160,81,NA,NA,NA,NA,NA,0,25,0,39,545,4,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","NE",47,161,80.7,NA,NA,NA,NA,NA,87,381,3,23,186,1,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","NYG",23,162,80.6,NA,NA,NA,NA,NA,NA,NA,NA,51,566,4,NA,NA,NA
"LANCEKENDRICKS","TE","Lance Kendricks","STL",24,163,80.4,NA,NA,NA,NA,NA,NA,NA,NA,49,564,4,NA,NA,NA
"RYANWILLIAMS","RB","Ryan Williams","ARI",48,164,80.1,NA,NA,NA,NA,NA,132,555,3,9,66,0,NA,NA,NA
"JONATHANBALDWIN","WR","Jonathan Baldwin","KC",58,165,79.6,NA,NA,NA,NA,NA,0,0,0,42,556,4,NA,NA,NA
"KENDALLHUNTER","RB","Kendall Hunter","SF",49,166,79,NA,NA,NA,NA,NA,109,456,2,34,214,0,NA,NA,NA
"BRANDONTATE","WR","Brandon Tate","CIN",59,167,78.9,NA,NA,NA,NA,NA,0,0,0,42,549,4,NA,NA,NA
"BENJAMINWATSON","TE","Ben Watson","CLE",25,168,77,NA,NA,NA,NA,NA,NA,NA,NA,50,530,4,NA,NA,NA
"RANDYMOSS","WR","Randy Moss","SF",60,169,76.4,NA,NA,NA,NA,NA,0,0,0,35,524,4,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",50,170,76,NA,NA,NA,NA,NA,73,335,2,37,245,1,NA,NA,NA
"LERONMCCLAIN","RB","Le'Ron McClain","SD",50,170,76,NA,NA,NA,NA,NA,80,336,4,27,184,0,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","SEA",26,172,75.4,NA,NA,NA,NA,NA,NA,NA,NA,45,514,4,NA,NA,NA
"JEROMESIMPSON","WR","Jerome Simpson","MIN",61,173,74.5,NA,NA,NA,NA,NA,0,0,0,42,565,3,NA,NA,NA
"DEVERYHENDERSON","WR","Devery Henderson","NO",61,173,74.5,NA,NA,NA,NA,NA,0,0,0,34,565,3,NA,NA,NA
"BRANDONLAFELL","WR","Brandon LaFell","CAR",61,173,74.5,NA,NA,NA,NA,NA,0,0,0,44,565,3,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",52,176,74,NA,NA,NA,NA,NA,85,356,3,33,204,0,NA,NA,NA
"BERNARDSCOTT","RB","Bernard Scott","CIN",53,177,73.9,NA,NA,NA,NA,NA,111,467,3,18,92,0,NA,NA,NA
"EARLBENNETT","WR","Earl Bennett","CHI",64,177,73.9,NA,NA,NA,NA,NA,0,0,0,47,559,3,NA,NA,NA
"ANDREROBERTS","WR","Andre Roberts","ARI",65,179,73.6,NA,NA,NA,NA,NA,0,0,0,41,556,3,NA,NA,NA
"MIKELLESHOURE","RB","Mikel Leshoure","DET",54,180,73.5,NA,NA,NA,NA,NA,119,510,3,6,45,0,NA,NA,NA
"RASHARDMENDENHALL","RB","Rashard Mendenhall","PIT",55,181,73.2,NA,NA,NA,NA,NA,117,467,3,13,85,0,NA,NA,NA
"DAVIDNELSON","WR","David Nelson","BUF",66,182,72.4,NA,NA,NA,NA,NA,0,0,0,41,544,3,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","KC",56,183,71.7,NA,NA,NA,NA,NA,34,135,1,52,402,2,NA,NA,NA
"AUSTINCOLLIE","WR","Austin Collie","IND",67,184,71.6,NA,NA,NA,NA,NA,0,0,0,45,536,3,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","TB",57,185,71.5,NA,NA,NA,NA,NA,104,456,3,13,79,0,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",27,185,71.5,NA,NA,NA,NA,NA,NA,NA,NA,41,475,4,NA,NA,NA
"TAIWANJONES","RB","Taiwan Jones","OAK",58,187,71.4,NA,NA,NA,NA,NA,104,489,2,13,105,0,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",59,188,71.3,NA,NA,NA,NA,NA,95,456,3,11,77,0,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","SEA",68,189,70.9,NA,NA,NA,NA,NA,0,0,0,43,529,3,NA,NA,NA
"DALLASCLARK","TE","Dallas Clark","TB",28,190,70.5,NA,NA,NA,NA,NA,NA,NA,NA,47,525,3,NA,NA,NA
"TODDHEAP","TE","Todd Heap","ARI",29,191,69.2,NA,NA,NA,NA,NA,NA,NA,NA,43,512,3,NA,NA,NA
"JACOBYFORD","WR","Jacoby Ford","OAK",69,192,67.5,NA,NA,NA,NA,NA,7,46,0,31,449,3,NA,NA,NA
