"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"OWENDANIELS","TE","Owen Daniels","HOU",10,131,97.2,NA,NA,NA,NA,NA,NA,NA,NA,63,732,4,NA,NA,NA
"JUSTINGAGE","WR","Justin Gage","TEN",45,132,96.9,NA,NA,NA,NA,NA,0,0,0,55,729,4,NA,NA,NA
"RASHARDMENDENHALL","RB","Rashard Mendenhall","PIT",46,133,94.1,NA,NA,NA,NA,NA,116,462,6,18,119,0,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","OAK",11,134,93.8,NA,NA,NA,NA,NA,NA,NA,NA,65,698,4,NA,NA,NA
"KEVINFAULK","RB","Kevin Faulk","NE",47,135,92.1,NA,NA,NA,NA,NA,74,356,1,47,385,2,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",12,136,91.2,NA,NA,NA,NA,NA,NA,NA,NA,58,612,5,NA,NA,NA
"STEVESMITH","WR","Steve Smith","NYG",46,137,89.6,NA,NA,NA,NA,NA,0,0,0,50,656,4,NA,NA,NA
"BOSCAIFE","TE","Bo Scaife","TEN",13,138,88.3,NA,NA,NA,NA,NA,NA,NA,NA,60,643,4,NA,NA,NA
"FELIXJONES","RB","Felix Jones","DAL",48,139,86.6,NA,NA,NA,NA,NA,122,511,4,17,115,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",49,140,86.5,NA,NA,NA,NA,NA,109,502,2,20,183,1,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",14,141,85.9,NA,NA,NA,NA,NA,NA,NA,NA,49,559,5,NA,NA,NA
"VISANTHESHIANCOE","TE","Visanthe Shiancoe","MIN",15,142,85.5,NA,NA,NA,NA,NA,NA,NA,NA,57,615,4,NA,NA,NA
"PATRICKCRAYTON","WR","Patrick Crayton","DAL",47,143,85.1,NA,NA,NA,NA,NA,0,0,0,45,611,4,NA,NA,NA
"WILLISMCGAHEE","RB","Willis McGahee","BAL",50,144,82.5,NA,NA,NA,NA,NA,96,405,4,20,120,1,NA,NA,NA
"EARLBENNETT","WR","Earl Bennett","CHI",48,145,80.1,NA,NA,NA,NA,NA,0,0,0,52,621,3,NA,NA,NA
